univ,weights,slots,exit,cagr,mdd,calmar,total,sharpe,alpha
KP200 + KQ150,V25Q15G35M25,5,7,40.26,30.93,1.302,1254.11,1.356,18.22
KP200 + KQ150,V25Q15G35M25,7,10,43.87,25.36,1.73,1547.55,1.544,21.84
KP200 + KQ150,V25Q15G35M25,10,14,41.79,23.82,1.755,1372.59,1.3,19.76
KP200 + KQ150,V20Q10G40M30,3,4,66.17,32.06,2.064,4896.98,1.667,44.13
KP200 + KQ150,V20Q10G40M30,5,7,49.69,28.6,1.737,2135.74,1.522,27.66
KP200 + KQ150,V20Q10G40M30,7,10,41.99,29.89,1.405,1388.61,1.481,19.96
KP200 + KQ150,V20Q10G40M30,10,14,39.12,26.94,1.452,1171.83,1.455,17.09
KP200 + KQ150,V20Q10G20M50 (M↑),3,4,53.8,34.73,1.549,2653.77,1.4,32.12
KP200 + KQ150,V20Q10G20M50 (M↑),5,7,40.03,31.58,1.268,1237.16,1.311,17.99
KP200 + KQ150,V20Q10G20M50 (M↑),7,10,37.39,25.95,1.441,1054.89,1.348,15.36
KP200 + KQ150,V20Q10G20M50 (M↑),10,14,32.26,28.04,1.15,761.48,1.264,10.23
