univ,v,q,g,m,slots,exit,cagr,mdd,calmar,total,alpha,sharpe
KP200+KQ150,0.0,0.2,0.75,0.05,10,14,54.15,22.31,2.428,2702.91,32.12,1.134
KP200+KQ150,0.0,0.2,0.8,0.0,3,4,53.01,31.65,1.675,2547.57,30.98,1.407
KP200+KQ150,0.0,0.2,0.8,0.0,5,7,69.75,23.93,2.914,5788.39,47.71,1.919
KP200+KQ150,0.0,0.2,0.8,0.0,7,10,61.09,23.08,2.647,3835.35,39.06,1.424
KP200+KQ150,0.0,0.2,0.8,0.0,10,14,50.04,23.0,2.176,2175.68,28.0,1.137
KP200+KQ150,0.0,0.25,0.05,0.7,3,4,42.45,33.85,1.254,1426.22,20.25,1.183
KP200+KQ150,0.0,0.25,0.05,0.7,5,7,48.42,35.39,1.368,1993.25,26.38,1.108
KP200+KQ150,0.0,0.25,0.05,0.7,7,10,41.02,25.72,1.595,1312.12,18.99,1.387
KP200+KQ150,0.0,0.25,0.05,0.7,10,14,51.29,22.88,2.242,2326.97,29.26,1.369
KP200+KQ150,0.0,0.25,0.1,0.65,3,4,49.38,27.11,1.822,2100.47,27.37,1.346
KP200+KQ150,0.0,0.25,0.1,0.65,5,7,59.12,25.27,2.34,3478.99,37.09,1.274
KP200+KQ150,0.0,0.25,0.1,0.65,7,10,50.11,26.28,1.907,2184.37,28.08,1.299
KP200+KQ150,0.0,0.25,0.1,0.65,10,14,46.04,24.63,1.869,1748.21,24.0,1.266
KP200+KQ150,0.0,0.25,0.15,0.6,3,4,55.42,27.11,2.045,2885.51,33.39,1.48
KP200+KQ150,0.0,0.25,0.15,0.6,5,7,60.85,24.8,2.454,3789.0,38.81,1.301
KP200+KQ150,0.0,0.25,0.15,0.6,7,10,44.76,24.93,1.795,1627.75,22.73,1.479
KP200+KQ150,0.0,0.25,0.15,0.6,10,14,45.96,25.38,1.811,1740.37,23.92,1.263
KP200+KQ150,0.0,0.25,0.2,0.55,3,4,54.18,28.99,1.869,2707.21,32.15,1.446
KP200+KQ150,0.0,0.25,0.2,0.55,5,7,65.68,25.22,2.604,4784.33,43.64,1.359
KP200+KQ150,0.0,0.25,0.2,0.55,7,10,54.32,25.27,2.15,2726.54,32.28,1.395
KP200+KQ150,0.0,0.25,0.2,0.55,10,14,41.67,25.99,1.603,1363.04,19.64,1.235
KP200+KQ150,0.0,0.25,0.25,0.5,3,4,55.28,27.66,1.999,2864.85,33.33,1.479
KP200+KQ150,0.0,0.25,0.25,0.5,5,7,64.09,25.03,2.56,4435.0,42.05,1.329
KP200+KQ150,0.0,0.25,0.25,0.5,7,10,56.96,25.52,2.232,3120.85,34.92,1.328
