univ,weights,slots,exit,cagr,mdd,calmar,total,sharpe,alpha
3조+,V50Q20G05M25 (가치),5,10,-17.84,56.99,-0.313,-38.19,-0.583,-31.44
3조+,V50Q20G05M25 (가치),7,10,-13.5,53.44,-0.253,-29.89,-0.47,-27.1
3조+,V50Q20G05M25 (가치),10,14,-8.07,50.56,-0.16,-18.61,-0.264,-21.67
3조+,V50Q20G05M25 (가치),15,20,-7.42,49.13,-0.151,-17.2,-0.246,-21.02
3조+,V30Q30G20M20 (균형),3,4,-7.98,51.2,-0.156,-18.42,-0.188,-23.11
3조+,V30Q30G20M20 (균형),3,6,-11.04,48.6,-0.227,-24.91,-0.323,-25.25
3조+,V30Q30G20M20 (균형),5,7,-23.35,62.37,-0.374,-47.86,-0.817,-36.96
3조+,V30Q30G20M20 (균형),5,10,-21.6,62.21,-0.347,-44.89,-0.742,-35.2
3조+,V30Q30G20M20 (균형),7,10,-18.69,56.41,-0.331,-39.74,-0.702,-32.29
3조+,V30Q30G20M20 (균형),10,14,-14.47,51.54,-0.281,-31.8,-0.591,-28.07
3조+,V30Q30G20M20 (균형),15,20,-6.49,48.25,-0.134,-15.14,-0.203,-20.09
3조+,V20Q10G20M50 (M↑),3,4,-8.94,48.93,-0.183,-20.5,-0.185,-23.64
3조+,V20Q10G20M50 (M↑),3,6,-11.73,54.17,-0.216,-26.32,-0.32,-25.33
3조+,V20Q10G20M50 (M↑),5,7,-12.17,52.22,-0.233,-27.23,-0.398,-25.78
3조+,V20Q10G20M50 (M↑),5,10,-17.86,60.77,-0.294,-38.23,-0.565,-31.46
3조+,V20Q10G20M50 (M↑),7,10,-8.73,52.79,-0.165,-20.03,-0.244,-22.33
3조+,V20Q10G20M50 (M↑),10,14,-9.99,49.12,-0.203,-22.72,-0.344,-23.6
3조+,V20Q10G20M50 (M↑),15,20,-4.07,45.65,-0.089,-9.68,-0.078,-17.67
3조+,M100,3,4,-7.91,50.3,-0.157,-18.27,-0.129,-21.83
3조+,M100,3,6,6.16,39.14,0.157,15.77,0.346,-7.12
3조+,M100,5,7,0.65,44.18,0.015,1.6,0.157,-13.16
3조+,M100,5,10,-2.64,47.39,-0.056,-6.35,0.027,-16.45
3조+,M100,7,10,-12.33,53.93,-0.229,-27.53,-0.394,-25.93
3조+,M100,10,14,-8.08,48.08,-0.168,-18.64,-0.254,-21.68
3조+,M100,15,20,-4.99,48.85,-0.102,-11.78,-0.123,-18.59
5조+,V15Q00G55M30 (raw),3,4,-15.72,55.31,-0.284,-34.22,-0.458,-29.33
5조+,V15Q00G55M30 (raw),3,6,-4.55,47.49,-0.096,-10.77,-0.03,-18.15
5조+,V15Q00G55M30 (raw),5,7,7.21,33.82,0.213,18.57,0.414,-6.4
5조+,V15Q00G55M30 (raw),5,10,4.78,35.74,0.134,12.12,0.318,-8.82
5조+,V15Q00G55M30 (raw),7,10,2.83,36.45,0.078,7.07,0.237,-10.77
5조+,V15Q00G55M30 (raw),10,14,4.54,35.06,0.13,11.5,0.316,-9.06
5조+,V15Q00G55M30 (raw),15,20,4.79,33.5,0.143,12.15,0.33,-8.81
5조+,V40Q25G15M20 (V↑),3,4,-8.1,57.08,-0.142,-18.68,-0.156,-22.32
5조+,V40Q25G15M20 (V↑),3,6,0.39,47.88,0.008,0.95,0.154,-13.22
5조+,V40Q25G15M20 (V↑),5,7,-7.64,45.49,-0.168,-17.68,-0.214,-21.24
5조+,V40Q25G15M20 (V↑),5,10,-3.85,41.3,-0.093,-9.15,-0.05,-17.45
5조+,V40Q25G15M20 (V↑),7,10,-4.1,40.73,-0.101,-9.74,-0.081,-17.7
5조+,V40Q25G15M20 (V↑),10,14,5.36,36.06,0.149,13.65,0.353,-8.24
5조+,V40Q25G15M20 (V↑),15,20,4.74,33.41,0.142,12.01,0.329,-8.86
5조+,V35Q35G15M15 (V+Q),3,4,-11.57,57.23,-0.202,-26.0,-0.313,-25.79
5조+,V35Q35G15M15 (V+Q),3,6,-11.2,52.97,-0.211,-25.24,-0.31,-25.42
5조+,V35Q35G15M15 (V+Q),5,7,-4.79,45.21,-0.106,-11.32,-0.091,-18.39
5조+,V35Q35G15M15 (V+Q),5,10,-3.0,42.11,-0.071,-7.18,-0.015,-16.6
5조+,V35Q35G15M15 (V+Q),7,10,-1.96,37.53,-0.052,-4.73,0.018,-15.56
