univ,v,q,g,m,slots,exit,cagr,mdd,calmar,total,alpha,sharpe
KP200+KQ150,0.2,0.2,0.0,0.6,10,14,31.59,24.2,1.305,728.42,9.55,1.247
KP200+KQ150,0.2,0.2,0.1,0.5,3,4,42.68,29.9,1.427,1444.79,20.91,1.206
KP200+KQ150,0.2,0.2,0.1,0.5,5,7,40.21,27.5,1.462,1250.72,18.18,1.359
KP200+KQ150,0.2,0.2,0.1,0.5,7,10,33.72,26.49,1.273,837.67,11.69,1.261
KP200+KQ150,0.2,0.2,0.1,0.5,10,14,34.23,26.45,1.294,865.55,12.2,1.285
KP200+KQ150,0.2,0.2,0.2,0.4,3,4,68.53,34.6,1.981,5471.03,46.64,1.676
KP200+KQ150,0.2,0.2,0.2,0.4,5,7,50.82,24.68,2.059,2269.37,28.79,1.585
KP200+KQ150,0.2,0.2,0.2,0.4,7,10,44.22,25.23,1.753,1578.01,22.18,1.563
KP200+KQ150,0.2,0.2,0.2,0.4,10,14,40.67,28.26,1.439,1285.36,18.64,1.331
KP200+KQ150,0.2,0.2,0.3,0.3,3,4,53.17,35.45,1.5,2568.04,31.13,1.439
KP200+KQ150,0.2,0.2,0.3,0.3,5,7,46.88,28.26,1.659,1831.81,24.84,1.51
KP200+KQ150,0.2,0.2,0.3,0.3,7,10,41.89,24.61,1.703,1380.68,19.86,1.493
KP200+KQ150,0.2,0.2,0.3,0.3,10,14,40.23,24.1,1.67,1252.48,18.2,1.258
KP200+KQ150,0.2,0.2,0.4,0.2,3,4,52.74,34.98,1.508,2511.68,30.71,1.48
KP200+KQ150,0.2,0.2,0.4,0.2,5,7,42.83,32.66,1.311,1457.37,20.79,1.429
KP200+KQ150,0.2,0.2,0.4,0.2,7,10,46.63,24.45,1.907,1807.08,24.6,1.597
KP200+KQ150,0.2,0.2,0.4,0.2,10,14,44.63,23.66,1.886,1615.06,22.59,1.36
KP200+KQ150,0.2,0.2,0.5,0.1,3,4,44.08,37.34,1.181,1566.21,21.85,1.305
KP200+KQ150,0.2,0.2,0.5,0.1,5,7,46.8,24.31,1.925,1823.95,24.77,1.524
KP200+KQ150,0.2,0.2,0.5,0.1,7,10,44.94,27.19,1.653,1643.59,22.9,1.54
KP200+KQ150,0.2,0.2,0.5,0.1,10,14,48.6,23.36,2.081,2013.39,26.57,1.122
KP200+KQ150,0.2,0.2,0.6,0.0,3,4,42.9,32.61,1.316,1463.87,20.72,1.274
KP200+KQ150,0.2,0.2,0.6,0.0,5,7,46.19,26.53,1.741,1763.34,24.16,1.488
KP200+KQ150,0.2,0.2,0.6,0.0,7,10,51.22,29.23,1.752,2317.74,29.19,1.266
KP200+KQ150,0.2,0.2,0.6,0.0,10,14,40.37,23.07,1.75,1262.57,18.34,1.207
KP200+KQ150,0.2,0.3,0.0,0.5,3,4,36.86,40.82,0.903,1020.97,15.22,1.103
KP200+KQ150,0.2,0.3,0.0,0.5,5,7,28.46,31.35,0.908,588.2,6.42,1.052
KP200+KQ150,0.2,0.3,0.0,0.5,7,10,32.58,24.83,1.312,777.52,10.54,1.239
KP200+KQ150,0.2,0.3,0.0,0.5,10,14,35.95,23.63,1.521,964.88,13.92,1.346
KP200+KQ150,0.2,0.3,0.1,0.4,3,4,33.72,34.92,0.966,837.4,11.51,1.059
KP200+KQ150,0.2,0.3,0.1,0.4,5,7,43.87,29.1,1.507,1546.92,21.83,1.458
KP200+KQ150,0.2,0.3,0.1,0.4,7,10,35.28,26.09,1.352,925.44,13.25,1.326
KP200+KQ150,0.2,0.3,0.1,0.4,10,14,35.16,26.59,1.322,917.94,13.12,1.341
KP200+KQ150,0.2,0.3,0.2,0.3,3,4,44.73,34.23,1.307,1625.0,22.7,1.297
KP200+KQ150,0.2,0.3,0.2,0.3,5,7,43.8,28.07,1.56,1540.75,21.76,1.447
KP200+KQ150,0.2,0.3,0.2,0.3,7,10,38.67,32.13,1.204,1140.53,16.64,1.432
KP200+KQ150,0.2,0.3,0.2,0.3,10,14,32.74,25.42,1.288,785.76,10.7,1.351
KP200+KQ150,0.2,0.3,0.3,0.2,3,4,37.59,36.8,1.022,1067.87,15.55,1.152
KP200+KQ150,0.2,0.3,0.3,0.2,5,7,42.25,28.56,1.479,1409.7,20.22,1.4
KP200+KQ150,0.2,0.3,0.3,0.2,7,10,41.34,25.44,1.625,1336.69,19.31,1.505
KP200+KQ150,0.2,0.3,0.3,0.2,10,14,39.75,24.06,1.652,1217.09,17.72,1.272
KP200+KQ150,0.2,0.3,0.4,0.1,3,4,33.5,36.78,0.911,825.72,11.47,1.08
KP200+KQ150,0.2,0.3,0.4,0.1,5,7,35.73,30.12,1.186,951.53,13.69,1.234
KP200+KQ150,0.2,0.3,0.4,0.1,7,10,40.62,29.41,1.381,1281.18,18.58,1.427
KP200+KQ150,0.2,0.3,0.4,0.1,10,14,46.72,26.21,1.783,1816.18,24.69,1.096
KP200+KQ150,0.2,0.3,0.5,0.0,3,4,34.22,34.79,0.984,864.87,12.34,1.086
KP200+KQ150,0.2,0.3,0.5,0.0,5,7,41.32,29.16,1.417,1335.02,19.28,1.369
KP200+KQ150,0.2,0.3,0.5,0.0,7,10,50.81,28.18,1.803,2267.86,28.78,1.258
KP200+KQ150,0.2,0.3,0.5,0.0,10,14,48.16,22.4,2.15,1966.08,26.13,1.111
KP200+KQ150,0.2,0.4,0.0,0.4,3,4,35.35,33.5,1.055,929.21,13.29,1.105
KP200+KQ150,0.2,0.4,0.0,0.4,5,7,32.52,26.14,1.244,774.63,10.49,1.199
KP200+KQ150,0.2,0.4,0.0,0.4,7,10,34.51,21.8,1.583,881.0,12.47,1.333
KP200+KQ150,0.2,0.4,0.0,0.4,10,14,32.85,22.98,1.43,791.84,10.82,1.341
KP200+KQ150,0.2,0.4,0.1,0.3,3,4,40.31,32.36,1.246,1257.82,18.27,1.215
KP200+KQ150,0.2,0.4,0.1,0.3,5,7,36.97,25.25,1.464,1028.37,14.94,1.307
KP200+KQ150,0.2,0.4,0.1,0.3,7,10,36.67,29.56,1.241,1009.38,14.64,1.359
KP200+KQ150,0.2,0.4,0.1,0.3,10,14,32.93,26.11,1.261,795.78,10.9,1.367
KP200+KQ150,0.2,0.4,0.2,0.2,3,4,27.58,34.46,0.8,552.9,5.55,0.945
KP200+KQ150,0.2,0.4,0.2,0.2,5,7,42.75,28.55,1.497,1451.07,20.72,1.053
KP200+KQ150,0.2,0.4,0.2,0.2,7,10,41.76,28.66,1.457,1369.77,19.72,1.207
KP200+KQ150,0.2,0.4,0.2,0.2,10,14,38.11,24.33,1.566,1102.71,16.08,1.32
KP200+KQ150,0.2,0.4,0.3,0.1,3,4,29.85,43.22,0.691,647.84,7.82,0.988
KP200+KQ150,0.2,0.4,0.3,0.1,5,7,48.5,26.12,1.856,2002.22,26.47,1.146
KP200+KQ150,0.2,0.4,0.3,0.1,7,10,40.1,23.62,1.698,1242.88,18.07,1.173
KP200+KQ150,0.2,0.4,0.3,0.1,10,14,36.32,24.84,1.462,987.49,14.29,1.267
KP200+KQ150,0.2,0.4,0.4,0.0,3,4,30.52,35.45,0.861,678.14,8.49,1.011
KP200+KQ150,0.2,0.4,0.4,0.0,5,7,46.53,24.33,1.913,1796.79,24.5,1.1
KP200+KQ150,0.2,0.4,0.4,0.0,7,10,48.22,27.23,1.771,1971.87,26.19,0.97
KP200+KQ150,0.2,0.4,0.4,0.0,10,14,43.08,25.24,1.707,1479.23,21.05,1.039
KP200+KQ150,0.2,0.5,0.0,0.3,3,4,29.18,37.32,0.782,618.57,7.15,0.979
KP200+KQ150,0.2,0.5,0.0,0.3,5,7,32.02,26.61,1.203,749.72,9.99,1.204
KP200+KQ150,0.2,0.5,0.0,0.3,7,10,28.67,21.91,1.308,597.0,6.64,1.159
KP200+KQ150,0.2,0.5,0.0,0.3,10,14,35.65,21.4,1.666,946.89,13.61,1.28
KP200+KQ150,0.2,0.5,0.1,0.2,3,4,31.71,37.07,0.855,734.32,9.68,1.056
KP200+KQ150,0.2,0.5,0.1,0.2,5,7,24.4,25.56,0.955,437.43,2.37,0.978
KP200+KQ150,0.2,0.5,0.1,0.2,7,10,35.8,23.1,1.55,956.25,13.77,1.109
KP200+KQ150,0.2,0.5,0.1,0.2,10,14,35.38,21.35,1.657,931.25,13.35,1.258
KP200+KQ150,0.2,0.5,0.2,0.1,3,4,28.05,37.89,0.74,571.49,6.02,0.943
KP200+KQ150,0.2,0.5,0.2,0.1,5,7,29.55,24.52,1.205,634.59,7.52,1.123
KP200+KQ150,0.2,0.5,0.2,0.1,7,10,34.89,24.65,1.416,902.79,12.86,1.084
KP200+KQ150,0.2,0.5,0.2,0.1,10,14,29.91,25.63,1.167,650.25,7.87,1.108
KP200+KQ150,0.2,0.5,0.3,0.0,3,4,33.73,36.82,0.916,838.25,11.88,1.079
KP200+KQ150,0.2,0.5,0.3,0.0,5,7,43.76,28.64,1.528,1537.28,21.72,1.075
KP200+KQ150,0.2,0.5,0.3,0.0,7,10,37.74,25.95,1.455,1078.16,15.71,1.087
KP200+KQ150,0.2,0.5,0.3,0.0,10,14,32.72,25.95,1.261,784.68,10.68,0.858
KP200+KQ150,0.3,0.0,0.0,0.7,3,4,19.37,34.38,0.563,291.03,-0.83,0.701
KP200+KQ150,0.3,0.0,0.0,0.7,5,7,17.4,29.0,0.6,243.93,-4.74,0.715
KP200+KQ150,0.3,0.0,0.0,0.7,7,10,24.93,27.57,0.904,455.44,2.9,0.915
KP200+KQ150,0.3,0.0,0.0,0.7,10,14,25.85,23.16,1.116,487.74,3.82,1.071
KP200+KQ150,0.3,0.0,0.1,0.6,3,4,27.03,28.8,0.938,531.31,4.73,0.884
KP200+KQ150,0.3,0.0,0.1,0.6,5,7,18.92,31.65,0.598,279.97,-3.06,0.748
KP200+KQ150,0.3,0.0,0.1,0.6,7,10,24.0,26.53,0.905,424.31,1.97,0.95
KP200+KQ150,0.3,0.0,0.1,0.6,10,14,28.31,25.49,1.111,582.32,6.28,1.132
KP200+KQ150,0.3,0.0,0.2,0.5,3,4,35.12,32.34,1.086,915.73,13.31,1.078
KP200+KQ150,0.3,0.0,0.2,0.5,5,7,27.58,32.16,0.858,552.74,5.55,1.0
KP200+KQ150,0.3,0.0,0.2,0.5,7,10,35.03,30.13,1.163,910.86,13.0,1.268
KP200+KQ150,0.3,0.0,0.2,0.5,10,14,32.47,28.55,1.137,772.0,10.43,1.264
KP200+KQ150,0.3,0.0,0.3,0.4,3,4,50.6,29.23,1.731,2242.42,28.53,1.38
KP200+KQ150,0.3,0.0,0.3,0.4,5,7,39.45,31.17,1.266,1195.58,17.42,1.331
KP200+KQ150,0.3,0.0,0.3,0.4,7,10,34.26,37.18,0.921,866.92,12.22,1.234
KP200+KQ150,0.3,0.0,0.3,0.4,10,14,35.19,31.43,1.12,919.81,13.15,1.345
KP200+KQ150,0.3,0.0,0.4,0.3,3,4,58.49,32.37,1.807,3371.3,36.37,1.526
KP200+KQ150,0.3,0.0,0.4,0.3,5,7,41.61,37.67,1.104,1358.02,19.58,1.347
KP200+KQ150,0.3,0.0,0.4,0.3,7,10,41.33,27.99,1.477,1336.08,19.3,1.437
KP200+KQ150,0.3,0.0,0.4,0.3,10,14,35.93,23.51,1.528,963.81,13.9,1.387
KP200+KQ150,0.3,0.0,0.5,0.2,3,4,63.47,33.08,1.919,4305.32,41.69,1.67
KP200+KQ150,0.3,0.0,0.5,0.2,5,7,39.95,33.83,1.181,1231.77,17.92,1.309
KP200+KQ150,0.3,0.0,0.5,0.2,7,10,37.8,26.57,1.423,1081.89,15.77,1.356
KP200+KQ150,0.3,0.0,0.5,0.2,10,14,35.19,25.8,1.364,919.97,13.16,1.372
