종목코드,기준일,당기순이익,세전계속사업이익,법인세비용,자산,총부채,유동부채,유동자산,비유동자산,현금,감가상각비,자본,매출액,매출총이익,영업현금흐름,영업이익,종목명,시가총액,PER,PBR,PCR,PSR,ROE,GPA,CFO,모멘텀,PER_z,PBR_z,PCR_z,PSR_z,ROE_z,GPA_z,CFO_z,모멘텀_z,밸류_점수,퀄리티_점수,모멘텀_점수,멀티팩터_점수,멀티팩터_순위
099190,2025-09-30,-1.0,34.0,36.0,5835.0,2381.0,1493.0,2540.0,3294.0,561.0,148.0,3453.0,3131.0,1191.0,90.0,19.0,아이센스,5024.642532,-5024.642532,1.4551527749782798,55.82936146666667,1.6048043858192271,-0.028960324355632783,20.411311053984576,1.5424164524421593,-4.332129963898912,10.087279672158424,0.33989250973792506,,,0.05771310330896317,0.2233567194569971,-0.15685373899175578,-0.6377722803698501,5.213586090948175,0.04140536125806816,-0.6377722803698501,1.9744421248085269,1.0
278470,2025-09-30,2342.0,2812.0,468.0,6171.0,2684.0,1766.0,3871.0,2301.0,624.0,280.0,3487.0,12238.0,9254.0,2164.0,2750.0,에이피알,98816.9292,42.19339419299744,28.338666246056782,45.664015341959335,8.074597908154928,67.163751075423,149.95948792740236,35.06725004051207,319.5736434108527,-0.1310949365120744,-1.362236729631192,,,1.9328492887497146,8.14768504471613,2.787635723958633,1.8060070516136943,-0.7466658330716331,4.289390019141493,1.8060070516136943,1.7782910847506828,2.0
043260,2025-09-30,-39.0,-19.0,20.0,4306.0,2681.0,2150.0,1872.0,2434.0,271.0,75.0,1626.0,1959.0,238.0,441.0,-116.0,성호전자,15567.5596485,-399.1681961153846,9.574144925276753,35.300588772108846,7.946686905819296,-2.3985239852398523,5.52717138875987,10.241523455643287,954.6218487394958,0.7590065258887854,-0.1741613526078051,,,-0.008413928502467746,-0.6870907479859418,0.60718969289328,6.597269840251447,0.29242258664049015,-0.02943832786504319,6.597269840251447,1.4246476715604683,3.0
314930,2025-09-30,-1.0,-3.0,-1.0,434.0,8.0,8.0,217.0,218.0,97.0,6.0,427.0,50.0,30.0,-11.0,-15.0,바이오다인,4405.087244,-4405.087244,10.316363569086652,-400.46247672727276,88.10174488000001,-0.234192037470726,6.912442396313365,-2.5345622119815667,-24.115942028985504,8.837811934148707,-0.2211549145539713,,,0.05198573491371525,-0.6023551496297995,-0.5149351799192106,-0.7870356619044813,4.308328509797368,-0.35510153154509827,-0.7870356619044813,1.4238836589200117,4.0
211270,2025-09-30,-1.0,6.0,7.0,1283.0,268.0,248.0,1051.0,232.0,299.0,8.0,1015.0,587.0,70.0,52.0,-34.0,AP위성,3182.366144,-3182.366144,3.135336102463054,61.199348923076926,5.4214074003407156,-0.09852216748768472,5.4559625876851126,4.053000779423227,14.98810467882632,6.371929394487849,0.233511728360929,,,0.05577185214547323,-0.6914465168819859,0.06365113174009446,-0.4920064620670735,3.302720561424389,-0.19067451099880608,-0.4920064620670735,1.1464171277568185,5.0
466100,2025-09-30,-16.0,-16.0,,736.0,145.0,131.0,700.0,36.0,23.0,10.0,590.0,401.0,106.0,-51.0,-31.0,클로봇,17744.41869,-1109.026168125,30.075285915254234,-347.92977823529407,44.250420673316704,-2.711864406779661,14.402173913043478,-6.929347826086957,775.0,2.1905892300864767,-1.472190777110311,,,-0.017158269228573487,-0.1442159998631242,-0.9009296367944334,5.242072750218748,0.3591992264880828,-0.35410130196204365,5.242072750218748,1.0504537198541652,6.0
084670,2025-09-30,-120.0,-54.0,64.0,1544.0,1019.0,776.0,138.0,1406.0,48.0,47.0,525.0,1220.0,123.0,100.0,26.0,동양고속,2024.002731,-16.866689425,3.855243297142857,20.240027310000002,1.659018631967213,-22.857142857142858,7.966321243523317,6.476683937823833,764.9006622516556,-0.011987456495143212,0.1879308154711404,,,-0.5793493134819279,-0.5378904678265398,0.27652346420651086,5.165876044618288,0.0879716794879986,-0.280238772367319,5.165876044618288,0.9562683717719295,7.0
124500,2025-09-30,1035.0,1401.0,368.0,12524.0,8506.0,7651.0,9224.0,3300.0,1990.0,95.0,4018.0,61370.0,3091.0,1956.0,1480.0,아이티센글로벌,11880.717824,11.47895441932367,2.956873525136884,6.073986617586912,0.19359162170441582,25.75908412145346,24.680613222612585,15.61801341424465,463.95348837209303,-0.0691526008859311,0.24481108368242896,,,0.7773759102521925,0.48450552849817696,1.0794073398257285,2.895312985852318,0.08782924139824894,0.7804295928586994,2.895312985852318,0.9263661308732429,8.0
096530,2025-09-30,-7.0,52.0,59.0,12179.0,2145.0,1596.0,7713.0,4466.0,2204.0,651.0,10034.0,4589.0,2752.0,1094.0,213.0,씨젠,14153.244374,-2021.8920534285714,1.4105286400239188,12.937152078610604,3.0841674382218347,-0.06976280645804266,22.59627227194351,8.982675096477543,0.6289308176100628,4.031581462593242,0.3427178861519524,,,0.05657443500622402,0.35700854294797996,0.4966249165080821,-0.6003424510826183,2.187149674372597,0.3034026314874287,-0.6003424510826183,0.8761524321274867,9.0
000660,2025-09-30,357084.0,423936.0,66852.0,1484350.0,484288.0,297694.0,571396.0,912955.0,108145.0,127432.0,1000063.0,840870.0,464801.0,435325.0,361196.0,SK하이닉스,6552021.285,18.34868346103438,6.551608533662379,15.050872991443175,7.791955100074922,35.70615051251771,31.313436857883918,29.327651834136155,295.6403269754768,-0.08300690085356521,0.017210492250152563,,,1.0549670915023597,0.8902285072228115,2.283526243568642,1.6254368090977491,-0.03289820430170633,1.4095739474312712,1.6254368090977491,0.8757576590713758,10.0
