종목코드,기준일,당기순이익,세전계속사업이익,법인세비용,자산,총부채,유동부채,유동자산,비유동자산,현금,감가상각비,자본,매출액,매출총이익,영업현금흐름,영업이익,시가총액,종목명,forward_per,PER_live,PBR_live,DIV_live,PER,PBR,PCR,PSR,ROE,GPA,CFO,매출성장률,모멘텀,K_ratio,섹터,PER_z,PBR_z,PCR_z,PSR_z,ROE_z,GPA_z,CFO_z,매출성장률_z,모멘텀_z,K_ratio_z,밸류_raw,퀄리티_raw,성장_raw,모멘텀_raw,밸류_점수,퀄리티_점수,성장_점수,모멘텀_점수,멀티팩터_점수,멀티팩터_순위,가중순위_점수,통합순위,통합순위_점수
000660,2025-09-30,382406.0000000001,454036.8000000001,71630.80000000002,1484350.0,484288.0,297694.0,571396.0,912955.0,108145.0,129784.40000000002,1000063.0,878147.2000000002,490544.0000000001,455412.40000000014,384544.40000000014,7219674.95745,SK하이닉스,5.5,35.26,9.44,0.22,35.26,9.44,15.85304870365848,8.221486053192447,38.23819099396739,33.04773133021188,30.68093104725975,102.01918469619145,3.7150190071443894,35.84216327235862,전기전자,-0.43568948258065304,-1.0230602329385248,-0.09912830668496247,-0.7959715613869898,2.2253576152431362,1.2916799863324813,2.279457266385202,1.7696437437283785,1.9035067042325258,2.2331314824062694,-0.5884623958977825,1.9321649559869398,1.7696437437283785,2.0683190933193973,-0.7901290728443042,2.3155590077208688,1.8086959718222346,2.324346040838886,1.4505312461896884,1.0,1.0,1,1.0
402340,2025-09-30,75818.80000000003,78680.80000000002,2862.8000000000006,272542.0,23882.0,12049.0,26117.0,246425.0,15574.0,864.4000000000002,248660.0,97640.80000000003,96946.80000000003,4588.400000000001,78967.60000000002,807052.27265,SK스퀘어,3.9,22.0,4.28,0.0,22.0,4.28,175.8896941526458,8.26552294378989,30.490951500040232,35.5713247866384,1.683557029742205,169.4096993636164,3.7971339646942175,43.150197628297605,금융,-0.045668746695903144,-0.4494047797996929,-1.7115298610929686,-0.8020629311368285,1.9317045358050955,1.3666216442770005,-0.2999656830245405,2.1179812772714577,2.1253544625549745,2.1253544625549745,-0.7521665796813483,0.9994534990191853,2.1179812772714577,2.1253544625549745,-1.0099492903144585,1.1977722426240187,2.164720569088842,2.3879437843417364,1.221035085740302,2.0,2.0,2,2.0
089970,2025-09-30,225.20000000000007,223.20000000000007,-1.9999999999999991,2127.0,514.0,485.0,1937.0,190.0,1254.0,16.000000000000004,1614.0,1329.6000000000004,496.8000000000001,338.0000000000001,206.00000000000006,11912.90716,브이엠,22.9,0.0,9.26,0.0,52.899232504440484,9.26,35.245287455621295,8.95976771961492,13.952912019826522,23.35684062059239,15.890926187118012,170.38461538461542,2.974590639686744,25.151671763610832,기계,-0.7569815780242449,-1.008709334367059,-0.6413687081487935,-0.8776522768256584,1.0230602329385248,0.83925807676023,1.4427830725313904,2.1619006846893765,2.0105917074857373,1.5289378033427012,-0.821177974341439,1.1017004607433816,2.1619006846893765,1.7697647554142193,-1.1026170488987856,1.3203077810618422,2.2096091838157954,1.9914406444464838,1.1405983994116013,3.0,3.5,3,3.5
037350,2025-09-30,415.60000000000014,547.6000000000001,133.20000000000005,6250.0,3011.0,2060.0,3172.0,3077.0,864.0,35.60000000000001,3239.0,7909.600000000002,846.0000000000002,162.0,536.0000000000001,1837.368,성도이엔지,,9.06,0.59,1.66,9.06,0.59,11.341777777777777,0.23229594416911087,12.831120716270458,13.536000000000003,2.5919999999999996,47.303271441202476,2.219298048502986,22.24296931485131,서비스,0.8806892149700998,1.2242821920302778,0.14899877963223582,1.3019426760189,0.933223028696269,0.0022133601070883605,-0.1765155461789366,1.2109332339497274,1.081436246427832,1.2008389888139317,0.8889782156628783,0.2529736142081403,1.2109332339497274,1.1411376176208818,1.1937622916053918,0.3031704561664365,1.2376559170531582,1.2904849391685451,1.0062684009983829,5.0,5.0,4,5.0
037460,2025-09-30,988.4000000000003,1246.8000000000002,258.4000000000001,13683.0,6874.0,6648.0,10873.0,2810.0,1083.0,52.80000000000001,6809.0,42001.60000000001,2154.4000000000005,-159.19999999999982,1452.4000000000005,3745.100799,삼지전자,,5.72,0.86,1.96,5.72,0.86,,0.08916566985543405,14.516081656630933,15.745085142147195,-1.1634875392823198,32.99422056844272,1.994476437963571,28.42806727271952,전기전자,1.3826848301374302,0.7933137549229219,0.0,2.0429276305408273,1.0904311177599149,0.19828050061819974,-0.6304401273505972,0.9205194458096881,1.0521497611561028,1.4925312875021433,1.0547315539002948,0.21942383034250582,0.9205194458096881,1.272340524329123,1.416334091639074,0.2629634831559585,0.9408333182606557,1.4367837870500142,1.0142286700264256,4.0,5.0,5,5.0
057050,2025-09-30,1006.0000000000002,1434.0000000000005,318.80000000000007,50636.0,13418.0,9504.0,23471.0,27164.0,1979.0,1049.6000000000004,37218.0,36784.40000000001,17193.600000000006,2086.4000000000005,1216.0000000000002,9960.0,현대홈쇼핑,6.8,6.03,0.43,3.37,6.03,0.43,4.773773006134968,0.270766955557247,2.702993175345264,33.95528872738764,4.120388656291967,86.65536449503513,1.1594788415240553,10.38508857950572,유통,1.3255934766051873,1.5765106822117612,0.8191370861898113,1.186765607480218,-0.3044488068065109,1.3335848344483214,0.04284314621343679,1.6369435996921653,0.5549229427026537,-0.22812524837367112,1.2270017131217443,0.3573263912850824,1.6369435996921653,0.16339884716449132,1.6476566088066453,0.4282296609680137,1.67306741966143,0.20024952262476442,0.9873008030152133,6.0,6.5,6,6.5
171090,2025-09-30,680.8000000000001,736.8000000000002,54.80000000000001,3618.0,2522.0,2281.0,2895.0,723.0,1047.0,51.600000000000016,1095.0,3989.6000000000013,1037.6000000000001,309.59999999999997,795.2000000000002,10418.23548,선익시스템,11.1,0.0,19.52,0.0,15.302931081081079,19.52,33.65063139534884,2.6113483757770193,62.173515981735164,28.678828081813162,8.557213930348258,80.92948717948718,2.1108100122008353,16.818086543151637,기계,0.35544820407759503,-1.5334696138779909,-0.5964202594333393,-0.0864284549036857,2.773060333072583,1.1516908742004188,0.5538714736838644,1.5724529643437375,1.1198008551122505,0.5781839527581197,-0.4652175310343552,1.492874226985622,1.5724529643437375,0.848992403935185,-0.6246371937108028,1.7891010562942082,1.6071536140377471,0.9647260878700289,0.9699991504280627,7.0,7.999999999999999,7,7.999999999999999
019180,2025-09-30,634.0000000000002,728.8000000000002,94.80000000000003,5752.0,3871.0,3285.0,3633.0,2120.0,719.0,178.40000000000003,1881.0,9530.000000000002,1345.6000000000004,669.6000000000001,634.0000000000002,1645.2,티에이치엔,,5.17,1.11,0.66,5.17,1.11,2.4569892473118276,0.1726337880377754,33.70547581073898,23.39360222531294,11.641168289290684,11.052362271874472,1.0188482853185414,16.86351535346517,전기전자,1.512779020143048,0.5840855576946223,1.3693747225028934,1.5599834302685398,2.022313686560118,0.8455703094895339,0.9600392625008071,0.3027308512391068,-0.03940710502026991,0.5368726282692524,1.256555682652276,1.2759744195168197,0.3027308512391068,0.24873276162449126,1.687341361261701,1.5291624307637788,0.30941145182921864,0.2954017847501405,0.9553292571512098,8.0,8.0,8,8.0
005930,2025-12-31,534798.4000000001,581653.6000000001,46854.000000000015,5669421.0,1306218.0,1064113.0,2476846.0,3192575.0,578564.0,440625.6000000001,4363203.0,3447231.200000001,1426418.0000000005,936893.6000000003,531322.4000000001,11868874.03361,삼성전자,8.2,40.51,3.46,0.72,40.51,3.46,12.668326513928578,3.4430165384932683,12.257013941363722,25.15985318430225,16.525384161804183,10.88008178923252,3.2909774950154502,41.17088294207824,전기전자,-0.5253829299105137,-0.2687465426608097,0.06809184362394981,-0.2895174470829532,0.8503504310310498,0.930955894147846,1.4930953980524673,0.28878299255901385,1.7038525135810443,2.5819921225130136,-0.2538887690075817,1.091467241077121,0.28878299255901385,2.142922318047029,-0.34086720474191146,1.308044012431336,0.29515579376445966,2.4075329617671346,0.9533796501105222,9.0,10.8,9,10.8
112610,2025-09-30,2197.2000000000007,2370.8000000000006,171.60000000000005,33851.0,20538.0,12442.0,16221.0,17631.0,4546.0,1496.8000000000004,13313.0,27257.200000000008,4200.4000000000015,7720.4000000000015,2904.800000000001,27369.240547,씨에스윈드,14.3,18.9,2.34,1.54,18.9,2.34,3.545054731231542,1.0041104936310403,16.504168857507704,12.408496056246495,22.807007178517622,102.11156426785948,0.8481124854702432,4.53888092926264,금속,0.07997771494691096,-0.012849366517594118,1.1040148986391287,0.43133450383621996,1.2426112931428595,-0.1131220739538617,1.8087960145289017,1.7913591128048987,0.4425107429264462,-0.25998960123107034,0.40061943772616637,0.9794284112392999,1.7913591128048987,0.09126057084768793,0.537999376520483,1.1737736330614983,1.8308905526109502,0.11981116208773754,0.9515319403754346,10.0,10.8,10,10.8
