종목코드,기준일,당기순이익,세전계속사업이익,법인세비용,자산,총부채,유동부채,유동자산,비유동자산,현금,감가상각비,자본,매출액,매출총이익,영업현금흐름,영업이익,시가총액,종목명,forward_per,매출성장률,PER_live,PBR_live,DIV_live,PER,PBR,PCR,PSR,배당수익률,ROE,GPA,CFO,EPS개선도,모멘텀,PER_z,PBR_z,ROE_z,GPA_z,CFO_z,EPS개선도_z,매출성장률_z,모멘텀_z,밸류_raw,퀄리티_raw,성장_raw,모멘텀_raw,밸류_점수,퀄리티_점수,성장_점수,모멘텀_점수,멀티팩터_점수,멀티팩터_순위,가중순위_점수,통합순위,통합순위_점수
000660,2025-09-30,382406.0000000001,454036.8000000001,71630.80000000002,1484350.0,484288.0,297694.0,571396.0,912955.0,108145.0,129784.40000000002,1000063.0,878147.2000000002,490544.0000000001,455412.40000000014,384544.40000000014,7162658.76825,SK하이닉스,4.7,102.01918469619145,34.98,9.37,0.22,34.98,9.37,15.727851872829984,8.15655822651373,0.22,38.23819099396739,33.04773133021188,30.68093104725975,86.56375071469411,4.334870788743567,0.30547596852741826,-0.39887576400425245,1.5172277852822447,1.180818215163559,2.0907243521459513,1.3147005040254478,2.65913075894181,3.0157389955986402,-0.046699897738417095,1.5962567841972515,1.986915631483629,3.0157389955986402,0.02149616152507222,1.9694476746485239,2.1554247642378397,3.0157389955986402,1.7475111874344789,1.0,1.0,1,1.0
402340,2025-09-30,75818.80000000003,78680.80000000002,2862.8000000000006,272542.0,23882.0,12049.0,26117.0,246425.0,15574.0,864.4000000000002,248660.0,97640.80000000003,96946.80000000003,4588.400000000001,78967.60000000002,814977.49955,SK스퀘어,8.3,169.4096993636164,22.22,4.32,0.0,22.22,4.32,177.61692519178794,8.346690108540688,0.0,30.490951500040232,35.5713247866384,1.683557029742205,62.646264626462646,4.6809145090406,0.3772394188166362,0.17671058295813435,1.5172277852822447,1.3631127539092047,-0.16374669870043768,0.7503492213271055,3.544014874045011,3.0157389955986402,0.27697500088738525,0.9055312801636705,2.147182047686058,3.0157389955986402,0.35065352868430805,1.1173539556085708,2.3277558484265395,3.0157389955986402,1.6684764247209096,2.0,2.0,2,2.0
170920,2025-09-30,177.20000000000005,202.40000000000006,24.000000000000007,3639.0,1535.0,1289.0,2200.0,1440.0,693.0,70.80000000000001,2105.0,2799.600000000001,714.8000000000002,127.20000000000005,308.4000000000001,2609.339122,엘티씨,,144.26807760141094,22.7,2.11,0.4,22.7,2.11,20.513672342767286,0.9320399778539789,0.4,8.418052256532068,19.642758999725203,3.4954657873042057,,1.48222332181066,0.37453985328851513,0.42860084568820866,0.4062438474497253,0.21249534934645595,0.017438569900714126,,3.544014874045011,0.48903038803948673,0.4015703494883619,0.2120592555656318,3.544014874045011,0.48903038803948673,0.47735929758978524,0.26187207020075964,3.8297406129249114,0.4890303880394867,1.431536103433007,4.0,3.5,3,3.5
089970,2025-09-30,225.20000000000007,223.20000000000007,-1.9999999999999991,2127.0,514.0,485.0,1937.0,190.0,1254.0,16.000000000000004,1614.0,1329.6000000000004,496.8000000000001,338.0000000000001,206.00000000000006,10094.2358825,브이엠,18.7,170.3846153846154,0.0,7.85,0.0,44.8234275421847,7.85,29.86460320266271,7.591934327993378,0.0,13.952912019826522,23.35684062059239,15.890926187118012,58.28074508045853,3.5511786413317012,0.2501155983785867,-0.22562997244329644,0.6874563910967378,0.48078610521899523,1.2569462507384201,0.6473414659826022,3.544014874045011,2.8065372662040864,0.012242812967645136,0.8083962490180511,2.0956781700138065,2.8065372662040864,0.08143725535597125,0.9975261087220766,2.272374819203483,2.8065372662040864,1.512760740021374,3.0,3.5,4,3.5
083500,2025-09-30,129.20000000000005,138.80000000000004,9.600000000000001,1191.0,327.0,245.0,423.0,768.0,274.0,34.000000000000014,864.0,888.4000000000003,199.20000000000005,84.00000000000001,134.40000000000003,1489.6029114,에프엔에스테크,,127.5064267352185,9.9,1.75,1.15,9.9,1.75,17.73336799285714,1.6767254743358841,1.15,14.953703703703708,16.725440806045345,7.0528967254408075,,0.4565041589780417,0.4465282673717431,0.46963274368948776,0.7383041428230372,0.00175967275130007,0.37317065484499257,,3.4305045420969256,-0.6599123621984082,0.4580805055306154,0.37107815680644335,3.4305045420969256,-0.6599123621984082,0.5348266336717528,0.4580411795859874,3.7076853562170733,-0.6599123621984083,1.2285400877398753,5.0,5.2,5,5.2
458870,2025-09-30,139.11111111111111,139.11111111111111,,407.0,103.0,69.0,282.0,125.0,95.0,5.333333333333334,304.0,385.7777777777778,273.33333333333337,-5.333333333333334,139.11111111111111,19087.48116,씨어스테크놀로지,47.1,326.3157894736842,0.0,88.39,0.0,137.21032782747602,88.39,-3578.9027174999997,49.47791775345621,0.0,45.760233918128655,67.15806715806717,-1.3104013104013106,65.67313791479161,4.087467382068314,-0.2694770917466827,-4.230542588281769,1.5172277852822447,3.2726369014329983,-0.4631332675746153,0.8217705996664589,3.544014874045011,3.0157389955986402,-2.2500098400142257,1.4422438063802092,2.182892736855735,3.0157389955986402,-2.2191338740888775,1.7794539792048398,2.366154796425495,3.0157389955986402,1.2030742643263672,6.0,5.8,6,5.8
005930,2025-12-31,534798.4000000001,581653.6000000001,46854.000000000015,5669421.0,1306218.0,1064113.0,2476846.0,3192575.0,578564.0,440625.6000000001,4363203.0,3447231.200000001,1426418.0000000005,936893.6000000003,531322.4000000001,11839275.844,삼성전자,7.6,16.195307325569495,40.4,3.45,0.72,40.4,3.45,12.63673467723549,3.434430462337425,0.72,12.257013941363722,25.15985318430225,16.525384161804183,81.18811881188118,4.038178092465011,0.2749933744390514,0.2758710031278921,0.6012920016078992,0.6110286935475895,1.3203900848056127,1.1878583790431174,0.0616630191586734,3.0157389955986402,0.27543218878347175,0.8442369266537005,0.6247606991008954,3.0157389955986402,0.34908458412820687,1.0417399333472461,0.6907284049331949,3.0157389955986402,1.1580724499685497,7.0,7.0,7,7.0
226590,2025-09-30,37.77777777777778,48.44444444444444,10.666666666666668,861.0,448.0,414.0,683.0,178.0,258.0,7.111111111111112,413.0,659.1111111111111,106.22222222222223,-28.444444444444446,83.11111111111111,2997.881088,엠디바이스,,387.8787878787879,73.63,9.94,0.0,73.63,9.94,-105.394257,4.548369823331086,0.0,9.14716168953457,12.337075751709898,-3.3036520841398893,,1.2479017564922323,0.08810470256517118,-0.463842935839611,0.4432880955463788,-0.31523868583549824,-0.6624521766101991,,3.544014874045011,0.22655887200236685,-0.18786911663721992,-0.17813425563310617,3.544014874045011,0.22655887200236685,-0.12206420912441622,-0.21947897035156078,3.8297406129249114,0.2265588720023668,1.1088481634089526,9.0,8.700000000000001,8,8.700000000000001
138360,2025-09-30,43.20000000000002,44.40000000000001,-0.40000000000000036,712.0,95.0,71.0,190.0,522.0,12.0,4.400000000000001,617.0,267.6000000000001,71.20000000000002,-2.799999999999999,23.60000000000001,1720.7649867,앤로보틱스,,108.7378640776699,19.96,2.07,0.0,19.96,2.07,-614.5589238214288,6.4303624316143475,0.0,7.001620745542953,10.000000000000002,-0.393258426966292,,1.5886833638660223,0.3899498731782062,0.43315994546612857,0.3342784634758514,-0.4840599137898886,-0.3714218174327212,,2.862472223834775,0.6082798843360574,0.4115549093221674,-0.1737344225822528,2.862472223834775,0.6082798843360574,0.48751297784454833,-0.21405124242554188,3.096892230745955,0.6082798843360573,1.1190890799457496,8.0,9.2,9,9.2
451760,2025-09-30,-237.60000000000008,-248.40000000000006,-9.200000000000003,2619.0,911.0,797.0,1421.0,1198.0,492.0,37.60000000000001,1709.0,865.2000000000003,80.40000000000002,-94.00000000000003,-204.80000000000007,2751.4156317,컨텍,,336.7088607594937,0.0,2.86,0.0,,2.86,-29.27037906063829,3.18009203848821,0.0,-13.902867173785843,3.0698739977090503,-3.589156166475755,,1.2308891297662647,,0.34311772485221065,-0.7278268965222198,-0.9846651597813484,-0.6910017013193532,,3.544014874045011,0.20750245300623113,0.34311772485221065,-0.8011645858743072,3.544014874045011,0.20750245300623113,0.41791659100219175,-0.9880624786624185,3.8297406129249114,0.20750245300623107,1.047886202563663,11.0,9.799999999999999,10,9.799999999999999
