,total_return,cagr,annual_volatility,mdd,sharpe,sortino,win_rate,trading_days,calmar,var_95,var_99,cvar_95,cvar_99,information_ratio,tracking_error
코스피200,147.55096204910183,8.831757926747263,18.127030833275498,-41.185845409202216,0.32171611448037035,0.43672127347515854,53.316042978881065,2699.0,0.2144367279340579,-1.7597041284744617,-2.9863661511221826,-2.629627079444701,-4.2863232336692025,0.0,0.0
코스닥150,68.91586520092127,5.016397056218347,27.07366889967431,-59.08138777569813,0.0744781604477184,0.10792941912273378,52.01926639496109,2699.0,0.0849065542478969,-2.690003897706256,-4.408055883374254,-3.831221140913325,-5.68304344458976,0.0,0.0
전략 A (마법공식),-100.0,-99.9964428004233,136.251880555954,-100.33329059320282,-0.7559267613787259,-0.5548772362125185,49.93045897079277,1438.0,0.9966427115986333,-3.3264882679037724,-7.025156077855304,-18.02644124672266,-69.89387105414238,-1.2784981460322649,135.16468210763603
전략 B (멀티팩터),-99.99999998547639,-99.99999999999349,231.96042693384115,-100.30419118927949,-0.44404125894013274,-0.3025230264796315,55.85106382978723,188.0,0.9969673132729622,-2.0503663536755066,-100.30855943422242,-42.026693907173275,-100.34699218120448,-2.4186745194614927,230.24948787891412
