date,ticker,foreign,inst,fwd20
20260202,089970,27.56115275,-41.8638435,0.5985267034990791
20260202,000660,-14550.152255,-4614.646985,0.11325301204819271
20260202,006910,27.19464315,-0.09554155,0.31664411366711764
20260202,037460,-10.25654575,11.562978,-0.020979020979020935
20260202,095610,-18.330173,-24.5098235,0.14561664190193158
20260202,264660,-3.26845415,-0.0063936,0.06431054461181929
20260202,217820,2.69524695,0.05343966,-0.15393939393939393
20260202,161390,41.0853235,-43.6027925,-0.04508856682769724
20260202,170920,19.3538175,-0.5395735,-0.11287128712871286
20260202,031330,9.31504032,-7.39770142,0.0668127053669223
20260206,089970,16.59676675,-27.22971825,0.45137614678899074
20260206,000660,-9624.6065,3458.650945,0.10846245530393328
20260206,006910,1.4908835,0.0001526,0.5052493438320209
20260206,037460,5.75902575,16.161033,0.08235294117647052
20260206,095610,17.005123,28.801992,-0.041543026706231445
20260206,217820,0.37545996,0.55720725,-0.18902439024390238
20260206,023590,-10.323388,3.69418575,0.06543075245365326
20260206,264660,21.3284845,-0.2843889,-0.048224695283518804
20260206,161390,-57.9368405,90.831763,-0.1428571428571429
20260206,031330,3.0419113,-0.0356064,0.09409190371991238
20260212,089970,-7.2885745,57.19314925,0.3189655172413792
20260212,000660,5809.407295,3086.97726,0.18918918918918926
20260212,006910,148.82926625,-0.92727175,0.35744680851063837
20260212,037460,-7.4774025,10.80816375,0.04484304932735417
20260212,217820,1.98516424,-0.0445469,-0.23488372093023258
20260212,023590,-0.9518885,-0.590473,-0.04347826086956519
20260212,095610,7.9375965,2.5019805,0.031722054380664666
20260212,264660,-2.8830797,0.18590595,-0.014642082429501047
20260212,161390,-34.2715445,46.1608885,-0.21224489795918366
20260212,309960,1.91095805,,-0.12288786482334868
20260223,089970,5.36113975,12.324021,0.35497835497835495
20260223,187870,3.90192965,-3.49090755,0.08649789029535859
20260223,000660,331.312265,-2510.323345,0.03680336487907465
20260223,006910,-298.65756375,-0.0692964,-0.09253246753246758
20260223,037460,1.0261945,-0.1740985,-0.012820512820512775
20260223,217820,1.42652565,-0.0468108,-0.2490842490842491
20260223,161390,47.553567,-79.932738,-0.2401628222523745
20260223,023590,-6.044526,26.1734945,-0.22520325203252034
20260223,095610,-40.266094,-132.5797375,-0.09352517985611508
20260223,015760,-165.767344,-80.8994715,-0.2543859649122807
20260227,089970,31.167776,-28.17936625,-0.006009615384615419
20260227,000660,-25241.81881,1008.895315,-0.17719132893496703
20260227,187870,-1.60270315,-0.1146302,0.13119834710743805
20260227,006910,-28.5250714,-2.16796595,-0.134871339840284
20260227,037460,-10.53563825,0.04725675,0.029787234042553123
20260227,161390,11.827,-10.9035975,-0.24554183813443076
20260227,015760,-1708.312079,-2051.456979,-0.27863247863247864
20260227,095610,-72.357855,-6.620343,-0.2309782608695652
20260227,023590,2.577828,7.1864945,-0.17403314917127077
20260227,031330,-25.2766896,1.2499004,-0.041825095057034245
20260306,089970,-22.817236,66.7854155,-0.04493087557603692
20260306,000660,-4998.074965,-1847.68982,-0.051948051948051965
20260306,187870,-0.1111288,1.1420608,0.12886048988285403
20260306,006910,-92.0357227,-0.0005926,-0.0010277492291880241
