BPS,PER,PBR,EPS,DIV,DPS,종목코드,PER_z,PBR_z,밸류_점수,퀄리티_점수,모멘텀_점수,멀티팩터_점수,멀티팩터_순위
373938.0,0.0,0.3499999940395355,0.0,3.799999952316284,5000.0,034730,0.8442185666276916,0.5818888738573336,0.7130537202425126,0,0,0.23768457341417085,1.0
104769.0,5.92,0.44999998807907104,8048.0,4.409999847412109,2100.0,055550,0.5485972538135466,0.5133910709396949,0.5309941623766208,0,0,0.17699805412554026,2.0
351861.0,4.64,0.6000000238418579,45703.0,5.380000114440918,11400.0,005380,0.6125153755030914,0.41064433594233096,0.5115798557227111,0,0,0.17052661857423704,3.0
448144.0,6.28,0.5299999713897705,37639.0,1.899999976158142,4500.0,012330,0.5306202820883621,0.45859283677115886,0.4946065594297605,0,0,0.1648688531432535,4.0
150344.0,7.16,0.550000011920929,11580.0,3.690000057220459,3060.0,105560,0.48667657342680004,0.44489324760811894,0.4657849105174595,0,0,0.15526163683915317,5.0
167498.0,8.96,0.4300000071525574,8032.0,4.309999942779541,3100.0,003550,0.39679171480087755,0.5270906192748603,0.4619411670378689,0,0,0.15398038901262298,6.0
209233.0,8.47,0.550000011920929,13556.0,2.2200000286102295,2550.0,028260,0.42126037076015643,0.44489324760811894,0.4330768091841377,0,0,0.14435893639471256,7.0
714069.0,11.33,0.36000001430511475,22382.0,3.940000057220459,10000.0,005490,0.2784433176100797,0.5750390792758137,0.42674119844294667,0,0,0.1422470661476489,8.0
117495.0,4.54,0.8600000143051147,22168.0,5.559999942779541,5600.0,000270,0.6175089787600871,0.23255004427368295,0.42502951151688506,0,0,0.1416765038389617,9.0
276815.0,8.24,0.8899999856948853,30044.0,0.4000000059604645,1000.0,006400,0.43274565825124656,0.2120007217709349,0.3223731900110907,0,0,0.1074577300036969,10.0
