test,count,d5,d20,d20_wr,d20_med
1.자기주식취득,64,1.333159644564315,1.7249630678471306,51.5625,0.7326511871966424
2.자기주식처분,156,0.08962203754333167,1.1132619150036087,46.794871794871796,-1.3464837049742717
3.유상증자,1066,0.17953306535015218,3.89659306968413,32.08255159474672,-0.9687784349408535
4.전환사채(CB),794,0.8565234554981127,4.1721252082001845,35.51637279596977,-2.7265069494338876
5.무상증자,45,-3.1979149108794602,-22.56949841211735,22.22222222222222,-16.972477064220183
6.합병결정,288,0.9878021318119387,4.409051179248225,39.58333333333333,0.0
7.영업양수도,53,0.034466936869263005,-0.0677953379563194,43.39622641509434,-1.0014306151645225
8.타법인주식취득,596,1.693196161227197,2.4335389053184224,42.4496644295302,-1.1494252873563204
9.주식교환,16,0.04854353661040678,5.63130725341535,43.75,-0.9872114784778507
10.신주인수권부사채,75,3.384245610663798,-0.2695072597873255,48.0,0.0
11.교환사채,22,-3.7712025847164186,2.6586684270739314,40.909090909090914,-1.851851851851849
12.감자결정,69,6.168894640182358,48.48594323474582,40.57971014492754,0.0
