ma_w,cd,V_b,Q_b,G_b,M_b,V_d,Q_d,G_d,M_d,gs1_b,gs2_b,gs1_d,gs2_d,g_rev_b,g_rev_d,mom_b,mom_d,eb,xb,sb,ed,xd,sd,sl,ts,ts_cd,cal_78,cagr_78,mdd_78,wf_min,wf_mean,wf_cv,wf_2018,wf_2020,wf_2022,wf_2024,score,V,Q,G,M
250,8,0.1,0.0,0.6,0.3,0.35,0.2,0.2,0.25,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,2.138,82.38,38.53,0.054,0.457,0.6511510737466178,0.769,0.054,0.715,0.29,0.054,35,20,20,25
250,8,0.1,0.0,0.6,0.3,0.15,0.2,0.15,0.5,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.651,71.76,43.47,0.053,0.21800000000000003,0.5789728649240163,0.053,0.212,0.408,0.199,0.053,15,20,15,50
250,8,0.1,0.0,0.6,0.3,0.4,0.15,0.1,0.35,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.635,67.2,41.09,0.041,0.1955,0.5527433513124492,0.151,0.041,0.318,0.272,0.041,40,15,10,35
250,8,0.1,0.0,0.6,0.3,0.4,0.2,0.15,0.25,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.754,68.43,39.0,0.036,0.40875,0.5592967021335793,0.635,0.036,0.546,0.418,0.036,40,20,15,25
250,8,0.1,0.0,0.6,0.3,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.811,75.38,41.62,0.032,0.1725,0.8145030686850053,0.032,0.032,0.314,0.312,0.032,30,15,15,40
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.1,0.5,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.725,76.43,44.32,0.031,0.1985,0.49831419579680525,0.23,0.031,0.246,0.287,0.031,30,10,10,50
250,8,0.1,0.0,0.6,0.3,0.4,0.15,0.2,0.25,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.707,65.9,38.61,0.028,0.24825,0.7810153003178367,0.474,0.028,0.405,0.086,0.028,40,15,20,25
250,8,0.1,0.0,0.6,0.3,0.25,0.1,0.1,0.55,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.734,81.77,47.15,0.023,0.26025,0.5581849795400325,0.417,0.023,0.288,0.313,0.023,25,10,10,55
250,8,0.1,0.0,0.6,0.3,0.15,0.05,0.25,0.55,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.654,83.6,50.55,0.007,0.1785,0.6976702065407989,0.007,0.203,0.355,0.149,0.007,15,5,25,55
250,8,0.1,0.0,0.6,0.3,0.35,0.05,0.25,0.35,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.323,69.79,52.76,-0.0,0.1905,1.0238407465409483,-0.0,0.119,0.517,0.126,-0.0,35,5,25,35
250,8,0.1,0.0,0.6,0.3,0.4,0.15,0.15,0.3,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.842,69.43,37.69,-0.001,0.19175,0.6029208167051673,0.205,-0.001,0.285,0.278,-0.001,40,15,15,30
250,8,0.1,0.0,0.6,0.3,0.2,0.15,0.1,0.55,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.599,75.54,47.24,-0.008,0.23275,0.6475356650142604,0.246,-0.008,0.288,0.405,-0.008,20,15,10,55
