ma_w,cd,V_b,Q_b,G_b,M_b,V_d,Q_d,G_d,M_d,gs1_b,gs2_b,gs1_d,gs2_d,g_rev_b,g_rev_d,mom_b,mom_d,eb,xb,sb,ed,xd,sd,sl,ts,ts_cd,cal_78,cagr_78,mdd_78,wf_min,wf_mean,wf_cv,wf_2018,wf_2020,wf_2022,wf_2024,score
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.2,-0.2,5,1.123,61.36,54.63,0.679,1.333,0.2978693317110765,0.679,1.751,1.464,1.438,0.679
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.1,-0.15,5,1.387,62.04,44.73,0.658,1.6567500000000002,0.35573541410048803,0.658,2.176,1.957,1.836,0.658
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.15,-0.15,5,1.336,59.78,44.73,0.654,1.40575,0.31661069547983217,0.654,1.546,1.61,1.813,0.654
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.15,-0.15,0,1.308,63.79,48.78,0.649,1.51075,0.34392081730428226,0.649,1.906,1.554,1.934,0.649
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.15,-0.2,0,1.35,67.96,50.35,0.649,1.30325,0.30629293013080544,0.649,1.732,1.422,1.41,0.649
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.15,-0.2,1,1.296,67.24,51.9,0.649,1.203,0.28285710138805686,0.649,1.577,1.302,1.284,0.649
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.15,-0.2,2,1.32,66.48,50.35,0.649,1.30325,0.30629293013080544,0.649,1.732,1.422,1.41,0.649
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.15,-0.2,3,1.346,67.66,50.25,0.649,1.31,0.30767857152218003,0.649,1.742,1.43,1.419,0.649
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.15,-0.2,5,1.274,64.01,50.25,0.649,1.31575,0.308922566031066,0.649,1.751,1.437,1.426,0.649
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.15,-0.25,0,1.358,66.36,48.86,0.649,1.4809999999999999,0.33625758943518824,0.649,1.896,1.547,1.832,0.649
