E,X,S,cal,cagr,mdd,turn
2,4,2,3.302270715199034,108.22781503938418,32.77375611310568,296
2,4,3,3.1392382345794734,78.65485855924071,25.055396463013956,365
2,4,4,2.539697040376221,55.16936779717325,21.722814540509397,384
2,4,5,2.4294787416336527,42.848721487754624,17.63700202576866,384
2,5,2,3.9822621809487706,116.90653039084667,29.356814061648194,246
2,5,3,2.8576390587299794,76.8748600455436,26.90152901245306,320
2,5,4,2.144246277071665,53.97378359638139,25.171447969163236,350
2,5,5,2.1355411090399916,43.76592809141062,20.494069585523032,350
2,6,2,3.703848309275604,109.42284566140734,29.543014865748695,202
2,6,3,2.800308467722324,75.33257948825003,26.90152901245305,283
2,6,4,1.989329195115001,51.505055521789636,25.890664877520276,322
2,6,5,2.069724374984134,42.175440120506,20.377322038751807,327
2,8,2,2.8033139047418594,90.80793185649301,32.39306582929926,170
2,8,3,2.3781959786360023,68.52395250462354,28.81341702710513,241
2,8,4,1.9691520118348143,50.98265483131015,25.890664877520344,294
2,8,5,1.8036682464276266,41.78958840666183,23.169221107834513,300
2,10,2,2.932323948341198,101.95999274965276,34.77105345312582,118
2,10,3,2.430762848779041,78.62737116295887,32.34678825310045,185
2,10,4,1.6657220102448622,48.80032146732558,29.29679812548788,242
2,10,5,1.5368254323684083,40.51680147516785,26.36395821009237,259
3,4,3,3.838552470837376,104.01623738772172,27.097776617087817,667
3,4,4,3.3035435639692183,75.14098337129944,22.745570602077155,716
3,4,5,3.1438986175239276,58.06001746459162,18.467522184388546,716
3,5,3,4.015496705393901,109.36178076263259,27.234932260243188,479
3,5,4,2.9826616245015063,76.43692591250499,25.627085984076363,574
3,5,5,2.774151671922453,65.26920326090335,23.527626092510147,585
3,6,3,4.427443135263342,114.74930737172309,25.9177371376669,385
3,6,4,2.942833921411335,74.01361033085017,25.150454394434345,491
3,6,5,2.7757911408454343,65.30777607271357,23.527626092510154,524
3,8,3,4.057781051394006,109.30370900556201,26.93681783742667,307
3,8,4,2.649326849293991,68.94846395437332,26.024899107011706,399
3,8,5,2.6505656153490835,64.29344450600571,24.25649987070332,446
3,10,3,2.8843678494880103,89.9446153613787,31.18347591391449,213
3,10,4,2.548811048085892,72.59991961825595,28.483837463266294,297
3,10,5,2.1335091192030506,58.27014372537403,27.311879382610847,351
4,4,4,3.693312360262471,93.446790401921,25.30162122417397,1824
4,4,5,3.457147541210003,71.27338517192881,20.616240505310657,1826
4,5,4,3.088983351102309,88.22939293868386,28.5625990529211,942
4,5,5,2.969133318454949,75.27592274088133,25.35282679056417,992
4,6,4,2.903291181354509,84.46299868034703,29.092155558761917,682
4,6,5,2.9904823101309,75.77768563807803,25.339620094512803,788
4,8,4,2.8636954466783564,87.87473524444249,30.685782367803714,484
4,8,5,2.9986115088400416,75.46860793694769,25.167851091901316,590
4,10,4,2.351580237104144,70.83245745730804,30.121216507812953,360
4,10,5,2.609855307774116,71.75000222857007,27.491946398271384,452
5,5,5,3.1713715943909704,78.0887536577277,24.623022352801215,2175
5,6,5,2.988023983382552,76.32827973585343,25.544734634106597,1207
5,8,5,3.1132783912416833,78.35452695840479,25.167851091901323,723
5,10,5,2.9253017026681687,77.0657330182416,26.344541811858218,531
