V,Q,G,M,mom,gs,E,X,S,cal_78,cagr_78,mdd_78,cal_525,cagr_525,mdd_525,score
40,5,10,45,6m-1m,2f_rev_accel_opm_0.5,3,6,7,1.354,73.19,54.06,2.678,104.77,39.13,2.016
25,15,0,60,6m-1m,2f_rev_accel_opm_0.5,5,8,5,1.44,68.65,47.66,2.588,103.42,39.96,2.0140000000000002
25,15,0,60,6m-1m,2f_rev_oca_0.7,5,8,5,1.44,68.65,47.66,2.588,103.42,39.96,2.0140000000000002
35,5,30,30,6m,2f_rev_oca_0.7,5,8,5,2.085,90.7,43.5,1.941,84.43,43.5,2.013
20,10,15,55,6m,2f_rev_accel_opm_0.5,3,4,5,1.065,71.71,67.34,2.96,123.68,41.79,2.0125
40,0,5,55,6m-1m,2f_rev_oca_0.7,3,4,5,1.226,72.74,59.32,2.799,115.33,41.21,2.0125
30,0,15,55,6m-1m,2f_rev_accel_opm_0.5,3,6,7,1.203,67.83,56.4,2.818,102.23,36.28,2.0105
35,5,10,50,6m,2f_rev_oca_0.7,3,6,7,1.407,71.15,50.58,2.613,102.88,39.38,2.01
40,15,10,35,6m-1m,2f_rev_accel_opm_0.5,3,6,7,2.21,105.43,47.71,1.808,86.27,47.71,2.009
40,5,15,40,6m,2f_rev_accel_opm_0.5,5,8,5,2.079,85.19,40.97,1.937,79.37,40.97,2.008
30,15,15,40,6m,2f_rev_accel_opm_0.5,3,4,5,1.678,72.2,43.03,2.337,86.94,37.19,2.0075000000000003
30,0,15,55,6m-1m,2f_rev_oca_0.7,3,4,5,1.084,72.96,67.33,2.931,120.84,41.22,2.0075000000000003
40,10,20,30,6m-1m,2f_rev_oca_0.7,3,4,5,2.166,107.84,49.78,1.849,92.05,49.78,2.0075
40,5,25,30,6m-1m,2f_rev_accel_opm_0.5,5,8,5,2.037,87.5,42.96,1.978,84.99,42.96,2.0075
35,15,20,30,6m-1m,2f_rev_oca_0.7,3,6,7,2.258,103.98,46.05,1.756,80.88,46.05,2.007
40,15,10,35,6m-1m,2f_rev_oca_0.7,3,6,7,2.127,105.73,49.71,1.885,93.73,49.71,2.006
25,5,30,40,6m,2f_rev_oca_0.7,5,8,5,2.075,91.62,44.16,1.936,85.5,44.16,2.0055
40,0,5,55,6m-1m,2f_rev_oca_0.7,3,6,7,1.244,74.11,59.58,2.767,114.55,41.39,2.0055
35,0,30,35,6m,2f_rev_oca_0.7,3,6,7,2.0,103.18,51.6,2.009,87.76,43.69,2.0045
25,5,20,50,6m-1m,2f_rev_oca_0.7,3,4,5,1.406,76.07,54.1,2.603,113.72,43.69,2.0045
30,5,15,50,6m-1m,2f_rev_accel_opm_0.5,3,6,7,1.066,65.54,61.48,2.941,108.28,36.81,2.0035
35,0,20,45,6m,2f_rev_accel_opm_0.5,3,6,7,1.069,67.68,63.29,2.936,107.24,36.53,2.0025
35,5,10,50,6m-1m,2f_rev_oca_0.7,3,4,5,2.152,109.4,50.84,1.852,94.18,50.84,2.0020000000000002
20,10,30,40,6m,2f_rev_oca_0.7,5,8,5,2.036,88.32,43.38,1.968,85.37,43.38,2.002
30,0,30,40,6m-1m,2f_rev_oca_0.7,3,4,5,1.961,92.68,47.26,2.033,89.35,43.96,1.9969999999999999
30,5,20,45,6m,2f_rev_accel_opm_0.5,3,6,7,1.375,73.37,53.36,2.618,98.19,37.5,1.9965
40,5,5,50,6m-1m,2f_rev_accel_opm_0.5,3,6,7,1.365,75.19,55.06,2.626,113.13,43.07,1.9954999999999998
40,0,30,30,6m,2f_rev_oca_0.7,5,8,5,2.096,95.98,45.8,1.893,86.68,45.8,1.9945
30,10,5,55,6m-1m,2f_rev_oca_0.7,3,4,5,1.594,77.52,48.63,2.394,110.02,45.96,1.9940000000000002
25,10,5,60,6m,2f_rev_accel_opm_0.5,5,8,5,1.406,68.2,48.5,2.581,100.22,38.83,1.9935
35,10,0,55,6m-1m,2f_rev_accel_opm_0.5,3,4,5,1.524,75.35,49.45,2.462,108.15,43.92,1.993
35,10,0,55,6m-1m,2f_rev_oca_0.7,3,4,5,1.524,75.35,49.45,2.462,108.15,43.92,1.993
30,10,0,60,6m,2f_rev_oca_0.7,3,4,5,1.259,67.69,53.79,2.725,105.45,38.7,1.992
30,10,0,60,6m,2f_rev_accel_opm_0.5,3,4,5,1.259,67.69,53.79,2.725,105.45,38.7,1.992
30,10,25,35,6m,2f_rev_oca_0.7,5,8,5,2.168,93.14,42.95,1.813,77.89,42.95,1.9905
20,10,15,55,6m-1m,2f_rev_oca_0.7,3,6,7,1.032,70.34,68.13,2.947,125.64,42.64,1.9895
40,0,15,45,6m-1m,2f_rev_accel_opm_0.5,3,4,5,1.14,69.27,60.75,2.833,111.04,39.2,1.9865
35,5,15,45,6m-1m,2f_rev_accel_opm_0.5,3,4,5,1.403,77.15,54.99,2.568,111.25,43.32,1.9855
25,10,10,55,6m-1m,2f_rev_accel_opm_0.5,3,4,5,1.092,68.97,63.15,2.879,108.99,37.85,1.9855
25,5,30,40,6m-1m,2f_rev_oca_0.7,5,8,5,2.057,89.97,43.73,1.91,83.54,43.73,1.9834999999999998
30,0,20,50,6m-1m,2f_rev_oca_0.7,3,4,5,1.318,76.03,57.7,2.648,118.09,44.6,1.983
25,15,20,40,6m-1m,2f_rev_oca_0.7,3,6,7,2.005,99.94,49.84,1.957,88.43,45.18,1.9809999999999999
25,5,20,50,6m-1m,2f_rev_accel_opm_0.5,3,4,5,0.971,64.02,65.95,2.989,104.21,34.86,1.98
35,5,0,60,6m-1m,2f_rev_oca_0.7,5,8,5,1.26,65.19,51.75,2.697,99.91,37.05,1.9785
35,5,0,60,6m-1m,2f_rev_accel_opm_0.5,5,8,5,1.26,65.19,51.75,2.697,99.91,37.05,1.9785
20,5,30,45,6m-1m,2f_rev_accel_opm_0.5,5,8,5,1.436,67.75,47.19,2.518,95.58,37.95,1.9769999999999999
20,15,20,45,6m,2f_rev_accel_opm_0.5,3,4,5,1.147,67.41,58.78,2.806,97.71,34.82,1.9765000000000001
25,5,10,60,6m-1m,2f_rev_oca_0.7,3,4,5,1.234,73.18,59.28,2.715,114.13,42.04,1.9745
25,0,15,60,6m,2f_rev_oca_0.7,3,6,7,0.89,63.47,71.32,3.056,113.12,37.01,1.973
40,15,5,40,6m,2f_rev_accel_opm_0.5,3,6,7,2.181,102.65,47.08,1.765,83.08,47.08,1.9729999999999999
30,10,15,45,6m,2f_rev_oca_0.7,5,8,5,1.992,88.62,44.49,1.95,86.76,44.49,1.971
30,15,25,30,6m-1m,2f_rev_accel_opm_0.5,5,8,5,2.039,83.04,40.73,1.9,74.57,39.25,1.9695
25,5,20,50,6m,2f_rev_oca_0.7,5,8,5,1.534,67.48,43.98,2.398,94.35,39.34,1.9660000000000002
30,5,10,55,6m,2f_rev_oca_0.7,3,4,5,0.975,64.61,66.25,2.953,107.01,36.24,1.964
25,15,15,45,6m-1m,2f_rev_accel_opm_0.5,3,4,5,0.974,62.87,64.56,2.952,97.71,33.1,1.963
35,0,30,35,6m,2f_rev_oca_0.7,3,4,5,2.002,103.3,51.6,1.924,84.57,43.96,1.9629999999999999
40,5,0,55,6m-1m,2f_rev_oca_0.7,3,6,7,1.141,68.78,60.3,2.784,107.75,38.7,1.9625
40,5,0,55,6m-1m,2f_rev_accel_opm_0.5,3,6,7,1.141,68.78,60.3,2.784,107.75,38.7,1.9625
40,5,20,35,6m,2f_rev_oca_0.7,5,8,5,1.988,84.25,42.39,1.936,82.06,42.39,1.962
25,0,15,60,6m,2f_rev_accel_opm_0.5,3,4,5,0.917,65.14,71.02,3.003,124.75,41.53,1.96
30,10,20,40,6m,2f_rev_accel_opm_0.5,3,6,7,1.255,72.11,57.45,2.663,94.79,35.6,1.9589999999999999
35,5,15,45,6m-1m,2f_rev_accel_opm_0.5,3,6,7,1.279,72.63,56.8,2.637,112.24,42.56,1.958
25,5,10,60,6m-1m,2f_rev_accel_opm_0.5,5,8,5,1.223,66.94,54.73,2.691,106.09,39.43,1.9569999999999999
30,0,15,55,6m,2f_rev_oca_0.7,3,6,7,1.002,64.08,63.98,2.911,107.0,36.75,1.9565000000000001
25,10,20,45,6m,2f_rev_accel_opm_0.5,5,8,5,1.09,63.32,58.07,2.822,96.51,34.2,1.956
35,0,5,60,6m-1m,2f_rev_accel_opm_0.5,5,8,5,1.259,66.67,52.94,2.652,98.68,37.21,1.9555
20,10,25,45,6m,2f_rev_accel_opm_0.5,5,8,5,1.175,62.99,53.63,2.734,90.65,33.16,1.9545
35,15,15,35,6m-1m,2f_rev_accel_opm_0.5,5,8,5,2.084,96.43,46.27,1.824,84.41,46.27,1.9540000000000002
25,10,30,35,6m,2f_rev_accel_opm_0.5,5,8,5,1.343,64.34,47.92,2.563,88.66,34.59,1.953
35,10,20,35,6m,2f_rev_oca_0.7,5,8,5,2.016,92.58,45.92,1.89,86.81,45.92,1.9529999999999998
20,15,5,60,6m,2f_rev_accel_opm_0.5,3,6,7,1.09,63.6,58.35,2.814,102.43,36.39,1.952
30,10,5,55,6m,2f_rev_accel_opm_0.5,5,8,5,1.139,61.19,53.71,2.765,92.0,33.27,1.952
35,15,10,40,6m,2f_rev_accel_opm_0.5,3,6,7,2.188,105.5,48.22,1.713,82.59,48.22,1.9505000000000001
20,5,15,60,6m-1m,2f_rev_oca_0.7,3,4,5,0.986,69.53,70.53,2.915,121.39,41.65,1.9505
30,15,5,50,6m-1m,2f_rev_accel_opm_0.5,3,6,7,1.231,70.48,57.28,2.668,107.92,40.46,1.9495
25,15,30,30,6m,2f_rev_accel_opm_0.5,5,8,5,1.224,61.12,49.95,2.674,85.5,31.98,1.9489999999999998
30,5,10,55,6m-1m,2f_rev_oca_0.7,3,4,5,1.58,80.16,50.74,2.315,108.92,47.04,1.9475
25,15,10,50,6m,2f_rev_accel_opm_0.5,5,8,5,1.25,61.67,49.32,2.644,89.03,33.68,1.947
35,0,10,55,6m-1m,2f_rev_oca_0.7,3,4,5,1.174,68.0,57.91,2.719,109.54,40.28,1.9465
40,15,15,30,6m,2f_rev_oca_0.7,3,6,7,2.131,102.72,48.2,1.756,84.61,48.2,1.9434999999999998
25,10,15,50,6m,2f_rev_accel_opm_0.5,3,6,7,1.153,72.17,62.59,2.727,116.3,42.64,1.94
40,5,25,30,6m-1m,2f_rev_oca_0.7,5,8,5,1.97,89.57,45.47,1.907,86.71,45.47,1.9385
30,0,20,50,6m,2f_rev_oca_0.7,3,6,7,1.203,70.02,58.21,2.666,109.99,41.25,1.9344999999999999
35,5,30,30,6m,2f_rev_oca_0.7,3,6,7,1.877,94.55,50.37,1.986,80.19,40.38,1.9315
35,10,10,45,6m,2f_rev_oca_0.7,5,8,5,1.941,83.98,43.26,1.919,81.72,42.58,1.9300000000000002
30,10,5,55,6m-1m,2f_rev_accel_opm_0.5,5,8,5,1.152,65.35,56.72,2.707,97.79,36.13,1.9295
30,0,10,60,6m,2f_rev_oca_0.7,3,6,7,0.932,62.88,67.45,2.926,107.68,36.8,1.929
20,15,25,40,6m-1m,2f_rev_accel_opm_0.5,3,4,5,1.678,68.87,41.05,2.179,89.46,41.05,1.9284999999999999
30,10,20,40,6m,2f_rev_oca_0.7,3,4,5,1.816,100.57,55.38,2.039,88.79,43.55,1.9275000000000002
25,5,15,55,6m-1m,2f_rev_oca_0.7,3,4,5,0.984,68.91,70.0,2.871,113.1,39.39,1.9275
30,5,15,50,6m-1m,2f_rev_accel_opm_0.5,3,4,5,1.149,67.38,58.62,2.704,104.22,38.54,1.9265
20,0,25,55,6m-1m,2f_rev_oca_0.7,3,6,7,1.128,70.97,62.92,2.725,114.52,42.03,1.9264999999999999
35,15,5,45,6m,2f_rev_oca_0.7,3,4,5,2.068,101.8,49.23,1.782,87.75,49.23,1.925
30,0,15,55,6m-1m,2f_rev_accel_opm_0.5,3,4,5,1.359,72.74,53.52,2.489,109.52,44.01,1.924
35,15,10,40,6m,2f_rev_oca_0.7,3,4,5,2.24,106.51,47.55,1.601,76.12,47.55,1.9205
20,0,20,60,6m-1m,2f_rev_oca_0.7,3,4,5,1.156,72.27,62.54,2.681,115.43,43.05,1.9184999999999999
25,0,25,50,6m,2f_rev_oca_0.7,3,6,7,1.067,71.62,67.12,2.769,116.59,42.11,1.9180000000000001
30,5,15,50,6m,2f_rev_oca_0.7,3,4,5,1.242,69.66,56.11,2.592,101.29,39.08,1.917
40,10,20,30,6m-1m,2f_rev_oca_0.7,3,6,7,2.085,102.73,49.27,1.748,86.12,49.27,1.9165
40,5,20,35,6m-1m,2f_rev_accel_opm_0.5,5,8,5,1.887,86.45,45.82,1.945,86.0,44.22,1.916
35,0,30,35,6m,2f_rev_accel_opm_0.5,5,8,5,0.919,57.5,62.59,2.904,88.64,30.52,1.9115
25,15,10,50,6m-1m,2f_rev_accel_opm_0.5,5,8,5,1.103,62.72,56.84,2.718,96.69,35.57,1.9104999999999999
30,5,15,50,6m-1m,2f_rev_oca_0.7,3,4,5,1.168,71.91,61.59,2.652,110.38,41.62,1.9100000000000001
20,15,10,55,6m,2f_rev_oca_0.7,3,6,7,1.092,66.69,61.07,2.726,102.11,37.46,1.909
20,10,10,60,6m,2f_rev_accel_opm_0.5,5,8,5,1.139,61.69,54.14,2.679,96.07,35.86,1.9089999999999998
25,10,15,50,6m,2f_rev_oca_0.7,5,8,5,1.313,66.33,50.54,2.505,95.55,38.14,1.9089999999999998
40,0,25,35,6m,2f_rev_accel_opm_0.5,3,4,5,1.463,72.49,49.56,2.352,104.77,44.55,1.9075
20,5,15,60,6m-1m,2f_rev_oca_0.7,5,8,5,1.326,67.09,50.6,2.486,101.78,40.94,1.9060000000000001
25,10,15,50,6m-1m,2f_rev_accel_opm_0.5,3,6,7,0.992,65.69,66.21,2.82,111.26,39.45,1.906
30,0,30,40,6m-1m,2f_rev_oca_0.7,3,6,7,1.788,86.39,48.32,2.021,87.27,43.18,1.9045
25,0,25,50,6m,2f_rev_oca_0.7,5,8,5,1.566,67.28,42.96,2.242,92.78,41.39,1.904
40,15,10,35,6m,2f_rev_oca_0.7,3,6,7,2.097,100.68,48.02,1.709,82.07,48.02,1.903
40,15,10,35,6m,2f_rev_oca_0.7,5,8,5,1.934,91.65,47.39,1.87,88.61,47.39,1.9020000000000001
25,10,15,50,6m-1m,2f_rev_accel_opm_0.5,3,4,5,1.056,68.55,64.93,2.742,108.62,39.62,1.899
30,5,5,60,6m-1m,2f_rev_accel_opm_0.5,3,6,7,1.12,67.39,60.19,2.677,110.07,41.12,1.8985
30,0,20,50,6m,2f_rev_accel_opm_0.5,3,4,5,1.066,67.9,63.7,2.729,106.58,39.06,1.8975
