ma_w,cd,V_b,Q_b,G_b,M_b,V_d,Q_d,G_d,M_d,gs1_b,gs2_b,gs1_d,gs2_d,g_rev_b,g_rev_d,mom_b,mom_d,eb,xb,sb,ed,xd,sd,sl,ts,ts_cd,cal_78,cagr_78,mdd_78,wf_min,wf_mean,wf_cv,wf_2018,wf_2020,wf_2022,wf_2024,score,g_rev,gs1,gs2,mom
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.8,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.293,64.44,49.84,0.388,0.966,0.5162264427492008,0.388,1.553,1.359,0.564,0.388,0.8,oca_z,gp_growth_z,12m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_z,gp_growth_z,rev_z,oca_z,0.5,0.7,6m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.214,60.89,50.15,0.387,0.68175,0.3175411643006883,0.387,0.618,0.988,0.734,0.387,0.5,rev_z,gp_growth_z,6m-1m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_z,rev_accel_z,rev_z,oca_z,0.8,0.7,12m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.844,44.72,53.0,0.385,0.5645,0.34296884706087555,0.414,0.587,0.872,0.385,0.385,0.8,rev_z,rev_accel_z,12m-1m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.6,0.7,6m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.026,52.48,51.13,0.382,0.6912499999999999,0.3202868071076756,0.382,0.581,0.913,0.889,0.382,0.6,oca_z,gp_growth_z,6m-1m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_z,oca_z,rev_z,oca_z,0.8,0.7,6m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.834,40.39,48.42,0.375,1.00475,0.3645003634328451,0.375,1.164,1.196,1.284,0.375,0.8,rev_z,oca_z,6m-1m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_z,oca_z,rev_z,oca_z,0.7,0.7,12m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.251,62.89,50.25,0.368,0.7097499999999999,0.32218916207969733,0.368,0.785,1.003,0.683,0.368,0.7,rev_z,oca_z,12m-1m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_z,gp_growth_z,rev_z,oca_z,0.8,0.7,6m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.896,45.31,50.56,0.365,0.69325,0.36363882713154677,0.365,0.532,0.956,0.92,0.365,0.8,rev_z,gp_growth_z,6m-1m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_z,gp_growth_z,rev_z,oca_z,0.5,0.7,12m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.372,60.12,43.81,0.359,0.9584999999999999,0.470130256517587,0.359,0.776,1.588,1.111,0.359,0.5,rev_z,gp_growth_z,12m-1m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_z,gp_growth_z,rev_z,oca_z,0.6,0.7,12m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.443,64.01,44.35,0.359,0.98175,0.4693532702568087,0.359,0.758,1.568,1.242,0.359,0.6,rev_z,gp_growth_z,12m-1m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,gp_growth_z,op_margin_z,rev_z,oca_z,0.8,0.7,12m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.84,44.55,53.05,0.347,0.7097500000000001,0.46653521947612275,0.347,1.247,0.662,0.583,0.347,0.8,gp_growth_z,op_margin_z,12m-1m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.8,0.7,6m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.111,56.2,50.56,0.346,0.7835,0.3574465458915051,0.346,0.861,1.124,0.803,0.346,0.8,oca_z,gp_growth_z,6m-1m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_z,rev_accel_z,rev_z,oca_z,0.7,0.7,6m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.271,65.34,51.4,0.34,0.70675,0.5029677889925559,0.51,0.34,0.694,1.283,0.34,0.7,rev_z,rev_accel_z,6m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_z,rev_accel_z,rev_z,oca_z,0.7,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.177,62.22,52.85,0.327,0.58525,0.4041944977298454,0.418,0.327,0.659,0.937,0.327,0.7,rev_z,rev_accel_z,12m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,gp_growth_z,op_margin_z,rev_z,oca_z,0.7,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.866,45.81,52.88,0.306,0.6307499999999999,0.3134139204065922,0.306,0.648,0.744,0.825,0.306,0.7,gp_growth_z,op_margin_z,12m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.5,0.7,12m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.28,64.19,50.14,0.298,0.81075,0.5419158406635362,0.298,1.454,0.954,0.537,0.298,0.5,oca_z,gp_growth_z,12m-1m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.5,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.125,59.8,53.14,0.296,0.5305,0.5238923655570596,0.296,0.991,0.508,0.327,0.296,0.5,oca_z,gp_growth_z,12m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.567,76.77,49.01,0.295,0.4325,0.33058126393857495,0.487,0.295,0.642,0.306,0.295,0.6,rev_z,oca_z,12m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,gp_growth_z,op_margin_z,rev_z,oca_z,0.6,0.7,12m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.131,58.23,51.47,0.281,1.29575,0.4984828820909245,0.281,2.071,1.484,1.347,0.281,0.6,gp_growth_z,op_margin_z,12m-1m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_z,oca_z,rev_z,oca_z,0.5,0.7,12m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.667,82.18,49.3,0.275,0.36350000000000005,0.2794058300396331,0.313,0.275,0.536,0.33,0.275,0.5,rev_z,oca_z,12m-1m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_accel_z,oca_z,rev_z,oca_z,0.6,0.7,6m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.703,34.96,49.71,0.266,0.44499999999999995,0.3264426866591954,0.523,0.639,0.352,0.266,0.266,0.6,rev_accel_z,oca_z,6m-1m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,gp_growth_z,op_margin_z,rev_z,oca_z,0.8,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.798,43.24,54.16,0.264,0.53925,0.3196383558512737,0.264,0.74,0.576,0.577,0.264,0.8,gp_growth_z,op_margin_z,12m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.8,0.7,6m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.978,51.18,52.32,0.259,0.67625,0.3744015306619337,0.259,0.713,0.801,0.932,0.259,0.8,oca_z,gp_growth_z,6m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_z,rev_accel_z,rev_z,oca_z,0.8,0.7,6m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.723,43.34,59.95,0.252,0.364,0.29166846366057314,0.265,0.252,0.454,0.485,0.252,0.8,rev_z,rev_accel_z,6m-1m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.345,65.51,48.7,0.249,0.50525,0.3812587074623922,0.424,0.576,0.772,0.249,0.249,0.6,rev_z,oca_z,12m-1m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_z,gp_growth_z,rev_z,oca_z,0.5,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.363,60.83,44.62,0.248,0.76875,0.7191986639470903,0.369,0.248,1.658,0.8,0.248,0.5,rev_z,gp_growth_z,12m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_accel_z,oca_z,rev_z,oca_z,0.5,0.7,6m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.709,36.8,51.92,0.243,0.34425000000000006,0.2712853315093457,0.455,0.418,0.243,0.261,0.243,0.5,rev_accel_z,oca_z,6m-1m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.6,0.7,12m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.117,62.73,56.17,0.239,0.5345,0.5046917899061371,0.348,0.938,0.613,0.239,0.239,0.6,oca_z,gp_growth_z,12m-1m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_z,gp_growth_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.819,81.55,44.82,0.237,0.8122500000000001,0.6519863966063789,0.36,0.237,1.497,1.155,0.237,0.6,rev_z,gp_growth_z,12m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.5,0.7,6m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.931,50.03,53.76,0.234,0.502,0.44209645846000584,0.234,0.34,0.774,0.66,0.234,0.5,oca_z,gp_growth_z,6m-1m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_z,oca_z,rev_z,oca_z,0.5,0.7,6m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.035,52.92,51.13,0.225,0.7234999999999999,0.6215467301172445,0.225,0.876,1.385,0.408,0.225,0.5,rev_z,oca_z,6m-1m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_z,gp_growth_z,rev_z,oca_z,0.8,0.7,6m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.933,49.27,52.81,0.212,0.6045,0.624840086583299,0.247,0.212,0.918,1.041,0.212,0.8,rev_z,gp_growth_z,6m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_z,rev_accel_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.073,55.61,51.82,0.202,0.53225,0.442213613151715,0.418,0.202,0.773,0.736,0.202,0.6,rev_z,rev_accel_z,12m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_z,oca_z,rev_z,oca_z,0.5,0.7,6m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.025,53.59,52.26,0.2,0.5642499999999999,0.7061247794562594,0.2,0.202,1.159,0.696,0.2,0.5,rev_z,oca_z,6m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_accel_z,oca_z,rev_z,oca_z,0.7,0.7,6m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.834,41.89,50.23,0.198,0.4594999999999999,0.43385383598939203,0.57,0.718,0.352,0.198,0.198,0.7,rev_accel_z,oca_z,6m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_z,rev_accel_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.985,55.04,55.9,0.191,0.29675,0.3325007161350401,0.248,0.191,0.292,0.456,0.191,0.7,rev_z,rev_accel_z,6m-1m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_accel_z,oca_z,rev_z,oca_z,0.8,0.7,6m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.739,39.37,53.25,0.186,0.3305,0.28005882106298313,0.443,0.357,0.336,0.186,0.186,0.8,rev_accel_z,oca_z,6m-1m
