ma_w,cd,V_b,Q_b,G_b,M_b,V_d,Q_d,G_d,M_d,gs1_b,gs2_b,gs1_d,gs2_d,g_rev_b,g_rev_d,mom_b,mom_d,eb,xb,sb,ed,xd,sd,sl,ts,ts_cd,cal_78,cagr_78,mdd_78,wf_min,wf_mean,wf_cv,wf_2018,wf_2020,wf_2022,wf_2024,score,g_rev,gs1,gs2,mom
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_z,rev_accel_z,rev_z,oca_z,0.5,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.947,49.41,52.2,0.017,0.33525,0.5584159306747646,0.466,0.017,0.475,0.383,0.017,0.5,rev_z,rev_accel_z,12m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_accel_z,oca_z,rev_z,oca_z,0.8,0.7,6m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.046,51.14,48.91,0.015,0.26299999999999996,0.9493718680591579,0.642,0.064,0.331,0.015,0.015,0.8,rev_accel_z,oca_z,6m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_accel_z,oca_z,rev_z,oca_z,0.6,0.7,6m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.842,41.96,49.85,0.011,0.26699999999999996,0.7042343918310566,0.541,0.276,0.24,0.011,0.011,0.6,rev_accel_z,oca_z,6m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,gp_growth_z,op_margin_z,rev_z,oca_z,0.7,0.7,6m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.527,30.71,58.28,0.01,0.2675,0.7023586779302798,0.01,0.389,0.495,0.176,0.01,0.7,gp_growth_z,op_margin_z,6m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,gp_growth_z,op_margin_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.871,49.86,57.22,0.0,0.56525,0.5920192679251175,0.0,0.635,0.833,0.793,0.0,0.6,gp_growth_z,op_margin_z,12m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_accel_z,oca_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.688,35.68,51.85,-0.001,0.30000000000000004,0.6573642656684174,0.422,0.52,0.259,-0.001,-0.001,0.7,rev_accel_z,oca_z,6m-1m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_accel_z,oca_z,rev_z,oca_z,0.6,0.7,12m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.889,45.82,51.56,-0.005,0.24300000000000002,0.6455332974821204,0.407,0.228,0.342,-0.005,-0.005,0.6,rev_accel_z,oca_z,12m-1m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_z,gp_growth_z,rev_z,oca_z,0.6,0.7,6m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.9,47.53,52.81,-0.013,0.42825,0.7578516681636408,0.247,-0.013,0.743,0.736,-0.013,0.6,rev_z,gp_growth_z,6m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_accel_z,oca_z,rev_z,oca_z,0.7,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.042,53.36,51.23,-0.05,0.286,0.7565588477036224,0.487,0.465,0.242,-0.05,-0.05,0.7,rev_accel_z,oca_z,12m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_z,oca_z,rev_z,oca_z,0.7,0.7,6m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.013,53.42,52.72,-0.07,0.47475,0.8865865866336765,0.222,-0.07,0.996,0.751,-0.07,0.7,rev_z,oca_z,6m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_accel_z,oca_z,rev_z,oca_z,0.7,0.7,12m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.912,46.51,51.02,-0.079,0.22199999999999998,0.8260455618118823,0.411,0.247,0.309,-0.079,-0.079,0.7,rev_accel_z,oca_z,12m-1m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,gp_growth_z,op_margin_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.546,34.22,62.71,-0.081,0.301,0.896086641811374,-0.081,0.525,0.583,0.177,-0.081,0.7,gp_growth_z,op_margin_z,6m-1m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_z,oca_z,rev_z,oca_z,0.8,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.405,69.32,49.34,-0.092,0.50975,0.7350847882106347,0.484,-0.092,0.792,0.855,-0.092,0.8,rev_z,oca_z,12m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_accel_z,oca_z,rev_z,oca_z,0.5,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.882,42.56,48.25,-0.118,0.21674999999999997,1.130830458709,0.487,0.086,0.412,-0.118,-0.118,0.5,rev_accel_z,oca_z,12m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_accel_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.078,53.82,49.93,-0.123,0.1725,1.3047052650339983,0.487,0.073,0.253,-0.123,-0.123,0.6,rev_accel_z,oca_z,12m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_z,gp_growth_z,rev_z,oca_z,0.5,0.7,6m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.988,50.8,51.44,-0.203,0.40325,0.9711053876506733,0.319,-0.203,0.735,0.762,-0.203,0.5,rev_z,gp_growth_z,6m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.911,48.11,52.81,-0.204,0.5695,1.0045206573788927,0.247,-0.204,1.062,1.173,-0.204,0.7,rev_z,gp_growth_z,6m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_z,oca_z,rev_z,oca_z,0.5,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.46,73.2,50.13,-0.205,0.06975,3.133877275544788,0.305,-0.083,0.262,-0.205,-0.205,0.5,rev_z,oca_z,12m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_z,gp_growth_z,rev_z,oca_z,0.7,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.979,84.58,42.75,-0.276,0.6597500000000001,0.980498999484973,0.418,-0.276,1.401,1.096,-0.276,0.7,rev_z,gp_growth_z,12m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,gp_growth_z,op_margin_z,rev_z,oca_z,0.5,0.7,6m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.499,31.42,62.94,-0.297,0.16725,1.6517744446180453,-0.297,0.383,0.37,0.213,-0.297,0.5,gp_growth_z,op_margin_z,6m-1m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,gp_growth_z,op_margin_z,rev_z,oca_z,0.5,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.731,46.16,63.13,-0.3,0.843,0.7886174170059681,-0.3,1.354,1.142,1.176,-0.3,0.5,gp_growth_z,op_margin_z,12m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,gp_growth_z,op_margin_z,rev_z,oca_z,0.6,0.7,6m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.435,29.15,67.09,-0.397,0.23099999999999998,1.6128664098069347,-0.397,0.477,0.539,0.305,-0.397,0.6,gp_growth_z,op_margin_z,6m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,gp_growth_z,op_margin_z,rev_z,oca_z,0.5,0.7,6m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.392,26.14,66.7,-0.423,0.21875,1.7195086151430066,-0.423,0.365,0.537,0.396,-0.423,0.5,gp_growth_z,op_margin_z,6m
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,gp_growth_z,op_margin_z,rev_z,oca_z,0.5,0.7,12m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.61,43.02,70.52,-0.479,1.0965,0.857531541229493,-0.479,1.977,1.581,1.307,-0.479,0.5,gp_growth_z,op_margin_z,12m-1m
