eb,xb,sb,ed,xd,sd,cagr,sharpe,sortino,calmar,mdd,total,b_cagr,alpha,avg_holdings
2,6,2,3,5,3,90.11,1.529,2.524,2.037,44.25,13569.41,0.0,90.11,2.2
2,6,5,5,5,3,81.53,1.521,2.386,2.037,40.02,9497.54,0.0,81.53,2.6
3,6,3,5,5,5,84.88,1.659,2.629,2.037,41.67,10942.07,0.0,84.88,3.3
3,6,5,5,6,3,81.47,1.627,2.575,2.036,40.01,9474.12,0.0,81.47,3.1
3,6,5,5,6,5,80.47,1.637,2.564,2.034,39.57,9079.26,0.0,80.47,3.6
2,5,5,5,8,7,80.41,1.524,2.38,2.032,39.58,9052.81,0.0,80.41,3.4
2,5,3,5,8,5,80.37,1.521,2.382,2.031,39.58,9039.29,0.0,80.37,3.2
5,5,3,3,8,7,81.27,1.599,2.512,2.029,40.06,9392.57,0.0,81.27,3.1
5,5,5,3,8,7,76.55,1.615,2.465,2.028,37.75,7658.94,0.0,76.55,3.8
5,6,3,5,6,3,86.2,1.666,2.655,2.028,42.51,11556.25,0.0,86.2,2.9
3,6,2,2,8,3,98.73,1.606,2.63,2.027,48.7,19094.91,0.0,98.73,2.0
2,6,5,5,6,7,80.14,1.518,2.379,2.025,39.58,8950.82,0.0,80.14,3.2
5,6,3,5,6,5,85.17,1.676,2.643,2.024,42.09,11075.51,0.0,85.17,3.4
2,5,3,5,5,5,80.05,1.513,2.39,2.023,39.58,8913.42,0.0,80.05,3.0
3,6,3,5,5,7,84.59,1.655,2.623,2.023,41.8,10806.32,0.0,84.59,3.3
3,6,2,2,8,5,98.09,1.603,2.616,2.019,48.59,18621.4,0.0,98.09,2.1
3,6,2,2,8,7,98.09,1.603,2.616,2.019,48.59,18621.4,0.0,98.09,2.1
3,6,5,5,8,5,79.87,1.639,2.538,2.019,39.57,8845.52,0.0,79.87,3.7
3,5,3,5,8,7,81.89,1.631,2.595,2.018,40.57,9645.9,0.0,81.89,3.6
2,5,3,5,5,7,79.75,1.51,2.384,2.015,39.58,8802.61,0.0,79.75,3.0
2,5,5,5,6,3,80.63,1.502,2.393,2.015,40.02,9140.74,0.0,80.63,2.6
2,5,5,5,6,5,79.64,1.506,2.373,2.012,39.58,8759.62,0.0,79.64,3.1
5,5,3,3,8,5,80.64,1.591,2.5,2.012,40.08,9142.41,0.0,80.64,3.1
5,5,5,3,8,5,75.94,1.607,2.452,2.012,37.75,7454.47,0.0,75.94,3.7
3,6,2,2,5,5,97.82,1.597,2.593,2.011,48.65,18430.73,0.0,97.82,2.0
3,6,2,2,5,7,97.82,1.597,2.593,2.011,48.65,18430.73,0.0,97.82,2.0
5,8,3,3,6,3,75.08,1.504,2.353,2.01,37.36,7176.07,0.0,75.08,2.8
5,6,3,5,8,5,84.55,1.678,2.617,2.009,42.09,10790.94,0.0,84.55,3.6
2,5,5,3,5,3,78.61,1.46,2.317,2.008,39.15,8375.95,0.0,78.61,2.4
5,5,2,3,5,3,85.48,1.513,2.516,2.005,42.63,11215.22,0.0,85.48,2.2
3,5,3,5,6,3,82.12,1.602,2.599,2.003,41.01,9739.52,0.0,82.12,2.8
5,6,3,5,5,5,84.22,1.667,2.625,2.001,42.09,10640.95,0.0,84.22,3.4
5,8,2,5,6,5,85.78,1.552,2.529,2.0,42.88,11360.15,0.0,85.78,2.9
3,5,3,5,6,5,81.12,1.611,2.586,1.999,40.57,9333.71,0.0,81.12,3.4
5,5,2,5,8,3,80.86,1.487,2.454,1.998,40.47,9231.53,0.0,80.86,2.4
2,5,5,5,8,5,79.04,1.506,2.35,1.997,39.58,8534.02,0.0,79.04,3.2
3,5,5,3,5,5,80.97,1.594,2.539,1.995,40.58,9274.88,0.0,80.97,2.9
3,5,5,3,5,7,80.97,1.594,2.539,1.995,40.58,9274.88,0.0,80.97,2.9
5,6,3,5,5,7,83.92,1.664,2.619,1.994,42.09,10508.9,0.0,83.92,3.4
2,6,5,5,8,7,78.86,1.511,2.348,1.993,39.58,8469.02,0.0,78.86,3.4
3,6,2,3,8,3,93.73,1.599,2.628,1.99,47.1,15694.58,0.0,93.73,2.3
2,5,5,5,5,5,78.71,1.498,2.357,1.989,39.58,8415.11,0.0,78.71,3.0
3,8,2,5,6,3,80.49,1.466,2.428,1.989,40.47,9083.45,0.0,80.49,2.4
3,6,2,2,6,5,99.07,1.609,2.625,1.988,49.83,19344.56,0.0,99.07,2.0
3,6,2,2,6,7,99.07,1.609,2.625,1.988,49.83,19344.56,0.0,99.07,2.0
3,5,5,3,6,3,76.87,1.536,2.452,1.985,38.72,7766.25,0.0,76.87,2.9
3,5,3,5,8,5,80.51,1.612,2.56,1.984,40.57,9093.49,0.0,80.51,3.5
5,6,3,3,5,5,88.89,1.676,2.664,1.983,44.83,12908.46,0.0,88.89,2.8
5,6,3,3,5,7,88.89,1.676,2.664,1.983,44.83,12908.46,0.0,88.89,2.8
2,5,5,5,5,7,78.42,1.495,2.352,1.982,39.58,8310.43,0.0,78.42,3.0
2,8,5,3,6,3,74.17,1.424,2.264,1.981,37.45,6891.79,0.0,74.17,2.5
5,8,3,5,5,3,79.0,1.584,2.448,1.978,39.93,8519.95,0.0,79.0,2.9
3,6,5,5,5,5,79.54,1.629,2.545,1.977,40.23,8722.32,0.0,79.54,3.5
2,6,5,5,6,3,79.08,1.489,2.361,1.976,40.02,8551.34,0.0,79.08,2.6
3,5,3,5,5,5,80.18,1.602,2.568,1.976,40.57,8966.88,0.0,80.18,3.3
2,6,5,5,6,5,78.1,1.493,2.342,1.973,39.58,8194.53,0.0,78.1,3.1
2,8,3,3,6,3,73.89,1.418,2.251,1.973,37.45,6805.34,0.0,73.89,2.4
2,6,5,3,5,3,77.07,1.447,2.285,1.969,39.15,7835.33,0.0,77.07,2.4
3,5,3,5,5,7,79.89,1.599,2.562,1.969,40.57,8855.41,0.0,79.89,3.3
5,8,3,5,6,7,77.63,1.584,2.451,1.966,39.49,8028.92,0.0,77.63,3.5
5,6,2,2,8,3,90.16,1.527,2.486,1.964,45.91,13597.6,0.0,90.16,2.0
3,6,5,5,5,7,79.25,1.625,2.539,1.963,40.37,8613.86,0.0,79.25,3.5
3,5,2,5,8,3,83.8,1.515,2.495,1.962,42.7,10454.49,0.0,83.8,2.4
3,5,5,5,5,3,80.83,1.618,2.552,1.96,41.24,9219.13,0.0,80.83,3.0
2,5,2,5,8,3,81.49,1.474,2.379,1.958,41.63,9482.92,0.0,81.49,2.3
2,6,5,5,8,5,77.5,1.493,2.318,1.958,39.58,7983.32,0.0,77.5,3.3
3,5,2,3,5,3,88.48,1.541,2.557,1.955,45.27,12698.16,0.0,88.48,2.2
5,6,2,2,8,5,89.54,1.523,2.472,1.955,45.8,13259.71,0.0,89.54,2.1
5,6,2,2,8,7,89.54,1.523,2.472,1.955,45.8,13259.71,0.0,89.54,2.1
2,8,5,5,5,3,78.07,1.494,2.349,1.951,40.02,8183.16,0.0,78.07,2.7
