ma_w,cd,V_b,Q_b,G_b,M_b,V_d,Q_d,G_d,M_d,gs1_b,gs2_b,gs1_d,gs2_d,g_rev_b,g_rev_d,mom_b,mom_d,eb,xb,sb,ed,xd,sd,sl,ts,ts_cd,cal_78,cagr_78,mdd_78,wf_min,wf_mean,wf_cv,wf_2018,wf_2020,wf_2022,wf_2024,score,V,Q,G,M
250,8,0.25,0.0,0.5,0.25,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.709,67.37,39.41,-0.105,0.05600000000000001,3.113550453834244,-0.105,-0.073,0.065,0.337,-0.105,25,0,50,25
250,8,0.2,0.1,0.5,0.2,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.218,51.39,42.2,-0.106,0.10175000000000001,1.9953688934152147,-0.106,-0.043,0.139,0.417,-0.106,20,10,50,20
250,8,0.25,0.05,0.4,0.3,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.46,59.55,40.79,-0.111,0.11925,1.9299456053245252,-0.013,-0.111,0.106,0.495,-0.111,25,5,40,30
250,8,0.2,0.05,0.4,0.35,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.296,59.51,45.92,-0.12,-0.0029999999999999957,99.0,-0.12,-0.12,0.008,0.22,-0.12,20,5,40,35
250,8,0.0,0.0,0.7,0.3,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.702,73.72,43.32,-0.133,0.30874999999999997,1.317727877696458,-0.133,-0.058,0.766,0.66,-0.133,0,0,70,30
250,8,0.05,0.1,0.7,0.15,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.403,61.86,44.09,-0.139,0.174,1.5253559998066426,-0.139,0.024,0.241,0.57,-0.139,5,10,70,15
250,8,0.2,0.0,0.7,0.1,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.383,60.26,43.56,-0.142,0.2475,1.4734946941237541,-0.142,-0.026,0.372,0.786,-0.142,20,0,70,10
250,8,0.0,0.05,0.7,0.25,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.496,66.29,44.3,-0.145,0.13225,2.208479198355059,-0.145,-0.131,0.246,0.559,-0.145,0,5,70,25
250,8,0.0,0.1,0.7,0.2,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.366,59.87,43.82,-0.145,0.08400000000000002,2.081580895603942,-0.145,-0.024,0.279,0.226,-0.145,0,10,70,20
250,8,0.05,0.05,0.7,0.2,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.572,68.89,43.82,-0.145,0.24175000000000002,1.4647647863982924,-0.145,0.028,0.291,0.793,-0.145,5,5,70,20
250,8,0.1,0.1,0.7,0.1,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.284,57.62,44.86,-0.145,0.392,0.9856236358156953,-0.145,0.271,0.524,0.918,-0.145,10,10,70,10
250,8,0.25,0.0,0.6,0.15,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.842,42.65,50.67,-0.152,0.095,2.5934821349852277,-0.091,-0.152,0.148,0.475,-0.152,25,0,60,15
250,8,0.2,0.1,0.6,0.1,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.244,54.54,43.85,-0.154,0.35675,1.1653941403454608,-0.154,0.159,0.446,0.976,-0.154,20,10,60,10
250,8,0.25,0.05,0.55,0.15,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.968,50.42,52.09,-0.155,0.24075000000000002,1.4467158388362702,-0.155,0.056,0.28,0.782,-0.155,25,5,55,15
250,8,0.2,0.05,0.55,0.2,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.396,57.09,40.89,-0.165,0.0975,2.292101178100759,0.042,-0.165,0.06,0.453,-0.165,20,5,55,20
