name,mom,vol,cal,cagr,mdd,wf_2019,wf_2021,wf_2022,wf_2023,wf_2426,wf_min,wf_mean
baseline,0.05,0.06,3.1067848889518723,90.03605418715475,28.980459673064125,9.584080305842571,2.7836512363943657,1.3627487635456899,1.132022635072288,9.094911929307857,1.132022635072288,4.791482974032554
1.5x,0.075,0.09,2.9713381271501405,88.02481018926682,29.62463591233653,8.513458891909012,2.6323038495585247,1.30651110388454,1.351418410500431,8.415289014170435,1.30651110388454,4.443796254004589
2x,0.1,0.12,3.2974761593487263,90.92235486265558,27.573316824408323,4.516917886481455,2.8298086734414603,1.3065111038845363,1.7548925691631996,8.72715476219987,1.3065111038845363,3.8270569990341046
2.5x,0.125,0.15,2.991405096610119,86.40857327593692,28.885614112864793,4.06009941076344,3.1819533571763845,2.2669738140506626,1.1941646265648254,7.759326250031942,1.1941646265648254,3.6925034917174506
3x,0.15,0.18,2.7265151509979746,79.12651993659179,29.021118737458494,3.242868498623974,3.276212323421328,1.6055118335510086,1.392296570068699,5.998832226579259,1.392296570068699,3.1031442904488533
4x,0.2,0.24,2.193146281326127,73.50771666848726,33.51701493620364,0.19340662141614087,1.6331627493352037,1.3145223813643307,1.3655165580368704,9.25382542186692,0.19340662141614087,2.7520867464038927
6x,0.3,0.36,1.325709255199189,57.28302337233391,43.209341073602964,0.380218265684599,0.5911353730566113,0.14325179716149236,3.3500384144411814,6.360437118973664,0.14325179716149236,2.1650161938635093
mom-only,0.15,0.06,3.5089325071289723,90.94359035358326,25.91773713766692,1.8193948146823027,3.133699775595858,2.2656770972376266,2.0953862925346947,8.447849969246278,1.8193948146823027,3.5524015898593517
mom2x,0.1,0.06,2.983869429144131,92.49767881835554,30.999238074866714,3.0990574837906744,3.1808863771939646,1.895354464383283,4.372115408726196,7.083419690995317,1.895354464383283,3.926166685017887
