top5_idx,V,Q,G,M,mom,gs,regime,E,X,S,crash,cal_78,cagr_78,mdd_78,cal_525,cagr_525,mdd_525,score
5,15,5,50,30,12m,3f_rev_oca_gp,MA200_7d,10,11,5,None,0.823,49.57,60.23,2.493,77.36,31.03,1.658
5,15,5,50,30,12m,3f_rev_oca_gp,MA200_7d,10,11,5,-0.2,0.823,49.57,60.23,2.493,77.36,31.03,1.658
2,20,5,45,30,12m-1m,3f_rev_oca_opm,MA200_7d,5,12,5,None,0.769,47.75,62.1,2.543,80.15,31.52,1.6560000000000001
2,20,5,45,30,12m-1m,3f_rev_oca_opm,MA200_7d,5,12,5,-0.2,0.769,47.75,62.1,2.543,80.15,31.52,1.6560000000000001
2,20,5,45,30,12m-1m,3f_rev_oca_opm,MA200_7d,3,5,5,None,1.058,58.73,55.52,2.247,85.67,38.13,1.6524999999999999
2,20,5,45,30,12m-1m,3f_rev_oca_opm,MA200_7d,3,5,5,-0.2,1.058,58.73,55.52,2.247,85.67,38.13,1.6524999999999999
2,20,5,45,30,12m-1m,3f_rev_oca_opm,MA200_7d,10,11,5,-0.2,0.876,49.7,56.75,2.426,76.47,31.52,1.651
2,20,5,45,30,12m-1m,3f_rev_oca_opm,MA200_7d,10,11,5,None,0.876,49.7,56.75,2.426,76.47,31.52,1.651
3,20,0,50,30,12m,3f_rev_oca_opm,MA200_7d,3,6,3,None,0.953,58.45,61.33,2.317,91.8,39.62,1.635
3,20,0,50,30,12m,3f_rev_oca_opm,MA200_7d,3,6,3,-0.2,0.953,58.45,61.33,2.317,91.8,39.62,1.635
3,20,0,50,30,12m,3f_rev_oca_opm,MA200_7d,3,5,5,None,0.948,55.54,58.58,2.259,84.8,37.53,1.6035
3,20,0,50,30,12m,3f_rev_oca_opm,MA200_7d,3,5,5,-0.2,0.948,55.54,58.58,2.259,84.8,37.53,1.6035
4,20,0,50,30,12m,3f_rev_oca_opm,MA200_5d,10,11,5,-0.2,0.822,50.25,61.1,2.384,78.64,32.99,1.603
4,20,0,50,30,12m,3f_rev_oca_opm,MA200_5d,10,11,5,None,0.822,50.25,61.1,2.384,78.64,32.99,1.603
2,20,5,45,30,12m-1m,3f_rev_oca_opm,MA200_7d,7,12,5,-0.2,0.856,48.57,56.75,2.336,73.62,31.52,1.5959999999999999
2,20,5,45,30,12m-1m,3f_rev_oca_opm,MA200_7d,7,12,5,None,0.856,48.57,56.75,2.336,73.62,31.52,1.5959999999999999
1,15,5,45,35,12m,3f_rev_oca_opm,MA200_7d,10,11,5,None,0.811,48.73,60.08,2.376,76.0,31.98,1.5935
1,15,5,45,35,12m,3f_rev_oca_opm,MA200_7d,10,11,5,-0.2,0.811,48.73,60.08,2.376,76.0,31.98,1.5935
5,15,5,50,30,12m,3f_rev_oca_gp,MA200_7d,7,10,5,-0.2,0.809,47.49,58.74,2.365,74.63,31.56,1.5870000000000002
5,15,5,50,30,12m,3f_rev_oca_gp,MA200_7d,7,10,5,None,0.809,47.49,58.74,2.365,74.63,31.56,1.5870000000000002
3,20,0,50,30,12m,3f_rev_oca_opm,MA200_7d,3,8,5,None,0.95,55.79,58.75,2.217,81.72,36.86,1.5835
3,20,0,50,30,12m,3f_rev_oca_opm,MA200_7d,3,8,5,-0.2,0.95,55.79,58.75,2.217,81.72,36.86,1.5835
2,20,5,45,30,12m-1m,3f_rev_oca_opm,MA200_7d,7,8,3,None,0.924,52.66,57.0,2.212,76.45,34.55,1.568
2,20,5,45,30,12m-1m,3f_rev_oca_opm,MA200_7d,7,8,3,-0.2,0.924,52.66,57.0,2.212,76.45,34.55,1.568
2,20,5,45,30,12m-1m,3f_rev_oca_opm,MA200_7d,3,8,5,-0.2,1.079,55.43,51.36,1.973,76.65,38.85,1.526
2,20,5,45,30,12m-1m,3f_rev_oca_opm,MA200_7d,3,8,5,None,1.079,55.43,51.36,1.973,76.65,38.85,1.526
1,15,5,45,35,12m,3f_rev_oca_opm,MA200_7d,7,12,5,-0.2,0.742,44.6,60.08,2.262,71.56,31.63,1.502
1,15,5,45,35,12m,3f_rev_oca_opm,MA200_7d,7,12,5,None,0.742,44.6,60.08,2.262,71.56,31.63,1.502
2,20,5,45,30,12m-1m,3f_rev_oca_opm,MA200_7d,10,15,7,-0.2,0.801,47.19,58.92,2.153,69.89,32.46,1.477
2,20,5,45,30,12m-1m,3f_rev_oca_opm,MA200_7d,10,15,7,None,0.801,47.19,58.92,2.153,69.89,32.46,1.477
4,20,0,50,30,12m,3f_rev_oca_opm,MA200_5d,10,15,7,None,0.805,47.4,58.85,2.138,65.11,30.46,1.4715
4,20,0,50,30,12m,3f_rev_oca_opm,MA200_5d,10,15,7,-0.2,0.805,47.4,58.85,2.138,65.11,30.46,1.4715
2,20,5,45,30,12m-1m,3f_rev_oca_opm,MA200_7d,7,10,5,-0.2,0.838,47.37,56.53,2.097,71.79,34.24,1.4675
2,20,5,45,30,12m-1m,3f_rev_oca_opm,MA200_7d,7,10,5,None,0.838,47.37,56.53,2.097,71.79,34.24,1.4675
2,20,5,45,30,12m-1m,3f_rev_oca_opm,MA200_7d,3,6,3,-0.2,1.017,53.25,52.35,1.857,73.66,39.67,1.4369999999999998
2,20,5,45,30,12m-1m,3f_rev_oca_opm,MA200_7d,3,6,3,None,1.017,53.25,52.35,1.857,73.66,39.67,1.4369999999999998
1,15,5,45,35,12m,3f_rev_oca_opm,MA200_7d,10,15,7,None,0.804,47.68,59.33,1.865,67.21,36.03,1.3345
3,20,0,50,30,12m,3f_rev_oca_opm,MA200_7d,10,15,7,None,0.736,43.25,58.75,1.933,60.17,31.12,1.3345
3,20,0,50,30,12m,3f_rev_oca_opm,MA200_7d,10,15,7,-0.2,0.736,43.25,58.75,1.933,60.17,31.12,1.3345
1,15,5,45,35,12m,3f_rev_oca_opm,MA200_7d,10,15,7,-0.2,0.804,47.68,59.33,1.865,67.21,36.03,1.3345
5,15,5,50,30,12m,3f_rev_oca_gp,MA200_7d,10,15,7,None,0.745,45.97,61.66,1.822,66.95,36.75,1.2835
5,15,5,50,30,12m,3f_rev_oca_gp,MA200_7d,10,15,7,-0.2,0.745,45.97,61.66,1.822,66.95,36.75,1.2835
