label,ma_n,confirm,cal_78,cal_525,score,switches
KP_MA150_3d,150,3,3.531,2.486,2.962780113339497,33
KP_MA170_14d,170,14,2.603,3.37,2.961774805754145,13
KP_MA110_7d,110,7,3.444,2.542,2.9588254426376692,19
KP_MA140_15d,140,15,2.76,3.169,2.957438080501433,11
KP_MA80_11d,80,11,3.425,2.545,2.952393097133239,13
KP_MA140_5d,140,5,3.498,2.49,2.9512743010435343,25
KP_MA100_3d,100,3,3.308,2.607,2.936657283375096,25
KP_MA80_13d,80,13,3.321,2.591,2.9333787685875143,13
KP_MA140_7d,140,7,3.37,2.54,2.9257135881695597,15
KP_MA180_14d,180,14,2.548,3.346,2.9198643804122137,13
KP_MA100_4d,100,4,3.334,2.553,2.917482133621387,17
KP_MA160_15d,160,15,2.575,3.291,2.911069391134468,11
KP_MA130_7d,130,7,3.347,2.487,2.885132405973771,17
KP_MA120_7d,120,7,3.355,2.479,2.8839287439186148,17
KP_MA80_4d,80,4,3.247,2.538,2.870694341095896,23
KP_MA80_14d,80,14,3.186,2.556,2.853667114433637,13
KP_MA80_10d,80,10,3.344,2.389,2.82644936271641,15
KP_MA110_5d,110,5,3.384,2.36,2.8259936305660704,21
KP_MA80_3d,80,3,3.235,2.434,2.806063078407184,27
KP_MA200_15d,200,15,2.351,3.28,2.7769191561873026,11
KP_MA150_4d,150,4,3.287,2.334,2.769811906971302,29
KP_MA190_14d,190,14,2.307,3.325,2.769616399431517,13
KP_MA110_3d,110,3,3.132,2.445,2.7672621849040615,25
KP_MA110_4d,110,4,3.206,2.383,2.7640365410030308,21
KP_MA130_5d,130,5,3.331,2.288,2.760675279709658,19
KP_MA150_6d,150,6,3.168,2.403,2.7591129009157997,19
KP_MA90_3d,90,3,3.243,2.347,2.7588622655000377,27
KP_MA120_6d,120,6,3.252,2.324,2.7491176766373604,19
KP_MA80_5d,80,5,3.14,2.399,2.744605618299285,23
KP_MA190_15d,190,15,2.249,3.322,2.7333455690783044,11
KP_MA140_6d,140,6,3.145,2.322,2.7023489782039625,21
KP_MA140_3d,140,3,3.139,2.187,2.6201131654949563,27
KP_MA130_4d,130,4,3.179,2.131,2.6027771706390848,19
KP_MA130_6d,130,6,3.048,2.169,2.571208276277906,19
KP_MA120_3d,120,3,3.031,2.155,2.5557396189752977,21
KP_MA130_3d,130,3,2.952,2.126,2.505185023107076,23
KP_MA120_4d,120,4,3.019,2.006,2.460917308647326,19
