V,Q,G,M,mom,gs,cal_78,cagr_78,mdd_78,cal_525,cagr_525,mdd_525,score
20,10,40,30,6m,3f_rev_oca_gp,2.691,97.16,36.1,2.21,69.07,31.25,2.438669719334703
0,5,65,30,12m-1m,3f_rev_oca_gp,2.418,95.36,39.44,2.458,74.33,30.25,2.4379179641653246
15,10,45,30,12m-1m,2f_rev_oca_60,2.553,93.12,36.48,2.326,74.01,31.82,2.4368582232046245
0,0,60,40,12m-1m,2f_rev_oca_60,2.609,96.8,37.11,2.276,70.13,30.81,2.4368184175272476
5,10,60,25,6m-1m,3f_rev_oca_opm,2.715,99.46,36.63,2.187,71.38,32.64,2.4367406509515943
20,15,35,30,12m,2f_rev_oca_60,2.4,96.08,40.03,2.474,78.71,31.82,2.436719105682885
0,5,55,40,12m-1m,2f_rev_oca_70,2.66,97.51,36.65,2.232,73.33,32.85,2.436620610599853
0,15,50,35,12m-1m,3f_rev_oca_opm,2.611,97.03,37.16,2.273,75.01,33.0,2.4361451106204655
20,5,35,40,12m-1m,3f_rev_oca_opm,2.822,103.08,36.53,2.101,75.14,35.77,2.434958315864976
5,0,55,40,6m,3f_rev_oca_gp,2.736,99.17,36.24,2.164,67.55,31.21,2.4332496789273397
10,15,45,30,6m,2f_rev_oca_60,2.608,96.63,37.06,2.27,76.31,33.62,2.4331378916945914
25,5,40,30,12m,2f_rev_oca_70,2.624,95.41,36.37,2.253,67.02,29.75,2.4314341446973224
10,5,50,35,12m-1m,3f_rev_oca_opm,2.683,98.32,36.64,2.203,75.22,34.14,2.431182634028139
5,10,50,35,6m,3f_rev_oca_opm,2.745,101.73,37.06,2.151,78.0,36.25,2.4299166652377195
20,10,45,25,12m,2f_rev_oca_60,2.498,97.16,38.89,2.363,74.99,31.74,2.4295625120584985
25,10,45,20,12m-1m,2f_rev_oca_60,2.56,97.07,37.92,2.304,76.24,33.1,2.4286292430093153
0,10,55,35,6m-1m,3f_rev_oca_gp,2.6,101.17,38.91,2.268,78.71,34.7,2.4283327613817676
0,10,45,45,6m,2f_rev_oca_70,2.68,97.86,36.52,2.2,77.63,35.29,2.4281680337241904
10,15,55,20,6m-1m,3f_rev_oca_gp,2.548,102.05,40.05,2.313,78.32,33.86,2.4276581307918956
