V,Q,G,M,mom,gs,cal_78,cagr_78,mdd_78,cal_525,cagr_525,mdd_525,score
5,15,45,35,12m,2f_rev_oca_60,2.163,93.71,43.33,2.471,81.65,33.05,2.3118765105428967
5,0,55,40,6m-1m,2f_rev_oca_60,2.361,92.73,39.28,2.263,71.09,31.41,2.3114806942736945
25,10,40,25,6m-1m,3f_rev_oca_gp,2.723,98.32,36.1,1.962,70.57,35.97,2.311390490592189
20,0,55,25,12m,3f_rev_oca_opm,2.539,96.73,38.1,2.104,70.82,33.65,2.3112888179541735
20,0,55,25,12m,3f_rev_oca_gp,2.714,103.37,38.09,1.966,74.88,38.09,2.3099186132848923
10,5,50,35,6m-1m,3f_rev_oca_opm,2.616,96.73,36.98,2.038,69.72,34.22,2.308984192236924
5,15,50,30,6m,3f_rev_oca_gp,2.633,97.56,37.06,2.024,72.51,35.83,2.308504277665519
10,10,50,30,12m-1m,3f_rev_oca_opm,2.482,97.52,39.29,2.145,72.39,33.76,2.3073556292864783
20,5,45,30,6m,3f_rev_oca_gp,2.683,94.33,35.15,1.983,64.45,32.5,2.3065968438372577
10,15,40,35,6m,3f_rev_oca_opm,2.474,96.67,39.07,2.15,77.17,35.88,2.3063174109389193
0,15,45,40,6m,3f_rev_oca_opm,2.529,94.33,37.29,2.102,78.38,37.29,2.305636137815332
15,10,50,25,6m,3f_rev_oca_opm,2.634,95.08,36.1,2.018,68.8,34.09,2.3055177292747064
10,5,55,30,6m,2f_rev_oca_70,2.631,97.51,37.06,2.02,69.99,34.64,2.3053459610219025
15,15,30,40,12m,2f_rev_oca_70,2.504,92.19,36.82,2.122,73.43,34.61,2.305100431651515
20,15,40,25,12m-1m,3f_rev_oca_gp,2.365,89.67,37.92,2.245,71.85,32.01,2.3042189566098097
10,5,55,30,6m-1m,3f_rev_oca_gp,2.425,94.37,38.91,2.189,68.35,31.23,2.3039802516514762
25,5,30,40,12m,3f_rev_oca_opm,2.595,98.89,38.1,2.045,77.34,37.83,2.303643852682094
20,15,30,35,12m,2f_rev_oca_60,2.284,91.64,40.13,2.323,76.38,32.87,2.303417461078213
0,0,55,45,12m-1m,3f_rev_oca_opm,2.552,97.03,38.02,2.079,71.6,34.44,2.3033905443931997
0,10,60,30,12m-1m,2f_rev_oca_60,2.44,100.83,41.32,2.174,89.84,41.32,2.303163042426654
10,10,45,35,6m,3f_rev_oca_opm,2.384,96.41,40.43,2.224,76.63,34.45,2.3026106922360974
20,10,40,30,12m-1m,3f_rev_oca_gp,2.643,96.12,36.37,2.006,70.07,34.93,2.302576383097855
5,10,45,40,6m,3f_rev_oca_gp,2.595,100.0,38.53,2.043,78.73,38.53,2.3025171009136938
0,15,60,25,12m,3f_rev_oca_opm,2.426,96.75,39.88,2.184,75.8,34.71,2.3018218871146394
5,10,55,30,6m,2f_rev_oca_60,2.454,90.95,37.06,2.158,66.67,30.9,2.3012457495886873
0,10,45,45,12m-1m,3f_rev_oca_opm,2.495,94.6,37.92,2.122,80.47,37.92,2.3009541499125965
10,10,40,40,12m,2f_rev_oca_70,2.493,98.2,39.39,2.122,80.73,38.05,2.3000317389114437
15,15,55,15,12m,2f_rev_oca_70,2.358,94.36,40.02,2.242,69.08,30.82,2.2992685793530083
5,15,45,35,6m,2f_rev_oca_60,2.58,96.8,37.52,2.049,76.87,37.52,2.2992216074141263
0,15,55,30,12m-1m,2f_rev_oca_60,2.451,99.51,40.6,2.156,85.06,39.45,2.298772716037843
25,15,30,30,12m,3f_rev_oca_opm,2.464,98.88,40.13,2.144,74.77,34.88,2.298437730285509
0,5,60,35,6m,3f_rev_oca_opm,2.553,94.52,37.02,2.069,71.28,34.46,2.2982943675691327
10,15,55,20,6m,3f_rev_oca_gp,2.26,92.91,41.11,2.337,72.07,30.85,2.29817753883376
10,10,35,45,6m,3f_rev_oca_gp,2.624,103.26,39.35,2.012,79.15,39.35,2.2977136462144276
5,15,50,30,6m-1m,2f_rev_oca_70,2.423,93.35,38.53,2.177,69.35,31.85,2.296708732077274
10,15,50,25,12m,2f_rev_oca_60,2.48,96.03,38.73,2.125,82.29,38.73,2.295648056649799
10,10,50,30,6m-1m,3f_rev_oca_gp,2.494,94.64,37.95,2.113,70.95,33.58,2.2956092873135012
10,5,40,45,12m-1m,3f_rev_oca_gp,2.509,97.57,38.89,2.1,81.65,38.89,2.2954084603834675
10,10,65,15,12m,2f_rev_oca_60,2.3,96.55,41.98,2.289,69.74,30.47,2.294493408140455
15,5,60,20,12m,3f_rev_oca_opm,2.349,94.8,40.36,2.241,69.95,31.21,2.2943646179280224
5,10,55,30,12m-1m,3f_rev_oca_opm,2.538,97.46,38.41,2.074,72.45,34.92,2.294299893213614
5,15,65,15,6m-1m,3f_rev_oca_opm,2.503,97.78,39.06,2.103,68.99,32.8,2.294299239419305
0,15,50,35,12m,3f_rev_oca_opm,2.534,102.02,40.26,2.077,83.63,40.26,2.294148643832827
5,0,60,35,6m,3f_rev_oca_gp,2.555,100.81,39.46,2.059,71.66,34.81,2.293631400203616
20,0,45,35,12m-1m,2f_rev_oca_70,2.662,97.77,36.72,1.976,69.2,35.03,2.293493405266298
15,15,45,25,12m-1m,3f_rev_oca_opm,2.466,93.5,37.92,2.133,75.03,35.17,2.2934641920030057
5,10,65,20,12m-1m,3f_rev_oca_opm,2.456,97.13,39.55,2.141,71.4,33.35,2.2930974684910366
25,10,35,30,12m,2f_rev_oca_70,2.577,93.72,36.37,2.04,70.23,34.43,2.292832309611848
15,5,35,45,12m-1m,2f_rev_oca_60,2.447,92.44,37.77,2.147,81.1,37.77,2.2920970747330927
20,10,35,35,6m-1m,3f_rev_oca_opm,2.396,87.62,36.57,2.191,68.17,31.11,2.291208414789017
5,15,45,35,6m-1m,2f_rev_oca_70,2.502,92.73,37.06,2.098,69.35,33.06,2.291112393576535
10,5,65,20,12m-1m,2f_rev_oca_60,2.514,97.95,38.96,2.086,73.31,35.15,2.2900227073109996
20,15,25,40,12m,3f_rev_oca_gp,2.431,92.64,38.1,2.157,76.16,35.3,2.289905456563655
5,5,45,45,6m-1m,3f_rev_oca_gp,2.466,93.65,37.98,2.126,70.38,33.1,2.2896977966535235
20,5,40,35,12m,3f_rev_oca_opm,2.573,98.72,38.37,2.037,78.16,38.37,2.2893669430652657
5,5,45,45,12m,3f_rev_oca_opm,2.447,100.5,41.07,2.141,87.92,41.07,2.288892090073274
5,10,55,30,6m-1m,2f_rev_oca_70,2.505,95.33,38.06,2.091,65.0,31.09,2.288657903663193
5,0,65,30,6m-1m,3f_rev_oca_opm,2.654,102.21,38.52,1.973,72.16,36.57,2.2883054865992
20,10,50,20,12m-1m,3f_rev_oca_opm,2.602,101.13,38.87,2.011,72.8,36.2,2.2874925136489517
0,0,55,45,6m-1m,2f_rev_oca_60,2.391,95.17,39.8,2.188,73.94,33.79,2.28724900262302
20,0,40,40,12m-1m,2f_rev_oca_70,2.726,99.46,36.48,1.917,69.93,36.48,2.285988188945866
0,0,55,45,12m-1m,3f_rev_oca_gp,2.719,96.79,35.59,1.921,68.39,35.59,2.285431906664471
10,10,50,30,6m,2f_rev_oca_70,2.506,92.88,37.06,2.081,64.08,30.79,2.283634384046623
10,5,65,20,6m-1m,2f_rev_oca_60,2.427,98.38,40.54,2.147,75.6,35.21,2.2827108883956373
25,0,45,30,12m,3f_rev_oca_gp,2.606,98.69,37.88,1.999,71.25,35.64,2.2824096915321754
0,10,50,40,6m-1m,2f_rev_oca_60,2.372,91.76,38.68,2.196,71.76,32.68,2.2823040989316037
0,5,65,30,6m-1m,2f_rev_oca_60,2.496,97.1,38.91,2.086,68.33,32.76,2.2818098080252
0,5,65,30,6m,3f_rev_oca_gp,2.422,95.83,39.56,2.149,71.75,33.38,2.281420171735141
15,5,40,40,12m-1m,2f_rev_oca_60,2.463,92.43,37.53,2.112,79.26,37.53,2.280757768812813
10,5,40,45,6m,2f_rev_oca_70,2.644,99.56,37.65,1.967,74.07,37.65,2.280514854150264
30,5,45,20,6m-1m,3f_rev_oca_opm,2.779,103.64,37.3,1.871,69.77,37.3,2.2802431887849157
0,15,40,45,6m,2f_rev_oca_70,2.527,97.31,38.51,2.057,79.2,38.51,2.2799208319588646
25,15,45,15,6m,3f_rev_oca_opm,2.754,105.84,38.43,1.886,72.46,38.43,2.279044536642494
20,15,45,20,6m,2f_rev_oca_60,2.636,97.24,36.89,1.968,69.08,35.1,2.2776408847752974
5,10,60,25,12m-1m,2f_rev_oca_60,2.434,100.58,41.32,2.131,80.87,37.95,2.27746657494682
20,5,55,20,12m,3f_rev_oca_gp,2.484,94.83,38.17,2.088,64.85,31.06,2.2774090541665983
15,0,45,40,12m-1m,3f_rev_oca_opm,2.651,111.26,41.98,1.955,82.08,41.98,2.2765555121718424
25,0,30,45,12m,2f_rev_oca_70,2.663,97.6,36.65,1.946,71.3,36.65,2.276444157013301
20,10,30,40,12m-1m,2f_rev_oca_70,2.404,87.81,36.53,2.155,74.64,34.64,2.276097537453085
15,5,45,35,6m,3f_rev_oca_gp,2.633,95.61,36.32,1.967,65.67,33.38,2.2757660248804137
15,0,60,25,12m-1m,2f_rev_oca_70,2.487,97.34,39.14,2.082,69.31,33.3,2.2755074159404534
0,0,55,45,6m-1m,2f_rev_oca_70,2.397,92.02,38.39,2.16,66.86,30.96,2.2754164454007095
0,0,65,35,6m,3f_rev_oca_opm,2.552,97.97,38.39,2.027,77.82,38.39,2.2744018994012474
0,10,55,35,6m-1m,3f_rev_oca_opm,2.478,97.32,39.28,2.087,71.41,34.22,2.2741121344384054
0,0,55,45,6m,2f_rev_oca_60,2.596,106.74,41.11,1.992,81.88,41.11,2.2740343005328656
5,0,60,35,6m-1m,2f_rev_oca_70,2.307,91.04,39.46,2.24,73.6,32.86,2.2732531755174126
5,0,60,35,6m,2f_rev_oca_60,2.616,99.86,38.17,1.975,74.13,37.54,2.273015618072168
15,10,35,40,12m-1m,3f_rev_oca_gp,2.337,89.03,38.1,2.21,77.0,34.84,2.272613033492504
10,5,45,40,6m,2f_rev_oca_60,2.503,96.42,38.52,2.063,73.33,35.54,2.2723751890918016
5,15,50,30,6m-1m,2f_rev_oca_60,2.533,93.88,37.06,2.038,71.54,35.11,2.2720594182371197
20,10,55,15,6m,3f_rev_oca_gp,2.472,100.67,40.73,2.088,72.31,34.63,2.2719014063114624
10,15,50,25,12m,3f_rev_oca_gp,2.53,95.76,37.85,2.039,72.95,35.77,2.2712705695271094
20,15,45,20,6m,2f_rev_oca_70,2.572,94.88,36.89,2.005,68.92,34.37,2.270872079180155
0,0,55,45,12m,3f_rev_oca_opm,2.619,107.13,40.91,1.969,80.55,40.91,2.2708612903477836
25,15,45,15,6m,2f_rev_oca_60,2.665,98.84,37.1,1.934,68.89,35.62,2.2702665041796304
20,5,55,20,12m,3f_rev_oca_opm,2.454,96.4,39.29,2.1,69.02,32.86,2.2701101294871138
0,15,55,30,6m,2f_rev_oca_60,2.372,93.04,39.22,2.172,72.07,33.18,2.2697982289181566
5,5,65,25,12m,2f_rev_oca_70,2.495,98.42,39.44,2.064,79.48,38.51,2.269290638062917
10,10,45,35,6m-1m,2f_rev_oca_60,2.383,88.31,37.06,2.161,70.56,32.65,2.269286892395935
0,5,55,40,6m-1m,2f_rev_oca_60,2.444,92.46,37.83,2.107,69.2,32.84,2.269252740441223
15,5,40,40,12m,3f_rev_oca_gp,2.558,102.98,40.26,2.012,81.01,40.26,2.268633068612022
10,15,50,25,6m,2f_rev_oca_70,2.615,96.92,37.06,1.968,70.59,35.87,2.268550197813573
5,15,35,45,12m,3f_rev_oca_gp,2.447,100.25,40.97,2.103,86.18,40.97,2.268488703961296
0,15,40,45,12m,2f_rev_oca_60,2.28,91.07,39.95,2.257,78.38,34.72,2.268470850595176
20,5,50,25,12m-1m,3f_rev_oca_gp,2.469,91.16,36.92,2.084,62.13,29.81,2.2683465343725593
5,10,60,25,12m,3f_rev_oca_gp,2.512,97.87,38.96,2.048,73.0,35.64,2.268165778773677
5,10,45,40,12m,3f_rev_oca_opm,2.377,94.3,39.66,2.164,81.8,37.8,2.268000881834044
15,5,35,45,12m,3f_rev_oca_gp,2.564,101.39,39.54,2.005,79.27,39.54,2.2673376457863528
0,15,45,40,6m,3f_rev_oca_gp,2.546,97.01,38.1,2.019,76.9,38.1,2.267239290414666
25,5,35,35,12m,3f_rev_oca_opm,2.56,97.53,38.1,2.007,73.91,36.82,2.2666980389985785
20,0,35,45,6m-1m,2f_rev_oca_60,2.539,100.95,39.75,2.023,80.41,39.75,2.2663620628663903
0,10,50,40,6m,3f_rev_oca_gp,2.594,101.43,39.1,1.98,77.42,39.1,2.266300950888915
10,15,35,40,6m,2f_rev_oca_70,2.504,96.26,38.44,2.05,78.79,38.44,2.265656637710136
0,5,65,30,6m-1m,2f_rev_oca_70,2.53,99.79,39.44,2.028,70.39,34.7,2.265135757520948
5,0,55,40,12m-1m,3f_rev_oca_opm,2.59,95.14,36.74,1.98,67.83,34.25,2.2645529360118744
15,15,45,25,12m-1m,3f_rev_oca_gp,2.253,88.42,39.24,2.274,71.64,31.5,2.2634756459922425
15,5,45,35,6m,2f_rev_oca_60,2.607,94.69,36.32,1.965,66.92,34.05,2.263350392670123
15,10,45,30,6m-1m,2f_rev_oca_70,2.423,90.76,37.46,2.114,64.52,30.52,2.2632326438084087
5,0,50,45,6m-1m,2f_rev_oca_60,2.542,94.7,37.26,2.015,67.97,33.73,2.2632123188070534
10,15,50,25,12m-1m,3f_rev_oca_gp,2.459,96.5,39.24,2.083,80.31,38.56,2.263205028272958
10,5,65,20,12m-1m,3f_rev_oca_opm,2.258,92.45,40.94,2.268,66.75,29.42,2.262994476352074
30,10,40,20,6m-1m,3f_rev_oca_opm,2.682,108.93,40.61,1.909,77.53,40.61,2.262727999561591
10,10,45,35,12m,3f_rev_oca_opm,2.452,102.11,41.65,2.088,86.96,41.65,2.2626922017808786
25,10,45,20,6m-1m,3f_rev_oca_opm,2.723,107.5,39.48,1.88,74.23,39.48,2.2625737557038885
25,10,45,20,12m-1m,2f_rev_oca_70,2.572,95.75,37.23,1.989,66.78,33.58,2.261793093985389
10,10,65,15,12m-1m,3f_rev_oca_gp,2.571,103.18,40.13,1.989,74.41,37.42,2.261353355846892
25,15,45,15,12m-1m,3f_rev_oca_gp,2.546,95.94,37.69,2.008,67.03,33.38,2.2610546211889706
5,15,45,35,12m-1m,2f_rev_oca_70,2.501,95.32,38.11,2.043,77.24,37.8,2.2604298263825844
10,0,60,30,6m,3f_rev_oca_opm,2.699,107.65,39.88,1.893,75.47,39.88,2.260355503012745
15,0,55,30,6m-1m,3f_rev_oca_opm,2.64,95.75,36.27,1.935,65.96,34.09,2.2601769842204837
10,5,55,30,12m-1m,2f_rev_oca_70,2.677,95.88,35.81,1.908,65.56,34.36,2.260025663571102
25,15,45,15,12m,2f_rev_oca_70,2.399,94.28,39.29,2.129,65.98,30.99,2.2599714599967853
10,0,50,40,6m,2f_rev_oca_60,2.627,98.41,37.47,1.944,68.62,35.3,2.2598424723860733
5,5,55,35,6m-1m,3f_rev_oca_opm,2.583,98.83,38.27,1.977,72.21,36.52,2.2597767588857094
5,5,45,45,12m,3f_rev_oca_gp,2.55,101.57,39.83,2.002,79.75,39.83,2.259446834957618
5,0,50,45,6m,2f_rev_oca_70,2.702,96.1,35.57,1.889,67.19,35.57,2.259220662086818
10,0,65,25,12m-1m,2f_rev_oca_70,2.36,93.09,39.44,2.162,66.5,30.75,2.258831556358287
20,15,50,15,12m,3f_rev_oca_gp,2.228,94.63,42.47,2.29,66.1,28.86,2.2587872852484363
15,5,60,20,6m-1m,3f_rev_oca_opm,2.654,96.24,36.27,1.922,63.43,32.99,2.258536694410786
20,0,45,35,12m-1m,2f_rev_oca_60,2.706,99.39,36.72,1.884,67.99,36.09,2.2578981376492604
15,15,35,35,12m,3f_rev_oca_opm,2.441,97.69,40.02,2.088,83.57,40.02,2.257611126832963
15,15,55,15,12m,2f_rev_oca_60,2.378,94.8,39.87,2.143,73.94,34.5,2.2574441299841728
25,0,40,35,12m,2f_rev_oca_70,2.554,94.94,37.17,1.995,68.1,34.13,2.2572616153206524
15,0,45,40,6m,3f_rev_oca_opm,2.517,94.29,37.46,2.017,73.27,36.32,2.253173095880563
15,5,40,40,12m-1m,3f_rev_oca_opm,2.515,99.18,39.43,2.018,79.56,39.43,2.2528359904795554
15,0,65,20,12m-1m,2f_rev_oca_60,2.491,97.06,38.96,2.037,72.11,35.4,2.252591174625347
15,15,40,30,6m,2f_rev_oca_70,2.59,95.52,36.89,1.959,66.65,34.03,2.2525119311559707
10,0,60,30,6m-1m,3f_rev_oca_opm,2.473,93.25,37.7,2.051,66.27,32.31,2.252137429199204
25,0,50,25,12m-1m,3f_rev_oca_opm,2.745,101.13,36.84,1.847,63.91,34.6,2.2516693807040142
5,10,45,40,6m-1m,2f_rev_oca_60,2.472,90.11,36.45,2.049,69.02,33.69,2.250583924229443
10,5,45,40,12m-1m,2f_rev_oca_60,2.436,90.74,37.25,2.078,77.42,37.25,2.2498906640101426
10,5,40,45,12m,2f_rev_oca_60,2.502,98.53,39.38,2.023,79.65,39.38,2.2497879900115034
5,15,45,35,12m-1m,3f_rev_oca_opm,2.449,94.24,38.48,2.065,74.34,36.01,2.2488185787208357
25,15,25,35,6m-1m,3f_rev_oca_opm,2.255,91.92,40.77,2.241,72.96,32.56,2.2479891013970685
10,15,50,25,6m,3f_rev_oca_opm,2.489,89.84,36.1,2.03,71.54,35.25,2.247814494125349
20,10,45,25,6m-1m,3f_rev_oca_gp,2.553,92.18,36.1,1.979,66.33,33.52,2.247751543209347
0,10,65,25,6m-1m,3f_rev_oca_opm,2.41,91.85,38.12,2.096,67.48,32.19,2.2475230810828175
15,0,45,40,6m-1m,2f_rev_oca_60,2.369,87.2,36.81,2.132,64.39,30.2,2.247378027835994
15,10,50,25,12m-1m,3f_rev_oca_opm,2.608,102.48,39.29,1.936,71.82,37.1,2.247017578925452
0,10,55,35,12m-1m,3f_rev_oca_opm,2.568,93.92,36.57,1.965,71.87,36.57,2.246357050871477
10,15,50,25,6m-1m,3f_rev_oca_opm,2.546,93.57,36.76,1.981,67.76,34.21,2.2458018612513437
30,0,30,40,12m-1m,3f_rev_oca_opm,2.375,92.16,38.8,2.123,63.21,29.77,2.2454676573043755
20,15,30,35,12m,3f_rev_oca_opm,2.466,98.95,40.13,2.043,78.78,38.56,2.2445574173988065
25,15,35,25,12m,2f_rev_oca_60,2.332,90.29,38.71,2.157,72.12,33.43,2.2427937934638575
20,5,60,15,12m-1m,3f_rev_oca_gp,2.413,97.93,40.58,2.084,69.93,33.55,2.2424745260537517
0,15,65,20,6m,3f_rev_oca_gp,2.461,99.77,40.54,2.043,73.15,35.8,2.2422807585135276
25,5,50,20,12m,3f_rev_oca_opm,2.573,97.58,37.92,1.954,63.32,32.4,2.242240397459648
25,10,35,30,12m,3f_rev_oca_gp,2.587,96.81,37.42,1.943,69.54,35.8,2.2419948706453368
10,10,60,20,12m-1m,3f_rev_oca_gp,2.513,99.08,39.42,2.0,74.81,37.42,2.241874215918458
0,15,65,20,6m-1m,3f_rev_oca_opm,2.269,91.85,40.48,2.215,69.03,31.16,2.2418374160496115
15,10,45,30,6m-1m,3f_rev_oca_gp,2.474,92.69,37.46,2.031,67.38,33.18,2.2415829228471567
20,5,40,35,12m,2f_rev_oca_60,2.604,98.76,37.92,1.929,73.13,37.92,2.2412309117982465
20,10,30,40,12m-1m,2f_rev_oca_60,2.368,87.04,36.75,2.121,71.91,33.91,2.241099730043266
5,15,50,30,6m-1m,3f_rev_oca_opm,2.403,94.78,39.44,2.09,72.67,34.77,2.241042168277964
0,10,55,35,6m-1m,2f_rev_oca_70,2.541,98.11,38.62,1.976,64.31,32.55,2.240762370265977
0,10,60,30,6m-1m,2f_rev_oca_70,2.523,99.56,39.46,1.99,69.06,34.7,2.2407074775614957
5,15,35,45,12m,2f_rev_oca_70,2.443,90.55,37.06,2.054,71.34,34.73,2.2400718738469085
15,10,60,15,12m-1m,2f_rev_oca_60,2.333,94.37,40.45,2.149,64.6,30.06,2.2391107609941945
10,15,60,15,12m-1m,3f_rev_oca_gp,2.39,96.34,40.31,2.097,71.11,33.9,2.2387116830891824
25,10,50,15,12m,3f_rev_oca_opm,2.626,98.71,37.58,1.908,67.36,35.3,2.238394067182988
0,15,50,35,6m-1m,3f_rev_oca_opm,2.356,94.98,40.31,2.126,71.49,33.62,2.2380473632164266
5,15,35,45,12m-1m,2f_rev_oca_60,2.373,89.7,37.8,2.11,76.46,36.23,2.237639381133609
20,15,50,15,12m-1m,2f_rev_oca_70,2.271,95.28,41.95,2.204,67.95,30.83,2.2372492038215146
20,0,35,45,12m,3f_rev_oca_opm,2.547,97.04,38.1,1.965,73.54,37.43,2.2371533250986624
0,0,65,35,6m,2f_rev_oca_60,2.433,92.84,38.17,2.057,72.4,35.19,2.2371144360537305
20,5,40,35,12m,3f_rev_oca_gp,2.583,100.08,38.74,1.937,75.05,38.74,2.236799275750956
0,5,65,30,6m-1m,3f_rev_oca_gp,2.389,94.23,39.44,2.094,73.38,35.04,2.2366416789463615
15,15,30,40,12m,2f_rev_oca_60,2.385,90.89,38.1,2.097,74.77,35.65,2.236368708419969
25,5,35,35,12m,2f_rev_oca_60,2.555,99.82,39.07,1.957,76.46,39.07,2.236098164213727
5,0,65,30,6m,3f_rev_oca_gp,2.55,98.17,38.49,1.957,73.59,37.61,2.2339091297543865
10,15,60,15,12m,3f_rev_oca_gp,2.348,95.95,40.87,2.125,68.84,32.4,2.233718872194977
15,15,35,35,6m-1m,2f_rev_oca_70,2.157,85.11,39.46,2.312,70.66,30.56,2.2331556148195313
5,10,65,20,12m-1m,3f_rev_oca_gp,2.356,96.93,41.15,2.114,71.15,33.66,2.231722204935014
20,0,60,20,12m-1m,2f_rev_oca_60,2.522,97.48,38.65,1.974,68.75,34.84,2.2312391176205204
15,10,45,30,6m,2f_rev_oca_70,2.514,93.47,37.19,1.98,63.61,32.13,2.2310804557433603
0,10,65,25,6m-1m,2f_rev_oca_70,2.474,97.6,39.44,2.012,70.67,35.13,2.231073284318559
15,15,30,40,12m,3f_rev_oca_opm,2.44,93.3,38.23,2.04,74.7,36.63,2.2310535627814945
20,15,20,45,12m,3f_rev_oca_opm,2.458,92.27,37.53,2.024,74.31,36.71,2.230469008975467
0,10,60,30,6m-1m,3f_rev_oca_opm,2.542,97.29,38.28,1.957,69.23,35.38,2.230402205881262
20,15,45,20,6m,3f_rev_oca_gp,2.505,92.41,36.89,1.984,64.02,32.27,2.2293317384364313
5,15,55,25,12m-1m,3f_rev_oca_opm,2.527,94.94,37.56,1.965,70.12,35.69,2.2283525304583205
20,10,40,30,6m-1m,3f_rev_oca_opm,2.579,93.74,36.35,1.925,61.67,32.03,2.228132626214158
0,5,50,45,12m-1m,3f_rev_oca_gp,2.56,94.28,36.83,1.939,71.41,36.83,2.2279676837871776
5,10,40,45,6m,3f_rev_oca_gp,2.499,98.86,39.56,1.986,77.23,38.89,2.227782305343141
10,10,45,35,6m,2f_rev_oca_60,2.61,99.87,38.26,1.9,72.69,38.26,2.226881227187476
5,5,55,35,6m-1m,2f_rev_oca_70,2.435,94.02,38.62,2.036,69.78,34.27,2.2265803376478472
15,0,50,35,6m-1m,2f_rev_oca_60,2.427,89.16,36.74,2.042,59.86,29.32,2.226192714029942
5,15,55,25,6m,2f_rev_oca_60,2.402,91.08,37.92,2.063,67.03,32.49,2.226056153829009
15,0,50,35,6m,3f_rev_oca_opm,2.474,97.5,39.4,2.002,73.83,36.89,2.2255219612486417
15,10,55,20,6m,3f_rev_oca_gp,2.357,92.41,39.21,2.101,68.25,32.49,2.225321774485659
10,5,60,25,12m-1m,2f_rev_oca_70,2.412,94.43,39.14,2.053,66.81,32.55,2.225272118191391
10,5,65,20,12m,3f_rev_oca_opm,2.195,93.22,42.46,2.253,66.3,29.42,2.223810918221241
5,5,50,40,6m-1m,3f_rev_oca_opm,2.349,94.22,40.11,2.105,70.81,33.65,2.223655773720384
25,10,45,20,6m-1m,2f_rev_oca_60,2.526,91.76,36.32,1.957,64.72,33.06,2.2233717637858046
5,0,50,45,12m-1m,3f_rev_oca_opm,2.346,87.56,37.32,2.107,64.64,30.68,2.223290804190941
15,15,50,20,12m,3f_rev_oca_gp,2.413,93.09,38.57,2.048,66.7,32.57,2.223021367418676
15,5,35,45,12m,2f_rev_oca_60,2.445,93.56,38.27,2.021,77.05,38.13,2.2229136285515008
5,15,45,35,12m,3f_rev_oca_opm,2.433,104.61,43.0,2.029,87.24,43.0,2.2218364026183384
15,10,60,15,6m-1m,2f_rev_oca_60,2.238,92.42,41.29,2.205,68.8,31.2,2.2214387229901256
10,15,50,25,12m,2f_rev_oca_70,2.435,95.31,39.15,2.023,75.17,37.16,2.2194605200363444
10,15,40,35,12m-1m,3f_rev_oca_opm,2.397,90.88,37.92,2.055,70.01,34.08,2.219422222110971
5,5,45,45,12m-1m,2f_rev_oca_70,2.433,86.96,35.74,2.023,69.21,34.21,2.2185488500368886
10,15,35,40,12m,3f_rev_oca_opm,2.445,95.52,39.07,2.012,78.63,39.07,2.217958520802407
20,5,35,40,12m,2f_rev_oca_70,2.577,99.32,38.54,1.908,73.54,38.54,2.217412005018463
5,5,55,35,12m-1m,2f_rev_oca_60,2.251,88.48,39.3,2.184,67.44,30.88,2.217246941592208
5,10,55,30,12m-1m,2f_rev_oca_70,2.48,92.99,37.5,1.982,65.25,32.92,2.2170611177863364
25,10,30,35,12m,2f_rev_oca_60,2.364,90.08,38.1,2.079,71.84,34.56,2.216924897239417
10,5,65,20,12m-1m,2f_rev_oca_70,2.545,99.54,39.12,1.931,72.25,37.42,2.2168434766577456
0,15,65,20,6m,3f_rev_oca_opm,2.384,92.44,38.77,2.061,72.1,34.99,2.2166244607510763
25,5,35,35,12m,2f_rev_oca_70,2.53,94.94,37.53,1.942,72.89,37.53,2.216587467256819
20,15,40,25,12m,2f_rev_oca_60,2.222,87.23,39.26,2.211,72.44,32.76,2.216493176168156
0,10,60,30,12m-1m,2f_rev_oca_70,2.48,95.25,38.4,1.98,69.95,35.33,2.2159422375143265
10,0,50,40,6m-1m,3f_rev_oca_gp,2.465,90.98,36.91,1.992,66.8,33.52,2.215915160830847
5,0,65,30,6m-1m,2f_rev_oca_70,2.364,90.63,38.34,2.077,68.28,32.87,2.21585829871858
10,0,45,45,6m-1m,2f_rev_oca_60,2.438,89.48,36.7,2.013,64.48,32.03,2.215331577890768
20,10,25,45,12m,2f_rev_oca_60,2.475,93.6,37.82,1.982,74.96,37.82,2.214825049524228
0,15,40,45,12m,3f_rev_oca_opm,2.408,90.85,37.74,2.037,76.52,37.57,2.2147451320637326
20,15,50,15,12m-1m,3f_rev_oca_gp,2.322,94.18,40.56,2.112,68.98,32.66,2.2145121358890765
10,0,50,40,6m-1m,3f_rev_oca_opm,2.499,91.8,36.74,1.961,63.98,32.63,2.2137161064599047
15,5,65,15,12m-1m,2f_rev_oca_70,2.417,97.61,40.38,2.027,69.96,34.52,2.21342698095058
20,10,55,15,12m-1m,3f_rev_oca_opm,2.336,94.1,40.29,2.097,67.35,32.12,2.2132763044861794
25,15,35,25,6m-1m,3f_rev_oca_gp,2.503,107.37,42.89,1.957,83.92,42.89,2.2132263779378736
20,5,30,45,12m-1m,3f_rev_oca_opm,2.295,87.46,38.1,2.134,70.31,32.95,2.213036375661277
20,0,45,35,12m,3f_rev_oca_gp,2.61,100.69,38.58,1.876,72.37,38.58,2.212772017176645
25,5,45,25,12m,3f_rev_oca_gp,2.503,94.43,37.72,1.956,62.94,32.18,2.212660841611294
10,10,40,40,12m-1m,2f_rev_oca_70,2.353,89.3,37.95,2.08,77.35,37.19,2.2122929281629955
