V,Q,G,M,cagr,sharpe,sortino,calmar,mdd,total,b_cagr,alpha,avg_holdings
20,15,25,40,74.35,1.427,2.207,1.301,57.14,6948.06,0.0,74.35,2.8
25,20,20,35,66.86,1.362,2.127,1.276,52.38,4935.17,0.0,66.86,2.9
35,5,25,35,76.81,1.467,2.303,1.267,60.64,7746.18,0.0,76.81,2.8
25,5,25,45,84.07,1.517,2.417,1.249,67.34,10575.85,0.0,84.07,2.8
15,10,20,55,85.11,1.555,2.398,1.227,69.36,11046.2,0.0,85.11,2.8
15,15,25,45,73.91,1.408,2.192,1.127,65.6,6811.28,0.0,73.91,2.8
30,10,25,35,71.4,1.405,2.218,1.09,65.49,6085.54,0.0,71.4,2.9
25,15,25,35,67.97,1.366,2.151,1.036,65.6,5198.04,0.0,67.97,2.9
15,20,25,40,59.91,1.248,1.933,1.01,59.3,3536.3,0.0,59.91,2.8
25,15,20,40,66.05,1.343,2.107,0.969,68.16,4752.54,0.0,66.05,2.9
30,5,25,40,69.76,1.366,2.139,0.957,72.86,5645.29,0.0,69.76,2.8
25,10,25,40,66.27,1.33,2.077,0.884,74.96,4801.64,0.0,66.27,2.8
