ma_w,cd,V_b,Q_b,G_b,M_b,V_d,Q_d,G_d,M_d,gs1_b,gs2_b,gs1_d,gs2_d,g_rev_b,g_rev_d,mom_b,mom_d,eb,xb,sb,ed,xd,sd,sl,ts,ts_cd,cal_78,cagr_78,mdd_78,wf_min,wf_mean,wf_cv,wf_2018,wf_2020,wf_2022,wf_2024,score
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,8,2,3,6,5,-0.1,-0.15,2,1.334,62.11,46.57,0.476,1.6492499999999999,0.4531028400110483,0.476,2.297,1.525,2.299,0.476
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,8,2,3,6,7,-0.1,-0.15,2,1.341,62.45,46.57,0.476,1.6492499999999999,0.4531028400110483,0.476,2.297,1.525,2.299,0.476
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,3,5,3,3,6,5,-0.1,-0.15,2,1.358,65.63,48.32,0.476,0.87975,0.2981299102979636,0.476,0.895,1.209,0.939,0.476
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,3,5,3,3,6,7,-0.1,-0.15,2,1.365,65.98,48.32,0.476,0.87975,0.2981299102979636,0.476,0.895,1.209,0.939,0.476
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,3,5,5,3,6,5,-0.1,-0.15,2,1.339,64.8,48.38,0.476,0.95525,0.3157429716526431,0.476,1.104,1.29,0.951,0.476
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,3,5,5,3,6,7,-0.1,-0.15,2,1.347,65.15,48.38,0.476,0.95525,0.3157429716526431,0.476,1.104,1.29,0.951,0.476
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.262,61.33,48.58,0.476,0.91075,0.29510306434693806,0.476,1.003,1.21,0.954,0.476
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,3,6,3,3,6,7,-0.1,-0.15,2,1.27,61.68,48.58,0.476,0.91075,0.29510306434693806,0.476,1.003,1.21,0.954,0.476
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,3,6,5,3,6,5,-0.1,-0.15,2,1.292,63.0,48.75,0.476,0.9909999999999999,0.31294632848697396,0.476,1.155,1.291,1.042,0.476
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,3,6,5,3,6,7,-0.1,-0.15,2,1.299,63.35,48.75,0.476,0.9909999999999999,0.31294632848697396,0.476,1.155,1.291,1.042,0.476
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,3,8,3,3,6,5,-0.1,-0.15,2,1.167,57.09,48.91,0.476,0.9804999999999999,0.3288616350334681,0.476,1.253,1.27,0.923,0.476
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,3,8,3,3,6,7,-0.1,-0.15,2,1.174,57.43,48.91,0.476,0.9804999999999999,0.3288616350334681,0.476,1.253,1.27,0.923,0.476
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,3,8,5,3,6,5,-0.1,-0.15,2,1.141,55.67,48.8,0.476,1.0310000000000001,0.3378713623593749,0.476,1.321,1.334,0.993,0.476
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,3,8,5,3,6,7,-0.1,-0.15,2,1.148,56.0,48.8,0.476,1.0310000000000001,0.3378713623593749,0.476,1.321,1.334,0.993,0.476
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,3,3,6,5,-0.1,-0.15,2,1.267,58.89,46.46,0.472,1.5210000000000001,0.4455593216205485,0.472,2.367,1.609,1.636,0.472
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,3,3,6,7,-0.1,-0.15,2,1.275,59.23,46.46,0.472,1.5210000000000001,0.4455593216205485,0.472,2.367,1.609,1.636,0.472
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,5,3,6,5,-0.1,-0.15,2,1.274,59.2,46.46,0.472,1.55975,0.4554093320599054,0.472,2.462,1.609,1.696,0.472
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,5,3,6,7,-0.1,-0.15,2,1.281,59.54,46.46,0.472,1.55975,0.4554093320599054,0.472,2.462,1.609,1.696,0.472
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,6,3,3,6,5,-0.1,-0.15,2,1.295,60.19,46.46,0.472,1.72575,0.45722857905083597,0.472,2.58,1.692,2.159,0.472
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,6,3,3,6,7,-0.1,-0.15,2,1.303,60.53,46.46,0.472,1.72575,0.45722857905083597,0.472,2.58,1.692,2.159,0.472
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,6,5,3,6,5,-0.1,-0.15,2,1.311,60.94,46.46,0.472,1.72525,0.46615481963095695,0.472,2.675,1.692,2.062,0.472
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,6,5,3,6,7,-0.1,-0.15,2,1.319,61.28,46.46,0.472,1.72525,0.46615481963095695,0.472,2.675,1.692,2.062,0.472
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,8,3,3,6,5,-0.1,-0.15,2,1.181,54.89,46.46,0.472,1.70575,0.4485620701767525,0.472,2.49,1.703,2.158,0.472
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,8,3,3,6,7,-0.1,-0.15,2,1.189,55.22,46.46,0.472,1.70575,0.4485620701767525,0.472,2.49,1.703,2.158,0.472
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,8,5,3,6,5,-0.1,-0.15,2,1.234,57.33,46.46,0.472,1.73325,0.46298323520154483,0.472,2.653,1.703,2.105,0.472
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,8,5,3,6,7,-0.1,-0.15,2,1.241,57.67,46.46,0.472,1.73325,0.46298323520154483,0.472,2.653,1.703,2.105,0.472
