dV,dQ,dG,dM,d_mom,d_gs,dE,dX,dS,cal_78,cal_525,score
35,5,25,35,6m-1m,2f_70,5,8,7,2.903,2.958,2.930370966277137
30,15,10,45,6m-1m,2f_60,5,8,7,2.542,3.378,2.930337181963878
40,10,10,40,6m,2f_80,5,10,7,2.819,3.039,2.9269337197825305
35,10,20,35,6m-1m,2f_70,3,6,7,3.05,2.808,2.9264996155817276
35,15,10,40,6m,2f_70,3,8,7,3.235,2.647,2.9262681011828016
25,15,25,35,6m-1m,2f_80,5,8,7,3.045,2.81,2.9251410222414918
35,20,10,35,6m-1m,2f_80,3,6,7,3.119,2.743,2.9249644442283396
35,20,10,35,6m-1m,2f_80,3,6,5,3.118,2.742,2.92396238005895
30,15,5,50,6m-1m,2f_80,5,10,7,2.464,3.469,2.9236306196234843
35,15,10,40,6m,2f_70,3,6,7,3.28,2.605,2.9230805667993485
25,0,25,50,6m-1m,2f_80,5,10,7,2.535,3.37,2.922832530269225
30,5,25,40,6m-1m,2f_80,3,8,7,2.728,3.131,2.9225618898493835
40,0,20,40,6m-1m,2f_60,3,6,7,2.891,2.95,2.9203510063004416
35,5,15,45,6m-1m,2f_70,3,8,7,2.49,3.422,2.919037512605825
35,5,20,40,6m-1m,2f_60,3,8,7,2.538,3.356,2.9184804265233644
40,0,20,40,6m-1m,2f_60,3,8,7,2.696,3.159,2.9183324005328797
40,5,15,40,6m,2f_80,3,6,7,2.474,3.442,2.9181343354958833
40,5,15,40,6m,2f_80,3,6,5,2.474,3.442,2.9181343354958833
30,10,20,40,6m-1m,2f_80,5,8,7,2.909,2.925,2.9169890298045345
30,15,5,50,6m-1m,2f_60,5,10,7,2.555,3.33,2.9168733260119475
35,5,15,45,6m-1m,2f_60,5,10,7,2.591,3.281,2.9156596166219404
25,10,25,40,6m-1m,2f_60,3,6,5,2.425,3.505,2.915411634743883
20,15,15,50,6m-1m,2f_60,5,10,7,2.464,3.449,2.915190559809084
35,0,15,50,6m-1m,2f_60,5,10,7,2.751,3.088,2.914633424635077
35,5,10,50,6m-1m,2f_60,5,10,7,2.641,3.215,2.913900307148479
35,5,15,45,6m-1m,2f_70,5,10,7,2.589,3.276,2.912312483233899
35,20,5,40,6m-1m,2f_80,5,8,7,2.883,2.941,2.911855593946925
40,0,20,40,6m,2f_70,3,6,7,2.338,3.626,2.9116297841586936
30,10,10,50,6m-1m,2f_70,5,8,7,2.283,3.712,2.9110987616362314
40,5,5,50,6m-1m,2f_60,3,6,5,2.497,3.393,2.9107251673766794
40,5,5,50,6m-1m,2f_60,3,6,7,2.497,3.393,2.9107251673766794
35,20,10,35,6m-1m,2f_60,3,6,7,3.197,2.65,2.9106786150312094
25,10,25,40,6m-1m,2f_60,3,6,7,2.421,3.497,2.909679879299439
30,5,10,55,6m-1m,2f_70,5,10,7,2.547,3.324,2.909678332737143
30,15,5,50,6m-1m,2f_70,5,8,7,2.595,3.261,2.9090024063242024
35,5,15,45,6m-1m,2f_70,3,6,5,2.749,3.077,2.908379789504803
35,0,20,45,6m,2f_60,3,6,5,1.982,4.266,2.90778472380608
35,15,20,30,6m-1m,2f_70,3,6,5,3.227,2.62,2.907703561231784
35,15,5,45,6m-1m,2f_80,3,8,7,2.74,3.084,2.906915891456098
35,0,20,45,6m,2f_60,3,6,7,1.98,4.266,2.9063172572862723
35,5,5,55,6m-1m,2f_70,5,10,7,2.675,3.157,2.9060239159373755
20,20,20,40,6m-1m,2f_70,5,8,7,2.962,2.851,2.9059700617865976
30,5,20,45,6m-1m,2f_70,3,8,7,2.709,3.117,2.905848068980896
30,15,10,45,6m-1m,2f_70,5,8,7,2.529,3.338,2.905477929704509
30,20,15,35,6m-1m,2f_60,3,6,7,3.051,2.766,2.905007056790052
30,20,15,35,6m-1m,2f_60,3,6,5,3.05,2.766,2.9045309431989184
25,10,10,55,6m-1m,2f_60,5,10,7,2.402,3.512,2.904449001101586
40,0,20,40,6m,2f_70,3,6,5,2.326,3.626,2.9041480678505356
40,5,15,40,6m,2f_70,3,8,7,2.58,3.263,2.9014720401892555
35,10,15,40,6m-1m,2f_60,5,10,7,2.808,2.998,2.901445157158756
35,20,10,35,6m-1m,2f_60,3,6,5,3.185,2.643,2.9013712275405226
35,5,15,45,6m-1m,2f_70,3,6,7,2.743,3.068,2.9009522574492674
25,0,20,55,6m-1m,2f_80,5,8,7,1.983,4.233,2.8972467965294224
20,10,25,45,6m-1m,2f_80,5,10,7,2.902,2.89,2.895993784523717
20,5,20,55,6m-1m,2f_80,5,10,7,2.001,4.191,2.8958920905309986
25,5,25,45,6m-1m,2f_60,3,8,7,2.011,4.168,2.895142138134154
35,0,20,45,6m-1m,2f_80,5,8,7,2.841,2.947,2.8935146448566664
35,10,10,45,6m-1m,2f_60,3,8,7,2.727,3.068,2.892479213408456
25,15,25,35,6m-1m,2f_70,3,8,7,3.246,2.576,2.89165973101954
30,15,15,40,6m-1m,2f_60,5,8,7,2.841,2.943,2.891550276235916
35,15,10,40,6m,2f_70,3,6,5,3.256,2.566,2.890483696546306
35,20,5,40,6m,2f_80,3,6,7,3.216,2.596,2.889417934463618
40,10,15,35,6m,2f_80,3,8,7,3.021,2.762,2.8885986221695807
35,20,5,40,6m,2f_80,3,6,5,3.214,2.596,2.8885193438853753
40,0,20,40,6m-1m,2f_60,3,6,5,2.866,2.911,2.888412366681738
30,5,20,45,6m-1m,2f_70,3,6,7,2.833,2.943,2.8874762336684263
40,5,5,50,6m-1m,2f_80,3,6,7,2.39,3.487,2.886854689796492
40,5,5,50,6m-1m,2f_80,3,6,5,2.387,3.487,2.885042287385057
35,10,15,40,6m,2f_60,3,6,7,3.071,2.709,2.8843264378360507
30,5,25,40,6m-1m,2f_60,5,10,7,3.002,2.768,2.8826265800481337
35,10,25,30,6m-1m,2f_80,3,6,5,3.087,2.691,2.8822069668918644
35,10,15,40,6m-1m,2f_70,5,8,7,2.812,2.954,2.8821256044801378
20,0,25,55,6m-1m,2f_60,5,8,7,2.028,4.093,2.881076882000895
30,10,15,45,6m-1m,2f_60,5,10,7,2.436,3.407,2.8808769498192732
40,0,5,55,6m-1m,2f_80,5,8,7,2.586,3.209,2.8807072048370346
35,5,15,45,6m-1m,2f_80,5,8,7,2.705,3.067,2.8803185587708873
20,15,10,55,6m-1m,2f_80,3,6,7,1.664,4.983,2.8795332955185633
40,0,15,45,6m-1m,2f_70,3,8,7,2.592,3.198,2.8790998593310375
20,10,15,55,6m-1m,2f_60,5,8,7,1.958,4.233,2.8789258413512497
40,5,5,50,6m-1m,2f_60,5,10,7,2.593,3.194,2.877853714141843
35,15,5,45,6m-1m,2f_60,3,8,7,2.73,3.033,2.87751455252619
25,15,20,40,6m-1m,2f_80,5,8,7,2.954,2.803,2.877509687212191
35,15,10,40,6m-1m,2f_60,3,8,7,2.899,2.856,2.877419677419337
30,15,10,45,6m-1m,2f_80,5,8,7,2.53,3.271,2.876739473779299
35,20,5,40,6m-1m,2f_70,5,10,7,2.771,2.986,2.876491960704914
30,15,15,40,6m-1m,2f_70,5,8,7,2.672,3.095,2.8757329500494304
35,10,25,30,6m-1m,2f_80,3,6,7,3.081,2.684,2.875657142289393
35,15,10,40,6m-1m,2f_70,3,8,7,2.89,2.861,2.8754634409082653
25,20,15,40,6m-1m,2f_70,5,10,7,2.868,2.882,2.8749914782482398
30,5,10,55,6m-1m,2f_60,5,10,7,2.494,3.313,2.8744776916859176
20,15,10,55,6m-1m,2f_80,3,6,5,1.661,4.971,2.8734702016899356
25,10,20,45,6m-1m,2f_60,3,6,7,2.009,4.107,2.872448955160039
35,10,20,35,6m-1m,2f_70,3,6,5,3.005,2.745,2.8720593656817055
40,5,5,50,6m-1m,2f_70,5,10,7,2.644,3.119,2.8716956663267785
40,20,10,30,6m-1m,2f_70,5,10,7,2.873,2.867,2.8699984320553207
35,5,5,55,6m-1m,2f_80,5,10,7,2.634,3.127,2.8699334487057357
20,0,25,55,6m-1m,2f_80,5,10,7,1.826,4.508,2.8690779006503115
40,10,10,40,6m-1m,2f_60,3,6,7,2.912,2.825,2.8681701483698627
40,10,10,40,6m-1m,2f_60,3,6,5,2.912,2.825,2.8681701483698627
25,20,15,40,6m-1m,2f_80,5,8,7,2.9,2.836,2.867821472825671
30,20,5,45,6m-1m,2f_60,5,8,7,2.617,3.141,2.8670537141811625
40,5,10,45,6m-1m,2f_60,5,8,7,2.612,3.147,2.8670479591384583
40,0,15,45,6m,2f_60,5,8,7,2.644,3.108,2.8666272865512186
30,15,25,30,6m-1m,2f_80,3,6,7,2.778,2.958,2.8665875182872056
30,15,25,30,6m-1m,2f_80,3,6,5,2.777,2.955,2.8646177755505184
35,5,20,40,6m-1m,2f_60,3,6,7,2.63,3.118,2.8636235786150386
40,5,5,50,6m-1m,2f_80,5,10,7,2.568,3.193,2.86349855945485
30,10,15,45,6m-1m,2f_60,3,6,7,2.363,3.469,2.863083477651324
40,15,5,40,6m-1m,2f_70,3,6,7,2.997,2.735,2.8630045406879816
40,15,5,40,6m-1m,2f_70,3,6,5,2.997,2.735,2.8630045406879816
30,20,5,45,6m-1m,2f_80,3,8,7,2.944,2.783,2.8623682502431445
20,10,25,45,6m-1m,2f_60,5,10,7,2.897,2.826,2.8612797835933486
30,15,5,50,6m-1m,2f_70,5,10,7,2.559,3.197,2.8602662463484063
30,15,10,45,6m,2f_80,3,8,7,2.598,3.145,2.8584453816716526
40,5,15,40,6m-1m,2f_60,5,10,7,2.692,3.032,2.856946621832477
20,15,20,45,6m-1m,2f_60,5,10,7,2.885,2.829,2.8568627898448327
25,5,25,45,6m-1m,2f_80,5,10,7,2.812,2.902,2.856645585297553
40,5,20,35,6m,2f_60,3,8,7,2.638,3.091,2.855531123976764
40,5,20,35,6m,2f_60,3,6,7,2.731,2.983,2.854220208743537
30,10,15,45,6m-1m,2f_60,3,6,5,2.357,3.456,2.854083390512618
20,20,15,45,6m-1m,2f_80,5,10,7,2.85,2.857,2.853497853512422
40,10,10,40,6m,2f_80,5,8,7,2.749,2.961,2.8530315455669255
35,5,10,50,6m-1m,2f_80,3,6,5,2.817,2.889,2.8527728616207777
35,5,10,50,6m-1m,2f_80,3,6,7,2.817,2.889,2.8527728616207777
40,5,20,35,6m,2f_60,3,6,5,2.726,2.983,2.8516062140484966
35,10,10,45,6m-1m,2f_70,3,6,5,2.944,2.761,2.851032093821464
30,10,25,35,6m-1m,2f_60,5,8,7,3.045,2.669,2.8508077802615874
40,0,20,40,6m-1m,2f_80,3,8,7,2.404,3.38,2.850529775322475
40,5,5,50,6m-1m,2f_70,3,8,7,2.334,3.48,2.849968420877677
35,10,15,40,6m,2f_60,3,6,5,3.043,2.669,2.849871400607403
25,5,15,55,6m-1m,2f_60,5,8,7,1.935,4.196,2.8494315222514124
35,0,20,45,6m-1m,2f_80,3,6,5,2.425,3.346,2.8485171581017377
35,0,20,45,6m-1m,2f_80,3,6,7,2.425,3.346,2.8485171581017377
40,0,20,40,6m,2f_80,5,8,7,2.854,2.841,2.8474925812019247
40,0,5,55,6m-1m,2f_70,5,8,7,2.533,3.201,2.847478358126713
35,10,10,45,6m,2f_80,3,6,5,2.628,3.084,2.8468846130463388
40,0,20,40,6m-1m,2f_80,5,8,7,2.812,2.878,2.8448086051613384
20,5,25,50,6m-1m,2f_60,3,8,7,1.457,5.552,2.844163145812842
30,5,25,40,6m-1m,2f_60,3,8,7,2.174,3.72,2.843814339931494
30,15,15,40,6m-1m,2f_80,5,8,7,2.716,2.977,2.843506989616871
35,10,10,45,6m-1m,2f_70,3,6,7,2.927,2.761,2.8427885957277934
35,10,20,35,6m-1m,2f_70,3,8,7,2.925,2.762,2.8423317892181412
40,0,20,40,6m-1m,2f_80,5,10,7,2.808,2.877,2.8422906255342713
35,5,10,50,6m-1m,2f_80,3,8,7,2.701,2.989,2.84135337471424
40,15,5,40,6m-1m,2f_60,3,6,7,2.98,2.709,2.8412708424224538
25,10,20,45,6m-1m,2f_60,3,6,5,1.99,4.054,2.840327445911827
30,5,10,55,6m-1m,2f_80,5,10,7,2.629,3.068,2.8400302815287026
35,5,20,40,6m-1m,2f_60,3,6,5,2.615,3.084,2.839834502220156
30,20,5,45,6m-1m,2f_70,3,8,7,2.884,2.796,2.839659134473713
25,5,25,45,6m-1m,2f_70,5,8,7,2.811,2.868,2.8393569694562886
40,0,10,50,6m-1m,2f_60,5,10,7,2.438,3.306,2.839018844601071
40,0,15,45,6m-1m,2f_70,3,6,7,2.741,2.938,2.8377910423426176
35,5,20,40,6m-1m,2f_70,3,8,7,2.338,3.443,2.8372053150944154
25,15,20,40,6m-1m,2f_70,5,10,7,2.89,2.785,2.8370142756073684
40,0,15,45,6m-1m,2f_60,3,6,7,2.764,2.91,2.8360606481526447
20,0,25,55,6m-1m,2f_80,5,8,7,1.842,4.366,2.835872352557498
40,0,15,45,6m,2f_60,5,10,7,2.628,3.06,2.835785605436349
40,15,5,40,6m-1m,2f_60,3,6,5,2.976,2.7,2.834642834644252
35,5,15,45,6m-1m,2f_80,3,6,5,2.674,3.004,2.834201122009516
30,5,25,40,6m,2f_80,5,8,7,2.853,2.815,2.8339363083880342
40,10,5,45,6m-1m,2f_80,3,8,7,2.351,3.416,2.8339047266977766
35,10,10,45,6m,2f_80,3,6,7,2.615,3.071,2.833842797333684
40,10,10,40,6m-1m,2f_70,3,6,7,2.88,2.788,2.833626651483925
40,10,10,40,6m-1m,2f_70,3,6,5,2.88,2.788,2.833626651483925
35,10,20,35,6m-1m,2f_80,3,8,7,2.956,2.714,2.8324166360194964
35,10,15,40,6m,2f_80,5,8,7,2.581,3.107,2.8318133766193
40,5,15,40,6m-1m,2f_70,5,10,7,2.664,3.008,2.8307793979750526
35,10,10,45,6m,2f_70,3,6,5,2.626,3.05,2.8300706704957035
35,20,10,35,6m-1m,2f_70,3,6,7,3.053,2.621,2.828765278350256
20,15,10,55,6m-1m,2f_80,3,8,7,1.628,4.915,2.8287134884961396
40,5,15,40,6m-1m,2f_60,5,8,7,2.699,2.964,2.828398133219579
20,5,25,50,6m-1m,2f_80,5,8,7,2.027,3.946,2.8281693725800796
20,20,20,40,6m-1m,2f_80,5,8,7,2.939,2.721,2.8279001043176897
35,20,10,35,6m-1m,2f_70,3,6,5,3.052,2.62,2.827762366253572
40,0,10,50,6m,2f_70,5,8,7,2.404,3.326,2.8276675900819743
40,0,15,45,6m,2f_70,5,10,7,2.541,3.146,2.827363789822597
30,15,10,45,6m,2f_60,3,8,7,2.675,2.987,2.8266986043793207
30,10,10,50,6m-1m,2f_80,5,8,7,2.303,3.468,2.826093416715024
25,10,15,50,6m-1m,2f_80,3,6,5,1.574,5.066,2.823806650604818
20,10,15,55,6m-1m,2f_70,5,10,7,1.973,4.041,2.8236311727986005
25,0,25,50,6m-1m,2f_60,3,8,7,2.177,3.662,2.8235038515999937
30,10,20,40,6m-1m,2f_70,5,10,7,2.838,2.809,2.823462767595847
40,0,15,45,6m-1m,2f_70,3,6,5,2.73,2.92,2.8234022030167787
35,15,15,35,6m-1m,2f_80,3,8,7,3.079,2.588,2.8228446645184007
40,0,10,50,6m-1m,2f_70,5,10,7,2.384,3.342,2.8226455675482884
35,5,15,45,6m-1m,2f_80,3,6,7,2.664,2.988,2.8213528669771173
40,0,15,45,6m-1m,2f_60,3,6,5,2.752,2.892,2.821131687816079
35,0,20,45,6m,2f_80,3,6,5,1.647,4.83,2.820462727993405
20,15,20,45,6m-1m,2f_80,5,10,7,2.795,2.846,2.82038472552948
25,10,15,50,6m-1m,2f_80,3,6,7,1.572,5.06,2.8203404049866037
40,0,15,45,6m,2f_70,5,8,7,2.554,3.114,2.8201340393676326
35,10,10,45,6m,2f_70,3,6,7,2.617,3.039,2.820117550741458
40,5,20,35,6m-1m,2f_70,5,8,7,2.706,2.938,2.8196148673178754
35,5,15,45,6m,2f_60,3,6,7,2.395,3.319,2.819397985386242
35,5,15,45,6m,2f_60,3,6,5,2.395,3.319,2.819397985386242
40,0,20,40,6m,2f_70,5,8,7,2.956,2.689,2.819341057765094
25,20,15,40,6m-1m,2f_70,5,8,7,2.861,2.778,2.8191945658290423
30,10,15,45,6m-1m,2f_60,3,8,7,2.285,3.476,2.8182725205345207
30,10,20,40,6m-1m,2f_60,3,6,7,2.273,3.492,2.8173242624873693
30,10,20,40,6m-1m,2f_60,3,6,5,2.273,3.492,2.8173242624873693
40,5,15,40,6m-1m,2f_70,5,8,7,2.673,2.969,2.817115013626529
30,10,10,50,6m-1m,2f_60,3,8,7,2.473,3.209,2.8170653169566373
30,5,20,45,6m-1m,2f_80,3,6,5,2.593,3.059,2.8163783481627607
30,10,5,55,6m-1m,2f_70,5,10,7,2.518,3.148,2.815433181590357
20,15,10,55,6m-1m,2f_70,3,6,7,1.615,4.908,2.8153898486710505
20,15,10,55,6m-1m,2f_70,3,6,5,1.615,4.908,2.8153898486710505
40,5,20,35,6m,2f_70,3,6,5,2.843,2.788,2.8153656956068778
30,15,5,50,6m-1m,2f_70,3,6,5,2.699,2.936,2.81500692716732
30,15,5,50,6m-1m,2f_70,3,6,7,2.699,2.936,2.81500692716732
35,10,15,40,6m,2f_70,5,10,7,2.474,3.201,2.8141204665045882
35,0,10,55,6m-1m,2f_70,5,10,7,2.54,3.115,2.8128455343299605
30,10,5,55,6m-1m,2f_80,5,10,7,2.556,3.095,2.8126179975247263
40,20,10,30,6m,2f_70,3,6,5,3.035,2.606,2.812331772746594
40,20,10,30,6m,2f_70,3,6,7,3.035,2.606,2.812331772746594
40,5,20,35,6m,2f_70,3,6,7,2.84,2.781,2.8103451745292785
20,10,25,45,6m-1m,2f_80,3,6,5,2.341,3.371,2.8091833332838925
20,10,25,45,6m-1m,2f_80,3,6,7,2.341,3.371,2.8091833332838925
20,5,25,50,6m-1m,2f_70,3,8,7,1.449,5.441,2.807847752282876
40,10,15,35,6m,2f_80,3,6,7,2.978,2.647,2.8076263996479303
40,10,15,35,6m,2f_80,3,6,5,2.978,2.647,2.8076263996479303
40,5,10,45,6m-1m,2f_70,5,8,7,2.568,3.069,2.8073460777039942
35,0,20,45,6m,2f_80,3,6,7,1.643,4.796,2.807103133124966
40,0,20,40,6m-1m,2f_70,3,6,7,2.429,3.242,2.8062106121957417
25,10,25,40,6m-1m,2f_80,3,6,7,2.369,3.324,2.8061639296377536
25,10,25,40,6m-1m,2f_80,3,6,5,2.369,3.324,2.8061639296377536
30,10,10,50,6m-1m,2f_80,5,10,7,2.254,3.493,2.805926228538448
30,20,20,30,6m-1m,2f_80,3,6,7,2.971,2.65,2.805913398521059
40,20,5,35,6m,2f_60,5,8,7,2.838,2.774,2.8058175279230118
35,15,15,35,6m-1m,2f_60,3,6,7,3.037,2.592,2.805691358649415
30,10,15,45,6m-1m,2f_60,5,8,7,2.575,3.055,2.8047504345306735
40,5,10,45,6m,2f_60,3,6,5,2.505,3.14,2.804585530876176
40,20,10,30,6m,2f_80,3,6,7,3.009,2.614,2.8045545100782046
40,20,10,30,6m,2f_80,3,6,5,3.009,2.614,2.8045545100782046
35,10,25,30,6m-1m,2f_80,3,8,7,3.032,2.593,2.8039215395584804
40,5,5,50,6m,2f_80,5,8,7,2.592,3.033,2.8038430769213885
35,15,15,35,6m-1m,2f_80,3,6,7,3.069,2.561,2.803517255163592
35,15,15,35,6m-1m,2f_80,3,6,5,3.069,2.561,2.803517255163592
40,5,10,45,6m,2f_60,3,6,7,2.502,3.14,2.8029056352292705
30,10,20,40,6m-1m,2f_80,5,10,7,2.78,2.825,2.8024096774026455
40,0,15,45,6m-1m,2f_80,3,8,7,2.547,3.083,2.8022135892897246
35,0,20,45,6m-1m,2f_70,3,6,5,2.292,3.426,2.8022119834159587
40,10,10,40,6m,2f_70,5,10,7,2.717,2.889,2.801680388623941
35,10,20,35,6m-1m,2f_70,5,8,7,2.668,2.941,2.801176181535178
40,0,10,50,6m,2f_70,5,10,7,2.395,3.272,2.799364213531351
35,15,10,40,6m,2f_60,3,8,7,3.048,2.571,2.799358497941984
30,15,25,30,6m-1m,2f_80,3,8,7,2.901,2.699,2.7981777999262305
30,10,20,40,6m-1m,2f_70,3,8,7,2.359,3.319,2.7981281243002436
35,15,15,35,6m-1m,2f_60,3,6,5,3.03,2.583,2.797586459789938
40,0,10,50,6m-1m,2f_80,5,10,7,2.42,3.233,2.7971163722662666
25,15,10,50,6m-1m,2f_60,3,6,7,1.747,4.476,2.7963497635310217
40,0,10,50,6m,2f_80,5,8,7,2.44,3.201,2.794716443577058
35,10,20,35,6m-1m,2f_80,3,6,5,2.951,2.645,2.793813701734602
35,10,20,35,6m-1m,2f_80,3,6,7,2.951,2.645,2.793813701734602
35,5,15,45,6m-1m,2f_60,3,8,7,2.351,3.32,2.79380027918962
20,10,15,55,6m-1m,2f_80,5,8,7,2.065,3.779,2.7934987023444275
25,15,10,50,6m-1m,2f_60,3,6,5,1.742,4.476,2.792345250859929
35,10,10,45,6m-1m,2f_70,5,8,7,2.646,2.942,2.7900774182807186
35,15,10,40,6m-1m,2f_60,5,10,7,2.64,2.945,2.7883328352260963
40,0,5,55,6m-1m,2f_60,5,8,7,2.459,3.159,2.7871097933163664
40,10,10,40,6m-1m,2f_60,3,8,7,2.896,2.681,2.7864271029402508
35,0,20,45,6m-1m,2f_70,3,6,7,2.281,3.403,2.786080221386312
35,20,10,35,6m,2f_70,3,6,7,3.138,2.472,2.7851635499553704
35,20,10,35,6m,2f_70,3,6,5,3.138,2.472,2.7851635499553704
40,5,15,40,6m,2f_80,5,8,7,2.788,2.782,2.7849983842006085
30,5,25,40,6m-1m,2f_80,3,6,7,2.861,2.709,2.783962823027635
35,10,15,40,6m-1m,2f_60,3,8,7,2.566,3.02,2.7837600471304995
40,10,10,40,6m,2f_60,5,10,7,2.685,2.883,2.782239206107196
40,0,20,40,6m-1m,2f_70,3,6,5,2.411,3.209,2.7815281770997755
25,10,10,55,6m-1m,2f_80,3,6,7,1.634,4.734,2.7812507977526946
35,20,5,40,6m-1m,2f_80,5,10,7,2.718,2.845,2.7807750718100164
40,0,20,40,6m-1m,2f_80,3,6,7,2.551,3.031,2.7806619715456247
40,0,20,40,6m-1m,2f_80,3,6,5,2.551,3.031,2.7806619715456247
35,10,10,45,6m-1m,2f_60,3,6,5,2.876,2.687,2.7798942425926922
35,10,15,40,6m-1m,2f_60,5,8,7,2.735,2.825,2.7796357675062393
30,5,25,40,6m-1m,2f_70,5,10,7,2.774,2.785,2.7794945583684814
30,20,15,35,6m-1m,2f_80,3,6,5,3.041,2.54,2.77923370733733
30,20,15,35,6m-1m,2f_80,3,6,7,3.041,2.54,2.77923370733733
30,15,5,50,6m-1m,2f_60,3,6,7,2.693,2.867,2.778638335588135
30,15,5,50,6m-1m,2f_60,3,6,5,2.693,2.867,2.778638335588135
40,5,15,40,6m,2f_80,3,8,7,2.338,3.302,2.7785024743555655
35,15,15,35,6m-1m,2f_60,3,8,7,2.961,2.606,2.7778347683042632
40,5,20,35,6m-1m,2f_60,5,8,7,2.634,2.928,2.777112169142615
40,0,10,50,6m,2f_60,5,8,7,2.395,3.22,2.777030788450139
35,10,10,45,6m-1m,2f_60,3,6,7,2.87,2.687,2.7769929780249716
30,20,20,30,6m-1m,2f_80,3,6,5,2.965,2.6,2.776508598942204
25,10,10,55,6m-1m,2f_80,3,6,5,1.631,4.724,2.775760076087269
30,5,25,40,6m-1m,2f_80,3,6,5,2.854,2.699,2.7754181666912827
40,0,20,40,6m,2f_80,5,10,7,2.835,2.712,2.7728180611067867
35,10,15,40,6m,2f_70,3,6,7,2.839,2.707,2.7722144577936247
35,10,5,50,6m-1m,2f_70,3,6,7,2.81,2.734,2.771739526001677
35,10,5,50,6m-1m,2f_70,3,6,5,2.81,2.734,2.771739526001677
35,10,15,40,6m-1m,2f_80,3,8,7,2.59,2.964,2.770696663296074
40,5,10,45,6m-1m,2f_70,5,10,7,2.456,3.122,2.769048934201055
40,20,10,30,6m,2f_60,3,6,7,3.004,2.552,2.7687917942669507
40,20,10,30,6m,2f_60,3,6,5,3.004,2.552,2.7687917942669507
35,10,10,45,6m-1m,2f_80,5,8,7,2.604,2.943,2.768315733437933
25,20,10,45,6m-1m,2f_70,5,10,7,2.646,2.895,2.767701212197588
40,10,5,45,6m-1m,2f_60,5,8,7,2.665,2.874,2.7675277776383744
30,20,15,35,6m-1m,2f_70,3,6,5,2.93,2.614,2.7674934507600915
30,20,15,35,6m-1m,2f_70,3,6,7,2.93,2.614,2.7674934507600915
40,10,5,45,6m-1m,2f_70,5,8,7,2.649,2.891,2.76735595831111
40,20,5,35,6m-1m,2f_80,3,6,5,2.964,2.582,2.7664142856774
25,10,25,40,6m-1m,2f_60,3,8,7,2.329,3.284,2.7655805900389163
30,10,10,50,6m-1m,2f_70,5,10,7,2.224,3.439,2.7655625105934596
40,20,5,35,6m-1m,2f_80,3,6,7,2.962,2.582,2.7654807900254887
30,20,5,45,6m-1m,2f_80,5,8,7,2.621,2.917,2.7650419526654564
40,0,20,40,6m-1m,2f_70,3,8,7,2.307,3.314,2.7650312837289923
30,15,15,40,6m-1m,2f_80,5,10,7,2.733,2.796,2.7643205313421957
40,0,5,55,6m-1m,2f_70,5,10,7,2.417,3.16,2.7636425239165794
35,15,15,35,6m-1m,2f_70,3,8,7,3.002,2.542,2.7624416735924036
30,10,25,35,6m-1m,2f_60,5,10,7,2.929,2.605,2.762253608921527
20,15,10,55,6m-1m,2f_70,3,8,7,1.558,4.895,2.761595553298853
30,20,20,30,6m-1m,2f_80,3,8,7,2.922,2.608,2.7605390777889744
30,15,10,45,6m,2f_70,3,8,7,2.519,3.025,2.760430220092513
30,20,5,45,6m-1m,2f_70,5,8,7,2.55,2.981,2.757090858132898
20,0,25,55,6m-1m,2f_60,5,10,7,1.875,4.054,2.7570364524249587
40,5,5,50,6m,2f_70,5,8,7,2.567,2.961,2.756970620082847
35,5,20,40,6m-1m,2f_70,3,6,7,2.379,3.193,2.7561108468274638
30,5,20,45,6m-1m,2f_80,3,6,7,2.5,3.038,2.755902755904134
40,5,10,45,6m-1m,2f_80,3,8,7,2.499,3.039,2.7558049640712965
40,5,20,35,6m-1m,2f_80,5,8,7,2.65,2.863,2.754441867239169
35,5,10,50,6m-1m,2f_60,5,8,7,2.583,2.937,2.754318609021113
25,15,10,50,6m-1m,2f_70,3,6,7,1.646,4.606,2.753448020210296
30,5,25,40,6m-1m,2f_60,3,6,7,2.321,3.266,2.7532500794515564
30,5,25,40,6m-1m,2f_60,3,6,5,2.321,3.266,2.7532500794515564
40,5,10,45,6m,2f_70,5,10,7,2.365,3.205,2.753148197972641
30,20,15,35,6m-1m,2f_60,3,8,7,2.973,2.549,2.752848887970424
40,10,15,35,6m-1m,2f_60,3,6,5,2.949,2.567,2.751378381829733
35,10,15,40,6m,2f_60,5,10,7,2.369,3.193,2.75031216410065
40,5,5,50,6m-1m,2f_80,3,8,7,2.187,3.458,2.7500265453264263
30,0,20,50,6m-1m,2f_70,3,6,5,2.343,3.226,2.7492759046701734
25,15,10,50,6m-1m,2f_70,3,6,5,1.641,4.606,2.749262810282058
25,10,10,55,6m-1m,2f_70,3,6,7,1.62,4.663,2.748465026155509
40,0,15,45,6m,2f_80,5,8,7,2.43,3.108,2.7481703003998863
40,10,15,35,6m-1m,2f_60,3,6,7,2.94,2.567,2.7471767325747356
30,10,25,35,6m-1m,2f_70,5,8,7,2.888,2.613,2.7470609749330284
25,10,10,55,6m-1m,2f_70,3,6,5,1.619,4.66,2.746732604386528
40,5,5,50,6m,2f_60,5,10,7,2.401,3.142,2.7466237456193374
35,5,15,45,6m-1m,2f_60,3,6,7,2.498,3.019,2.746172245144139
30,0,20,50,6m-1m,2f_70,3,6,7,2.335,3.226,2.7445782918328274
