dV,dQ,dG,dM,d_mom,d_gs,dE,dX,dS,cal_78,cal_525,score
30,15,10,45,6m-1m,2f_80,3,8,7,2.991,3.72,3.3356438658825676
30,5,20,45,6m-1m,2f_70,5,10,7,3.024,3.666,3.329562133374297
40,0,15,45,6m,2f_70,3,6,5,2.738,4.022,3.3184689240672425
40,0,15,45,6m,2f_70,3,6,7,2.738,4.022,3.3184689240672425
25,15,10,50,6m-1m,2f_70,5,8,7,2.741,4.017,3.318221963642577
35,5,15,45,6m,2f_80,3,6,5,2.59,4.244,3.3154124931899496
35,5,15,45,6m,2f_80,3,6,7,2.586,4.244,3.312851339858159
40,0,15,45,6m-1m,2f_80,5,8,7,3.097,3.534,3.3082923087296865
20,10,25,45,6m-1m,2f_80,3,8,7,2.502,4.369,3.3062422778737797
40,0,15,45,6m,2f_60,3,8,7,2.957,3.693,3.304572740915231
25,20,10,45,6m-1m,2f_60,3,8,7,3.322,3.25,3.285802793838973
20,15,15,50,6m-1m,2f_70,5,8,7,2.646,4.08,3.2856780122221347
20,10,25,45,6m-1m,2f_60,3,6,7,2.641,4.087,3.28538688741524
20,10,25,45,6m-1m,2f_60,3,6,5,2.641,4.087,3.28538688741524
35,15,10,40,6m-1m,2f_80,3,6,7,3.325,3.237,3.2807049547315286
25,5,25,45,6m-1m,2f_60,3,6,7,2.472,4.352,3.2799609753776036
25,15,15,45,6m-1m,2f_70,5,10,7,3.178,3.377,3.275989316221895
25,10,15,50,6m-1m,2f_60,5,10,7,2.746,3.901,3.2729414904638916
30,5,20,45,6m-1m,2f_80,5,10,7,3.083,3.469,3.2703099241509204
30,20,10,40,6m-1m,2f_80,3,8,7,3.289,3.244,3.266422507882286
30,5,15,50,6m-1m,2f_80,5,8,7,2.854,3.736,3.2653551108570107
25,5,25,45,6m-1m,2f_60,3,6,5,2.463,4.328,3.264944716224151
25,20,10,45,6m-1m,2f_70,3,6,7,3.506,3.039,3.2641590034800694
25,20,10,45,6m-1m,2f_70,3,6,5,3.506,3.039,3.2641590034800694
25,15,15,45,6m-1m,2f_70,5,8,7,2.93,3.629,3.2608235156168757
25,20,5,50,6m-1m,2f_70,5,8,7,2.923,3.637,3.2605139165475125
25,5,20,50,6m-1m,2f_60,3,8,7,2.398,4.429,3.258947989766023
30,5,15,50,6m-1m,2f_70,5,8,7,2.508,4.234,3.258661074736064
30,5,20,45,6m-1m,2f_60,5,10,7,3.087,3.434,3.2558805260635717
25,20,10,45,6m-1m,2f_80,5,10,7,3.101,3.418,3.2556440223095646
20,5,20,55,6m-1m,2f_70,5,8,7,2.412,4.384,3.251800731902249
30,0,20,50,6m-1m,2f_80,5,8,7,3.065,3.446,3.249921537514406
25,10,15,50,6m-1m,2f_80,5,10,7,2.907,3.63,3.248447321413724
35,15,10,40,6m-1m,2f_80,3,6,5,3.299,3.193,3.245567284774728
25,20,10,45,6m-1m,2f_70,3,8,7,3.382,3.092,3.2337507634324574
30,10,10,50,6m-1m,2f_70,3,6,7,3.165,3.302,3.23277435030656
30,10,10,50,6m-1m,2f_70,3,6,5,3.164,3.302,3.2322636031116025
40,0,20,40,6m,2f_80,3,6,5,2.437,4.282,3.23036128010475
40,0,20,40,6m,2f_80,3,6,7,2.441,4.271,3.2288559893559823
25,15,15,45,6m-1m,2f_60,3,6,7,2.615,3.979,3.225691398754692
25,15,15,45,6m-1m,2f_60,3,8,7,2.627,3.959,3.224948526721008
25,5,25,45,6m-1m,2f_60,5,8,7,3.274,3.171,3.222088453162017
25,20,5,50,6m-1m,2f_80,5,8,7,2.883,3.591,3.2175849639131524
25,10,15,50,6m-1m,2f_70,5,10,7,2.898,3.562,3.212892155052827
20,15,20,45,6m-1m,2f_70,3,6,7,2.5,4.11,3.2054640849649214
25,10,20,45,6m-1m,2f_70,3,8,7,2.201,4.648,3.1984758870437027
25,15,15,45,6m-1m,2f_60,5,8,7,3.097,3.303,3.1983419141799083
25,15,15,45,6m-1m,2f_60,3,6,5,2.595,3.934,3.1951103267336483
35,0,15,50,6m-1m,2f_70,5,8,7,3.027,3.369,3.1934249638906502
35,0,20,45,6m-1m,2f_80,3,8,7,2.506,4.061,3.1901200604365973
25,20,5,50,6m-1m,2f_80,5,10,7,2.769,3.667,3.1865220852835776
35,10,10,45,6m-1m,2f_80,3,8,7,3.054,3.317,3.182784629848523
25,15,20,40,6m-1m,2f_80,5,10,7,3.242,3.12,3.180415067251443
25,5,25,45,6m-1m,2f_70,3,8,7,2.269,4.455,3.179370220656915
25,20,5,50,6m-1m,2f_70,5,10,7,2.761,3.65,3.174531461491601
20,15,20,45,6m-1m,2f_70,3,6,5,2.479,4.061,3.1728881165272753
20,5,20,55,6m-1m,2f_80,5,8,7,2.211,4.548,3.1710610211725663
40,0,20,40,6m,2f_80,3,8,7,2.337,4.279,3.1622812967855976
30,5,20,45,6m-1m,2f_60,5,8,7,3.043,3.282,3.1602414464720887
25,0,20,55,6m-1m,2f_70,5,8,7,2.249,4.438,3.1592818804278924
35,15,10,40,6m-1m,2f_70,3,6,7,3.179,3.135,3.1569233440170823
25,15,5,55,6m-1m,2f_70,5,10,7,2.724,3.656,3.1557794599749838
35,5,15,45,6m,2f_70,3,6,5,2.477,4.017,3.154379336731713
25,5,20,50,6m-1m,2f_70,5,8,7,2.964,3.353,3.1525056700979937
20,15,20,45,6m-1m,2f_80,3,6,7,2.562,3.876,3.1512397560325365
40,5,10,45,6m-1m,2f_70,3,8,7,2.746,3.615,3.1506808787942964
35,5,15,45,6m,2f_70,3,6,7,2.47,4.017,3.1499190465788165
40,5,10,45,6m-1m,2f_60,3,8,7,2.711,3.649,3.145224793238156
35,0,15,50,6m-1m,2f_60,5,8,7,2.968,3.332,3.1447378269102177
30,0,15,55,6m-1m,2f_60,5,8,7,2.819,3.506,3.1437897512397357
40,0,15,45,6m-1m,2f_80,5,10,7,2.886,3.417,3.140296482818143
30,15,10,45,6m-1m,2f_70,5,10,7,2.73,3.609,3.138880373636434
40,5,15,40,6m,2f_60,3,6,7,2.74,3.595,3.138518758905226
40,0,15,45,6m-1m,2f_70,5,8,7,2.99,3.281,3.1321222836920017
25,10,15,50,6m-1m,2f_70,5,8,7,2.771,3.539,3.1315441877770143
35,15,10,40,6m-1m,2f_70,3,6,5,3.157,3.104,3.1303878353967582
35,0,20,45,6m-1m,2f_80,5,10,7,2.994,3.27,3.128958293106509
35,0,20,45,6m,2f_70,3,6,7,2.293,4.269,3.1287085195012976
20,15,20,45,6m-1m,2f_80,3,6,5,2.555,3.83,3.1282023591833057
25,20,5,50,6m-1m,2f_60,5,8,7,2.786,3.505,3.124888798021459
30,10,20,40,6m-1m,2f_60,5,10,7,3.097,3.149,3.122891768857832
20,15,10,55,6m-1m,2f_60,5,10,7,2.586,3.766,3.1207172252544764
40,0,10,50,6m-1m,2f_80,5,8,7,2.927,3.326,3.120128522993885
35,0,20,45,6m,2f_70,3,6,5,2.283,4.26,3.1185862181443693
35,0,20,45,6m-1m,2f_70,5,10,7,2.972,3.271,3.117917895006217
20,15,20,45,6m-1m,2f_70,5,10,7,3.133,3.095,3.113942035427121
40,0,15,45,6m-1m,2f_60,5,8,7,2.969,3.265,3.1134843824885325
25,5,20,50,6m-1m,2f_70,5,10,7,2.861,3.388,3.113369236052801
40,0,15,45,6m-1m,2f_70,5,10,7,2.973,3.26,3.1131945008302964
35,0,15,50,6m-1m,2f_60,3,8,7,2.422,3.988,3.107882880676169
30,15,20,35,6m-1m,2f_80,3,8,7,3.201,3.016,3.107123428510686
25,15,5,55,6m-1m,2f_60,5,10,7,2.67,3.607,3.1033353025414447
30,15,15,40,6m-1m,2f_60,3,6,5,3.007,3.196,3.1000599994193663
30,10,15,45,6m-1m,2f_80,5,8,7,2.8,3.427,3.0976765486409326
35,5,15,45,6m,2f_80,3,8,7,2.295,4.176,3.0957906905990917
40,5,15,40,6m,2f_60,3,6,5,2.699,3.547,3.094083547676113
30,15,20,35,6m-1m,2f_80,3,6,5,3.198,2.993,3.093802514705811
30,15,20,35,6m-1m,2f_80,3,6,7,3.198,2.993,3.093802514705811
35,0,15,50,6m-1m,2f_80,5,10,7,2.902,3.297,3.0932012543641583
20,10,25,45,6m-1m,2f_60,3,8,7,2.332,4.094,3.08985566005922
30,0,15,55,6m-1m,2f_70,5,10,7,2.636,3.62,3.0890645833326307
25,10,25,40,6m-1m,2f_70,3,6,5,2.602,3.666,3.0885161485736154
25,10,25,40,6m-1m,2f_70,3,6,7,2.602,3.666,3.0885161485736154
40,0,15,45,6m-1m,2f_60,5,10,7,2.963,3.213,3.085469008108816
30,5,15,50,6m-1m,2f_60,5,8,7,2.465,3.855,3.0826246933416983
30,15,10,45,6m-1m,2f_80,5,10,7,2.67,3.558,3.082184290401857
40,10,5,45,6m-1m,2f_60,3,6,7,2.706,3.51,3.0818922758591025
40,0,10,50,6m-1m,2f_70,5,8,7,2.759,3.44,3.080740170803114
35,0,20,45,6m-1m,2f_70,3,8,7,2.467,3.842,3.078670817089739
40,5,10,45,6m-1m,2f_70,3,6,5,2.963,3.197,3.0777769574808373
30,15,15,40,6m-1m,2f_60,3,6,7,2.963,3.196,3.0772955659149805
30,10,10,50,6m-1m,2f_70,3,8,7,2.875,3.293,3.076909975933648
40,5,10,45,6m-1m,2f_70,3,6,7,2.962,3.195,3.076294849327678
25,15,15,45,6m-1m,2f_60,5,10,7,2.995,3.156,3.0744462916108977
40,10,5,45,6m-1m,2f_70,3,6,5,2.72,3.472,3.073083142383232
40,10,5,45,6m-1m,2f_60,3,6,5,2.699,3.497,3.072198398541344
35,15,10,40,6m-1m,2f_60,5,8,7,2.953,3.194,3.0711369230302967
20,5,25,50,6m-1m,2f_70,5,10,7,2.764,3.412,3.070955551615816
