label,t,cagr,mdd,calmar,sharpe,sortino,total
CV>0.6,0.6,164.76,35.73,4.611,0.854,5.036,171766.04
CV>0.7,0.7,160.78,35.73,4.5,0.845,5.001,152929.66
CV>0.5,0.5,169.08,38.3,4.415,0.864,5.08,194384.95
CV>0.8,0.8,152.9,35.73,4.279,0.826,4.946,120923.07
CV>0.4,0.4,153.61,38.52,3.988,0.829,4.831,123547.31
baseline,,150.26,38.17,3.937,0.821,4.919,111574.7
CV>1.0,1.0,144.45,38.17,3.785,0.807,4.787,93222.47
CV>0.3,0.3,134.32,38.52,3.487,0.781,4.606,67401.42
CV>0.2,0.2,93.76,42.32,2.216,0.668,3.872,15666.93
