cfg,variant,period,confirm,oV,oQ,oG,oM,oE,oX,oS,o_mom,dV,dQ,dG,dM,dE,dX,dS,d_mom,cal,cagr,mdd,total
0,dV+5,2018H2-2019,7,15.0,5.0,50.0,30.0,3,6,3,12m,35.0,15.0,15.0,35.0,3,6,7,6m-1m,7.115,212.78,29.9,431.09
0,dV+5,2022-2023,7,15.0,5.0,50.0,30.0,3,6,3,12m,35.0,15.0,15.0,35.0,3,6,7,6m-1m,2.656,58.68,22.09,145.87
0,dV+5,2020-2021,7,15.0,5.0,50.0,30.0,3,6,3,12m,35.0,15.0,15.0,35.0,3,6,7,6m-1m,2.136,77.96,36.5,210.97
0,dV+5,2024-2026,7,15.0,5.0,50.0,30.0,3,6,3,12m,35.0,15.0,15.0,35.0,3,6,7,6m-1m,5.054,177.79,35.18,848.92
0,dV+5,5.25y,7,15.0,5.0,50.0,30.0,3,6,3,12m,35.0,15.0,15.0,35.0,3,6,7,6m-1m,2.277,94.55,41.52,2949.22
0,dV+5,full,7,15.0,5.0,50.0,30.0,3,6,3,12m,35.0,15.0,15.0,35.0,3,6,7,6m-1m,2.834,117.67,41.52,36452.14
0,dG-5,2018H2-2019,7,15.0,5.0,50.0,30.0,3,6,3,12m,30.0,15.0,10.0,45.0,3,6,7,6m-1m,3.114,121.97,39.17,221.41
0,dG-5,2020-2021,7,15.0,5.0,50.0,30.0,3,6,3,12m,30.0,15.0,10.0,45.0,3,6,7,6m-1m,1.945,81.3,41.8,222.53
0,dG-5,2022-2023,7,15.0,5.0,50.0,30.0,3,6,3,12m,30.0,15.0,10.0,45.0,3,6,7,6m-1m,4.185,78.67,18.8,209.81
0,dG-5,2024-2026,7,15.0,5.0,50.0,30.0,3,6,3,12m,30.0,15.0,10.0,45.0,3,6,7,6m-1m,5.292,181.47,34.29,876.83
0,dG-5,full,7,15.0,5.0,50.0,30.0,3,6,3,12m,30.0,15.0,10.0,45.0,3,6,7,6m-1m,2.667,112.63,42.23,30500.8
0,dG-5,5.25y,7,15.0,5.0,50.0,30.0,3,6,3,12m,30.0,15.0,10.0,45.0,3,6,7,6m-1m,3.218,110.34,34.29,4452.26
0,dG+5,2018H2-2019,7,15.0,5.0,50.0,30.0,3,6,3,12m,30.0,15.0,20.0,35.0,3,6,7,6m-1m,4.232,164.58,38.89,315.66
0,dG+5,2022-2023,7,15.0,5.0,50.0,30.0,3,6,3,12m,30.0,15.0,20.0,35.0,3,6,7,6m-1m,1.664,40.44,24.3,93.8
0,dG+5,2020-2021,7,15.0,5.0,50.0,30.0,3,6,3,12m,30.0,15.0,20.0,35.0,3,6,7,6m-1m,2.019,77.87,38.56,210.64
0,dG+5,2024-2026,7,15.0,5.0,50.0,30.0,3,6,3,12m,30.0,15.0,20.0,35.0,3,6,7,6m-1m,3.846,155.3,40.38,687.91
0,dG+5,full,7,15.0,5.0,50.0,30.0,3,6,3,12m,30.0,15.0,20.0,35.0,3,6,7,6m-1m,2.426,99.82,41.14,18998.3
0,dG+5,5.25y,7,15.0,5.0,50.0,30.0,3,6,3,12m,30.0,15.0,20.0,35.0,3,6,7,6m-1m,2.066,83.41,40.38,2152.45
0,oE-1,2018H2-2019,7,15.0,5.0,50.0,30.0,2,6,3,12m,30.0,15.0,15.0,40.0,3,6,7,6m-1m,5.249,186.13,35.46,366.16
0,oE-1,2022-2023,7,15.0,5.0,50.0,30.0,2,6,3,12m,30.0,15.0,15.0,40.0,3,6,7,6m-1m,3.241,74.84,23.09,196.99
0,oE-1,2020-2021,7,15.0,5.0,50.0,30.0,2,6,3,12m,30.0,15.0,15.0,40.0,3,6,7,6m-1m,3.204,120.14,37.49,372.62
0,oE-1,full,7,15.0,5.0,50.0,30.0,2,6,3,12m,30.0,15.0,15.0,40.0,3,6,7,6m-1m,3.425,128.41,37.49,52583.76
0,oE-1,2024-2026,7,15.0,5.0,50.0,30.0,2,6,3,12m,30.0,15.0,15.0,40.0,3,6,7,6m-1m,4.144,150.61,36.34,656.37
0,oE-1,5.25y,7,15.0,5.0,50.0,30.0,2,6,3,12m,30.0,15.0,15.0,40.0,3,6,7,6m-1m,2.92,106.12,36.34,4001.48
0,oE+1,2018H2-2019,7,15.0,5.0,50.0,30.0,4,6,3,12m,30.0,15.0,15.0,40.0,3,6,7,6m-1m,4.895,179.77,36.72,351.08
0,oE+1,2022-2023,7,15.0,5.0,50.0,30.0,4,6,3,12m,30.0,15.0,15.0,40.0,3,6,7,6m-1m,4.069,80.78,19.85,216.98
0,oE+1,2020-2021,7,15.0,5.0,50.0,30.0,4,6,3,12m,30.0,15.0,15.0,40.0,3,6,7,6m-1m,2.61,97.34,37.3,281.1
0,oE+1,2024-2026,7,15.0,5.0,50.0,30.0,4,6,3,12m,30.0,15.0,15.0,40.0,3,6,7,6m-1m,4.337,148.47,34.23,642.23
0,oE+1,5.25y,7,15.0,5.0,50.0,30.0,4,6,3,12m,30.0,15.0,15.0,40.0,3,6,7,6m-1m,3.103,106.21,34.23,4011.53
0,oE+1,full,7,15.0,5.0,50.0,30.0,4,6,3,12m,30.0,15.0,15.0,40.0,3,6,7,6m-1m,3.198,121.55,38.01,41702.7
0,dE-1,2018H2-2019,7,15.0,5.0,50.0,30.0,3,6,3,12m,30.0,15.0,15.0,40.0,2,6,7,6m-1m,-0.538,-31.21,57.97,-42.18
0,dE-1,2020-2021,7,15.0,5.0,50.0,30.0,3,6,3,12m,30.0,15.0,15.0,40.0,2,6,7,6m-1m,1.354,56.28,41.56,140.8
0,dE-1,2022-2023,7,15.0,5.0,50.0,30.0,3,6,3,12m,30.0,15.0,15.0,40.0,2,6,7,6m-1m,3.731,89.29,23.93,246.71
0,dE-1,2024-2026,7,15.0,5.0,50.0,30.0,3,6,3,12m,30.0,15.0,15.0,40.0,2,6,7,6m-1m,3.656,143.4,39.23,609.28
0,dE-1,full,7,15.0,5.0,50.0,30.0,3,6,3,12m,30.0,15.0,15.0,40.0,2,6,7,6m-1m,0.89,58.0,65.18,3115.64
0,dE-1,5.25y,7,15.0,5.0,50.0,30.0,3,6,3,12m,30.0,15.0,15.0,40.0,2,6,7,6m-1m,2.055,92.6,45.06,2794.9
0,dE+1,2018H2-2019,7,15.0,5.0,50.0,30.0,3,6,3,12m,30.0,15.0,15.0,40.0,4,6,7,6m-1m,5.99,181.19,30.25,354.42
0,dE+1,2022-2023,7,15.0,5.0,50.0,30.0,3,6,3,12m,30.0,15.0,15.0,40.0,4,6,7,6m-1m,2.215,52.4,23.65,127.27
0,dE+1,2020-2021,7,15.0,5.0,50.0,30.0,3,6,3,12m,30.0,15.0,15.0,40.0,4,6,7,6m-1m,2.127,81.57,38.35,223.5
0,dE+1,2024-2026,7,15.0,5.0,50.0,30.0,3,6,3,12m,30.0,15.0,15.0,40.0,4,6,7,6m-1m,4.688,168.36,35.92,779.42
0,dE+1,full,7,15.0,5.0,50.0,30.0,3,6,3,12m,30.0,15.0,15.0,40.0,4,6,7,6m-1m,2.843,110.31,38.81,28060.19
0,dE+1,5.25y,7,15.0,5.0,50.0,30.0,3,6,3,12m,30.0,15.0,15.0,40.0,4,6,7,6m-1m,2.613,93.85,35.92,2892.73
0,conf-2,2018H2-2019,5,15.0,5.0,50.0,30.0,3,6,3,12m,30.0,15.0,15.0,40.0,3,6,7,6m-1m,4.529,159.52,35.22,304.08
