ma_w,cd,V_b,Q_b,G_b,M_b,V_d,Q_d,G_d,M_d,gs1_b,gs2_b,gs1_d,gs2_d,g_rev_b,g_rev_d,mom_b,mom_d,eb,xb,sb,ed,xd,sd,sl,ts,ts_cd,cal_78,cagr_78,mdd_78,sharpe_78,sortino_78,total_78,wf_min,wf_mean,wf_cv,wf_2018,wf_2020,wf_2022,wf_2024
150,15,0.15,0.0,0.55,0.3,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.259,67.58,53.69,1.405,2.198,5104.44,-0.255,0.19375,1.82293813222583,-0.255,-0.006,0.364,0.672
200,3,0.15,0.0,0.55,0.3,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.648,74.01,44.91,1.487,2.369,6843.55,-0.259,0.1315,2.050938727829892,-0.259,0.02,0.386,0.379
250,8,0.1,0.0,0.6,0.3,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.811,75.38,41.62,1.489,2.392,7273.88,0.032,0.1725,0.8145030686850053,0.032,0.032,0.314,0.312
250,8,0.15,0.0,0.6,0.25,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.929,75.81,39.3,1.491,2.362,7411.07,0.032,0.324,0.7883219963204374,0.032,0.118,0.505,0.641
250,8,0.15,0.0,0.7,0.15,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.884,45.77,51.78,1.079,1.577,1690.29,0.031,0.41325,0.9109982706066027,0.031,0.06,0.668,0.894
250,8,0.2,0.0,0.55,0.25,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.686,66.26,39.3,1.389,2.151,4798.82,0.014,0.23374999999999999,1.0103974889072587,0.032,0.014,0.294,0.595
250,8,0.1,0.0,0.7,0.2,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.955,70.33,35.98,1.449,2.324,5795.23,0.012,0.621,0.8001438384748993,0.012,0.252,1.076,1.144
250,8,0.2,0.05,0.6,0.15,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.482,60.29,40.68,1.312,2.031,3602.38,0.007,0.2085,1.1211665943378284,0.017,0.007,0.226,0.584
250,8,0.15,0.1,0.6,0.15,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.553,61.16,39.37,1.327,2.051,3758.86,0.006,0.3515,1.1319568549441685,0.006,0.038,0.366,0.996
250,8,0.25,0.0,0.4,0.35,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.631,66.18,40.58,1.352,2.069,4781.44,0.006,0.23175,0.9426677049190209,0.006,0.026,0.4,0.495
