v,q,g,m,mom,gs,cagr,mdd,calmar,sharpe,sortino,rank
0,5,55,40,12m-1m,3f_oca_gp,121.07,36.36,3.33,0.747,4.454,70
10,0,65,25,12m-1m,3f_oca_accel,128.4,38.7,3.318,0.765,4.623,71
20,0,55,25,12m,2f_06,128.63,38.83,3.312,0.766,4.575,72
5,0,60,35,12m-1m,3f_oca_gp,128.04,38.67,3.311,0.765,4.542,73
20,0,50,30,12m,3f_oca_accel,128.39,38.83,3.307,0.766,4.466,74
10,5,55,30,12m,3f_oca_accel,124.38,37.78,3.292,0.756,4.471,75
15,0,45,40,12m-1m,2f_06,119.58,36.36,3.289,0.743,4.365,76
20,0,50,30,12m-1m,3f_oca_accel,130.47,39.68,3.288,0.77,4.631,77
5,5,50,40,12m-1m,2f_06,119.43,36.36,3.285,0.743,4.363,78
20,0,50,30,12m,3f_oca_gp,119.33,36.35,3.283,0.742,4.399,79
15,5,45,35,12m-1m,2f_07,123.29,37.55,3.283,0.753,4.438,80
20,0,45,35,12m-1m,2f_06,118.86,36.29,3.275,0.741,4.321,81
0,5,60,35,12m-1m,2f_06,124.24,37.93,3.275,0.756,4.45,82
10,0,55,35,12m,2f_07,123.9,37.84,3.274,0.755,4.428,83
10,5,50,35,12m-1m,2f_07,118.99,36.36,3.273,0.742,4.352,84
5,5,60,30,12m-1m,3f_oca_gp,126.23,38.64,3.267,0.76,4.504,85
10,0,50,40,12m,2f_07,118.67,36.36,3.264,0.741,4.28,86
0,0,60,40,12m-1m,3f_oca_gp,126.78,38.93,3.257,0.762,4.493,87
15,0,55,30,12m,3f_oca_accel,122.88,37.78,3.252,0.751,4.474,88
20,0,50,30,12m-1m,3f_oca_gp,121.29,37.33,3.249,0.747,4.402,89
15,5,50,30,12m,3f_oca_accel,122.61,37.78,3.245,0.751,4.413,90
0,5,60,35,12m,3f_oca_gp,125.2,38.62,3.241,0.759,4.491,91
20,0,50,30,12m-1m,2f_06,117.51,36.3,3.237,0.736,4.359,92
5,5,50,40,12m,3f_oca_gp,136.65,42.22,3.236,0.79,4.595,93
10,5,50,35,12m,2f_06,131.77,40.77,3.232,0.776,4.537,94
5,0,55,40,12m,2f_07,121.12,37.5,3.23,0.748,4.43,95
15,5,55,25,12m,2f_06,126.02,39.05,3.227,0.759,4.543,96
5,5,55,35,12m,3f_oca_gp,131.15,40.66,3.226,0.775,4.555,97
0,0,65,35,12m-1m,3f_oca_gp,124.69,38.67,3.224,0.757,4.445,98
15,5,45,35,12m,3f_oca_gp,124.24,38.63,3.217,0.755,4.379,99
5,5,60,30,12m-1m,3f_oca_accel,121.54,37.78,3.217,0.748,4.395,100
5,0,60,35,12m-1m,2f_07,124.24,38.67,3.212,0.756,4.394,101
20,5,45,30,12m-1m,2f_07,112.42,35.04,3.209,0.722,4.268,102
15,0,60,25,12m,2f_07,128.9,40.24,3.203,0.767,4.533,103
10,0,60,30,12m,3f_oca_accel,120.76,37.78,3.196,0.746,4.444,104
20,5,50,25,12m-1m,2f_06,116.63,36.54,3.192,0.733,4.416,105
20,5,50,25,12m,2f_07,116.62,36.56,3.19,0.734,4.373,106
10,0,50,40,12m-1m,3f_oca_accel,115.94,36.36,3.189,0.733,4.226,107
15,0,60,25,12m,3f_oca_gp,123.48,38.75,3.186,0.753,4.412,108
15,0,50,35,12m,2f_07,120.58,37.88,3.183,0.746,4.386,109
5,5,60,30,12m,2f_07,130.06,40.88,3.181,0.772,4.512,110
5,0,60,35,12m,2f_07,123.91,39.05,3.173,0.756,4.419,111
10,0,60,30,12m-1m,2f_07,119.51,37.69,3.171,0.742,4.422,112
10,0,60,30,12m-1m,3f_oca_accel,121.18,38.26,3.167,0.746,4.458,113
5,0,60,35,12m,2f_06,131.03,41.38,3.167,0.774,4.597,114
10,0,50,40,12m-1m,3f_oca_gp,115.11,36.36,3.166,0.73,4.319,115
0,0,60,40,12m-1m,2f_06,122.4,38.67,3.165,0.75,4.455,116
10,5,45,40,12m,3f_oca_gp,124.53,39.36,3.164,0.757,4.386,117
10,0,65,25,12m-1m,3f_oca_gp,121.97,38.64,3.157,0.748,4.427,118
15,0,50,35,12m-1m,3f_oca_accel,119.58,37.92,3.153,0.742,4.458,119
15,0,60,25,12m,3f_oca_accel,119.05,37.78,3.151,0.741,4.444,120
10,5,55,30,12m,2f_07,132.48,42.09,3.148,0.778,4.503,121
20,0,45,35,12m-1m,2f_07,114.14,36.26,3.147,0.727,4.334,122
