cap,off_rank,defense,V,Q,G,M,mom,gs,cal_78,cagr_78,mdd_78,cal_525,cagr_525,mdd_525,score
3,6,v79,20,15,20,45,12m-1m,3f_rev_oca_gp,0.671,36.61,54.56,1.035,48.99,47.35,0.853
5,14,v77.1,25,10,20,45,6m-1m,3f_rev_oca_gp,0.36,25.72,71.54,1.319,57.99,43.96,0.8394999999999999
3,4,v79,25,15,20,40,12m-1m,3f_rev_oca_gp,0.692,35.64,51.48,0.981,48.29,49.21,0.8365
3,14,v79,25,10,20,45,6m-1m,3f_rev_oca_gp,0.66,36.32,55.05,0.956,50.41,52.73,0.808
5,5,v79,25,15,20,40,12m-1m,2f_rev_oca_0.7,0.302,21.36,70.65,1.255,43.57,34.7,0.7785
3,5,v79,25,15,20,40,12m-1m,2f_rev_oca_0.7,0.626,32.23,51.53,0.905,42.98,47.48,0.7655000000000001
5,14,v79,25,10,20,45,6m-1m,3f_rev_oca_gp,0.349,25.98,74.35,1.171,51.42,43.92,0.76
3,11,v77.1,30,10,20,40,12m-1m,3f_rev_oca_gp,0.498,29.97,60.21,0.952,45.03,47.29,0.725
5,5,v77.1,25,15,20,40,12m-1m,2f_rev_oca_0.7,0.313,21.12,67.44,1.072,49.79,46.44,0.6925
3,12,v79,30,5,20,45,6m-1m,2f_rev_oca_0.7,0.493,27.1,54.95,0.689,35.98,52.23,0.591
5,11,v79,30,10,20,40,12m-1m,3f_rev_oca_gp,0.271,17.96,66.17,0.836,28.71,34.34,0.5535
5,11,v77.1,30,10,20,40,12m-1m,3f_rev_oca_gp,0.284,17.72,62.47,0.775,34.29,44.22,0.5295
3,11,v79,30,10,20,40,12m-1m,3f_rev_oca_gp,0.431,22.2,51.53,0.505,24.65,48.79,0.46799999999999997
5,12,v77.1,30,5,20,45,6m-1m,2f_rev_oca_0.7,0.13,8.97,68.97,0.48,26.9,56.04,0.305
5,12,v79,30,5,20,45,6m-1m,2f_rev_oca_0.7,0.128,9.19,72.03,0.41,21.63,52.78,0.269
