date,tickers,names,prices
20260508,088130|006910|171090,동아엘텍|보성파워텍|선익시스템,10430.00|14310.00|92500.00
20260511,088130|171090|124500,동아엘텍|선익시스템|아이티센글로벌,10260.00|90000.00|56600.00
20260512,088130|171090,동아엘텍|선익시스템,10000.00|91100.00
20260513,006910|124500|000660,보성파워텍|아이티센글로벌|SK하이닉스,12460.00|54800.00|1976000.00
20260514,006910|124500|000660,보성파워텍|아이티센글로벌|SK하이닉스,12240.00|53100.00|1970000.00
20260515,000660|006910|080220,SK하이닉스|보성파워텍|제주반도체,1819000.00|11430.00|82300.00
20260518,031330|000660|080220,에스에이엠티|SK하이닉스|제주반도체,18590.00|1840000.00|92600.00
20260519,031330|000660|080220,에스에이엠티|SK하이닉스|제주반도체,15640.00|1745000.00|95900.00
20260520,031330|000660|080220,에스에이엠티|SK하이닉스|제주반도체,14280.00|1745000.00|94800.00
20260521,031330|000660|037460,에스에이엠티|SK하이닉스|삼지전자,14790.00|1940000.00|47200.00
20260522,031330|089970|000660,에스에이엠티|브이엠|SK하이닉스,15590.00|64500.00|1941000.00
20260526,031330|089970|000660,에스에이엠티|브이엠|SK하이닉스,18170.00|66200.00|2052000.00
20260527,031330|089970|000660,에스에이엠티|브이엠|SK하이닉스,17700.00|64000.00|2243000.00
20260528,031330|089970|080220,에스에이엠티|브이엠|제주반도체,16320.00|61200.00|109700.00
20260529,031330|089970|000660,에스에이엠티|브이엠|SK하이닉스,15650.00|58900.00|2333000.00
20260601,031330|089970|000660,에스에이엠티|브이엠|SK하이닉스,14700.00|55800.00|2363000.00
20260602,031330|089970|000660,에스에이엠티|브이엠|SK하이닉스,16270.00|54200.00|2360000.00
20260604,031330|089970|000660,에스에이엠티|브이엠|SK하이닉스,18860.00|69500.00|2298000.00
20260605,031330|089970|000660,에스에이엠티|브이엠|SK하이닉스,15940.00|68000.00|2070000.00
20260608,089970|080220|000660,브이엠|제주반도체|SK하이닉스,60300.00|95500.00|1911000.00
20260609,089970|080220|000660,브이엠|제주반도체|SK하이닉스,76600.00|100400.00|2215000.00
20260610,080220|000660|005930,제주반도체|SK하이닉스|삼성전자,93500.00|2048000.00|302500.00
20260611,000660|080220|187870,SK하이닉스|제주반도체|디바이스,2101000.00|97000.00|24300.00
20260612,000660|080220|187870,SK하이닉스|제주반도체|디바이스,2150000.00|102500.00|23600.00
20260615,080220|000660|187870,제주반도체|SK하이닉스|디바이스,104800.00|2288000.00|24350.00
20260616,080220|000660|187870,제주반도체|SK하이닉스|디바이스,101200.00|2382000.00|22900.00
20260617,080220|000660|219130,제주반도체|SK하이닉스|타이거일렉,111500.00|2521000.00|69500.00
20260618,080220|000660|219130,제주반도체|SK하이닉스|타이거일렉,117700.00|2685000.00|74800.00
20260619,000660|080220|219130,SK하이닉스|제주반도체|타이거일렉,2764000.00|114300.00|68500.00
20260622,000660|080220|005930,SK하이닉스|제주반도체|삼성전자,2919000.00|134000.00|353500.00
20260623,000660|080220|005930,SK하이닉스|제주반도체|삼성전자,2555000.00|110800.00|310000.00
20260624,000660|080220|005930,SK하이닉스|제주반도체|삼성전자,2580000.00|112900.00|340500.00
20260625,000660|089970|080220,SK하이닉스|브이엠|제주반도체,2917000.00|100000.00|108100.00
20260626,000660|080220|005930,SK하이닉스|제주반도체|삼성전자,2673000.00|99200.00|339500.00
20260629,000660|080220|005930,SK하이닉스|제주반도체|삼성전자,2628000.00|96900.00|323000.00
20260630,000660|080220|005930,SK하이닉스|제주반도체|삼성전자,2650000.00|103900.00|334000.00
20260701,000660|080220|005930,SK하이닉스|제주반도체|삼성전자,2560000.00|103300.00|314500.00
20260702,000660|080220|005930,SK하이닉스|제주반도체|삼성전자,2187000.00|89700.00|286000.00
20260703,000660|080220|131290,SK하이닉스|제주반도체|티에스이,2425000.00|91500.00|251000.00
20260706,000660|080220|005930,SK하이닉스|제주반도체|삼성전자,2343000.00|89300.00|318000.00
20260707,000660|080220|278470,SK하이닉스|제주반도체|에이피알,2201000.00|82300.00|410000.00
20260708,000660,SK하이닉스,2076000.00
20260709,000660,SK하이닉스,2186000.00
20260710,000660,SK하이닉스,2180000.00
20260713,000660|131290,SK하이닉스|티에스이,1845000.00|250500.00
20260714,000660|131290,SK하이닉스|티에스이,1913000.00|277000.00
20260715,000660|131290,SK하이닉스|티에스이,2082000.00|284500.00
20260716,000660|131290,SK하이닉스|티에스이,1842000.00|282500.00
