date,factor,ic,n
20190214,momentum_s,-0.181822,155
20190214,mom_10_z,0.096351,155
20190214,vol_low_z,0.158059,155
20190214,score,0.077681,155
20190215,value_s,-0.062343,152
20190215,growth_s,0.196841,152
20190215,momentum_s,-0.217535,152
20190215,mom_10_z,0.066106,152
20190215,vol_low_z,0.10824,152
20190215,score,0.018463,152
20190218,value_s,-0.069302,162
20190218,growth_s,0.228522,162
20190218,momentum_s,-0.139899,162
20190218,mom_10_z,0.113215,162
20190218,vol_low_z,0.145872,162
20190218,score,0.108475,162
20190219,value_s,-0.067401,167
20190219,growth_s,0.196947,167
20190219,momentum_s,-0.106579,167
20190219,mom_10_z,0.080667,167
20190219,vol_low_z,0.079857,167
20190219,score,0.094041,167
20190220,value_s,-0.096838,181
20190220,growth_s,0.217968,181
20190220,mom_10_z,0.301068,181
20190220,vol_low_z,0.04605,181
20190220,score,0.095059,181
20190221,value_s,-0.100534,163
20190221,growth_s,0.218039,163
20190221,momentum_s,-0.153275,163
20190221,mom_10_z,0.37609,163
20190221,vol_low_z,0.045834,163
20190221,score,0.10271,163
20190222,value_s,-0.136867,164
20190222,growth_s,0.253406,164
20190222,momentum_s,-0.085737,164
20190222,mom_10_z,0.287516,164
20190222,vol_low_z,0.032838,164
20190222,score,0.147717,164
20190225,value_s,-0.155317,166
20190225,growth_s,0.157982,166
20190225,momentum_s,-0.043089,166
20190225,mom_10_z,0.249392,166
20190225,vol_low_z,0.082488,166
20190225,score,0.106579,166
20190226,value_s,-0.125621,170
20190226,growth_s,0.107281,170
20190226,momentum_s,-0.127465,170
20190226,mom_10_z,0.190317,170
20190226,vol_low_z,0.01982,170
20190226,score,0.004676,170
20190227,value_s,-0.084355,171
20190227,growth_s,0.129826,171
20190227,momentum_s,-0.084203,171
20190227,mom_10_z,0.170683,171
20190227,vol_low_z,0.117412,171
20190227,score,0.045236,171
20190228,value_s,-0.160433,146
20190228,growth_s,0.1073,146
20190228,momentum_s,-0.018769,146
20190228,mom_10_z,-0.156623,146
20190228,vol_low_z,-0.205892,146
20190228,score,-0.001502,146
20190304,value_s,-0.040098,146
20190304,growth_s,0.121633,146
20190304,momentum_s,-0.039209,146
20190304,mom_10_z,-0.229702,146
20190304,vol_low_z,-0.200295,146
20190304,score,0.050301,146
20190305,value_s,-0.046812,145
20190305,growth_s,0.18184,145
20190305,momentum_s,-0.075276,145
20190305,mom_10_z,-0.269657,145
20190305,vol_low_z,-0.187847,145
20190305,score,0.090651,145
20190306,value_s,-0.05495,147
20190306,growth_s,0.156999,147
20190306,momentum_s,-0.137299,147
20190306,mom_10_z,-0.228211,147
20190306,vol_low_z,-0.236013,147
20190306,score,0.059236,147
20190307,value_s,0.051438,136
20190307,growth_s,0.122001,136
20190307,momentum_s,-0.117795,136
20190307,mom_10_z,-0.215596,136
20190307,vol_low_z,-0.300945,136
20190307,score,0.057471,136
20190308,value_s,0.132425,124
20190308,growth_s,0.05651,124
20190308,momentum_s,-0.114512,124
20190308,mom_10_z,-0.174131,124
20190308,vol_low_z,-0.244472,124
20190308,score,0.034014,124
20190311,value_s,0.134302,126
20190311,growth_s,0.038191,126
20190311,momentum_s,-0.032732,126
20190311,mom_10_z,-0.236163,126
20190311,vol_low_z,-0.160267,126
20190311,score,0.056771,126
20190312,value_s,0.160818,134
20190312,growth_s,0.106578,134
20190312,momentum_s,0.014963,134
20190312,mom_10_z,-0.1693,134
20190312,vol_low_z,-0.253475,134
20190312,score,0.180337,134
20190313,value_s,0.181706,131
20190313,growth_s,0.074158,131
20190313,momentum_s,0.102578,131
20190313,mom_10_z,-0.142577,131
20190313,vol_low_z,-0.18974,131
20190313,score,0.213404,131
20190314,value_s,0.064185,141
20190314,growth_s,0.13912,141
20190314,momentum_s,0.097102,141
20190314,mom_10_z,-0.097254,141
20190314,vol_low_z,-0.136675,141
20190314,score,0.220985,141
20190315,value_s,0.065015,138
20190315,growth_s,0.105957,138
20190315,momentum_s,0.058618,138
20190315,mom_10_z,0.026238,138
20190315,vol_low_z,-0.249262,138
20190315,score,0.211855,138
20190318,value_s,0.054004,138
20190318,growth_s,0.106151,138
20190318,momentum_s,0.107612,138
20190318,mom_10_z,0.031369,138
20190318,vol_low_z,-0.110252,138
20190318,score,0.217976,138
20190319,value_s,0.111594,135
20190319,growth_s,0.106068,135
20190319,momentum_s,0.01018,135
20190319,mom_10_z,0.000863,135
20190319,vol_low_z,0.039128,135
20190319,score,0.197361,135
20190320,value_s,0.191389,137
20190320,growth_s,0.029811,137
20190320,momentum_s,-0.091073,137
20190320,mom_10_z,-0.050948,137
20190320,vol_low_z,0.092438,137
20190320,score,0.067747,137
20190321,value_s,0.237127,131
20190321,growth_s,-0.013895,131
20190321,momentum_s,-0.006283,131
20190321,mom_10_z,-0.042209,131
20190321,vol_low_z,0.131816,131
20190321,score,0.080025,131
20190322,value_s,0.180431,124
20190322,growth_s,0.014401,124
20190322,momentum_s,-0.062118,124
20190322,mom_10_z,-0.054288,124
20190322,vol_low_z,0.135541,124
20190322,score,0.086732,124
20190325,value_s,0.145512,108
20190325,growth_s,0.035273,108
20190325,momentum_s,-0.153744,108
20190325,mom_10_z,0.027709,108
20190325,vol_low_z,0.05455,108
20190325,score,0.0904,108
20190326,value_s,0.190666,116
20190326,growth_s,-0.001522,116
20190326,momentum_s,-0.133041,116
20190326,mom_10_z,-0.042202,116
20190326,vol_low_z,0.100012,116
20190326,score,0.022839,116
20190327,value_s,0.202353,116
20190327,growth_s,0.108504,116
20190327,momentum_s,-0.163472,116
20190327,mom_10_z,-0.122574,116
20190327,vol_low_z,0.155176,116
20190327,score,0.120321,116
20190328,value_s,0.220853,104
20190328,growth_s,0.200961,104
20190328,momentum_s,-0.216879,104
20190328,mom_10_z,-0.170383,104
20190328,vol_low_z,0.059255,104
20190328,score,0.186739,104
20190329,value_s,0.107737,112
20190329,growth_s,0.111478,112
20190329,momentum_s,-0.129532,112
20190329,mom_10_z,0.023427,112
20190329,vol_low_z,0.085694,112
20190329,score,0.095517,112
20190401,value_s,0.053703,124
20190401,growth_s,0.168516,124
20190401,momentum_s,-0.059128,124
20190401,mom_10_z,0.048806,124
20190401,vol_low_z,0.091682,124
20190401,score,0.170106,124
20190402,value_s,-0.008164,124
20190402,growth_s,0.161171,124
20190402,momentum_s,-0.088258,124
20190402,mom_10_z,0.073158,124
20190402,vol_low_z,0.059858,124
20190402,score,0.132116,124
20190403,value_s,0.017987,131
20190403,growth_s,0.106742,131
20190403,momentum_s,-0.093034,131
20190403,mom_10_z,0.018753,131
20190403,vol_low_z,0.064979,131
20190403,score,0.106868,131
20190404,value_s,-0.036626,135
20190404,growth_s,0.064211,135
20190404,momentum_s,-0.083694,135
20190404,mom_10_z,0.045079,135
20190404,vol_low_z,0.066457,135
20190404,score,0.040396,135
20190405,value_s,-0.07252,133
20190405,growth_s,0.078963,133
20190405,momentum_s,-0.012995,133
20190405,mom_10_z,0.072467,133
