ticker,name,market,mc_krw,g_score,rev_z,oca_z,v_score,q_score,m_score,composite_score,composite_rank,ntm_score,s_7,s_30,s_60,s_90,rev_net30,na,fwd_pe
307950,HyundaiAutoever,KS,11682616332000.0,0.2881,0.4096,0.1222,-1.1105,0.4465,2.0188,0.5975,72,-0.07355490186039206,-0.06797845903489451,-0.07331032771077406,-0.07301873136971163,-0.07705691648375027,-8.0,15.0,67.84919
007660,ISUPETASYS,KS,9506493860500.0,1.4771,0.9731,1.7458,-1.3087,1.4254,0.4947,0.7645,44,-0.007749006651786044,-0.010319233678609867,-0.006487345549333312,0.00012409771436126406,-0.008033823529411758,1.0,14.0,24.575018
000880,Hanwha,KS,9114982176000.0,0.6151,1.0968,0.0366,1.774,-0.9712,0.6959,0.8132,33,-0.004660595832315116,0.009595376161883112,0.1538111523193337,0.1538111523193337,-0.07660287828949358,1.0,10.0,8.086518
006260,LS,KS,9063600000000.0,0.1063,0.4627,-0.2652,0.0624,-0.5946,0.7717,0.2993,115,-0.15547716893844227,0.004178100012141503,0.01298984644320099,-0.05858321679562194,-0.30434252381368526,1.0,7.0,26.010117
003490,KAL,KS,9039817227550.0,0.1961,1.2272,-0.8646,1.585,-0.1766,-1.0435,0.0325,177,-0.4760467725167723,0.0,-0.6549363358809249,-0.6988557626945,-0.6813351253184596,-3.0,13.0,8.647021
058470,LEENO,KQ,8924407635000.0,1.3053,1.0859,1.317,-1.4687,1.7559,0.5196,0.6535,58,0.04154033493554381,-0.007097936820357739,-0.0008156197902409157,-0.03065915359251014,0.09363438663985246,0.0,14.0,35.23437
003230,SamyangFood,KS,8286316500000.0,1.4441,1.142,1.5161,-0.3491,2.1439,-1.3106,0.3487,106,0.046511584582326,0.05481808462886084,0.05413700331493333,0.042614581125457164,0.0407820014992574,-5.0,19.0,16.129637
011070,LG Innotek,KS,6768792602000.0,-0.3606,-0.3066,-0.3547,0.2062,0.5115,1.5117,0.2861,119,0.23081558684602932,0.0032305251554860625,0.2657631950703163,0.33829155172936437,0.3388819092388309,15.0,25.0,20.080122
028050,SamsungE&A,KS,6389600000000.0,-0.9299,-0.9539,-0.7547,0.5209,0.4789,0.7801,-0.1993,230,0.0008498372409005317,0.0007125519197471449,0.007276108805242158,-0.0013137551038505822,7.9672589674461e-05,6.0,20.0,13.098778
267270,HD CE,KS,6318191340600.0,-0.1515,0.1637,-0.4405,-0.3752,0.091,0.4475,-0.0054,186,0.18437274796138786,0.03543127789416158,0.3067668521253295,0.3067668521253295,0.224779988336147,1.0,6.0,13.432836
064400,LG CNS,KS,6287898025200.0,-0.1527,-0.3705,0.0916,0.4973,0.887,-0.0577,-0.0267,189,-0.008415759206908582,0.0034204918641105916,-0.016128750956351988,-0.013048386117510935,-0.013048386117510935,1.0,8.0,15.378852
078930,GS,KS,6076665721200.0,-0.5013,-0.559,-0.3612,2.1015,0.137,0.1856,0.0952,162,0.028230393096734543,0.00383482055540762,0.00383482055540762,0.03466030787595465,0.04646086817395206,1.0,7.0,7.2486124
241560,Doosan Bobcat,KS,5923904817000.0,-0.5988,-0.377,-0.7226,1.1142,0.3225,-0.416,-0.287,249,0.059311963829800744,0.0824853263918324,0.10911477700035545,0.10911477700035545,0.02548682102435987,1.0,8.0,10.861547
240810,WONIK IPS,KQ,5934243630900.0,0.9163,0.6912,0.9962,-1.0166,1.235,1.9073,0.9237,23,0.2412885139667779,0.16171906969474287,0.18102121171083058,0.18102121171083058,0.31313710143237783,3.0,14.0,27.318142
034220,LG Display,KS,5860000000000.0,-0.0134,-0.6759,0.6531,0.5445,-0.0498,-0.5985,-0.1052,212,-0.1690337602509142,-0.007439644197968213,-0.24675362002585452,-0.24675362002585452,-0.23490228597270568,-4.0,20.0,8.567567
001040,CJ,KS,5747868606000.0,-0.312,-0.332,-0.24,0.8794,0.5265,-0.6668,-0.2397,236,-0.09888089382699672,0.08308484393435589,-0.18953179697533934,-0.17475527884961592,-0.17475527884961592,0.0,8.0,11.12097
001440,Taihan Cable & Solution,KS,5612063730000.0,0.098,0.1882,-0.0061,-0.737,-0.882,1.2488,0.318,113,0.137007857472755,0.19673469387755102,0.13643410852713178,-0.13048635824436536,0.15478534856242615,1.0,4.0,67.43784
271560,ORION,KS,5163418839200.0,-0.0574,-0.0121,-0.0916,0.7361,0.924,-0.4678,-0.0615,201,0.014302928325253558,0.001957892515323584,0.010680195646440148,0.011911975489802419,0.02291268691406445,2.0,18.0,10.663216
004020,HYUNDAI STEEL,KS,4784031392250.0,-0.4347,-0.6385,-0.1591,1.3984,-0.8778,0.285,0.0562,171,-0.44381705721172626,-0.3418981364923464,-0.3788747583947584,-0.34895601146194577,-0.5369290785567039,-4.0,16.0,11.369342
036570,NC,KS,4761228862000.0,-0.064,-0.7539,0.6381,0.1585,0.5689,0.6317,0.1781,144,0.07180231122522143,0.06127764626237365,0.06940219098551341,0.045187894795967985,0.08392001753672239,0.0,22.0,17.173203
002380,KCC,KS,4745375514000.0,-0.5496,-0.6608,-0.3482,1.8194,0.311,0.5474,0.1348,156,0.5606474035331667,-0.09977952842240007,0.4427301545518024,0.21820839106444007,1.0489748149965248,2.0,4.0,6.39994
018880,Hanon Systems,KS,4217939088720.0,0.2098,0.0846,0.3032,-0.2145,-0.87,-0.7878,-0.1531,217,0.006330870243707366,0.08097055555857074,-0.011630494530930319,-0.027995411617951375,-0.027995411617951375,1.0,17.0,18.716616
082740,Hanwha Engine,KS,4051358744100.0,0.6186,0.377,0.7628,-0.6848,1.2836,0.6358,0.4282,95,0.2161621349565903,0.00722487493307981,0.13731371086714483,0.2952866348603168,0.3414692758078404,3.0,7.0,23.294611
103590,ILJIN ELECTRIC,KS,3914970519000.0,1.0493,0.9257,1.0063,-0.9251,0.9243,1.1232,0.7753,42,0.007638640583131795,-0.10238772823413307,-0.14261579614247502,0.0876942311126987,0.0876942311126987,-1.0,4.0,35.233578
000990,DB HiTek,KS,3824053285200.0,0.8023,0.7863,0.6913,-0.3659,0.8695,1.2049,0.7479,45,-0.0677155696497698,0.06055699481865285,-0.12268952585052237,-0.12268952585052237,-0.12268952585052237,-1.0,3.0,20.818588
353200,DaeduckElectronics,KS,3819928302500.0,0.6974,0.6164,0.6683,-1.2744,-0.1952,1.8274,0.7406,47,0.2723469460229345,0.23444420523360207,0.27697026938486996,0.2866159947124918,0.2913101160862355,0.0,10.0,28.139788
011780,KumhoPetrochem,KS,3493459776400.0,-0.5131,-0.7143,-0.2275,1.4001,-0.3254,-0.6705,-0.2733,244,0.027927746972955136,0.05507002787208981,0.01366583008752477,0.006406348119665458,0.018799041581218336,2.0,15.0,8.667325
004170,Shinsegae,KS,3235958225500.0,-0.1836,-0.1271,-0.2087,0.7212,0.038,1.2325,0.3769,103,0.16413239088284334,0.114685916870056,0.16378215585038933,0.17617436915922743,0.19146192664172976,5.0,17.0,13.6592655
357780,Soulbrain,KQ,3282554852000.0,-0.6045,-0.0302,-1.0798,-0.513,0.4185,1.0472,-0.0953,210,-0.01182945572313057,0.003934813429316698,0.029281375837451277,-0.050850209235964415,-0.02170603282414853,0.0,13.0,19.039059
