symbol,name,market,mc_krw,eps_trend_ok,fy_complete_0y,fy_complete_1y,snap_ok_count,0y_current,0y_7d,0y_30d,0y_60d,0y_90d,1y_current,1y_90d,endDate_0y_ok,endDate_1y_ok,rev_ok_0y,up7,up30,dn30,dn7,na,rev_growth,op_margin,gross_margin,fwd_pe,fwd_eps,earn_date_present,error,ticker
093370.KS,FOOSUNG,KS,750787310000.0,True,True,True,5,288.0,183.0,183.0,183.0,183.0,416.0,359.0,True,True,True,1.0,1.0,0.0,0.0,1.0,0.08,0.04068,0.18568,29.54327,,False,,093370
023160.KQ,TKCORP.,KQ,747563293800.0,True,True,True,5,2101.97,2047.85,2047.85,1833.97,1833.97,2665.77,2113.3467,True,True,True,1.0,1.0,0.0,0.0,2.0,,,,,,False,,023160
121600.KQ,ANP,KQ,739998174600.0,True,True,True,5,711.0417,681.0834,681.0834,1068.1797,1212.7438,1482.225,2130.3833,True,True,True,0.0,0.0,1.0,1.0,2.0,0.272,0.05692,0.33807,49.52015,,False,,121600
009520.KQ,POSCO M-TECH,KQ,738741551220.0,True,False,False,0,,,,,,,,True,False,False,,,,,,,,,,,False,,009520
015750.KQ,SW HITECH,KQ,736000000000.0,True,False,False,0,,,,,,,,False,False,False,,,,,,-0.048,0.055549998,0.122250006,,,False,,015750
003280.KS,HeungaShipping,KS,733295941950.0,True,False,False,0,,,,,,,,True,False,False,,,,,,-0.051,-0.027320001,0.15685001,,,False,,003280
425420.KQ,TFE,KQ,726015097000.0,True,True,True,5,2141.0,2326.0,2326.0,2326.0,2496.0,3108.0,3537.0,True,True,True,0.0,0.0,0.0,0.0,1.0,0.807,0.19582,0.36014998,19.49807,,False,,425420
005880.KS,KorLine,KS,721340304900.0,True,True,True,5,499.0,499.0,430.66666,430.66666,430.66666,440.0,454.0,True,True,True,0.0,0.0,1.0,1.0,2.0,-0.268,0.09552,0.22403999,5.8295455,,False,,005880
003620.KS,KG Mobility,KS,704264693760.0,True,False,False,0,,,,,,,,True,False,False,,,,,,0.161,0.0144299995,0.1071,,,False,,003620
178920.KS,PIAM,KS,678362038200.0,True,True,True,5,1767.5,1555.3334,1471.0,1471.0,1471.0,1846.25,1687.25,True,True,True,0.0,1.0,0.0,0.0,4.0,-0.001,0.21931,0.29789,15.897089,,False,,178920
090460.KS,BH,KS,670185375440.0,True,True,True,5,2754.1,2637.1,2612.5557,2632.7778,2662.6033,3409.5454,3468.8167,True,True,True,2.0,3.0,1.0,3.0,11.0,0.041,0.05673,0.08198,10.895881,,False,,090460
053610.KQ,PROTEC,KQ,650100000000.0,True,True,True,5,5642.0,5065.0,5065.0,5065.0,3205.3333,4838.5,3866.0,True,True,True,1.0,1.0,0.0,0.0,1.0,0.717,0.21275999,0.33040002,18.559471,,False,,053610
001820.KS,SamwhaCapacitor,KS,626818500000.0,True,True,True,5,1924.0,2240.3333,2358.0,2358.0,2358.0,3052.0,3247.3333,True,True,True,0.0,0.0,1.0,1.0,3.0,0.006,-0.00245,0.14845,22.051113,,False,,001820
252990.KQ,SEMCNS,KQ,628674761160.0,True,True,True,5,525.0,469.0,469.0,447.0,447.0,664.0,588.0,True,True,True,1.0,1.0,0.0,0.0,,0.726,0.19197,0.47972,18.689758,,False,,252990
200710.KQ,ADTechnology,KQ,626342305200.0,True,True,True,5,1456.5,1186.0,0.0,0.0,0.0,2490.5,0.0,True,True,True,0.0,0.0,0.0,0.0,2.0,,,,,,False,,200710
272290.KQ,INNOX Advanced Materials,KQ,624732078300.0,True,True,True,5,2868.0,2712.0,2712.0,2712.0,2574.0,3481.0,4002.5,True,True,True,1.0,1.0,0.0,0.0,2.0,-0.017,0.12385,0.34689,9.336397,,False,,272290
336570.KQ,WONTECH,KQ,622584767240.0,True,True,True,5,510.5,526.3333,603.3593,603.3593,603.3593,706.5782,739.8152,True,True,True,0.0,0.0,2.0,0.0,4.0,0.26,0.26413,0.67323995,11.845823,,False,,336570
