symbol,name,market,mc_krw,eps_trend_ok,fy_complete_0y,fy_complete_1y,snap_ok_count,0y_current,0y_7d,0y_30d,0y_60d,0y_90d,1y_current,1y_90d,endDate_0y_ok,endDate_1y_ok,rev_ok_0y,up7,up30,dn30,dn7,na,rev_growth,op_margin,gross_margin,fwd_pe,fwd_eps,earn_date_present,error,ticker
036570.KS,NC,KS,4761228862000.0,True,True,True,5,15714.215,14806.884,14694.392,15034.823,14497.578,16217.127,16660.943,True,True,True,1.0,1.0,1.0,0.0,22.0,-0.013,0.008640001,0.99195,17.173203,,False,,036570
002380.KS,KCC,KS,4745375514000.0,True,True,True,5,100231.75,111341.336,69473.664,82278.0,48918.0,89063.336,39720.5,True,True,True,1.0,2.0,0.0,0.0,4.0,-0.061,0.01819,0.25255,6.39994,,False,,002380
450080.KS,ECOPRO MAT,KS,4282916367800.0,True,True,True,5,859.0,507.0,507.0,507.0,507.0,1603.0,1009.0,True,True,True,0.0,0.0,0.0,0.0,,0.308,0.029040001,-0.07514,41.484715,,False,,450080
018880.KS,Hanon Systems,KS,4217939088720.0,True,True,True,5,215.10272,198.99036,217.63391,221.29805,221.29805,262.33374,251.6429,True,True,True,6.0,5.0,4.0,3.0,17.0,0.066,0.03319,0.09279,18.716616,,True,,018880
082740.KS,Hanwha Engine,KS,4051358744100.0,True,True,True,5,2443.3677,2425.8413,2148.3674,1886.3529,1821.4116,3271.1428,2697.1177,True,True,True,0.0,3.0,0.0,0.0,7.0,0.014,0.01712,0.13527,23.294611,,False,,082740
103590.KS,ILJIN ELECTRIC,KS,3914970519000.0,True,True,True,5,3045.0,3392.3333,3551.5,2799.5,2799.5,3740.75,3109.25,True,True,True,0.0,0.0,1.0,1.0,4.0,0.304,0.07204,0.13716,35.233578,,False,,103590
000990.KS,DB HiTek,KS,3824053285200.0,True,True,True,5,6550.0,6176.0,7466.0,7466.0,7466.0,8665.333,8927.333,True,True,True,0.0,0.0,1.0,1.0,3.0,0.368,0.18144,0.35812,20.818588,,False,,000990
353200.KS,DaeduckElectronics,KS,3819928302500.0,True,True,True,5,3893.3,3153.889,3048.8572,3026.0,3015.0,5156.4,3765.375,True,True,True,1.0,1.0,1.0,0.0,10.0,0.54,0.091070004,0.101330005,28.139788,,False,,353200
011780.KS,KumhoPetrochem,KS,3493459776400.0,True,True,True,5,14870.943,14094.745,14670.459,14776.281,14596.542,16891.025,18072.176,True,True,True,5.0,4.0,2.0,0.0,15.0,-0.12,0.00092,0.0871,8.667325,,True,,011780
004170.KS,Shinsegae,KS,3235958225500.0,True,True,True,5,32136.123,28829.756,27613.521,27322.584,26972.01,38435.45,32275.195,True,True,True,1.0,6.0,1.0,0.0,17.0,0.062,0.08861,0.60146,13.6592655,,False,,004170
357780.KQ,Soulbrain,KQ,3282554852000.0,True,True,True,5,20842.777,20761.086,20249.834,21959.418,21305.229,24423.477,23735.568,True,True,True,0.0,1.0,1.0,0.0,13.0,0.127,0.17527,0.25197,19.039059,,False,,357780
083650.KQ,BHI,KQ,3227498312500.0,True,True,True,5,3369.117,2576.5,2576.5,2576.5,2414.5,3849.075,2658.0,True,True,True,1.0,1.0,0.0,0.0,2.0,,,,,,False,,083650
014680.KS,Hanchem,KS,3223450282500.0,True,True,True,5,16409.814,16576.31,15478.098,16433.48,15994.161,19219.453,18477.336,True,True,True,0.0,0.0,3.0,0.0,12.0,0.178,0.07587,0.28234,16.831905,,False,,014680
023530.KS,LOTTE SHOPPING,KS,3041041162500.0,True,True,True,5,11524.656,9714.964,9212.734,9066.846,8998.732,12594.753,10417.579,True,True,True,1.0,2.0,0.0,0.0,12.0,0.013,0.05489,0.48148,13.434166,,True,,023530
