symbol,name,market,mc_krw,eps_trend_ok,fy_complete_0y,fy_complete_1y,snap_ok_count,0y_current,0y_7d,0y_30d,0y_60d,0y_90d,1y_current,1y_90d,endDate_0y_ok,endDate_1y_ok,rev_ok_0y,up7,up30,dn30,dn7,na,rev_growth,op_margin,gross_margin,fwd_pe,fwd_eps,earn_date_present,error
063170.KQ,Seoul Auction,KQ,111800139430.0,True,False,False,0,,,,,,,,True,False,False,,,,,,,,,,,False,
377480.KQ,MAUM.AI,KQ,111773523000.0,True,False,False,0,,,,,,,,True,False,False,,,,,,0.768,-0.37768,0.9983,,,False,
019680.KS,DAEKYO,KS,111553653450.0,True,True,True,5,-36.0,-6.0,-6.0,-6.0,-6.0,0.0,23.0,True,True,True,0,0,1,1,1,-0.045,-0.0276,0.20257999,Infinity,,False,
025560.KS,Mirae,KS,111234591800.0,True,False,False,0,,,,,,,,True,False,False,,,,,,0.702,0.10915,0.41779998,,,False,
054620.KQ,APS,KQ,111285037050.0,True,False,False,0,,,,,,,,True,False,False,,,,,,-0.636,-0.10537,0.29516,,,False,
278650.KQ,HLBbioStep,KQ,110870043648.0,True,False,False,0,,,,,,,,True,False,False,,,,,,0.16,-0.120170005,0.75499,,,False,
228850.KQ,RAYENCE,KQ,110496153240.0,True,True,True,5,632.0,634.5,634.5,634.5,634.5,583.0,999.0,True,True,True,0,0,1,1,2,0.129,-0.10037,0.35668,11.526587,,False,
100700.KQ,SEWOONMEDICAL,KQ,110376000000.0,True,False,False,0,,,,,,,,True,False,False,,,,,,,,,,,False,
011810.KS,STX,KS,109493282310.0,True,False,False,0,,,,,,,,True,False,False,,,,,,,-0.20028,0.02869,,,False,
277880.KQ,TSI,KQ,109732962360.0,True,False,False,0,,,,,,,,True,False,False,,,,,,-0.214,0.02002,0.09846,,,False,
066700.KQ,THERAGEN ETEX,KQ,109413747320.0,True,False,False,0,,,,,,,,True,False,False,,,,,,,,,,,False,
389140.KQ,4by4,KQ,109020775400.0,True,False,False,0,,,,,,,,True,False,False,,,,,,,,,,,False,
003310.KQ,Daejoo,KQ,109185399750.0,True,False,False,0,,,,,,,,False,False,False,,,,,,-0.076,0.13092,0.25075,,,False,
059210.KQ,META,KQ,108957494450.0,True,True,True,5,619.0,895.0,895.0,895.0,895.0,836.0,1028.0,True,True,True,0,0,0,0,,,,,,,False,
088280.KQ,SAWNICS,KQ,108857822100.0,True,False,False,0,,,,,,,,False,False,False,,,,,,0.315,-0.39856,0.16666001,,,False,
331920.KQ,Celemics,KQ,108828092840.0,True,False,False,0,,,,,,,,True,False,False,,,,,,-0.18,-0.27509,0.49715,,,False,
058850.KS,KTcs,KS,108686681250.0,True,False,False,0,,,,,,,,False,False,False,,,,,,0.04,0.00404,0.99957,,,False,
225530.KQ,HC BoKwang Industry,KQ,108471100095.0,True,False,False,0,,,,,,,,False,False,False,,,,,,-0.257,-0.24349001,0.24716999,,,False,
074430.KQ,AMINOLOGICS,KQ,108378325496.0,True,False,False,0,,,,,,,,True,False,False,,,,,,,,,,,False,
463020.KQ,NEWEN AI,KQ,108148656000.0,True,False,False,0,,,,,,,,False,False,False,,,,,,,0.0,0.0,,,False,
348350.KQ,WITHTECH,KQ,107469522000.0,True,False,False,0,,,,,,,,False,False,False,,,,,,0.395,0.16358,0.3386,,,False,
101670.KQ,Hydro Lithium,KQ,108046986861.0,True,False,False,0,,,,,,,,False,False,False,,,,,,,,,,,False,
099750.KQ,ezCaretech,KQ,107907466700.0,True,False,False,0,,,,,,,,True,False,False,,,,,,0.115,0.05382,0.23794001,,,False,
033290.KQ,LOGEN,KQ,107258534910.0,True,False,False,0,,,,,,,,False,False,False,,,,,,-0.051,0.010620001,0.093030006,,,False,
096240.KQ,Creverse,KQ,107274418200.0,True,False,False,0,,,,,,,,True,False,False,,,,,,,,,,,False,
294630.KQ,SuNAM,KQ,107442749925.0,True,False,False,0,,,,,,,,False,False,False,,,,,,1.069,-1.20716,-0.13131,,,False,
006660.KS,SamsungClimateContro,KS,106942292240.0,True,False,False,0,,,,,,,,False,False,False,,,,,,-0.121,-0.056339998,0.12181,,,False,
298540.KQ,"TNH CO., LTD",KQ,107199256400.0,True,False,False,0,,,,,,,,True,False,False,,,,,,-0.13,0.028900001,0.63886,,,False,
205470.KQ,HUMASIS,KQ,106993129135.0,True,False,False,0,,,,,,,,False,False,False,,,,,,-0.461,-0.57294,0.06718,,,False,
094940.KQ,PULOON TECH,KQ,106691285360.0,True,False,False,0,,,,,,,,True,False,False,,,,,,,,,,,False,
032580.KQ,Fidelix,KQ,106353925440.0,True,False,False,0,,,,,,,,False,False,False,,,,,,,,,,,False,
142280.KQ,GCMS,KQ,106100598880.0,True,False,False,0,,,,,,,,True,False,False,,,,,,-0.097,0.015570001,0.13856,,,False,
023450.KS,DONGNAMCHEMICAL,KS,106050000000.0,True,False,False,0,,,,,,,,True,False,False,,,,,,-0.036,0.04499,0.09621,,,False,
008700.KS,AnamElec,KS,105815253040.0,True,False,False,0,,,,,,,,False,False,False,,,,,,-0.076,0.0072000003,0.13885,,,False,
