symbol,name,market,mc_krw,eps_trend_ok,fy_complete_0y,fy_complete_1y,snap_ok_count,0y_current,0y_7d,0y_30d,0y_60d,0y_90d,1y_current,1y_90d,endDate_0y_ok,endDate_1y_ok,rev_ok_0y,up7,up30,dn30,dn7,na,rev_growth,op_margin,gross_margin,fwd_pe,fwd_eps,earn_date_present,error,ticker,source
145020.KQ,Hugel,KQ,3223656646000.0,True,True,True,5,13992.095,13134.301,13188.801,13478.572,14895.734,17601.357,17783.486,True,True,True,4.0,4.0,1.0,1.0,14.0,0.213,0.48538,0.78446996,16.021492,,True,,145020,US (5천억+)
004990.KS,LOTTE,KS,3220713575900.0,True,True,True,5,-1951.0,-184.0,-184.0,-184.0,2511.0,-946.0,3112.0,True,True,True,0.0,0.0,2.0,1.0,2.0,-0.003,-0.02846,0.28124002,-30.443975,,False,,004990,US (5천억+)
085620.KS,MIRAE ASSET LIFE,KS,3165049459320.0,True,True,False,5,718.0,933.0,933.0,933.0,933.0,,,True,False,True,0.0,0.0,1.0,1.0,,-0.043,-0.079380006,0.3751,,,False,,085620,US (5천억+)
023530.KS,LOTTE SHOPPING,KS,3041041162500.0,True,True,True,5,11524.656,9714.964,9212.734,9066.846,8998.732,12594.753,10417.579,True,True,True,1.0,2.0,0.0,0.0,12.0,0.013,0.05489,0.48148,13.434166,,True,,023530,US (5천억+)
237690.KQ,ST Pharm,KQ,3110698077500.0,True,True,True,5,3238.499,3024.7341,3065.2896,3065.2896,3194.3538,4216.501,4455.9575,True,True,True,0.0,3.0,3.0,0.0,9.0,,,,,,False,,237690,US (5천억+)
097950.KS,CJ CheilJedang,KS,3010837200000.0,True,True,True,5,22640.264,23536.086,23548.697,24477.125,24854.447,30316.807,33599.86,True,True,True,0.0,1.0,3.0,0.0,16.0,,0.04512,0.21607,7.5370736,,True,,097950,US (5천억+)
084370.KQ,Eugenetech,KQ,3022625939800.0,True,True,True,5,3970.612,4206.055,4223.8438,4223.8438,4132.478,5468.8105,5255.119,True,True,True,1.0,1.0,1.0,0.0,6.0,,,,,,False,,084370,US (5천억+)
336260.KS,Doosanfc,KS,3006162023400.0,True,True,True,5,-769.4342,-666.8236,-666.8236,-570.6667,-278.20618,-78.09175,26.80834,True,True,True,1.0,1.0,1.0,1.0,7.0,-0.481,-0.56422,-0.13698,-1183.2235,,True,,336260,US (5천억+)
005850.KS,SLCORP,KS,2995929540000.0,True,True,True,5,7908.5,8019.8335,8383.5,7994.7144,7778.125,8869.0,8546.0,True,True,True,0.0,0.0,1.0,1.0,7.0,0.139,0.08059,0.13943,7.464201,,False,,005850,US (5천억+)
009970.KS,YoungoneHoldings,KS,2990080995500.0,True,False,False,0,,,,,,,,True,False,False,,,,,,0.116,0.16822,0.37717,,,False,,009970,US (5천억+)
