CAGR,Sharpe,Calmar
0.03436996550130189,0.2673229581912956,0.05018422352201248
0.07787273354733637,0.5122722769845552,0.18698619220466603
0.07629433130283436,0.43474392291260194,0.11318141380876852
0.004046052003238154,0.1388515325909445,0.006076622570106497
0.05193355600750893,0.3692816771283436,0.0994461313794966
0.058532686309410664,0.39760861068845665,0.09634535478634008
0.06036734193218285,0.38150651499459304,0.09978811248546007
0.0757724148599721,0.44219192577648625,0.11010543538829662
0.036472196121582146,0.2958230425219092,0.06568565455326894
0.08264912688151149,0.4763637334578777,0.16310146823500096
0.0027941122310601862,0.12635788771188827,0.004075444712099472
0.0553481355031602,0.3564811789907818,0.10263504235693154
0.07188514187977124,0.46785187539643647,0.11844879622556531
0.03743486557961062,0.3037056128003672,0.08205796540204137
0.011442756956429934,0.1698258687483798,0.016255100540458034
0.07174146613137933,0.47167992898644723,0.18514187206351634
0.05919597397358567,0.44355740732594023,0.18789894897205384
0.03744271822418255,0.2787816348796565,0.05592863852972816
0.041604324056349506,0.2957874806156957,0.05910135756870553
0.041370165941331694,0.3154548981363847,0.07921858762759092
0.0427976810179449,0.31464725223154816,0.0717285148321778
0.019996253462753577,0.21029153337448883,0.02856416687112673
0.058739222645486366,0.408984245049282,0.11247811437152404
0.04400971446524515,0.3285080625775024,0.07244040589194445
0.010253085205416124,0.1612985048791604,0.016718805963034142
0.06264668050046418,0.43658343093400154,0.20736487520700955
0.037025862332562554,0.2840173983518807,0.058331682811489434
0.10004969812239217,0.6166202694355929,0.3640016430512836
0.0967711541066345,0.6481480060306113,0.37496837424005985
0.08090378598252768,0.5268154510496037,0.15492042425813932
0.12897417611583473,0.6875157832907003,0.3531028165511421
0.048592364927673826,0.3421373854392676,0.078608350073907
0.022645759461989545,0.21890238993556052,0.048467997649894935
0.07968905242351476,0.5094923636846352,0.1525943645312988
0.029315378053998087,0.24531021128173047,0.04492796256663551
0.07575227694553988,0.43569290772630037,0.11068322811148508
0.0774249449543154,0.4347906542563262,0.11686089124943903
0.13190542823275697,0.8119694101811615,0.540459209829959
0.03462359875135257,0.2687368157121131,0.056848016852073094
0.04528106871703752,0.32199522645958917,0.07287988629053498
0.016160394620553076,0.1889071458444629,0.023901614592599683
0.114660393773377,0.7012033621546562,0.3132908412978089
0.037144441104668635,0.27692658394102676,0.05545428314683282
0.052838881555649087,0.3461479856070095,0.08850112004585103
0.04370353109603875,0.33922339695234177,0.11938159441914599
0.08296536475654981,0.5387393630511282,0.24376007332260757
0.07159138051962732,0.47688903563321416,0.12617225065708712
0.041594814312212014,0.3233894868950573,0.07964876058554365
0.04405526565106266,0.3143779222992884,0.07233374272096225
0.07027586467064917,0.47795131215126857,0.22444871813056624
0.03896179928202592,0.3055265614618785,0.07460687285926865
0.036811426351579746,0.2798870038259851,0.05845416344313866
-0.008838929015316577,0.08075693420730508,-0.013327653979260144
0.08033205509541408,0.5172607040080212,0.2280840293151062
0.07866531985946867,0.5346757892956193,0.2188193854430379
0.022417753332529378,0.2181748884958024,0.03258022564263782
0.0992314699632697,0.6291508979777579,0.17920132834728025
0.058534968068891136,0.3965079514867633,0.09634911058400707
0.0056691363582142,0.14684721397050332,0.008700088008802738
0.015092058470652425,0.17481708937234944,0.024867950617729444
0.004937517340045883,0.11799153144037713,0.008799941048389987
0.057085940084744546,0.3604781576793611,0.08755215222061119
0.07568737378238888,0.44403469177621063,0.11615293255520813
-0.0012696050851896956,0.07767276572567217,-0.002394058115647325
