,V1,V2,C4_final_V1,C4_final_V2,C1_SPY,C2_6040,C5_EW6
2007-01-01,0.09037842248223837,-0.001,0.0,0.0,0.02291823828708095,0.010707088411168497,0.015278023249720385
2007-02-01,-0.04055158991641894,0.0,0.0,0.0,-0.028351869059963897,-0.008494719923377848,0.0058292858694428615
2007-03-01,-0.004563206070609893,0.0,0.0,0.0,0.0157560576168565,0.00890134279826212,-0.00012510924644714544
2007-04-01,-0.01615497463256088,0.0,0.0,0.0,0.04579332315737905,0.029474611705324658,0.010366132265108116
2007-05-01,0.006364144203565791,0.00021887367541584268,0.00021887367541584268,0.00021887367541584268,0.036389555811361385,0.015061165145761495,-0.00019234005301210528
2007-06-01,-0.0703397469060082,0.004432332977619469,0.004432332977619469,0.004432332977619469,-0.010616960719925128,-0.006172175955541275,-0.011480403406012954
2007-07-01,-0.09147260647493871,0.003382065739381712,-0.09247260647493871,-0.09247260647493871,-0.0353115782206338,-0.013913038835352397,-0.011424173990022785
2007-08-01,0.06747519542197833,0.06647519542197833,0.06747519542197833,0.06747519542197833,0.0180971383276598,0.02035476375291205,0.021316058057178476
2007-09-01,0.0505649077071153,0.0505649077071153,0.0505649077071153,0.0018412143807297063,0.03992455538142736,0.025019321753418935,0.029260142780635427
2007-10-01,-0.049863006740963445,0.002518375440170418,-0.049863006740963445,0.003518375440170418,-0.02119205353473408,-0.005594779617997502,0.009668807317380188
2007-11-01,-0.060532437198389744,0.003033923661179827,-0.060532437198389744,0.003033923661179827,-0.02218084066868431,0.00169331291754048,0.003094326307101358
2007-12-01,-0.046807424305653766,0.003473803906998141,-0.046807424305653766,0.003473803906998141,-0.013412690854931797,-0.006179602135328543,0.005915482957875777
2008-01-01,0.036885742335853955,0.0029456974927071222,0.036885742335853955,0.0029456974927071222,-0.0369149728547139,-0.010317575256894094,0.004818097241653985
2008-02-01,-0.06422110779795787,0.0021155748663805873,-0.06422110779795787,0.0021155748663805873,-0.043558971124883494,-0.022707012590444893,0.005934759288257964
2008-03-01,0.11768156073366498,0.0013081934776415505,0.11768156073366498,0.0013081934776415505,0.02836185999550045,0.019237749573698577,0.022124546319583854
2008-04-01,0.028207019200050976,0.0007419125910210767,0.028207019200050976,0.0007419125910210767,0.03301371921509344,0.01353724643645022,0.013193944916837487
2008-05-01,-0.03952838128966185,0.0010262195366976812,-0.03952838128966185,0.0010262195366976812,-0.01573143843587277,-0.014214320139551234,0.003280747043281001
2008-06-01,-0.09169538021672541,0.0018771853330090682,-0.09169538021672541,0.0018771853330090682,-0.0711150133715599,-0.042349055573025124,-0.004855501998988994
2008-07-01,0.03289356869236615,0.0012203427421253465,0.03289356869236615,0.0012203427421253465,-0.017292097841480336,-0.006194338205436844,-0.015876772701513414
