th,cw,CAGR,MDD,Calmar,cash,defensive
48,1,0.02060325859188583,-0.6773972708111939,0.030415325658476752,0.012711864406779662,0.059322033898305086
48,3,0.0569528117684206,-0.5308462600786699,0.1072868286949603,0.0,0.059322033898305086
48,6,0.024004719227449733,-0.5308462600786699,0.0452197199691909,0.0,0.059322033898305086
50,1,0.030631384760869018,-0.4833979350569071,0.06336680928780343,0.09745762711864407,0.2288135593220339
50,3,0.004132770185123924,-0.5807006561332276,0.007116868461357069,0.07627118644067797,0.2288135593220339
50,6,0.008017311940979654,-0.4741913539288559,0.016907334717415602,0.00847457627118644,0.2288135593220339
52,1,0.0774097430463121,-0.22290777523691785,0.34727251197961595,0.2754237288135593,0.5
52,3,0.03711676526591723,-0.27995196328924765,0.13258262178203772,0.2457627118644068,0.5
52,6,0.03649999783492763,-0.24952330866197958,0.14627891089875253,0.2457627118644068,0.5
