v,q,g,m,gr,mom,cagr,mdd,cal,sh,sort
15,0,60,25,0.7,12m,96.33,43.13,2.233,1.59,2.494
25,0,45,30,0.7,12m-1m,72.87,32.65,2.232,1.392,2.169
0,5,65,30,0.4,12m-1m,95.0,42.61,2.229,1.603,2.523
10,0,55,35,0.8,12m,85.8,38.54,2.226,1.5,2.326
5,10,55,30,0.5,12m-1m,95.8,43.03,2.226,1.617,2.596
15,5,50,30,0.7,12m,97.06,43.66,2.223,1.605,2.511
15,0,75,10,0.5,12m,88.59,39.87,2.222,1.541,2.446
10,5,55,30,0.7,12m,97.84,44.03,2.222,1.625,2.544
20,5,60,15,0.8,12m,79.99,36.03,2.22,1.448,2.251
25,0,60,15,0.7,12m,79.26,35.77,2.216,1.452,2.162
10,0,65,25,0.5,12m-1m,92.01,41.71,2.206,1.578,2.496
0,15,70,15,0.4,12m-1m,82.47,37.38,2.206,1.488,2.349
0,15,70,15,0.3,12m-1m,81.65,37.02,2.205,1.473,2.345
25,0,55,20,0.6,12m-1m,77.19,35.0,2.205,1.456,2.281
20,0,55,25,0.6,12m-1m,84.05,38.12,2.205,1.492,2.417
20,0,70,10,0.5,12m-1m,89.93,40.89,2.199,1.561,2.542
20,10,55,15,0.5,12m-1m,75.27,34.22,2.199,1.402,2.223
15,10,55,20,0.6,12m-1m,81.15,36.92,2.198,1.468,2.346
20,10,45,25,0.7,12m,86.08,39.17,2.198,1.515,2.37
25,0,60,15,0.5,12m,82.41,37.65,2.189,1.503,2.39
25,5,50,20,0.6,12m,71.89,32.95,2.182,1.38,2.173
20,0,60,20,0.6,12m-1m,83.09,38.08,2.182,1.488,2.392
20,0,70,10,0.6,12m-1m,75.44,34.62,2.179,1.423,2.252
15,5,50,30,0.8,12m,96.59,44.36,2.178,1.603,2.509
0,5,75,20,0.3,12m-1m,82.19,37.74,2.178,1.481,2.382
20,5,65,10,0.7,12m-1m,77.4,35.56,2.177,1.418,2.171
5,10,55,30,0.3,12m-1m,84.67,38.9,2.177,1.503,2.411
10,10,60,20,0.6,12m,86.94,39.95,2.176,1.521,2.447
5,15,60,20,0.7,12m-1m,90.29,41.7,2.165,1.57,2.549
5,15,65,15,0.4,12m,79.17,36.57,2.165,1.446,2.294
25,5,50,20,0.8,12m,75.64,34.97,2.163,1.404,2.152
20,0,60,20,0.6,12m,81.04,37.48,2.162,1.46,2.355
15,10,60,15,0.5,12m-1m,77.02,35.75,2.154,1.424,2.278
10,0,60,30,0.7,12m,100.17,46.56,2.152,1.637,2.571
15,0,75,10,0.5,12m-1m,86.35,40.21,2.147,1.522,2.425
10,15,50,25,0.6,12m-1m,88.29,41.15,2.145,1.538,2.481
5,10,65,20,0.3,12m-1m,83.34,38.85,2.145,1.482,2.358
15,0,55,30,0.7,12m-1m,85.78,40.02,2.143,1.507,2.424
10,10,70,10,0.6,12m,88.61,41.45,2.138,1.511,2.347
20,5,60,15,0.8,12m-1m,81.89,38.32,2.137,1.451,2.296
25,0,55,20,0.7,12m-1m,78.78,36.92,2.134,1.439,2.209
20,5,60,15,0.5,12m,74.82,35.11,2.131,1.393,2.208
10,10,50,30,0.6,12m-1m,91.86,43.17,2.128,1.566,2.533
15,0,55,30,0.8,12m-1m,82.4,38.73,2.127,1.482,2.346
10,5,55,30,0.7,12m-1m,89.83,42.27,2.125,1.554,2.498
20,5,55,20,0.5,12m,69.96,32.95,2.123,1.339,2.156
30,0,55,15,0.4,12m-1m,70.75,33.4,2.118,1.405,2.247
10,0,65,25,0.8,12m-1m,87.59,41.59,2.106,1.528,2.477
15,15,50,20,0.6,12m-1m,86.68,41.16,2.106,1.518,2.431
10,15,45,30,0.7,12m-1m,85.17,40.46,2.105,1.518,2.464
5,5,55,35,0.7,12m,91.08,43.43,2.097,1.584,2.549
