v,q,g,m,gr,mom,cagr,mdd,cal,sh,sort
5,5,75,15,0.3,12m,80.27,46.47,1.727,1.457,2.307
0,15,60,25,0.7,12m,80.13,46.42,1.726,1.457,2.363
20,5,55,20,0.8,12m-1m,75.18,43.57,1.725,1.399,2.153
0,5,60,35,0.5,12m,75.76,43.91,1.725,1.406,2.22
25,5,55,15,0.5,12m-1m,60.11,34.85,1.725,1.25,1.912
0,10,55,35,0.4,12m-1m,78.24,45.4,1.723,1.448,2.289
15,15,45,25,0.7,12m,88.48,51.36,1.723,1.55,2.52
10,5,60,25,0.3,12m-1m,72.84,42.29,1.722,1.362,2.151
20,5,55,20,0.4,12m-1m,62.71,36.44,1.721,1.249,1.96
10,10,50,30,0.8,12m,82.93,48.18,1.721,1.472,2.299
5,15,65,15,0.3,12m,76.76,44.6,1.721,1.413,2.268
10,10,65,15,0.7,12m-1m,73.49,42.69,1.721,1.378,2.117
20,0,65,15,0.6,12m-1m,66.35,38.59,1.72,1.303,2.036
25,0,60,15,0.8,12m-1m,71.15,41.38,1.72,1.35,2.074
20,0,60,20,0.5,12m,61.65,35.87,1.719,1.234,1.955
10,5,45,40,0.3,12m-1m,61.96,36.07,1.718,1.24,1.966
25,0,40,35,0.6,12m,67.42,39.23,1.718,1.333,2.083
15,5,70,10,0.7,12m,76.45,44.53,1.717,1.411,2.193
10,10,65,15,0.7,12m,75.15,43.76,1.717,1.39,2.148
20,10,50,20,0.4,12m,68.0,39.64,1.715,1.317,2.047
5,10,55,30,0.8,12m-1m,84.66,49.36,1.715,1.514,2.425
5,15,50,30,0.4,12m-1m,76.17,44.43,1.714,1.411,2.229
5,0,70,25,0.5,12m,81.8,47.74,1.714,1.447,2.348
5,15,65,15,0.5,12m-1m,72.51,42.32,1.713,1.382,2.179
15,10,55,20,0.3,12m-1m,72.1,42.14,1.711,1.369,2.147
5,15,50,30,0.7,12m-1m,80.33,46.98,1.71,1.457,2.347
25,0,40,35,0.7,12m,63.73,37.27,1.71,1.264,1.903
20,0,50,30,0.6,12m,77.75,45.46,1.71,1.41,2.164
10,15,65,10,0.5,12m,72.71,42.53,1.71,1.357,2.108
25,5,55,15,0.5,12m,63.11,36.9,1.71,1.249,1.881
25,5,50,20,0.4,12m,70.66,41.36,1.708,1.357,2.218
5,10,60,25,0.5,12m-1m,85.35,50.02,1.706,1.512,2.433
10,15,55,20,0.6,12m,80.08,46.94,1.706,1.44,2.229
0,10,65,25,0.3,12m-1m,73.88,43.34,1.705,1.381,2.179
0,10,70,20,0.3,12m,78.17,45.86,1.704,1.42,2.263
30,0,55,15,0.4,12m,60.23,35.39,1.702,1.255,2.064
0,0,75,25,0.3,12m-1m,74.26,43.65,1.701,1.383,2.242
25,0,45,30,0.6,12m-1m,61.45,36.15,1.7,1.237,1.955
5,0,70,25,0.5,12m-1m,83.84,49.33,1.699,1.509,2.368
20,10,40,30,0.6,12m,69.27,40.77,1.699,1.321,2.045
0,10,70,20,0.4,12m-1m,76.26,44.89,1.699,1.405,2.234
15,10,45,30,0.7,12m-1m,78.97,46.51,1.698,1.441,2.308
15,15,45,25,0.7,12m-1m,84.6,49.82,1.698,1.508,2.42
0,0,70,30,0.5,12m,82.55,48.61,1.698,1.469,2.282
10,10,60,20,0.7,12m-1m,75.84,44.76,1.695,1.408,2.177
15,15,45,25,0.5,12m-1m,69.33,40.9,1.695,1.344,2.116
20,10,55,15,0.4,12m,72.78,42.97,1.694,1.386,2.183
10,5,50,35,0.6,12m-1m,75.02,44.29,1.694,1.41,2.22
0,10,75,15,0.4,12m,74.81,44.16,1.694,1.39,2.233
5,5,60,30,0.6,12m-1m,88.02,51.98,1.693,1.531,2.437
10,0,55,35,0.7,12m-1m,77.78,45.97,1.692,1.427,2.262
15,10,45,30,0.6,12m-1m,74.2,43.9,1.69,1.396,2.217
5,10,55,30,0.4,12m,76.29,45.15,1.69,1.417,2.223
5,10,50,35,0.8,12m-1m,83.75,49.57,1.69,1.491,2.395
10,5,55,30,0.8,12m,83.17,49.2,1.69,1.473,2.318
25,0,65,10,0.4,12m-1m,75.98,44.98,1.689,1.431,2.342
15,10,45,30,0.5,12m,76.32,45.19,1.689,1.423,2.249
5,5,60,30,0.6,12m,83.96,49.7,1.689,1.496,2.357
5,0,55,40,0.7,12m-1m,77.0,45.65,1.687,1.413,2.237
15,5,45,35,0.7,12m,75.57,44.85,1.685,1.397,2.184
5,0,65,30,0.7,12m-1m,75.67,44.92,1.685,1.398,2.214
5,0,70,25,0.7,12m-1m,82.04,48.69,1.685,1.456,2.326
20,5,65,10,0.4,12m-1m,68.44,40.63,1.684,1.33,2.118
20,10,60,10,0.7,12m,71.43,42.45,1.683,1.351,2.013
25,0,65,10,0.5,12m-1m,71.79,42.65,1.683,1.384,2.256
5,15,55,25,0.6,12m,82.22,48.89,1.682,1.475,2.335
10,15,60,15,0.6,12m-1m,66.83,39.74,1.682,1.297,2.06
0,15,65,20,0.6,12m-1m,78.29,46.55,1.682,1.448,2.322
5,10,50,35,0.3,12m-1m,63.61,37.82,1.682,1.257,2.02
5,10,55,30,0.5,12m,84.06,49.97,1.682,1.5,2.392
20,10,55,15,0.4,12m-1m,59.41,35.34,1.681,1.22,1.906
15,0,70,15,0.7,12m,73.82,43.91,1.681,1.369,2.124
10,5,70,15,0.3,12m,76.0,45.22,1.681,1.405,2.239
10,10,45,35,0.6,12m,70.33,41.83,1.681,1.336,2.139
10,0,75,15,0.3,12m-1m,83.84,49.94,1.679,1.494,2.352
15,5,60,20,0.3,12m-1m,67.74,40.34,1.679,1.322,2.103
15,10,65,10,0.6,12m-1m,71.87,42.83,1.678,1.345,2.013
10,5,70,15,0.5,12m,81.72,48.69,1.678,1.447,2.304
0,15,70,15,0.5,12m-1m,77.55,46.27,1.676,1.428,2.26
15,0,45,40,0.7,12m-1m,67.16,40.08,1.675,1.304,2.022
25,0,55,20,0.7,12m,76.35,45.61,1.674,1.422,2.177
15,0,65,20,0.4,12m-1m,70.87,42.38,1.672,1.353,2.122
10,15,50,25,0.4,12m-1m,73.5,44.0,1.67,1.378,2.17
15,5,50,30,0.8,12m-1m,74.19,44.42,1.67,1.391,2.206
20,10,40,30,0.5,12m-1m,82.4,49.36,1.669,1.487,2.363
25,0,60,15,0.7,12m-1m,67.85,40.65,1.669,1.324,2.019
15,5,65,15,0.8,12m,75.86,45.5,1.667,1.399,2.148
0,5,70,25,0.3,12m-1m,75.08,45.07,1.666,1.388,2.226
0,15,60,25,0.6,12m-1m,77.69,46.63,1.666,1.446,2.337
0,10,60,30,0.3,12m-1m,76.08,45.71,1.664,1.41,2.22
15,5,60,20,0.4,12m-1m,68.36,41.09,1.664,1.327,2.071
0,10,60,30,0.4,12m-1m,73.58,44.25,1.663,1.38,2.161
20,5,50,25,0.5,12m-1m,67.63,40.67,1.663,1.308,2.054
25,5,55,15,0.6,12m-1m,59.28,35.67,1.662,1.219,1.853
10,15,40,35,0.6,12m-1m,71.26,42.9,1.661,1.358,2.19
15,15,40,30,0.8,12m,84.27,50.8,1.659,1.497,2.424
0,15,65,20,0.7,12m-1m,81.87,49.34,1.659,1.492,2.385
20,5,40,35,0.6,12m,66.55,40.12,1.659,1.272,2.015
0,10,65,25,0.7,12m-1m,74.11,44.7,1.658,1.39,2.249
15,10,45,30,0.8,12m,89.23,53.86,1.657,1.539,2.364
30,5,45,20,0.3,12m-1m,48.6,29.33,1.657,1.118,1.728
10,0,75,15,0.7,12m-1m,82.19,49.6,1.657,1.462,2.289
30,5,45,20,0.6,12m-1m,49.45,29.85,1.656,1.109,1.741
10,10,55,25,0.6,12m,87.75,52.98,1.656,1.51,2.362
25,5,50,20,0.4,12m-1m,60.99,36.86,1.655,1.238,1.961
20,10,60,10,0.7,12m-1m,71.01,42.92,1.655,1.355,2.094
5,0,60,35,0.7,12m,81.03,48.98,1.654,1.463,2.364
25,5,50,20,0.5,12m-1m,60.48,36.59,1.653,1.242,1.941
20,5,40,35,0.5,12m-1m,62.58,37.9,1.651,1.276,1.98
15,10,45,30,0.7,12m,84.29,51.04,1.651,1.477,2.27
15,10,60,15,0.7,12m-1m,69.87,42.33,1.65,1.337,2.062
25,0,50,25,0.6,12m-1m,69.4,42.06,1.65,1.339,2.096
30,5,45,20,0.6,12m,52.75,31.98,1.65,1.136,1.811
0,10,65,25,0.3,12m,76.31,46.29,1.649,1.398,2.215
0,15,45,40,0.4,12m-1m,80.42,48.76,1.649,1.46,2.341
0,0,70,30,0.5,12m-1m,79.69,48.33,1.649,1.452,2.262
5,15,50,30,0.8,12m,83.06,50.38,1.649,1.473,2.293
10,5,65,20,0.4,12m,82.36,49.97,1.648,1.457,2.363
5,0,75,20,0.6,12m-1m,82.61,50.19,1.646,1.484,2.376
5,0,70,25,0.4,12m-1m,77.22,46.94,1.645,1.402,2.273
10,5,70,15,0.8,12m,73.11,44.44,1.645,1.38,2.125
25,5,55,15,0.7,12m-1m,58.43,35.52,1.645,1.194,1.783
15,10,50,25,0.5,12m-1m,65.84,40.05,1.644,1.294,2.002
10,5,60,25,0.5,12m,79.2,48.27,1.641,1.432,2.29
10,10,50,30,0.5,12m-1m,76.15,46.45,1.64,1.414,2.233
10,0,55,35,0.6,12m-1m,80.19,48.89,1.64,1.449,2.305
20,0,55,25,0.5,12m,64.14,39.12,1.639,1.253,2.024
0,10,55,35,0.5,12m-1m,78.54,47.93,1.639,1.436,2.305
5,5,65,25,0.4,12m-1m,80.91,49.39,1.638,1.451,2.315
10,5,65,20,0.8,12m,78.73,48.05,1.638,1.445,2.225
20,10,55,15,0.5,12m,64.95,39.65,1.638,1.281,1.936
10,10,50,30,0.4,12m-1m,75.93,46.4,1.637,1.407,2.233
15,5,50,30,0.5,12m,81.23,49.61,1.637,1.44,2.365
15,0,75,10,0.4,12m,80.18,48.99,1.636,1.434,2.32
25,0,55,20,0.4,12m,60.82,37.21,1.635,1.242,2.053
5,15,70,10,0.4,12m-1m,74.63,45.65,1.635,1.388,2.196
15,0,70,15,0.6,12m,80.44,49.19,1.635,1.421,2.262
5,5,75,15,0.3,12m-1m,76.11,46.54,1.635,1.413,2.23
0,15,55,30,0.3,12m,75.54,46.22,1.634,1.406,2.25
0,15,45,40,0.5,12m,80.4,49.22,1.634,1.469,2.332
5,15,65,15,0.7,12m-1m,68.29,41.82,1.633,1.309,2.06
10,10,60,20,0.8,12m-1m,76.4,46.78,1.633,1.407,2.19
15,10,50,25,0.5,12m,71.81,43.97,1.633,1.368,2.177
20,0,50,30,0.5,12m-1m,67.09,41.09,1.633,1.311,2.08
30,10,40,20,0.5,12m,49.99,30.64,1.632,1.113,1.739
10,15,50,25,0.4,12m,77.05,47.21,1.632,1.436,2.254
5,5,65,25,0.3,12m-1m,67.92,41.61,1.632,1.303,2.067
15,10,55,20,0.6,12m,72.04,44.16,1.631,1.344,2.083
5,5,75,15,0.5,12m,80.35,49.25,1.631,1.434,2.317
5,10,65,20,0.8,12m,76.03,46.64,1.63,1.407,2.225
10,5,70,15,0.5,12m-1m,84.51,51.84,1.63,1.47,2.351
10,5,60,25,0.7,12m,85.96,52.78,1.629,1.511,2.354
25,5,55,15,0.6,12m,62.34,38.29,1.628,1.251,1.858
5,10,70,15,0.6,12m-1m,77.07,47.35,1.628,1.417,2.213
25,5,45,25,0.7,12m,69.41,42.66,1.627,1.34,2.085
15,5,40,40,0.7,12m-1m,69.26,42.57,1.627,1.347,2.067
10,10,55,25,0.5,12m,75.59,46.48,1.626,1.396,2.223
5,15,50,30,0.6,12m-1m,78.7,48.4,1.626,1.436,2.291
10,15,45,30,0.4,12m,73.53,45.28,1.624,1.383,2.152
20,10,45,25,0.5,12m-1m,70.22,43.24,1.624,1.35,2.104
0,10,55,35,0.3,12m,78.12,48.13,1.623,1.441,2.292
5,10,65,20,0.6,12m-1m,76.21,46.95,1.623,1.404,2.239
0,15,65,20,0.8,12m-1m,75.54,46.55,1.623,1.406,2.185
25,0,65,10,0.6,12m-1m,60.29,37.19,1.621,1.237,1.96
10,5,65,20,0.7,12m,79.32,48.96,1.62,1.449,2.219
0,10,50,40,0.5,12m,79.03,48.85,1.618,1.435,2.267
10,15,55,20,0.7,12m,81.61,50.47,1.617,1.464,2.3
5,0,75,20,0.5,12m,84.33,52.19,1.616,1.472,2.396
5,5,55,35,0.6,12m,76.52,47.42,1.614,1.411,2.248
20,0,55,25,0.8,12m-1m,87.56,54.27,1.613,1.515,2.302
0,15,50,35,0.4,12m-1m,73.81,45.76,1.613,1.392,2.22
0,15,60,25,0.4,12m-1m,74.44,46.17,1.612,1.39,2.211
15,0,55,30,0.7,12m,83.24,51.64,1.612,1.456,2.288
15,15,40,30,0.5,12m,70.86,43.98,1.611,1.351,2.129
10,10,50,30,0.3,12m-1m,70.22,43.61,1.61,1.328,2.13
15,15,55,15,0.5,12m,72.32,44.93,1.61,1.361,2.168
5,0,60,35,0.8,12m-1m,74.0,45.97,1.61,1.387,2.208
25,0,45,30,0.7,12m,78.71,48.93,1.609,1.424,2.133
0,0,60,40,0.5,12m,74.13,46.11,1.608,1.378,2.157
0,0,75,25,0.5,12m-1m,81.82,50.93,1.607,1.481,2.339
20,5,45,30,0.8,12m-1m,80.11,49.95,1.604,1.462,2.293
0,15,55,30,0.6,12m,77.94,48.62,1.603,1.435,2.325
20,10,40,30,0.7,12m,69.62,43.43,1.603,1.339,2.07
0,5,55,40,0.6,12m,73.64,45.94,1.603,1.376,2.155
0,15,45,40,0.5,12m-1m,78.78,49.15,1.603,1.442,2.321
15,0,60,25,0.5,12m-1m,68.57,42.81,1.602,1.324,2.059
15,5,50,30,0.6,12m-1m,67.72,42.3,1.601,1.299,2.083
25,10,50,15,0.7,12m,56.88,35.56,1.6,1.186,1.813
15,15,50,20,0.7,12m-1m,73.97,46.25,1.599,1.386,2.245
20,0,60,20,0.4,12m-1m,67.82,42.41,1.599,1.319,2.092
10,15,50,25,0.5,12m,76.04,47.58,1.598,1.417,2.242
10,0,50,40,0.8,12m-1m,69.42,43.47,1.597,1.331,2.073
10,15,65,10,0.5,12m-1m,60.88,38.14,1.596,1.23,1.924
15,5,70,10,0.4,12m,71.3,44.67,1.596,1.352,2.166
10,10,70,10,0.7,12m,71.31,44.7,1.595,1.344,2.016
10,15,55,20,0.7,12m-1m,77.52,48.62,1.595,1.411,2.215
5,5,55,35,0.8,12m,83.5,52.37,1.594,1.483,2.318
25,0,55,20,0.4,12m-1m,59.94,37.6,1.594,1.229,1.947
5,5,70,20,0.5,12m-1m,75.58,47.42,1.594,1.397,2.224
5,0,65,30,0.5,12m-1m,79.04,49.63,1.593,1.448,2.234
10,0,75,15,0.5,12m,83.79,52.63,1.592,1.462,2.39
5,10,75,10,0.6,12m-1m,70.72,44.43,1.592,1.337,2.061
0,15,65,20,0.3,12m,74.83,47.05,1.591,1.392,2.226
25,10,45,20,0.4,12m-1m,62.85,39.5,1.591,1.274,1.979
15,10,55,20,0.7,12m,73.69,46.31,1.591,1.376,2.133
0,10,75,15,0.6,12m-1m,73.9,46.48,1.59,1.388,2.209
0,10,60,30,0.7,12m-1m,77.51,48.74,1.59,1.426,2.314
15,5,55,25,0.5,12m-1m,72.51,45.67,1.588,1.361,2.148
10,0,50,40,0.7,12m-1m,69.64,43.85,1.588,1.335,2.119
15,10,45,30,0.4,12m-1m,76.97,48.49,1.587,1.421,2.305
15,0,50,35,0.3,12m-1m,59.25,37.37,1.586,1.217,1.947
25,5,40,30,0.7,12m,68.35,43.11,1.586,1.322,2.031
15,0,70,15,0.3,12m-1m,75.73,47.79,1.585,1.416,2.274
20,10,50,20,0.6,12m-1m,57.35,36.19,1.584,1.193,1.872
10,15,60,15,0.7,12m,71.62,45.26,1.582,1.336,2.013
10,10,55,25,0.5,12m-1m,66.8,42.23,1.582,1.308,2.067
20,0,70,10,0.5,12m,73.95,46.79,1.581,1.381,2.227
20,5,50,25,0.3,12m-1m,65.16,41.23,1.58,1.273,2.046
20,5,55,20,0.4,12m,67.17,42.5,1.58,1.299,2.037
10,5,50,35,0.3,12m-1m,62.63,39.66,1.579,1.246,2.032
5,5,50,40,0.6,12m-1m,71.93,45.59,1.578,1.369,2.131
5,15,55,25,0.3,12m-1m,63.48,40.23,1.578,1.266,1.977
30,0,55,15,0.7,12m,54.35,34.47,1.577,1.17,1.75
5,10,70,15,0.6,12m,79.12,50.16,1.577,1.436,2.275
0,15,65,20,0.7,12m,74.16,47.02,1.577,1.384,2.146
15,15,50,20,0.5,12m-1m,64.85,41.15,1.576,1.286,2.006
20,5,60,15,0.4,12m,64.58,40.98,1.576,1.269,2.049
15,5,60,20,0.4,12m,75.24,47.74,1.576,1.384,2.226
20,0,70,10,0.3,12m,66.13,42.09,1.571,1.302,2.194
5,0,60,35,0.6,12m-1m,82.95,52.81,1.571,1.483,2.323
20,10,45,25,0.8,12m-1m,76.4,48.67,1.57,1.421,2.233
10,5,50,35,0.7,12m-1m,66.67,42.45,1.57,1.301,2.066
10,15,45,30,0.6,12m-1m,68.69,43.75,1.57,1.333,2.147
5,15,55,25,0.8,12m,78.15,49.78,1.57,1.424,2.213
20,0,50,30,0.6,12m-1m,72.57,46.26,1.569,1.362,2.165
15,15,55,15,0.6,12m,69.98,44.61,1.569,1.328,2.056
5,5,70,20,0.4,12m-1m,81.02,51.67,1.568,1.455,2.349
5,15,55,25,0.5,12m,80.49,51.32,1.568,1.459,2.319
10,0,70,20,0.3,12m-1m,74.3,47.42,1.567,1.376,2.212
5,15,50,30,0.5,12m-1m,83.71,53.44,1.566,1.49,2.364
5,10,45,40,0.7,12m,81.08,51.81,1.565,1.47,2.338
10,10,70,10,0.6,12m-1m,70.13,44.81,1.565,1.33,2.02
15,0,75,10,0.3,12m-1m,66.59,42.56,1.565,1.302,2.082
15,5,55,25,0.4,12m-1m,72.56,46.4,1.564,1.359,2.159
15,5,65,15,0.5,12m,72.62,46.45,1.564,1.356,2.145
15,10,40,35,0.6,12m-1m,65.91,42.18,1.563,1.303,2.072
0,10,55,35,0.6,12m,77.71,49.76,1.562,1.436,2.321
0,10,60,30,0.5,12m-1m,76.7,49.14,1.561,1.417,2.272
0,15,60,25,0.4,12m,75.31,48.25,1.561,1.411,2.232
20,10,45,25,0.8,12m,83.67,53.64,1.56,1.487,2.297
0,10,60,30,0.4,12m,74.83,47.99,1.559,1.397,2.251
10,0,70,20,0.4,12m,75.31,48.29,1.559,1.367,2.226
25,10,50,15,0.6,12m,50.68,32.52,1.558,1.114,1.715
0,5,65,30,0.3,12m-1m,66.42,42.63,1.558,1.296,2.063
0,15,50,35,0.8,12m,77.17,49.56,1.557,1.421,2.271
10,10,50,30,0.5,12m,71.6,45.99,1.557,1.36,2.131
0,10,65,25,0.8,12m-1m,73.49,47.23,1.556,1.39,2.271
0,5,70,25,0.5,12m-1m,72.39,46.53,1.556,1.376,2.145
10,10,45,35,0.3,12m-1m,63.64,40.94,1.555,1.265,2.051
5,5,75,15,0.6,12m-1m,76.64,49.28,1.555,1.413,2.26
15,10,45,30,0.5,12m-1m,69.46,44.67,1.555,1.338,2.132
0,0,70,30,0.8,12m-1m,71.64,46.07,1.555,1.357,2.167
10,10,70,10,0.8,12m-1m,68.84,44.29,1.554,1.316,1.989
5,5,70,20,0.3,12m-1m,76.57,49.31,1.553,1.403,2.294
10,15,55,20,0.4,12m,70.58,45.47,1.552,1.368,2.124
20,0,70,10,0.8,12m,64.22,41.4,1.551,1.264,1.92
10,0,65,25,0.3,12m,68.54,44.22,1.55,1.304,2.081
25,0,50,25,0.5,12m-1m,64.31,41.49,1.55,1.281,2.016
10,10,65,15,0.5,12m,78.52,50.78,1.546,1.412,2.251
0,10,75,15,0.3,12m-1m,64.69,41.83,1.546,1.268,2.036
5,5,50,40,0.8,12m,74.24,48.09,1.544,1.4,2.205
0,15,45,40,0.3,12m,76.56,49.62,1.543,1.415,2.266
10,15,65,10,0.6,12m-1m,65.22,42.27,1.543,1.276,1.989
5,0,60,35,0.5,12m-1m,74.8,48.5,1.542,1.387,2.179
0,15,50,35,0.5,12m-1m,74.25,48.18,1.541,1.392,2.222
25,5,50,20,0.3,12m-1m,62.61,40.64,1.541,1.288,2.041
15,10,65,10,0.7,12m,69.84,45.33,1.541,1.328,1.981
5,5,60,30,0.3,12m-1m,65.06,42.26,1.54,1.272,2.037
20,10,55,15,0.7,12m-1m,63.88,41.48,1.54,1.261,1.959
0,15,75,10,0.3,12m-1m,64.67,42.01,1.539,1.279,2.078
15,15,40,30,0.3,12m-1m,68.53,44.57,1.538,1.335,2.103
15,5,55,25,0.3,12m-1m,65.02,42.29,1.538,1.277,2.052
5,10,50,35,0.6,12m-1m,77.7,50.53,1.538,1.434,2.265
5,0,55,40,0.3,12m-1m,65.85,42.83,1.537,1.28,2.076
10,0,55,35,0.3,12m-1m,63.98,41.62,1.537,1.262,2.023
5,10,65,20,0.7,12m,71.25,46.38,1.536,1.357,2.157
25,5,45,25,0.6,12m,66.08,43.08,1.534,1.28,1.908
0,15,60,25,0.3,12m-1m,73.02,47.59,1.534,1.373,2.159
10,0,65,25,0.4,12m,82.1,53.54,1.533,1.451,2.355
5,0,65,30,0.5,12m,81.29,53.04,1.533,1.459,2.297
15,5,50,30,0.5,12m-1m,69.02,45.03,1.533,1.307,2.122
0,15,65,20,0.6,12m,71.33,46.55,1.532,1.354,2.178
0,10,75,15,0.5,12m,78.12,50.99,1.532,1.437,2.229
25,0,55,20,0.5,12m-1m,57.87,37.79,1.531,1.197,1.916
25,0,50,25,0.8,12m,78.74,51.46,1.53,1.432,2.171
20,0,45,35,0.6,12m-1m,70.58,46.12,1.53,1.356,2.142
20,5,65,10,0.4,12m,61.64,40.29,1.53,1.243,1.96
15,5,55,25,0.4,12m,76.54,50.09,1.528,1.395,2.245
10,15,50,25,0.7,12m-1m,70.37,46.11,1.526,1.349,2.19
15,0,50,35,0.5,12m-1m,64.87,42.5,1.526,1.29,2.057
15,10,60,15,0.3,12m-1m,65.76,43.11,1.525,1.304,2.107
20,10,45,25,0.4,12m,66.2,43.4,1.525,1.292,2.064
30,0,50,20,0.8,12m-1m,65.0,42.65,1.524,1.325,2.036
10,5,55,30,0.4,12m-1m,69.3,45.48,1.524,1.325,2.122
15,5,40,40,0.6,12m,67.55,44.39,1.522,1.318,1.957
20,0,55,25,0.5,12m-1m,63.87,41.96,1.522,1.272,2.001
5,15,60,20,0.8,12m-1m,73.03,48.01,1.521,1.371,2.156
0,5,60,35,0.6,12m-1m,76.91,50.64,1.519,1.411,2.231
5,5,70,20,0.3,12m,77.15,50.78,1.519,1.416,2.288
15,15,50,20,0.6,12m,69.52,45.79,1.518,1.339,2.045
10,10,55,25,0.7,12m,84.37,55.59,1.518,1.481,2.294
5,0,75,20,0.8,12m-1m,76.46,50.36,1.518,1.404,2.18
5,10,70,15,0.4,12m-1m,69.56,45.85,1.517,1.335,2.116
5,10,65,20,0.4,12m,72.48,47.77,1.517,1.357,2.15
10,5,55,30,0.4,12m,70.36,46.4,1.516,1.342,2.115
20,10,55,15,0.8,12m,69.36,45.75,1.516,1.335,2.089
10,10,70,10,0.8,12m,65.79,43.4,1.516,1.28,1.922
10,15,60,15,0.3,12m-1m,62.58,41.3,1.515,1.253,2.006
15,0,60,25,0.3,12m-1m,71.11,46.95,1.515,1.359,2.155
5,5,60,30,0.8,12m-1m,75.2,49.62,1.515,1.394,2.257
25,0,50,25,0.7,12m-1m,69.11,45.63,1.515,1.324,2.026
5,0,70,25,0.4,12m,68.13,44.99,1.514,1.3,2.094
5,10,75,10,0.3,12m,68.51,45.25,1.514,1.319,2.091
15,10,55,20,0.5,12m,65.35,43.18,1.514,1.282,2.04
5,10,55,30,0.3,12m,65.46,43.24,1.514,1.293,2.028
0,15,55,30,0.7,12m-1m,71.97,47.53,1.514,1.36,2.19
0,10,65,25,0.5,12m-1m,74.3,49.1,1.513,1.39,2.175
5,0,70,25,0.3,12m-1m,68.62,45.36,1.513,1.314,2.133
15,10,55,20,0.3,12m,65.58,43.36,1.513,1.279,2.043
5,0,75,20,0.5,12m-1m,81.75,54.03,1.513,1.461,2.361
10,5,70,15,0.6,12m,81.44,53.9,1.511,1.44,2.206
0,5,65,30,0.7,12m-1m,73.98,49.07,1.508,1.379,2.194
25,5,55,15,0.8,12m-1m,56.64,37.56,1.508,1.173,1.811
0,15,55,30,0.8,12m-1m,73.44,48.72,1.507,1.391,2.22
5,10,50,35,0.5,12m,73.56,48.84,1.506,1.387,2.175
15,5,65,15,0.4,12m-1m,67.76,45.0,1.506,1.319,2.107
25,5,45,25,0.4,12m,57.76,38.38,1.505,1.208,1.915
0,10,65,25,0.7,12m,69.26,46.01,1.505,1.328,2.131
15,0,50,35,0.8,12m-1m,72.42,48.16,1.504,1.368,2.15
15,10,40,35,0.7,12m,71.35,47.48,1.503,1.35,2.105
5,10,70,15,0.7,12m-1m,77.26,51.42,1.502,1.409,2.17
0,15,60,25,0.8,12m-1m,77.5,51.62,1.501,1.417,2.232
0,15,75,10,0.3,12m,64.69,43.12,1.5,1.272,2.041
30,0,60,10,0.5,12m,59.14,39.44,1.499,1.254,2.028
10,10,55,25,0.3,12m-1m,70.62,47.13,1.498,1.333,2.136
25,0,45,30,0.5,12m,59.47,39.73,1.497,1.219,1.939
15,15,40,30,0.5,12m-1m,65.36,43.65,1.497,1.304,2.029
10,15,60,15,0.7,12m-1m,63.35,42.32,1.497,1.244,1.89
0,10,70,20,0.5,12m-1m,72.75,48.64,1.496,1.367,2.162
5,15,50,30,0.8,12m-1m,84.15,56.24,1.496,1.476,2.324
0,15,60,25,0.5,12m,68.93,46.06,1.496,1.341,2.167
5,10,65,20,0.6,12m,79.62,53.24,1.495,1.439,2.311
5,5,65,25,0.7,12m-1m,75.93,50.82,1.494,1.4,2.229
25,5,50,20,0.8,12m-1m,66.36,44.42,1.494,1.293,1.991
30,5,45,20,0.4,12m-1m,47.38,31.73,1.493,1.089,1.72
20,5,65,10,0.6,12m-1m,59.43,39.81,1.493,1.218,1.876
10,5,55,30,0.5,12m,74.22,49.71,1.493,1.384,2.191
5,5,75,15,0.6,12m,76.66,51.45,1.49,1.415,2.257
0,5,70,25,0.4,12m-1m,73.02,49.05,1.489,1.382,2.188
10,5,75,10,0.6,12m,76.38,51.34,1.488,1.415,2.243
15,15,50,20,0.3,12m,69.59,46.82,1.487,1.322,2.118
30,0,50,20,0.4,12m,55.89,37.61,1.486,1.215,2.019
10,5,70,15,0.8,12m-1m,67.6,45.55,1.484,1.315,2.037
10,5,75,10,0.3,12m,73.27,49.39,1.484,1.367,2.176
30,0,55,15,0.8,12m,57.84,38.99,1.484,1.222,1.83
0,5,60,35,0.8,12m,69.9,47.11,1.484,1.342,2.177
0,10,75,15,0.7,12m-1m,67.48,45.46,1.484,1.309,2.106
0,5,75,20,0.6,12m-1m,78.01,52.6,1.483,1.432,2.279
25,5,50,20,0.7,12m-1m,66.46,44.81,1.483,1.306,1.983
15,15,40,30,0.6,12m-1m,65.52,44.18,1.483,1.296,2.048
25,0,65,10,0.8,12m,64.03,43.2,1.482,1.276,1.954
5,15,70,10,0.6,12m-1m,71.83,48.47,1.482,1.342,2.089
10,15,50,25,0.3,12m-1m,72.17,48.74,1.481,1.36,2.132
10,10,70,10,0.7,12m-1m,66.24,44.75,1.48,1.282,1.911
5,5,55,35,0.5,12m,76.65,51.8,1.48,1.415,2.252
10,5,65,20,0.5,12m,75.34,50.89,1.48,1.382,2.208
25,0,60,15,0.6,12m,60.23,40.73,1.479,1.217,1.829
0,0,65,35,0.4,12m-1m,68.62,46.42,1.478,1.31,2.076
5,0,75,20,0.7,12m-1m,76.68,51.9,1.478,1.405,2.27
20,5,65,10,0.6,12m,58.91,39.89,1.477,1.191,1.8
