label,gr,mom,v,q,g,m,cagr,mdd,calmar,sharpe,sortino
def_3f_rev_oca_opm,0.6/0.2/0.2,12m-1m,20,5,25,50,33.9,44.79,0.757,0.807,1.136
def_3f_rev_oca_opm,0.6/0.2/0.2,12m-1m,10,10,30,50,-14.62,74.43,-0.196,0.17,0.173
def_3f_rev_oca_opm,0.6/0.2/0.2,12m-1m,15,15,20,50,-13.71,69.47,-0.197,0.133,0.118
def_3f_rev_oca_opm,0.6/0.2/0.2,12m-1m,20,10,25,45,-11.84,67.63,-0.175,0.167,0.158
def_3f_rev_oca_opm,0.6/0.2/0.2,12m-1m,25,5,20,50,1.96,67.12,0.029,0.414,0.38
def_3f_rev_oca_opm,0.6/0.2/0.2,12m-1m,10,10,20,60,1.44,61.38,0.023,0.314,0.309
def_3f_rev_oca_opm,0.6/0.2/0.2,12m-1m,15,10,30,45,-15.09,79.54,-0.19,0.195,0.224
def_3f_rev_oca_opm,0.6/0.2/0.2,12m-1m,20,10,15,55,-6.63,70.41,-0.094,0.268,0.225
def_3f_rev_oca_opm,0.6/0.2/0.2,12m-1m,25,10,25,40,-7.11,66.49,-0.107,0.279,0.27
def_3f_rev_oca_opm,0.6/0.2/0.2,12m-1m,10,5,25,60,-19.03,78.66,-0.242,0.177,0.147
def_3f_rev_oca_opm,0.4/0.4/0.2,6m,15,10,25,50,1.57,66.97,0.023,0.336,0.331
def_3f_rev_oca_opm,0.4/0.4/0.2,6m,20,10,20,50,9.13,68.42,0.133,0.477,0.48
def_3f_rev_oca_opm,0.4/0.4/0.2,6m,15,10,20,55,19.36,70.89,0.273,0.656,0.646
def_3f_rev_oca_opm,0.4/0.4/0.2,6m,25,10,20,45,-20.8,76.92,-0.27,-0.086,-0.078
def_3f_rev_oca_opm,0.4/0.4/0.2,6m,15,5,20,60,3.16,81.32,0.039,0.402,0.382
def_3f_rev_oca_opm,0.4/0.4/0.2,6m,20,5,25,50,-11.28,78.69,-0.143,0.147,0.136
def_3f_rev_oca_opm,0.4/0.4/0.2,6m,10,10,30,50,-11.1,73.69,-0.151,0.072,0.07
def_3f_rev_oca_opm,0.4/0.4/0.2,6m,15,15,20,50,-3.35,73.15,-0.046,0.232,0.222
def_3f_rev_oca_opm,0.4/0.4/0.2,6m,20,10,25,45,-17.93,74.83,-0.24,-0.003,-0.003
def_3f_rev_oca_opm,0.4/0.4/0.2,6m,25,5,20,50,-5.46,77.67,-0.07,0.266,0.252
def_3f_rev_oca_opm,0.4/0.4/0.2,6m,10,10,20,60,-8.88,83.74,-0.106,0.237,0.21
def_3f_rev_oca_opm,0.4/0.4/0.2,6m,15,10,30,45,-16.1,69.97,-0.23,-0.031,-0.03
