combo,ratio,v,q,g,m,cagr,mdd,calmar,sharpe,sortino
rev_z+rev_accel_z+gp_growth_z,0.4/0.3/0.3,15,15,20,50,2.74,62.62,0.044,0.353,0.334
rev_z+rev_accel_z+gp_growth_z,0.4/0.3/0.3,20,10,25,45,-16.1,60.17,-0.268,-0.047,-0.046
rev_z+rev_accel_z+gp_growth_z,0.4/0.3/0.3,25,5,20,50,-12.06,74.38,-0.162,0.109,0.097
rev_z+rev_accel_z+gp_growth_z,0.4/0.3/0.3,10,10,20,60,-0.51,68.92,-0.007,0.393,0.348
rev_z+rev_accel_z+gp_growth_z,0.4/0.3/0.3,15,10,30,45,-18.21,67.25,-0.271,-0.106,-0.109
rev_z+rev_accel_z+gp_growth_z,0.4/0.3/0.3,20,10,15,55,21.19,57.0,0.372,0.698,0.656
rev_z+rev_accel_z+gp_growth_z,0.4/0.3/0.3,25,10,25,40,-7.65,58.79,-0.13,0.137,0.145
rev_z+rev_accel_z+gp_growth_z,0.4/0.3/0.3,10,5,25,60,-31.22,83.28,-0.375,-0.1,-0.083
rev_z+rev_accel_z+gp_growth_z,0.7/0.2/0.1,15,10,25,50,6.66,67.83,0.098,0.479,0.45
rev_z+rev_accel_z+gp_growth_z,0.7/0.2/0.1,20,10,20,50,9.04,64.97,0.139,0.522,0.471
rev_z+rev_accel_z+gp_growth_z,0.7/0.2/0.1,15,10,20,55,3.54,68.09,0.052,0.424,0.385
rev_z+rev_accel_z+gp_growth_z,0.7/0.2/0.1,25,10,20,45,0.85,65.1,0.013,0.378,0.344
rev_z+rev_accel_z+gp_growth_z,0.7/0.2/0.1,15,5,20,60,9.22,68.68,0.134,0.526,0.476
rev_z+rev_accel_z+gp_growth_z,0.7/0.2/0.1,20,5,25,50,-18.08,76.29,-0.237,-0.02,-0.018
rev_z+rev_accel_z+gp_growth_z,0.7/0.2/0.1,10,10,30,50,-11.63,73.32,-0.159,0.17,0.16
rev_z+rev_accel_z+gp_growth_z,0.7/0.2/0.1,15,15,20,50,3.2,68.71,0.047,0.418,0.379
rev_z+rev_accel_z+gp_growth_z,0.7/0.2/0.1,20,10,25,45,-0.39,64.26,-0.006,0.357,0.333
rev_z+rev_accel_z+gp_growth_z,0.7/0.2/0.1,25,5,20,50,8.81,66.64,0.132,0.518,0.468
rev_z+rev_accel_z+gp_growth_z,0.7/0.2/0.1,10,10,20,60,3.03,68.13,0.045,0.434,0.382
rev_z+rev_accel_z+gp_growth_z,0.7/0.2/0.1,15,10,30,45,-13.68,72.52,-0.189,0.093,0.086
rev_z+rev_accel_z+gp_growth_z,0.7/0.2/0.1,20,10,15,55,13.3,62.36,0.213,0.596,0.535
rev_z+rev_accel_z+gp_growth_z,0.7/0.2/0.1,25,10,25,40,-2.19,59.19,-0.037,0.245,0.247
