v,q,g,m,mom,entry,exit,slots,sl,trail,corr_th,calmar,cagr,mdd,sharpe,sortino,avg_holdings
20,0,70,10,12m,5,12,3,-0.1,-0.15,0.65,2.76,104.28,37.78,1.699,2.765,3.0
20,0,70,10,12m,5,12,3,-0.1,-0.15,,2.76,104.28,37.78,1.699,2.765,3.0
20,5,60,15,12m,5,8,3,,-0.15,0.6,2.749,95.22,34.64,1.581,2.538,3.0
20,5,60,15,12m,5,8,3,,-0.15,0.65,2.749,95.22,34.64,1.581,2.538,3.0
20,5,60,15,12m,5,8,3,,-0.15,,2.749,95.22,34.64,1.581,2.538,3.0
20,5,60,15,12m-1m,5,15,3,,-0.15,,2.743,92.63,33.77,1.568,2.594,3.0
20,5,60,15,12m-1m,5,15,3,,-0.15,0.6,2.743,92.63,33.77,1.568,2.594,3.0
20,5,60,15,12m-1m,5,15,3,,-0.15,0.65,2.743,92.63,33.77,1.568,2.594,3.0
20,0,70,10,12m,5,12,3,,-0.15,,2.739,103.5,37.78,1.691,2.753,3.0
20,0,70,10,12m,5,12,3,-0.12,-0.15,0.65,2.739,103.5,37.78,1.691,2.753,3.0
20,0,70,10,12m,5,12,3,-0.12,-0.15,,2.739,103.5,37.78,1.691,2.753,3.0
20,0,70,10,12m,5,12,3,,-0.15,0.6,2.739,103.5,37.78,1.691,2.753,3.0
20,0,70,10,12m,5,12,3,,-0.15,0.65,2.739,103.5,37.78,1.691,2.753,3.0
20,0,70,10,12m,5,12,3,-0.12,-0.15,0.6,2.739,103.5,37.78,1.691,2.753,3.0
20,5,60,15,12m,7,8,3,-0.1,,0.6,2.733,96.69,35.37,1.612,2.52,3.0
20,0,65,15,12m,5,12,3,-0.1,-0.15,,2.733,94.41,34.55,1.576,2.635,3.0
20,5,60,15,12m,7,8,3,-0.1,,,2.733,96.69,35.37,1.612,2.52,3.0
20,5,60,15,12m,7,8,3,-0.1,,0.65,2.733,96.69,35.37,1.612,2.52,3.0
20,0,65,15,12m,5,12,3,-0.1,-0.15,0.6,2.733,94.41,34.55,1.576,2.635,3.0
20,0,65,15,12m,5,12,3,-0.1,-0.15,0.65,2.733,94.41,34.55,1.576,2.635,3.0
20,5,60,15,12m,5,8,3,-0.1,-0.15,,2.732,94.64,34.64,1.571,2.528,3.0
20,5,60,15,12m,5,8,3,-0.1,-0.15,0.65,2.732,94.64,34.64,1.571,2.528,3.0
20,5,60,15,12m,5,8,3,-0.1,-0.15,0.6,2.732,94.64,34.64,1.571,2.528,3.0
20,5,60,15,12m,5,8,3,,,0.6,2.727,94.37,34.61,1.581,2.5,3.0
20,5,60,15,12m,5,8,3,,,0.65,2.727,94.37,34.61,1.581,2.5,3.0
20,5,60,15,12m,5,8,3,,,,2.727,94.37,34.61,1.581,2.5,3.0
20,5,60,15,12m-1m,7,12,3,-0.1,-0.15,,2.726,99.97,36.67,1.637,2.714,3.0
20,5,60,15,12m-1m,7,12,3,-0.1,-0.15,0.6,2.726,99.97,36.67,1.637,2.714,3.0
20,5,60,15,12m-1m,7,12,3,-0.1,-0.15,0.65,2.726,99.97,36.67,1.637,2.714,3.0
20,5,60,15,12m,7,15,3,-0.1,-0.15,0.6,2.715,96.1,35.4,1.597,2.635,3.0
20,5,60,15,12m,7,15,3,-0.1,-0.15,,2.715,96.1,35.4,1.597,2.635,3.0
20,5,60,15,12m,7,15,3,-0.1,-0.15,0.65,2.715,96.1,35.4,1.597,2.635,3.0
20,5,60,15,12m-1m,5,12,3,-0.08,-0.15,0.6,2.714,94.44,34.8,1.583,2.603,3.0
20,5,60,15,12m-1m,5,12,3,-0.08,-0.15,0.65,2.714,94.44,34.8,1.583,2.603,3.0
20,5,60,15,12m-1m,5,12,3,-0.08,-0.15,,2.714,94.44,34.8,1.583,2.603,3.0
20,5,60,15,12m-1m,7,15,3,-0.1,-0.15,0.65,2.681,93.38,34.83,1.561,2.612,3.0
20,5,60,15,12m-1m,7,15,3,-0.1,-0.15,,2.681,93.38,34.83,1.561,2.612,3.0
20,5,60,15,12m-1m,7,15,3,-0.1,-0.15,0.6,2.681,93.38,34.83,1.561,2.612,3.0
10,0,70,20,12m-1m,3,8,3,,-0.15,,2.677,100.73,37.63,1.623,2.655,2.9
10,0,70,20,12m-1m,3,8,3,,-0.15,0.6,2.677,100.73,37.63,1.623,2.655,2.9
10,0,70,20,12m-1m,3,8,3,,-0.15,0.65,2.677,100.73,37.63,1.623,2.655,2.9
20,5,60,15,12m,5,15,3,,-0.15,0.6,2.676,94.79,35.43,1.598,2.604,3.0
20,5,60,15,12m,5,15,3,,-0.15,0.65,2.676,94.79,35.43,1.598,2.604,3.0
20,5,60,15,12m,5,15,3,,-0.15,,2.676,94.79,35.43,1.598,2.604,3.0
10,0,70,20,12m-1m,3,8,3,-0.1,-0.15,,2.672,100.84,37.74,1.623,2.647,2.9
10,0,70,20,12m-1m,3,8,3,-0.1,-0.15,0.65,2.672,100.84,37.74,1.623,2.647,2.9
