regime,atk,def,cal,cagr,mdd,sharpe,sortino,switches
MA150_3d,V20Q0G45M35,V30Q15G25M30,3.271,132.55,40.53,0.778,4.681,33
SLOPE200_20w_3d,V20Q0G45M35,V30Q15G25M30,3.266,126.9,38.85,0.763,4.623,12
SLOPE200_20w_3d,V20Q0G45M35,V30Q15G25M30,3.266,126.9,38.85,0.763,4.623,12
RSI14_40_3d,V20Q0G45M35,V30Q15G25M30,3.265,132.34,40.53,0.777,4.72,79
RSI14_40_3d,V20Q0G45M35,V30Q15G25M30,3.265,132.34,40.53,0.777,4.72,79
MA120_3d,V20Q0G45M35,V30Q15G25M30,3.263,133.88,41.03,0.781,4.693,21
MA120_3d,V20Q0G45M35,V30Q15G25M30,3.263,133.88,41.03,0.781,4.693,21
MA200_7d,V20Q0G45M35,V30Q15G25M30,3.26,130.55,40.05,0.773,4.659,21
MA200_7d,V20Q0G45M35,V30Q15G25M30,3.26,130.55,40.05,0.773,4.659,21
MOM252_10d,V20Q0G45M35,V30Q15G25M30,3.255,130.03,39.95,0.771,4.695,12
MOM252_10d,V20Q0G45M35,V30Q15G25M30,3.255,130.03,39.95,0.771,4.695,12
MA100_3d,V20Q0G45M35,V30Q15G25M30,3.252,133.4,41.03,0.78,4.687,25
MA100_3d,V20Q0G45M35,V30Q15G25M30,3.252,133.4,41.03,0.78,4.687,25
MA200_7d,V20Q0G45M35,V30Q15G25M30,3.25,130.16,40.05,0.772,4.667,21
MA200_7d,V20Q0G45M35,V30Q15G25M30,3.25,130.16,40.05,0.772,4.667,21
MOM252_10d,V20Q0G45M35,V30Q15G25M30,3.249,129.79,39.95,0.77,4.693,12
MOM252_10d,V20Q0G45M35,V30Q15G25M30,3.249,129.79,39.95,0.77,4.693,12
MOM60_3d,V20Q0G45M35,V30Q15G25M30,3.248,132.43,40.77,0.777,4.704,27
MOM60_3d,V20Q0G45M35,V30Q15G25M30,3.248,132.43,40.77,0.777,4.704,27
MA120_7d,V20Q0G45M35,V30Q15G25M30,3.245,131.18,40.43,0.774,4.632,17
MA120_7d,V20Q0G45M35,V30Q15G25M30,3.245,131.18,40.43,0.774,4.632,17
MA120_5d,V20Q0G45M35,V30Q15G25M30,3.243,131.43,40.53,0.775,4.651,19
MA120_5d,V20Q0G45M35,V30Q15G25M30,3.243,131.43,40.53,0.775,4.651,19
MOM252_5d,V20Q0G45M35,V30Q15G25M30,3.239,128.71,39.74,0.767,4.695,13
MOM252_5d,V20Q0G45M35,V30Q15G25M30,3.239,128.71,39.74,0.767,4.695,13
SLOPE200_10w_10d,V20Q0G45M35,V30Q15G25M30,3.235,125.8,38.89,0.76,4.612,10
SLOPE200_10w_10d,V20Q0G45M35,V30Q15G25M30,3.235,125.8,38.89,0.76,4.612,10
MA100_5d,V20Q0G45M35,V30Q15G25M30,3.234,131.06,40.53,0.774,4.639,17
MA100_5d,V20Q0G45M35,V30Q15G25M30,3.234,131.06,40.53,0.774,4.639,17
MA200_3d,V20Q0G45M35,V30Q15G25M30,3.234,131.06,40.53,0.774,4.681,25
MA200_3d,V20Q0G45M35,V30Q15G25M30,3.234,131.06,40.53,0.774,4.681,25
MOM252_10d,V20Q0G45M35,V30Q15G25M30,3.234,129.21,39.95,0.769,4.697,12
MOM252_10d,V20Q0G45M35,V30Q15G25M30,3.234,129.21,39.95,0.769,4.697,12
MA150_7d,V20Q0G45M35,V30Q15G25M30,3.231,131.66,40.76,0.776,4.657,15
MA150_7d,V20Q0G45M35,V30Q15G25M30,3.231,131.66,40.76,0.776,4.657,15
MA150_3d,V20Q0G45M35,V30Q15G25M30,3.23,130.91,40.53,0.774,4.679,33
MA150_3d,V20Q0G45M35,V30Q15G25M30,3.23,130.91,40.53,0.774,4.679,33
SLOPE200_10w_10d,V20Q0G45M35,V30Q15G25M30,3.229,125.59,38.89,0.76,4.61,10
SLOPE200_10w_10d,V20Q0G45M35,V30Q15G25M30,3.229,125.59,38.89,0.76,4.61,10
MA120_5d,V20Q0G45M35,V30Q15G25M30,3.224,130.67,40.53,0.773,4.662,19
MA120_5d,V20Q0G45M35,V30Q15G25M30,3.224,130.67,40.53,0.773,4.662,19
MA150_5d,V20Q0G45M35,V30Q15G25M30,3.223,130.3,40.43,0.773,4.651,23
MA150_5d,V20Q0G45M35,V30Q15G25M30,3.223,130.3,40.43,0.773,4.651,23
MOM60_5d,V20Q0G45M35,V30Q15G25M30,3.223,130.61,40.53,0.773,4.616,21
MOM60_5d,V20Q0G45M35,V30Q15G25M30,3.223,130.61,40.53,0.773,4.616,21
MA200_3d,V20Q0G45M35,V30Q15G25M30,3.222,130.57,40.53,0.773,4.653,25
MA200_3d,V20Q0G45M35,V30Q15G25M30,3.222,130.57,40.53,0.773,4.653,25
SLOPE200_10w_10d,V20Q0G45M35,V30Q15G25M30,3.22,125.25,38.89,0.758,4.617,10
SLOPE200_10w_10d,V20Q0G45M35,V30Q15G25M30,3.22,125.25,38.89,0.758,4.617,10
MA120_7d,V20Q0G45M35,V30Q15G25M30,3.215,129.99,40.43,0.771,4.615,17
MA120_7d,V20Q0G45M35,V30Q15G25M30,3.215,129.99,40.43,0.771,4.615,17
MA200_5d,V20Q0G45M35,V30Q15G25M30,3.214,129.96,40.43,0.772,4.673,21
MA200_5d,V20Q0G45M35,V30Q15G25M30,3.214,129.96,40.43,0.772,4.673,21
MA200_5d,V20Q0G45M35,V30Q15G25M30,3.213,129.92,40.43,0.771,4.683,21
MA200_5d,V20Q0G45M35,V30Q15G25M30,3.213,129.92,40.43,0.771,4.683,21
MOM252_3d,V20Q0G45M35,V30Q15G25M30,3.213,123.47,38.43,0.754,4.606,21
MOM252_3d,V20Q0G45M35,V30Q15G25M30,3.213,123.47,38.43,0.754,4.606,21
MA150_3d,V20Q0G45M35,V30Q15G25M30,3.211,130.13,40.53,0.772,4.669,33
MA150_3d,V20Q0G45M35,V30Q15G25M30,3.211,130.13,40.53,0.772,4.669,33
MA150_5d,V20Q0G45M35,V30Q15G25M30,3.211,129.82,40.43,0.771,4.639,23
MA150_5d,V20Q0G45M35,V30Q15G25M30,3.211,129.82,40.43,0.771,4.639,23
MA100_7d,V20Q0G45M35,V30Q15G25M30,3.207,129.65,40.43,0.77,4.611,17
MA100_7d,V20Q0G45M35,V30Q15G25M30,3.207,129.65,40.43,0.77,4.611,17
MA100_5d,V20Q0G45M35,V30Q15G25M30,3.205,129.91,40.53,0.771,4.641,17
MA100_5d,V20Q0G45M35,V30Q15G25M30,3.205,129.91,40.53,0.771,4.641,17
MOM252_3d,V20Q0G45M35,V30Q15G25M30,3.205,123.18,38.43,0.753,4.6,21
MOM252_3d,V20Q0G45M35,V30Q15G25M30,3.205,123.18,38.43,0.753,4.6,21
SLOPE200_20w_3d,V20Q0G45M35,V30Q15G25M30,3.204,124.5,38.85,0.757,4.584,12
SLOPE200_20w_3d,V20Q0G45M35,V30Q15G25M30,3.204,124.5,38.85,0.757,4.584,12
MOM60_3d,V20Q0G45M35,V30Q15G25M30,3.204,133.88,41.79,0.781,4.702,27
MOM60_3d,V20Q0G45M35,V30Q15G25M30,3.204,133.88,41.79,0.781,4.702,27
MOM252_3d,V20Q0G45M35,V30Q15G25M30,3.204,123.13,38.43,0.753,4.61,21
MOM252_3d,V20Q0G45M35,V30Q15G25M30,3.204,123.13,38.43,0.753,4.61,21
MA200_3d,V20Q0G45M35,V30Q15G25M30,3.202,129.77,40.53,0.771,4.658,25
MA200_3d,V20Q0G45M35,V30Q15G25M30,3.202,129.77,40.53,0.771,4.658,25
DD15pct_3d,V20Q0G45M35,V30Q15G25M30,3.199,140.49,43.92,0.796,4.815,22
DD15pct_3d,V20Q0G45M35,V30Q15G25M30,3.199,140.49,43.92,0.796,4.815,22
SLOPE200_20w_3d,V20Q0G45M35,V30Q15G25M30,3.199,124.3,38.85,0.756,4.583,12
SLOPE200_20w_3d,V20Q0G45M35,V30Q15G25M30,3.199,124.3,38.85,0.756,4.583,12
MA120_3d,V20Q0G45M35,V30Q15G25M30,3.199,131.24,41.03,0.774,4.626,21
MA120_3d,V20Q0G45M35,V30Q15G25M30,3.199,131.24,41.03,0.774,4.626,21
MOM60_5d,V20Q0G45M35,V30Q15G25M30,3.199,129.64,40.53,0.771,4.583,21
MOM60_5d,V20Q0G45M35,V30Q15G25M30,3.199,129.64,40.53,0.771,4.583,21
MA120_5d,V20Q0G45M35,V30Q15G25M30,3.198,129.61,40.53,0.771,4.636,19
MA120_5d,V20Q0G45M35,V30Q15G25M30,3.198,129.61,40.53,0.771,4.636,19
MA200_5d,V20Q0G45M35,V30Q15G25M30,3.196,129.2,40.43,0.769,4.685,21
MA200_5d,V20Q0G45M35,V30Q15G25M30,3.196,129.2,40.43,0.769,4.685,21
DD15pct_10d,V20Q0G45M35,V30Q15G25M30,3.19,124.8,39.12,0.754,4.686,12
DD15pct_10d,V20Q0G45M35,V30Q15G25M30,3.19,124.8,39.12,0.754,4.686,12
MA120_5d,V20Q0G45M35,V30Q15G25M30,3.19,129.27,40.53,0.77,4.638,19
MA120_5d,V20Q0G45M35,V30Q15G25M30,3.19,129.27,40.53,0.77,4.638,19
MA120_10d,V20Q0G45M35,V30Q15G25M30,3.186,129.57,40.67,0.77,4.647,17
MA120_10d,V20Q0G45M35,V30Q15G25M30,3.186,129.57,40.67,0.77,4.647,17
MOM90_5d,V20Q0G45M35,V30Q15G25M30,3.185,128.77,40.43,0.769,4.642,29
MOM90_5d,V20Q0G45M35,V30Q15G25M30,3.185,128.77,40.43,0.769,4.642,29
RSI14_45_3d,V20Q0G45M35,V30Q15G25M30,3.184,123.34,38.74,0.755,4.574,93
RSI14_45_3d,V20Q0G45M35,V30Q15G25M30,3.184,123.34,38.74,0.755,4.574,93
MOM252_5d,V20Q0G45M35,V30Q15G25M30,3.183,126.49,39.74,0.762,4.661,13
MOM252_5d,V20Q0G45M35,V30Q15G25M30,3.183,126.49,39.74,0.762,4.661,13
MA120_3d,V20Q0G45M35,V30Q15G25M30,3.182,128.29,40.31,0.767,4.608,21
MA120_3d,V20Q0G45M35,V30Q15G25M30,3.182,128.29,40.31,0.767,4.608,21
SLOPE200_20w_3d,V20Q0G45M35,V30Q15G25M30,3.181,123.59,38.85,0.755,4.579,12
SLOPE200_20w_3d,V20Q0G45M35,V30Q15G25M30,3.181,123.59,38.85,0.755,4.579,12
SLOPE200_20w_3d,V20Q0G45M35,V30Q15G25M30,3.179,123.51,38.85,0.754,4.582,12
SLOPE200_20w_3d,V20Q0G45M35,V30Q15G25M30,3.179,123.51,38.85,0.754,4.582,12
MA120_3d,V20Q0G45M35,V30Q15G25M30,3.178,130.4,41.03,0.772,4.632,21
MA120_3d,V20Q0G45M35,V30Q15G25M30,3.178,130.4,41.03,0.772,4.632,21
MOM60_3d,V20Q0G45M35,V30Q15G25M30,3.177,132.76,41.79,0.778,4.701,27
MOM60_3d,V20Q0G45M35,V30Q15G25M30,3.177,132.76,41.79,0.778,4.701,27
MA100_3d,V20Q0G45M35,V30Q15G25M30,3.176,130.33,41.03,0.772,4.616,25
MA100_3d,V20Q0G45M35,V30Q15G25M30,3.176,130.33,41.03,0.772,4.616,25
MA120_10d,V20Q0G45M35,V30Q15G25M30,3.176,129.17,40.67,0.769,4.62,17
MA120_10d,V20Q0G45M35,V30Q15G25M30,3.176,129.17,40.67,0.769,4.62,17
MA150_7d,V20Q0G45M35,V30Q15G25M30,3.176,129.45,40.76,0.77,4.62,15
MA150_7d,V20Q0G45M35,V30Q15G25M30,3.176,129.45,40.76,0.77,4.62,15
MA150_5d,V20Q0G45M35,V30Q15G25M30,3.175,128.38,40.43,0.768,4.615,23
MA150_5d,V20Q0G45M35,V30Q15G25M30,3.175,128.38,40.43,0.768,4.615,23
