sub1,sub2,ratio,avg_cal,avg_cagr,avg_sharpe,avg_sortino,min_cal,borda
oca_z,cfo_growth_z,0.8,1.0455999999999999,45.754,1.1494,1.6732,0.966,1235.0
oca_z,cfo_growth_z,0.9,1.1198000000000001,47.074,1.1642,1.7066,0.774,1225.5
rev_z,gp_growth_z,0.7,1.1092,45.122,1.1396000000000002,1.6504,0.892,1207.0
rev_z,gp_growth_z,0.55,1.1418,45.465999999999994,1.1456,1.6515999999999997,0.803,1203.0
oca_z,op_margin_z,0.05,1.15,45.763999999999996,1.1576,1.6664,0.757,1200.5
gp_growth_z,op_margin_z,0.05,1.1176,44.67,1.1401999999999999,1.6405999999999998,0.866,1193.0
rev_z,op_margin_z,0.05,1.2074,45.1,1.1423999999999999,1.6461999999999999,0.744,1185.0
rev_accel_z,op_margin_z,0.1,1.2296,45.339999999999996,1.1426,1.6422,0.712,1181.0
rev_z,op_margin_z,0.0,1.1692,45.42,1.151,1.668,0.673,1176.0
oca_z,op_margin_z,0.0,1.1692,45.42,1.151,1.668,0.673,1176.0
gp_growth_z,op_margin_z,0.0,1.1692,45.42,1.151,1.668,0.673,1176.0
rev_accel_z,op_margin_z,0.0,1.1692,45.42,1.151,1.668,0.673,1176.0
op_margin_z,cfo_growth_z,1.0,1.1692,45.42,1.151,1.668,0.673,1176.0
rev_z,rev_accel_z,0.85,1.2268000000000001,44.13,1.1234,1.6244,0.775,1170.5
rev_z,op_margin_z,0.85,1.1272,44.498,1.1305999999999998,1.645,0.791,1164.0
oca_z,rev_accel_z,0.9,1.0772,44.316,1.1166,1.6346,0.858,1160.0
rev_z,gp_growth_z,0.6,1.1182,44.944,1.1320000000000001,1.6387999999999998,0.778,1160.0
oca_z,op_margin_z,0.3,1.1588,42.612,1.103,1.6096,0.903,1154.5
rev_z,oca_z,0.85,1.0976,44.608000000000004,1.1258,1.6355999999999997,0.791,1152.0
rev_z,rev_accel_z,0.8,1.1522000000000001,43.268,1.1074,1.596,0.855,1148.0
oca_z,gp_growth_z,0.7,1.0532,44.751999999999995,1.1272,1.6466,0.775,1136.5
rev_z,gp_growth_z,0.8,1.083,44.1,1.119,1.621,0.767,1122.0
rev_accel_z,op_margin_z,0.05,1.1622,44.55800000000001,1.1343999999999999,1.6296,0.612,1105.0
rev_z,gp_growth_z,0.9,1.0268000000000002,42.980000000000004,1.1036,1.5908000000000002,0.875,1102.0
rev_z,gp_growth_z,0.65,1.0882,43.836,1.1138,1.6014,0.716,1092.0
gp_growth_z,op_margin_z,0.15,1.15,44.46,1.1300000000000001,1.6248,0.584,1085.5
gp_growth_z,op_margin_z,0.1,1.1598,43.492000000000004,1.1172,1.613,0.625,1079.5
rev_accel_z,op_margin_z,0.2,1.1478,44.098,1.1292,1.613,0.59,1075.5
oca_z,rev_accel_z,0.55,1.0146,42.89,1.0994,1.6073999999999997,0.817,1074.0
rev_accel_z,op_margin_z,0.15,1.1378,43.386,1.107,1.5792,0.679,1069.5
oca_z,gp_growth_z,0.75,0.9916,43.614,1.1046,1.607,0.791,1068.0
rev_z,oca_z,1.0,1.0577999999999999,42.239999999999995,1.0906,1.577,0.818,1067.0
rev_z,cfo_growth_z,1.0,1.0577999999999999,42.239999999999995,1.0906,1.577,0.818,1067.0
rev_z,gp_growth_z,1.0,1.0577999999999999,42.239999999999995,1.0906,1.577,0.818,1067.0
rev_z,op_margin_z,1.0,1.0577999999999999,42.239999999999995,1.0906,1.577,0.818,1067.0
rev_z,rev_accel_z,1.0,1.0577999999999999,42.239999999999995,1.0906,1.577,0.818,1067.0
rev_z,gp_growth_z,0.95,1.0382,42.294,1.0914,1.5732,0.833,1063.0
rev_z,rev_accel_z,0.65,1.0896000000000001,41.402,1.083,1.5782,0.827,1059.0
oca_z,gp_growth_z,0.65,0.993,43.586,1.103,1.6166,0.763,1057.5
oca_z,gp_growth_z,0.6,0.9588000000000001,43.062,1.0946000000000002,1.5962,0.819,1047.0
rev_z,gp_growth_z,0.5,1.0606,42.546,1.091,1.5668,0.765,1046.0
gp_growth_z,op_margin_z,0.4,1.1054,43.513999999999996,1.1078,1.6056000000000001,0.587,1045.0
rev_z,rev_accel_z,0.5,1.0806,41.39,1.0943999999999998,1.6088,0.707,1036.5
oca_z,rev_accel_z,0.75,1.0154,43.638,1.101,1.5902,0.675,1028.0
rev_z,gp_growth_z,0.45,1.0604,42.041999999999994,1.0879999999999999,1.5664,0.739,1014.5
oca_z,gp_growth_z,0.55,0.9882,42.71,1.0896000000000001,1.5897999999999999,0.74,1009.0
rev_z,op_margin_z,0.95,1.064,41.410000000000004,1.0768,1.55,0.8,1006.0
oca_z,cfo_growth_z,0.7,0.9406000000000001,43.778,1.1092,1.5837999999999999,0.689,1004.0
oca_z,cfo_growth_z,0.75,0.8943999999999999,43.04,1.1006,1.5806,0.79,1003.0
