v,q,g,m,mom,g_sub,entry,exit,slots,cal,cagr,mdd,sharpe,sortino
30,0,35,35,6m,rev+oca 7:3,5,7,3,1.184,70.2,59.27,0.709,3.062
20,5,35,40,6m,rev+opm 7:3,10,12,7,1.183,57.13,48.29,0.879,2.46
30,5,35,30,6m,rev+oca 7:3,7,9,7,1.182,55.34,46.8,0.86,2.416
30,20,10,40,6m-1m,rev+opm 7:3,3,8,3,1.182,67.28,56.91,0.591,3.493
20,10,35,35,6m,rev+opm 7:3,7,11,7,1.18,57.12,48.42,0.807,2.526
30,0,35,35,6m,rev+oca 7:3,5,8,3,1.18,65.07,55.17,0.684,2.97
30,5,35,30,6m,rev+oca 7:3,7,10,7,1.179,55.23,46.84,0.859,2.4
25,0,35,40,6m-1m,rev+opm 7:3,3,5,5,1.178,66.56,56.52,0.67,3.296
25,0,35,40,6m-1m,rev+opm 7:3,3,5,7,1.178,66.56,56.52,0.67,3.296
30,5,35,30,6m-1m,rev+opm 7:3,3,4,3,1.175,68.36,58.18,0.6,3.55
20,10,35,35,6m,rev+opm 7:3,5,9,7,1.173,56.39,48.05,0.798,2.427
20,5,35,40,6m,rev+opm 7:3,10,12,5,1.172,59.35,50.66,0.812,2.529
30,0,35,35,6m,rev+oca 7:3,5,9,7,1.171,55.86,47.69,0.715,2.683
20,0,35,45,6m-1m,rev+opm 7:3,10,11,5,1.171,63.61,54.3,0.844,2.644
20,20,35,25,6m-1m,rev+opm 7:3,7,8,7,1.169,56.42,48.28,0.796,2.537
20,20,35,25,6m-1m,rev+opm 7:3,10,13,3,1.169,53.19,45.51,0.622,2.557
20,0,35,45,6m-1m,rev+opm 7:3,5,9,5,1.168,61.96,53.04,0.831,2.608
20,0,35,45,6m-1m,rev+opm 7:3,7,12,7,1.168,58.92,50.45,0.896,2.423
25,15,35,25,6m-1m,rev+opm 7:3,5,9,5,1.167,60.62,51.95,0.659,3.041
25,0,35,40,6m-1m,rev+opm 7:3,10,14,3,1.167,61.77,52.92,0.666,2.974
20,0,35,45,6m-1m,rev+opm 7:3,10,15,5,1.167,58.31,49.96,0.806,2.462
25,20,35,20,6m,rev+oca 7:3,10,12,3,1.166,58.48,50.16,0.649,2.979
20,10,35,35,6m,rev+opm 7:3,5,6,5,1.166,61.56,52.8,0.829,2.537
25,20,35,20,6m,rev+oca 7:3,7,12,3,1.165,58.44,50.16,0.649,2.978
30,0,35,35,6m,rev+oca 7:3,7,8,7,1.165,53.0,45.48,0.817,2.454
20,20,35,25,6m-1m,rev+opm 7:3,10,12,3,1.162,51.83,44.6,0.614,2.551
20,20,35,25,6m-1m,rev+opm 7:3,10,14,3,1.159,51.67,44.6,0.613,2.518
30,5,35,30,6m,rev+oca 7:3,3,8,3,1.158,59.67,51.54,0.659,2.962
30,15,25,30,6m,rev+oca 7:3,5,8,7,1.157,51.38,44.42,0.686,2.461
25,20,35,20,6m,rev+oca 7:3,5,7,7,1.156,52.02,45.0,0.755,2.331
25,0,35,40,6m-1m,rev+opm 7:3,10,14,5,1.156,53.82,46.56,0.771,2.392
30,5,35,30,6m,rev+oca 7:3,5,6,7,1.152,63.46,55.07,0.759,2.837
30,0,35,35,6m,rev+oca 7:3,5,9,3,1.151,62.03,53.91,0.67,2.945
20,10,35,35,6m,rev+opm 7:3,5,10,7,1.15,55.83,48.57,0.797,2.404
30,0,35,35,6m,rev+oca 7:3,3,8,3,1.15,57.93,50.37,0.65,2.873
25,20,35,20,6m,rev+oca 7:3,10,11,5,1.147,51.24,44.67,0.686,2.566
20,20,35,25,6m-1m,rev+opm 7:3,7,12,3,1.147,51.68,45.04,0.613,2.547
20,20,35,25,6m-1m,rev+opm 7:3,10,15,3,1.147,51.17,44.6,0.61,2.516
20,5,35,40,6m,rev+opm 7:3,10,13,7,1.145,54.48,47.59,0.854,2.391
30,15,25,30,6m,rev+oca 7:3,7,8,7,1.142,49.18,43.05,0.738,2.363
25,0,35,40,6m,rev+opm 7:3,7,10,5,1.141,53.2,46.6,0.766,2.412
20,10,35,35,6m,rev+opm 7:3,5,8,3,1.14,70.01,61.39,0.709,3.033
25,0,35,40,6m-1m,rev+opm 7:3,10,15,3,1.139,60.39,53.04,0.66,2.927
25,0,35,40,6m,rev+opm 7:3,5,9,7,1.137,55.78,49.04,0.719,2.625
30,10,35,25,6m-1m,rev+oca 7:3,3,4,3,1.137,57.66,50.73,0.651,2.779
20,5,35,40,6m,rev+opm 7:3,10,13,5,1.136,57.83,50.89,0.801,2.491
20,10,35,35,6m,rev+opm 7:3,3,8,3,1.135,68.52,60.36,0.704,3.012
20,10,35,35,6m,rev+opm 7:3,7,10,3,1.129,66.41,58.85,0.693,2.964
20,0,35,45,6m-1m,rev+opm 7:3,7,11,7,1.129,57.37,50.83,0.881,2.398
30,15,25,30,6m,rev+oca 7:3,5,6,7,1.128,54.03,47.91,0.706,2.511
20,5,35,40,6m,rev+opm 7:3,10,14,3,1.126,58.41,51.87,0.914,2.035
25,0,35,40,6m,rev+opm 7:3,10,13,5,1.125,51.98,46.21,0.756,2.397
25,15,35,25,6m-1m,rev+opm 7:3,5,10,7,1.123,54.52,48.57,0.709,2.611
