v,q,g,m,mom,g_sub,entry,exit,slots,cal,cagr,mdd,sharpe,sortino
30,20,10,40,6m-1m,rev+oca 7:3,5,9,3,0.982,61.55,62.71,0.568,3.422
30,5,35,30,6m-1m,rev+opm 7:3,7,10,7,0.981,52.84,53.86,0.698,2.522
25,20,35,20,6m,rev+oca 7:3,10,15,5,0.981,41.78,42.58,0.62,2.185
25,0,35,40,6m-1m,rev+opm 7:3,7,10,7,0.978,54.14,55.34,0.786,2.385
20,10,35,35,6m,rev+opm 7:3,5,10,3,0.977,61.97,63.43,0.672,2.873
20,0,35,45,6m-1m,rev+opm 7:3,10,13,7,0.977,50.82,52.02,0.874,2.184
30,20,10,40,6m-1m,rev+oca 7:3,5,8,3,0.974,61.17,62.81,0.567,3.414
30,5,35,30,6m,rev+oca 7:3,3,4,3,0.973,51.22,52.66,0.619,2.674
30,10,35,25,6m-1m,rev+oca 7:3,5,7,7,0.97,57.73,59.54,0.644,2.87
30,0,35,35,6m,rev+oca 7:3,7,10,5,0.968,46.42,47.94,0.711,2.26
20,0,35,45,6m-1m,rev+opm 7:3,5,10,5,0.967,57.19,59.12,0.795,2.468
30,10,35,25,6m-1m,rev+oca 7:3,7,12,7,0.967,51.36,53.09,0.76,2.428
30,5,35,30,6m,rev+oca 7:3,7,11,7,0.964,49.14,50.98,0.743,2.323
30,5,35,30,6m-1m,rev+opm 7:3,10,13,3,0.963,50.88,52.83,0.612,2.73
30,10,35,25,6m-1m,rev+oca 7:3,7,10,7,0.963,49.25,51.16,0.803,2.28
25,0,35,40,6m,rev+opm 7:3,7,10,7,0.961,45.43,47.29,0.767,2.157
25,0,35,40,6m,rev+opm 7:3,10,13,7,0.959,50.05,52.2,0.863,2.264
25,0,35,40,6m-1m,rev+opm 7:3,7,9,7,0.958,55.11,57.53,0.794,2.37
20,20,35,25,6m-1m,rev+opm 7:3,10,15,5,0.958,51.34,53.57,0.608,2.798
25,20,35,20,6m,rev+oca 7:3,5,9,7,0.956,46.72,48.89,0.718,2.199
30,15,25,30,6m,rev+oca 7:3,5,6,5,0.956,47.61,49.83,0.662,2.35
25,15,35,25,6m-1m,rev+opm 7:3,10,11,7,0.954,52.21,54.75,0.768,2.449
30,10,35,25,6m-1m,rev+oca 7:3,5,6,7,0.954,58.84,61.66,0.651,2.802
25,20,35,20,6m,rev+oca 7:3,10,11,3,0.952,57.95,60.87,0.646,2.972
20,5,35,40,6m,rev+opm 7:3,5,8,5,0.951,53.25,56.02,0.766,2.352
25,20,35,20,6m,rev+oca 7:3,7,11,3,0.951,57.91,60.87,0.646,2.971
20,0,35,45,6m-1m,rev+opm 7:3,10,14,7,0.951,49.32,51.85,0.858,2.146
30,15,25,30,6m,rev+oca 7:3,10,12,5,0.95,49.17,51.76,0.67,2.473
30,10,35,25,6m-1m,rev+oca 7:3,7,9,7,0.95,50.61,53.3,0.816,2.3
30,15,25,30,6m,rev+oca 7:3,5,8,5,0.948,48.26,50.91,0.666,2.359
25,15,35,25,6m-1m,rev+opm 7:3,10,11,3,0.945,45.41,48.06,0.578,2.317
30,20,10,40,6m-1m,rev+opm 7:3,10,13,3,0.943,58.92,62.47,0.559,3.435
30,15,25,30,6m,rev+oca 7:3,5,10,5,0.942,47.26,50.17,0.658,2.345
25,0,35,40,6m,rev+opm 7:3,7,8,7,0.941,44.75,47.54,0.754,2.121
30,5,35,30,6m-1m,rev+opm 7:3,10,11,3,0.94,43.98,46.8,0.57,2.348
25,15,35,25,6m-1m,rev+opm 7:3,7,11,3,0.937,45.05,48.06,0.576,2.309
30,5,35,30,6m-1m,rev+opm 7:3,10,11,7,0.937,51.21,54.67,0.824,2.29
25,15,35,25,6m-1m,rev+opm 7:3,7,9,7,0.935,51.59,55.16,0.762,2.381
25,20,35,20,6m,rev+oca 7:3,5,6,3,0.934,57.21,61.27,0.645,2.868
30,20,10,40,6m-1m,rev+oca 7:3,5,7,5,0.934,47.6,50.98,0.662,2.334
30,5,35,30,6m-1m,rev+opm 7:3,7,11,3,0.932,43.62,46.8,0.567,2.339
25,0,35,40,6m-1m,rev+opm 7:3,7,9,5,0.931,49.34,52.97,0.736,2.221
30,5,35,30,6m,rev+oca 7:3,10,13,7,0.931,48.21,51.78,0.794,2.236
25,20,35,20,6m,rev+oca 7:3,10,14,7,0.929,44.4,47.78,0.7,2.259
25,0,35,40,6m-1m,rev+opm 7:3,10,11,7,0.929,46.56,50.1,0.828,2.097
20,0,35,45,6m-1m,rev+opm 7:3,3,4,5,0.929,47.56,51.18,1.063,1.669
20,0,35,45,6m-1m,rev+opm 7:3,3,4,7,0.929,47.56,51.18,1.063,1.669
25,0,35,40,6m-1m,rev+opm 7:3,10,13,5,0.926,48.02,51.85,0.725,2.269
30,15,25,30,6m,rev+oca 7:3,7,10,7,0.926,47.86,51.65,0.731,2.295
20,5,35,40,6m,rev+opm 7:3,7,9,3,0.925,51.53,55.72,0.841,2.008
25,0,35,40,6m,rev+opm 7:3,7,11,7,0.925,43.02,46.53,0.744,2.09
30,20,10,40,6m-1m,rev+oca 7:3,7,10,3,0.925,60.02,64.92,0.563,3.445
30,10,35,25,6m-1m,rev+oca 7:3,10,13,7,0.924,48.77,52.75,0.738,2.386
20,0,35,45,6m-1m,rev+opm 7:3,3,4,3,0.922,47.18,51.16,1.052,1.658
25,20,35,20,6m,rev+oca 7:3,5,9,5,0.921,47.71,51.8,0.663,2.386
30,5,35,30,6m,rev+oca 7:3,5,10,7,0.92,50.95,55.36,0.685,2.498
30,15,25,30,6m,rev+oca 7:3,10,11,5,0.919,50.67,55.12,0.681,2.495
30,10,35,25,6m-1m,rev+oca 7:3,5,7,5,0.919,56.53,61.49,0.638,2.805
30,0,35,35,6m,rev+oca 7:3,7,11,5,0.918,45.68,49.78,0.705,2.238
25,15,35,25,6m-1m,rev+opm 7:3,7,11,7,0.916,48.35,52.79,0.736,2.293
20,5,35,40,6m,rev+opm 7:3,3,4,7,0.915,54.75,59.82,0.869,2.015
20,5,35,40,6m,rev+opm 7:3,3,4,5,0.915,54.75,59.82,0.869,2.015
30,15,25,30,6m,rev+oca 7:3,10,11,7,0.914,44.93,49.15,0.707,2.24
30,5,35,30,6m-1m,rev+opm 7:3,10,12,7,0.912,46.74,51.23,0.781,2.166
30,20,10,40,6m-1m,rev+opm 7:3,10,15,3,0.911,58.69,64.39,0.558,3.449
25,15,35,25,6m-1m,rev+opm 7:3,7,10,5,0.91,53.92,59.27,0.703,2.563
20,0,35,45,6m-1m,rev+opm 7:3,5,9,3,0.91,51.88,57.04,0.616,2.466
30,10,35,25,6m-1m,rev+oca 7:3,10,15,7,0.91,46.56,51.19,0.718,2.326
25,20,35,20,6m,rev+oca 7:3,5,10,5,0.909,47.7,52.48,0.663,2.404
30,20,10,40,6m-1m,rev+opm 7:3,5,7,5,0.909,48.77,53.66,0.67,2.421
30,10,35,25,6m-1m,rev+oca 7:3,5,6,5,0.908,56.56,62.28,0.639,2.75
30,5,35,30,6m,rev+oca 7:3,5,9,7,0.906,53.07,58.57,0.697,2.582
30,5,35,30,6m,rev+oca 7:3,5,10,3,0.906,45.3,49.99,0.578,2.323
30,5,35,30,6m-1m,rev+opm 7:3,5,10,3,0.904,47.7,52.78,0.593,2.4
25,0,35,40,6m,rev+opm 7:3,10,11,7,0.904,42.77,47.3,0.785,1.993
20,10,35,35,6m,rev+opm 7:3,7,11,3,0.903,60.26,66.76,0.663,2.869
20,10,35,35,6m,rev+opm 7:3,10,11,3,0.903,60.26,66.76,0.663,2.869
30,5,35,30,6m,rev+oca 7:3,7,12,7,0.902,47.82,53.01,0.79,2.188
30,0,35,35,6m,rev+oca 7:3,7,12,7,0.902,42.64,47.29,0.738,2.088
20,0,35,45,6m-1m,rev+opm 7:3,7,11,3,0.902,50.17,55.62,0.607,2.402
20,0,35,45,6m-1m,rev+opm 7:3,10,11,3,0.902,50.17,55.62,0.607,2.402
30,5,35,30,6m,rev+oca 7:3,5,7,5,0.898,54.27,60.41,0.701,2.624
30,5,35,30,6m,rev+oca 7:3,10,11,7,0.897,47.26,52.7,0.784,2.211
30,20,10,40,6m-1m,rev+opm 7:3,7,8,3,0.897,58.37,65.1,0.557,3.391
30,5,35,30,6m,rev+oca 7:3,10,15,7,0.896,45.53,50.8,0.768,2.164
30,10,35,25,6m-1m,rev+oca 7:3,5,7,3,0.894,46.15,51.61,0.581,2.401
20,5,35,40,6m,rev+opm 7:3,5,9,5,0.893,52.37,58.64,0.759,2.322
25,0,35,40,6m-1m,rev+opm 7:3,7,12,7,0.892,47.77,53.54,0.732,2.262
25,0,35,40,6m,rev+opm 7:3,10,12,7,0.891,46.16,51.8,0.822,2.144
30,5,35,30,6m-1m,rev+opm 7:3,7,8,5,0.89,51.16,57.47,0.684,2.424
25,20,35,20,6m,rev+oca 7:3,7,9,7,0.889,44.07,49.59,0.698,2.243
30,0,35,35,6m,rev+oca 7:3,10,11,5,0.886,45.54,51.37,0.704,2.241
30,0,35,35,6m,rev+oca 7:3,7,11,7,0.885,42.24,47.74,0.734,2.069
30,5,35,30,6m-1m,rev+opm 7:3,10,13,7,0.884,49.11,55.53,0.804,2.234
30,5,35,30,6m,rev+oca 7:3,10,13,3,0.884,50.31,56.89,0.514,2.943
25,0,35,40,6m,rev+opm 7:3,7,12,7,0.884,43.16,48.84,0.745,2.106
30,15,25,30,6m,rev+oca 7:3,5,7,5,0.884,46.08,52.14,0.651,2.32
25,0,35,40,6m-1m,rev+opm 7:3,10,13,7,0.882,45.1,51.13,0.813,2.05
30,20,10,40,6m-1m,rev+oca 7:3,5,10,3,0.882,56.53,64.11,0.551,3.339
30,20,10,40,6m-1m,rev+oca 7:3,10,15,5,0.881,49.54,56.24,0.597,2.781
25,15,35,25,6m-1m,rev+opm 7:3,7,9,5,0.879,52.01,59.17,0.689,2.515
30,5,35,30,6m-1m,rev+opm 7:3,7,9,7,0.879,49.61,56.44,0.675,2.456
30,10,35,25,6m-1m,rev+oca 7:3,10,11,7,0.878,45.67,52.0,0.768,2.222
30,20,10,40,6m-1m,rev+opm 7:3,7,12,3,0.878,57.2,65.13,0.553,3.347
30,20,10,40,6m-1m,rev+opm 7:3,10,12,3,0.878,57.2,65.13,0.553,3.347
30,20,10,40,6m-1m,rev+oca 7:3,5,6,5,0.874,48.18,55.12,0.662,2.416
30,15,25,30,6m,rev+oca 7:3,7,9,3,0.874,55.34,63.35,0.553,3.024
25,0,35,40,6m,rev+opm 7:3,7,12,5,0.873,48.8,55.87,0.731,2.306
25,20,35,20,6m,rev+oca 7:3,7,11,7,0.869,41.85,48.15,0.73,2.076
30,15,25,30,6m,rev+oca 7:3,10,12,7,0.868,44.78,51.58,0.706,2.244
30,15,25,30,6m,rev+oca 7:3,10,14,7,0.868,42.21,48.63,0.738,2.057
25,20,35,20,6m,rev+oca 7:3,7,9,5,0.867,46.54,53.67,0.654,2.41
30,15,25,30,6m,rev+oca 7:3,5,9,3,0.866,55.46,64.02,0.553,3.049
25,15,35,25,6m-1m,rev+opm 7:3,7,12,7,0.864,44.6,51.62,0.703,2.185
30,15,25,30,6m,rev+oca 7:3,10,13,5,0.863,45.63,52.88,0.645,2.39
30,5,35,30,6m-1m,rev+opm 7:3,10,14,7,0.862,46.39,53.79,0.777,2.142
20,5,35,40,6m,rev+opm 7:3,5,7,3,0.857,50.38,58.76,0.829,1.969
30,15,25,30,6m,rev+oca 7:3,5,6,3,0.857,58.71,68.48,0.565,3.148
30,15,25,30,6m,rev+oca 7:3,7,9,5,0.856,50.92,59.48,0.682,2.513
25,20,35,20,6m,rev+oca 7:3,7,10,7,0.853,42.37,49.67,0.735,2.09
20,5,35,40,6m,rev+opm 7:3,3,4,3,0.853,52.48,61.49,0.848,1.955
30,15,25,30,6m,rev+oca 7:3,7,10,5,0.852,47.15,55.36,0.656,2.41
25,20,35,20,6m,rev+oca 7:3,7,8,5,0.844,45.64,54.09,0.645,2.366
30,5,35,30,6m-1m,rev+opm 7:3,10,15,7,0.843,48.28,57.27,0.795,2.203
30,20,10,40,6m-1m,rev+oca 7:3,7,12,3,0.843,53.59,63.6,0.541,3.206
30,20,10,40,6m-1m,rev+oca 7:3,10,12,3,0.843,53.59,63.6,0.541,3.206
30,20,10,40,6m-1m,rev+oca 7:3,10,14,3,0.843,54.42,64.54,0.544,3.214
20,5,35,40,6m,rev+opm 7:3,5,10,5,0.841,49.13,58.39,0.733,2.255
30,5,35,30,6m-1m,rev+opm 7:3,10,14,3,0.841,46.54,55.32,0.59,2.642
30,20,10,40,6m-1m,rev+oca 7:3,10,15,3,0.84,54.58,64.97,0.544,3.224
30,10,35,25,6m-1m,rev+oca 7:3,5,8,7,0.839,49.99,59.59,0.676,2.432
30,10,35,25,6m-1m,rev+oca 7:3,7,11,7,0.838,45.39,54.17,0.765,2.181
30,20,10,40,6m-1m,rev+opm 7:3,5,7,7,0.837,45.98,54.96,0.65,2.358
30,10,35,25,6m-1m,rev+oca 7:3,7,8,5,0.836,46.23,55.29,0.648,2.417
30,20,10,40,6m-1m,rev+oca 7:3,10,13,3,0.835,55.14,66.08,0.546,3.22
30,15,25,30,6m,rev+oca 7:3,10,13,7,0.833,42.41,50.93,0.685,2.173
30,15,25,30,6m,rev+oca 7:3,7,12,3,0.831,54.68,65.77,0.549,3.024
30,15,25,30,6m,rev+oca 7:3,10,12,3,0.831,54.68,65.77,0.549,3.024
30,20,10,40,6m-1m,rev+opm 7:3,5,8,3,0.831,56.01,67.42,0.548,3.327
25,20,35,20,6m,rev+oca 7:3,7,12,7,0.83,39.93,48.11,0.71,2.031
25,0,35,40,6m-1m,rev+opm 7:3,10,14,7,0.827,41.27,49.91,0.771,1.922
30,20,10,40,6m-1m,rev+opm 7:3,5,9,3,0.826,55.97,67.79,0.548,3.322
30,20,10,40,6m-1m,rev+opm 7:3,7,9,3,0.826,56.58,68.53,0.55,3.332
25,0,35,40,6m-1m,rev+opm 7:3,10,15,7,0.819,39.61,48.34,0.752,1.869
30,5,35,30,6m,rev+oca 7:3,5,9,5,0.819,50.79,62.01,0.682,2.48
30,15,25,30,6m,rev+oca 7:3,7,8,3,0.819,52.36,63.91,0.542,2.966
30,20,10,40,6m-1m,rev+opm 7:3,5,8,5,0.818,45.35,55.44,0.645,2.349
30,20,10,40,6m-1m,rev+opm 7:3,5,10,3,0.816,54.57,66.9,0.544,3.307
25,20,35,20,6m,rev+oca 7:3,10,13,7,0.814,41.36,50.82,0.726,2.07
25,20,35,20,6m,rev+oca 7:3,10,11,7,0.813,40.47,49.81,0.717,2.031
20,5,35,40,6m,rev+opm 7:3,5,8,3,0.811,45.61,56.27,0.784,1.873
30,5,35,30,6m-1m,rev+opm 7:3,7,10,5,0.81,47.83,59.03,0.661,2.331
20,0,35,45,6m-1m,rev+opm 7:3,7,10,3,0.809,46.03,56.87,0.583,2.342
30,20,10,40,6m-1m,rev+oca 7:3,5,6,7,0.808,46.01,56.91,0.646,2.364
30,15,25,30,6m,rev+oca 7:3,10,14,3,0.806,52.9,65.63,0.543,2.952
20,0,35,45,6m-1m,rev+opm 7:3,10,15,7,0.806,40.37,50.06,0.733,1.89
20,5,35,40,6m,rev+opm 7:3,5,6,3,0.804,46.94,58.41,0.797,1.889
30,20,10,40,6m-1m,rev+opm 7:3,5,9,5,0.804,43.17,53.67,0.629,2.31
25,15,35,25,6m-1m,rev+opm 7:3,10,15,3,0.8,38.17,47.72,0.534,2.12
30,20,10,40,6m-1m,rev+opm 7:3,7,11,3,0.796,53.16,66.77,0.539,3.265
30,20,10,40,6m-1m,rev+opm 7:3,10,11,3,0.796,53.16,66.77,0.539,3.265
25,0,35,40,6m-1m,rev+opm 7:3,10,12,7,0.794,42.5,53.49,0.784,1.984
20,5,35,40,6m,rev+opm 7:3,7,10,3,0.793,46.27,58.36,0.792,1.876
25,20,35,20,6m,rev+oca 7:3,7,10,3,0.793,51.52,64.94,0.614,2.825
30,5,35,30,6m-1m,rev+opm 7:3,7,10,3,0.79,40.67,51.5,0.55,2.236
30,15,25,30,6m,rev+oca 7:3,7,11,3,0.79,53.73,68.04,0.546,3.003
30,15,25,30,6m,rev+oca 7:3,10,11,3,0.79,53.73,68.04,0.546,3.003
30,20,10,40,6m-1m,rev+oca 7:3,7,11,3,0.789,50.3,63.72,0.528,3.102
30,20,10,40,6m-1m,rev+oca 7:3,10,11,3,0.789,50.3,63.72,0.528,3.102
25,15,35,25,6m-1m,rev+opm 7:3,7,11,5,0.787,45.93,58.35,0.651,2.239
30,10,35,25,6m-1m,rev+oca 7:3,5,9,7,0.786,48.73,61.97,0.67,2.361
25,20,35,20,6m,rev+oca 7:3,10,12,7,0.784,38.01,48.51,0.692,1.967
30,20,10,40,6m-1m,rev+oca 7:3,10,14,5,0.783,43.96,56.16,0.633,2.376
30,5,35,30,6m-1m,rev+opm 7:3,7,11,5,0.779,50.84,65.3,0.682,2.407
25,20,35,20,6m,rev+oca 7:3,7,9,3,0.779,47.33,60.76,0.593,2.724
30,10,35,25,6m-1m,rev+oca 7:3,5,6,3,0.778,49.62,63.78,0.608,2.549
25,20,35,20,6m,rev+oca 7:3,5,8,3,0.775,49.01,63.22,0.604,2.67
30,0,35,35,6m,rev+oca 7:3,10,11,7,0.773,43.24,55.93,0.744,2.034
30,5,35,30,6m-1m,rev+opm 7:3,10,15,5,0.772,46.88,60.69,0.654,2.322
30,20,10,40,6m-1m,rev+opm 7:3,7,10,3,0.772,53.14,68.86,0.539,3.287
30,15,25,30,6m,rev+oca 7:3,5,8,3,0.771,51.31,66.56,0.538,2.966
30,5,35,30,6m-1m,rev+opm 7:3,10,15,3,0.769,46.02,59.84,0.587,2.61
30,15,25,30,6m,rev+oca 7:3,7,8,5,0.766,44.51,58.1,0.637,2.37
30,20,10,40,6m-1m,rev+opm 7:3,5,10,5,0.765,43.09,56.32,0.624,2.394
30,5,35,30,6m-1m,rev+opm 7:3,10,12,3,0.761,35.23,46.3,0.516,2.098
30,5,35,30,6m-1m,rev+opm 7:3,10,11,5,0.759,49.32,64.97,0.672,2.377
30,15,25,30,6m,rev+oca 7:3,10,15,3,0.754,50.76,67.36,0.535,2.914
30,20,10,40,6m-1m,rev+opm 7:3,10,15,5,0.754,43.69,57.94,0.631,2.387
25,15,35,25,6m-1m,rev+opm 7:3,10,14,3,0.753,37.49,49.81,0.53,2.105
30,5,35,30,6m-1m,rev+opm 7:3,7,12,3,0.753,34.88,46.3,0.514,2.09
30,15,25,30,6m,rev+oca 7:3,5,10,3,0.753,50.55,67.14,0.535,2.956
30,10,35,25,6m-1m,rev+oca 7:3,5,8,5,0.753,47.25,62.8,0.658,2.322
30,10,35,25,6m-1m,rev+oca 7:3,5,10,7,0.752,46.83,62.3,0.656,2.31
25,20,35,20,6m,rev+oca 7:3,5,7,3,0.75,48.71,64.94,0.602,2.693
25,15,35,25,6m-1m,rev+opm 7:3,10,13,3,0.747,38.39,51.42,0.536,2.127
25,20,35,20,6m,rev+oca 7:3,5,10,3,0.741,50.87,68.62,0.612,2.77
30,20,10,40,6m-1m,rev+opm 7:3,10,13,5,0.741,42.48,57.3,0.622,2.353
30,15,25,30,6m,rev+oca 7:3,7,10,3,0.74,48.42,65.44,0.527,2.894
30,20,10,40,6m-1m,rev+opm 7:3,7,12,5,0.74,41.85,56.56,0.618,2.34
30,20,10,40,6m-1m,rev+oca 7:3,5,7,7,0.739,42.89,58.05,0.628,2.226
30,20,10,40,6m-1m,rev+oca 7:3,5,9,5,0.736,39.61,53.84,0.604,2.137
30,20,10,40,6m-1m,rev+oca 7:3,10,13,5,0.734,41.65,56.77,0.616,2.307
25,15,35,25,6m-1m,rev+opm 7:3,10,12,3,0.733,38.68,52.79,0.538,2.138
30,5,35,30,6m-1m,rev+opm 7:3,7,9,5,0.732,45.6,62.29,0.645,2.276
30,5,35,30,6m-1m,rev+opm 7:3,10,13,5,0.729,45.32,62.12,0.643,2.283
30,15,25,30,6m,rev+oca 7:3,10,15,7,0.729,38.26,52.49,0.698,1.936
25,15,35,25,6m-1m,rev+opm 7:3,10,11,5,0.727,44.67,61.42,0.641,2.194
25,15,35,25,6m-1m,rev+opm 7:3,7,12,3,0.726,38.33,52.79,0.536,2.13
25,20,35,20,6m,rev+oca 7:3,10,15,3,0.726,42.23,58.17,0.557,2.32
30,20,10,40,6m-1m,rev+oca 7:3,7,12,5,0.726,40.74,56.08,0.61,2.263
20,5,35,40,6m,rev+opm 7:3,5,9,3,0.725,45.36,62.56,0.782,1.863
30,5,35,30,6m-1m,rev+opm 7:3,10,14,5,0.725,44.87,61.87,0.64,2.273
30,5,35,30,6m-1m,rev+opm 7:3,7,12,5,0.722,46.42,64.26,0.651,2.311
30,10,35,25,6m-1m,rev+oca 7:3,5,8,3,0.722,40.34,55.9,0.546,2.241
30,15,25,30,6m,rev+oca 7:3,10,14,5,0.719,41.63,57.91,0.616,2.281
30,0,35,35,6m,rev+oca 7:3,10,15,7,0.718,40.44,56.32,0.718,2.059
30,20,10,40,6m-1m,rev+opm 7:3,7,11,5,0.718,39.56,55.09,0.6,2.271
30,20,10,40,6m-1m,rev+oca 7:3,7,11,5,0.715,39.96,55.91,0.604,2.253
30,5,35,30,6m,rev+oca 7:3,7,9,5,0.713,46.43,65.12,0.711,2.218
30,20,10,40,6m-1m,rev+oca 7:3,10,12,5,0.712,40.01,56.22,0.604,2.258
25,20,35,20,6m,rev+oca 7:3,5,9,3,0.71,45.93,64.65,0.586,2.652
25,15,35,25,6m-1m,rev+opm 7:3,10,14,5,0.707,39.41,55.75,0.6,2.062
25,20,35,20,6m,rev+oca 7:3,7,8,3,0.704,46.85,66.55,0.591,2.696
30,15,25,30,6m,rev+oca 7:3,5,7,3,0.703,50.73,72.18,0.536,2.975
30,20,10,40,6m-1m,rev+opm 7:3,10,11,5,0.702,38.76,55.24,0.594,2.24
30,0,35,35,6m,rev+oca 7:3,10,12,7,0.701,41.47,59.2,0.727,2.003
30,0,35,35,6m,rev+oca 7:3,10,13,7,0.701,41.46,59.17,0.729,2.053
30,20,10,40,6m-1m,rev+oca 7:3,7,8,5,0.701,41.28,58.85,0.614,2.261
30,20,10,40,6m-1m,rev+opm 7:3,10,12,5,0.694,40.29,58.07,0.606,2.29
25,20,35,20,6m,rev+oca 7:3,10,15,7,0.689,34.94,50.72,0.618,1.898
30,5,35,30,6m-1m,rev+opm 7:3,10,12,5,0.686,44.43,64.8,0.637,2.266
25,15,35,25,6m-1m,rev+opm 7:3,10,13,5,0.685,40.04,58.49,0.606,2.062
30,5,35,30,6m,rev+oca 7:3,7,8,5,0.684,45.1,65.93,0.7,2.195
30,20,10,40,6m-1m,rev+oca 7:3,7,9,5,0.683,39.65,58.02,0.602,2.215
30,20,10,40,6m-1m,rev+oca 7:3,5,8,5,0.682,38.75,56.83,0.597,2.102
30,20,10,40,6m-1m,rev+opm 7:3,5,8,7,0.681,39.3,57.69,0.651,2.034
20,5,35,40,6m,rev+opm 7:3,5,10,3,0.68,42.17,62.0,0.751,1.776
30,20,10,40,6m-1m,rev+oca 7:3,7,10,5,0.676,39.99,59.2,0.604,2.222
30,20,10,40,6m-1m,rev+opm 7:3,7,8,5,0.676,38.27,56.64,0.592,2.158
30,20,10,40,6m-1m,rev+oca 7:3,10,11,5,0.673,37.7,56.0,0.586,2.203
25,15,35,25,6m-1m,rev+opm 7:3,10,15,5,0.672,39.11,58.17,0.598,2.046
30,10,35,25,6m-1m,rev+oca 7:3,10,13,3,0.668,44.36,66.39,0.571,2.226
30,10,35,25,6m-1m,rev+oca 7:3,10,12,3,0.659,42.47,64.43,0.56,2.181
30,20,10,40,6m-1m,rev+opm 7:3,10,14,5,0.658,37.85,57.49,0.588,2.177
30,20,10,40,6m-1m,rev+opm 7:3,5,9,7,0.655,37.41,57.07,0.634,2.005
30,5,35,30,6m,rev+oca 7:3,10,13,5,0.653,43.71,66.94,0.631,2.328
30,15,25,30,6m,rev+oca 7:3,10,15,5,0.649,39.3,60.53,0.598,2.219
30,15,25,30,6m,rev+oca 7:3,10,13,3,0.647,45.5,70.32,0.515,2.797
30,20,10,40,6m-1m,rev+oca 7:3,5,8,7,0.642,39.51,61.55,0.602,2.147
30,10,35,25,6m-1m,rev+oca 7:3,7,12,3,0.64,41.25,64.43,0.552,2.14
25,15,35,25,6m-1m,rev+opm 7:3,7,12,5,0.638,38.46,60.26,0.593,2.035
30,20,10,40,6m-1m,rev+oca 7:3,5,10,5,0.635,38.68,60.88,0.593,2.162
30,5,35,30,6m,rev+oca 7:3,10,12,5,0.629,39.82,63.28,0.604,2.078
20,0,35,45,6m-1m,rev+opm 7:3,5,10,3,0.62,37.31,60.14,0.53,2.136
30,5,35,30,6m,rev+oca 7:3,7,12,5,0.616,37.91,61.59,0.589,2.007
30,5,35,30,6m,rev+oca 7:3,10,14,5,0.616,41.71,67.65,0.617,2.271
30,5,35,30,6m,rev+oca 7:3,5,10,5,0.615,36.65,59.58,0.579,1.976
20,5,35,40,6m,rev+opm 7:3,10,13,3,0.614,33.84,55.11,0.864,1.296
30,10,35,25,6m-1m,rev+oca 7:3,7,9,5,0.614,35.91,58.51,0.57,1.994
30,20,10,40,6m-1m,rev+oca 7:3,5,9,7,0.612,35.95,58.76,0.621,1.914
30,10,35,25,6m-1m,rev+oca 7:3,10,14,3,0.608,39.79,65.49,0.544,2.104
30,20,10,40,6m-1m,rev+opm 7:3,5,10,7,0.595,35.74,60.03,0.618,1.963
25,15,35,25,6m-1m,rev+opm 7:3,10,12,5,0.594,37.12,62.48,0.582,1.992
30,10,35,25,6m-1m,rev+oca 7:3,7,12,5,0.594,33.6,56.53,0.552,1.93
30,20,10,40,6m-1m,rev+oca 7:3,10,13,7,0.591,31.15,52.73,0.623,1.766
30,20,10,40,6m-1m,rev+oca 7:3,7,12,7,0.588,31.81,54.07,0.628,1.749
30,10,35,25,6m-1m,rev+oca 7:3,7,8,3,0.585,37.69,64.46,0.531,2.046
30,20,10,40,6m-1m,rev+opm 7:3,7,10,5,0.585,34.04,58.17,0.558,2.078
30,0,35,35,6m,rev+oca 7:3,10,14,7,0.582,35.96,61.75,0.672,1.9
30,10,35,25,6m-1m,rev+oca 7:3,5,9,5,0.581,37.75,65.02,0.588,1.95
30,20,10,40,6m-1m,rev+opm 7:3,7,9,5,0.579,33.74,58.25,0.556,2.07
30,10,35,25,6m-1m,rev+oca 7:3,10,12,5,0.577,33.3,57.71,0.549,1.933
30,20,10,40,6m-1m,rev+opm 7:3,10,14,7,0.568,30.65,53.93,0.614,1.765
30,10,35,25,6m-1m,rev+oca 7:3,7,11,5,0.566,33.42,59.05,0.55,1.931
30,20,10,40,6m-1m,rev+oca 7:3,10,15,7,0.565,30.07,53.26,0.569,1.836
30,10,35,25,6m-1m,rev+oca 7:3,10,15,3,0.565,36.87,65.27,0.526,2.012
30,20,10,40,6m-1m,rev+oca 7:3,5,10,7,0.562,34.73,61.85,0.61,1.886
30,10,35,25,6m-1m,rev+oca 7:3,7,9,3,0.562,38.16,67.87,0.534,2.073
30,20,10,40,6m-1m,rev+oca 7:3,7,9,7,0.559,29.11,52.06,0.597,1.656
30,10,35,25,6m-1m,rev+oca 7:3,10,11,3,0.548,35.6,64.97,0.518,2.01
30,5,35,30,6m,rev+oca 7:3,10,11,5,0.545,35.51,65.1,0.569,1.947
30,20,10,40,6m-1m,rev+oca 7:3,10,14,7,0.545,28.95,53.12,0.595,1.709
30,20,10,40,6m-1m,rev+oca 7:3,7,8,7,0.539,30.12,55.91,0.571,1.781
30,20,10,40,6m-1m,rev+opm 7:3,7,9,7,0.537,30.43,56.65,0.612,1.707
30,20,10,40,6m-1m,rev+oca 7:3,7,11,7,0.536,29.63,55.26,0.603,1.682
