gsub,v,q,g,m,e,x,s,cagr,mdd,cal,sh,sort
2f_oca_opm,0,15,60,25,7,10,5,-25.25,65.74,-0.384,-0.535,-0.768
2f_oca_opm,0,15,60,25,7,10,7,14.72,34.38,0.428,0.434,1.78
2f_oca_opm,0,15,65,20,3,6,5,-37.04,70.52,-0.525,-0.717,-0.911
2f_oca_opm,0,15,65,20,3,6,7,-37.04,70.52,-0.525,-0.717,-0.911
2f_oca_opm,0,15,65,20,3,8,5,-42.03,74.96,-0.561,-0.913,-1.139
2f_oca_opm,0,15,65,20,3,8,7,-42.03,74.96,-0.561,-0.913,-1.139
2f_oca_opm,0,15,65,20,3,10,5,-40.71,74.18,-0.549,-0.861,-1.077
2f_oca_opm,0,15,65,20,3,10,7,-40.25,73.7,-0.546,-0.845,-1.056
2f_oca_opm,0,15,65,20,5,6,5,-35.1,69.96,-0.502,-0.789,-1.073
2f_oca_opm,0,15,65,20,5,6,7,-10.21,56.27,-0.181,0.207,0.665
2f_oca_opm,0,15,65,20,5,8,5,-34.58,67.99,-0.509,-0.789,-1.063
2f_oca_opm,0,15,65,20,5,8,7,-14.72,55.78,-0.264,0.095,0.25
2f_oca_opm,0,15,65,20,5,10,5,-25.33,58.23,-0.435,-0.521,-0.84
2f_oca_opm,0,15,65,20,5,10,7,-5.19,42.75,-0.121,0.185,0.525
2f_oca_opm,0,15,65,20,7,8,5,-0.68,56.6,-0.012,0.301,0.998
2f_oca_opm,0,15,65,20,7,8,7,-1.33,52.11,-0.026,0.28,0.935
2f_oca_opm,0,15,65,20,7,10,5,-15.5,48.79,-0.318,-0.227,-0.366
2f_oca_opm,0,15,65,20,7,10,7,-7.95,36.62,-0.217,0.006,0.011
2f_oca_opm,0,15,70,15,3,6,5,-36.78,67.44,-0.545,-0.724,-0.946
2f_oca_opm,0,15,70,15,3,6,7,-36.78,67.44,-0.545,-0.724,-0.946
2f_oca_opm,0,15,70,15,3,8,5,-38.7,72.38,-0.535,-0.803,-1.033
2f_oca_opm,0,15,70,15,3,8,7,-38.7,72.38,-0.535,-0.803,-1.033
2f_oca_opm,0,15,70,15,3,10,5,-38.47,72.03,-0.534,-0.797,-1.023
2f_oca_opm,0,15,70,15,3,10,7,-38.49,72.05,-0.534,-0.797,-1.024
2f_oca_opm,0,15,70,15,5,6,5,-32.96,66.58,-0.495,-0.7,-0.921
2f_oca_opm,0,15,70,15,5,6,7,-8.88,58.56,-0.152,0.224,0.688
2f_oca_opm,0,15,70,15,5,8,5,-36.71,69.55,-0.528,-0.855,-1.092
2f_oca_opm,0,15,70,15,5,8,7,-5.68,57.77,-0.098,0.274,0.952
2f_oca_opm,0,15,70,15,5,10,5,-30.07,61.6,-0.488,-0.531,-0.742
2f_oca_opm,0,15,70,15,5,10,7,-5.57,57.62,-0.097,0.269,0.895
2f_oca_opm,0,15,70,15,7,8,5,-14.33,63.43,-0.226,0.156,0.509
2f_oca_opm,0,15,70,15,7,8,7,-13.34,56.65,-0.235,0.146,0.475
2f_oca_opm,0,15,70,15,7,10,5,-11.6,62.76,-0.185,0.188,0.598
2f_oca_opm,0,15,70,15,7,10,7,0.47,48.06,0.01,0.309,1.357
2f_oca_opm,0,20,20,60,3,6,5,-32.04,81.05,-0.395,-0.201,-0.179
2f_oca_opm,0,20,20,60,3,6,7,-32.04,81.05,-0.395,-0.201,-0.179
2f_oca_opm,0,20,20,60,3,8,5,-23.46,72.36,-0.324,-0.192,-0.179
2f_oca_opm,0,20,20,60,3,8,7,-22.84,71.5,-0.319,-0.176,-0.165
2f_oca_opm,0,20,20,60,3,10,5,-18.2,70.69,-0.258,-0.079,-0.072
2f_oca_opm,0,20,20,60,3,10,7,-18.67,70.06,-0.266,-0.091,-0.083
2f_oca_opm,0,20,20,60,5,6,5,-28.3,79.66,-0.355,-0.123,-0.11
2f_oca_opm,0,20,20,60,5,6,7,-34.93,81.92,-0.426,-0.283,-0.254
2f_oca_opm,0,20,20,60,5,8,5,-17.65,70.14,-0.252,-0.055,-0.052
2f_oca_opm,0,20,20,60,5,8,7,-25.44,74.78,-0.34,-0.204,-0.187
2f_oca_opm,0,20,20,60,5,10,5,-9.18,68.76,-0.134,0.131,0.121
2f_oca_opm,0,20,20,60,5,10,7,-22.62,73.21,-0.309,-0.149,-0.135
2f_oca_opm,0,20,20,60,7,8,5,-7.91,64.48,-0.123,0.048,0.051
2f_oca_opm,0,20,20,60,7,8,7,-12.44,68.69,-0.181,0.015,0.014
2f_oca_opm,0,20,20,60,7,10,5,-6.6,63.45,-0.104,0.069,0.07
2f_oca_opm,0,20,20,60,7,10,7,-9.83,62.12,-0.158,0.028,0.026
2f_oca_opm,0,20,25,55,3,6,5,-32.5,79.86,-0.407,-0.334,-0.316
2f_oca_opm,0,20,25,55,3,6,7,-32.5,79.86,-0.407,-0.334,-0.316
2f_oca_opm,0,20,25,55,3,8,5,-21.78,71.15,-0.306,-0.231,-0.241
2f_oca_opm,0,20,25,55,3,8,7,-21.6,70.99,-0.304,-0.226,-0.236
2f_oca_opm,0,20,25,55,3,10,5,-24.44,72.59,-0.337,-0.307,-0.321
2f_oca_opm,0,20,25,55,3,10,7,-23.99,72.25,-0.332,-0.296,-0.308
2f_oca_opm,0,20,25,55,5,6,5,-32.83,78.29,-0.419,-0.444,-0.413
2f_oca_opm,0,20,25,55,5,6,7,-31.13,78.65,-0.396,-0.388,-0.365
2f_oca_opm,0,20,25,55,5,8,5,-22.3,70.61,-0.316,-0.272,-0.272
2f_oca_opm,0,20,25,55,5,8,7,-19.11,69.69,-0.274,-0.176,-0.179
2f_oca_opm,0,20,25,55,5,10,5,-18.1,67.16,-0.27,-0.157,-0.159
2f_oca_opm,0,20,25,55,5,10,7,-21.02,69.59,-0.302,-0.237,-0.24
2f_oca_opm,0,20,25,55,7,8,5,-16.65,66.3,-0.251,-0.134,-0.135
2f_oca_opm,0,20,25,55,7,8,7,-19.92,69.92,-0.285,-0.171,-0.163
2f_oca_opm,0,20,25,55,7,10,5,-13.23,61.48,-0.215,-0.094,-0.099
2f_oca_opm,0,20,25,55,7,10,7,0.9,42.24,0.021,0.204,0.287
2f_oca_opm,0,20,30,50,3,6,5,-28.82,74.32,-0.388,-0.417,-0.487
2f_oca_opm,0,20,30,50,3,6,7,-29.22,74.66,-0.391,-0.428,-0.501
2f_oca_opm,0,20,30,50,3,8,5,-32.25,75.68,-0.426,-0.547,-0.626
2f_oca_opm,0,20,30,50,3,8,7,-31.61,75.64,-0.418,-0.528,-0.604
2f_oca_opm,0,20,30,50,3,10,5,-29.15,73.39,-0.397,-0.478,-0.538
2f_oca_opm,0,20,30,50,3,10,7,-30.5,74.23,-0.411,-0.52,-0.586
2f_oca_opm,0,20,30,50,5,6,5,-5.08,52.26,-0.097,0.063,0.099
2f_oca_opm,0,20,30,50,5,6,7,-7.02,55.81,-0.126,0.009,0.013
2f_oca_opm,0,20,30,50,5,8,5,-20.28,68.91,-0.294,-0.258,-0.285
2f_oca_opm,0,20,30,50,5,8,7,-9.98,58.77,-0.17,-0.081,-0.121
2f_oca_opm,0,20,30,50,5,10,5,-17.32,65.2,-0.266,-0.184,-0.201
2f_oca_opm,0,20,30,50,5,10,7,-5.96,53.62,-0.111,0.03,0.045
2f_oca_opm,0,20,30,50,7,8,5,-5.78,54.38,-0.106,0.026,0.041
2f_oca_opm,0,20,30,50,7,8,7,-12.57,57.78,-0.217,-0.208,-0.316
2f_oca_opm,0,20,30,50,7,10,5,0.25,44.32,0.006,0.192,0.297
2f_oca_opm,0,20,30,50,7,10,7,-8.03,50.34,-0.159,-0.058,-0.088
2f_oca_opm,0,20,35,45,3,6,5,-39.11,81.67,-0.479,-0.741,-0.883
2f_oca_opm,0,20,35,45,3,6,7,-39.11,81.67,-0.479,-0.741,-0.883
2f_oca_opm,0,20,35,45,3,8,5,-40.0,81.54,-0.491,-0.796,-0.935
2f_oca_opm,0,20,35,45,3,8,7,-39.93,81.48,-0.49,-0.793,-0.932
2f_oca_opm,0,20,35,45,3,10,5,-38.87,80.22,-0.485,-0.771,-0.895
2f_oca_opm,0,20,35,45,3,10,7,-38.29,79.62,-0.481,-0.751,-0.872
2f_oca_opm,0,20,35,45,5,6,5,-7.24,55.1,-0.131,0.016,0.026
2f_oca_opm,0,20,35,45,5,6,7,-5.78,54.55,-0.106,0.054,0.086
2f_oca_opm,0,20,35,45,5,8,5,-15.22,63.8,-0.239,-0.222,-0.34
2f_oca_opm,0,20,35,45,5,8,7,-11.87,61.95,-0.192,-0.108,-0.161
2f_oca_opm,0,20,35,45,5,10,5,-9.22,54.96,-0.168,-0.058,-0.091
2f_oca_opm,0,20,35,45,5,10,7,-0.54,49.91,-0.011,0.181,0.295
2f_oca_opm,0,20,35,45,7,8,5,-9.62,58.48,-0.165,-0.088,-0.142
2f_oca_opm,0,20,35,45,7,8,7,-9.46,54.51,-0.173,-0.109,-0.181
2f_oca_opm,0,20,35,45,7,10,5,-7.03,53.01,-0.133,-0.006,-0.009
2f_oca_opm,0,20,35,45,7,10,7,-8.48,53.39,-0.159,-0.075,-0.126
2f_oca_opm,0,20,40,40,3,6,5,-40.62,81.57,-0.498,-0.816,-0.992
2f_oca_opm,0,20,40,40,3,6,7,-40.62,81.57,-0.498,-0.816,-0.992
2f_oca_opm,0,20,40,40,3,8,5,-36.16,78.17,-0.463,-0.691,-0.852
2f_oca_opm,0,20,40,40,3,8,7,-36.16,78.17,-0.463,-0.691,-0.852
2f_oca_opm,0,20,40,40,3,10,5,-38.27,77.93,-0.491,-0.768,-0.942
2f_oca_opm,0,20,40,40,3,10,7,-37.69,77.93,-0.484,-0.751,-0.918
2f_oca_opm,0,20,40,40,5,6,5,-16.53,64.43,-0.257,-0.258,-0.396
2f_oca_opm,0,20,40,40,5,6,7,-17.49,65.67,-0.266,-0.288,-0.44
2f_oca_opm,0,20,40,40,5,8,5,-9.29,57.06,-0.163,-0.056,-0.089
2f_oca_opm,0,20,40,40,5,8,7,-12.44,59.97,-0.207,-0.153,-0.238
2f_oca_opm,0,20,40,40,5,10,5,-8.28,52.85,-0.157,-0.033,-0.053
2f_oca_opm,0,20,40,40,5,10,7,-14.26,60.77,-0.235,-0.219,-0.335
2f_oca_opm,0,20,40,40,7,8,5,-16.12,64.18,-0.251,-0.268,-0.418
2f_oca_opm,0,20,40,40,7,8,7,-8.41,51.36,-0.164,-0.066,-0.108
2f_oca_opm,0,20,40,40,7,10,5,-17.86,62.78,-0.285,-0.335,-0.533
2f_oca_opm,0,20,40,40,7,10,7,-9.35,50.85,-0.184,-0.104,-0.168
2f_oca_opm,0,20,45,35,3,6,5,-40.6,80.0,-0.507,-0.892,-1.145
2f_oca_opm,0,20,45,35,3,6,7,-41.23,80.0,-0.515,-0.916,-1.176
2f_oca_opm,0,20,45,35,3,8,5,-41.45,79.69,-0.52,-0.878,-1.063
2f_oca_opm,0,20,45,35,3,8,7,-42.01,79.69,-0.527,-0.899,-1.089
2f_oca_opm,0,20,45,35,3,10,5,-43.26,80.55,-0.537,-0.953,-1.151
2f_oca_opm,0,20,45,35,3,10,7,-43.73,80.55,-0.543,-0.971,-1.174
2f_oca_opm,0,20,45,35,5,6,5,-16.97,61.22,-0.277,-0.267,-0.395
2f_oca_opm,0,20,45,35,5,6,7,-16.87,61.32,-0.275,-0.269,-0.396
2f_oca_opm,0,20,45,35,5,8,5,-17.52,60.31,-0.291,-0.295,-0.44
2f_oca_opm,0,20,45,35,5,8,7,-20.7,63.2,-0.327,-0.396,-0.583
2f_oca_opm,0,20,45,35,5,10,5,-15.93,60.53,-0.263,-0.248,-0.374
2f_oca_opm,0,20,45,35,5,10,7,-21.05,64.28,-0.328,-0.425,-0.62
2f_oca_opm,0,20,45,35,7,8,5,-15.85,57.82,-0.274,-0.26,-0.412
2f_oca_opm,0,20,45,35,7,8,7,-15.99,56.94,-0.281,-0.293,-0.463
2f_oca_opm,0,20,45,35,7,10,5,-4.25,46.11,-0.092,0.077,0.128
2f_oca_opm,0,20,45,35,7,10,7,-11.75,54.35,-0.216,-0.163,-0.255
2f_oca_opm,0,20,50,30,3,6,5,-32.73,74.68,-0.438,-0.608,-0.806
2f_oca_opm,0,20,50,30,3,6,7,-32.73,74.68,-0.438,-0.608,-0.806
2f_oca_opm,0,20,50,30,3,8,5,-26.51,66.16,-0.401,-0.453,-0.654
