atk,def,rule,cagr,mdd,cal,sh,sort,sw,boost
A3_3f_rog_G60M25,D5_2f_rao_M55,KK_MA120_4d,100.19,34.8,2.879,1.833,2.898,15,50.19394879751745
A6_2f_oca_G60M25,D4_3f_rog_M60S5,B126_35_3d,98.53,34.24,2.878,1.703,2.681,19,67.57176105508145
A5_3f_rog_G70M25,D6_2f_rvo_M60,KP_MA60_3d,95.47,33.18,2.877,1.703,2.769,31,60.66718386346005
A2_3f_rog_G65M30,D7_3f_rog_E7S7,B126_40_4d,109.05,37.9,2.877,1.892,2.985,17,57.253685027152834
A5_3f_rog_G70M25,D3_3f_roo_M60S7,KP_MA150_3d,96.99,33.72,2.876,1.738,2.786,25,56.477889837083005
A7_2f_roc_G55M25,D4_3f_rog_M60S5,KP_MA200_2d,106.97,37.2,2.876,1.845,2.936,21,54.30566330488751
A3_3f_rog_G60M25,D6_2f_rvo_M60,KP_MA250_3d,97.41,33.89,2.875,1.745,2.761,15,48.09930178432894
A6_2f_oca_G60M25,D3_3f_roo_M60S7,B126_35_3d,99.91,34.75,2.875,1.735,2.741,19,67.57176105508145
A7_2f_roc_G55M25,D5_2f_rao_M55,KP_MA150_4d,112.41,39.11,2.874,1.935,3.039,21,57.176105508145845
A6_2f_oca_G60M25,D6_2f_rvo_M60,KP_MA250_3d,97.39,33.89,2.874,1.74,2.797,15,48.09930178432894
A3_3f_rog_G60M25,D4_3f_rog_M60S5,B126_40_4d,105.12,36.58,2.874,1.82,2.863,17,57.253685027152834
A3_3f_rog_G60M25,D5_2f_rao_M55,B126_30_3d,101.89,35.46,2.873,1.753,2.632,17,73.31264546159814
A3_3f_rog_G60M25,D1_3f_rog_M60S7,B126_40_5d,109.45,38.09,2.873,1.862,2.936,13,57.176105508145845
A2_3f_rog_G65M30,D4_3f_rog_M60S5,B126_35_2d,100.35,34.93,2.873,1.708,2.647,24,67.10628394103956
A3_3f_rog_G60M25,D1_3f_rog_M60S7,KP_MA250_5d,105.44,36.71,2.872,1.821,2.852,13,47.478665632273085
A5_3f_rog_G70M25,D7_3f_rog_E7S7,B126_35_4d,95.97,33.42,2.872,1.696,2.604,15,67.95965865011637
A4_3f_roo_G60M30,D5_2f_rao_M55,KP_MA120_3d,102.89,35.84,2.871,1.821,2.866,15,57.951900698215674
A5_3f_rog_G70M25,D7_3f_rog_E7S7,B126_45_3d,102.94,35.88,2.869,1.867,2.916,23,48.95267649340574
A4_3f_roo_G60M30,D3_3f_roo_M60S7,KP_MA250_3d,101.97,35.57,2.867,1.805,2.868,15,48.09930178432894
A5_3f_rog_G70M25,D2_2f_oar_V40G40,KP_MA150_5d,99.19,34.6,2.867,1.782,2.812,15,56.788207913110945
A3_3f_rog_G60M25,D1_3f_rog_M60S7,B126_35_5d,94.98,33.13,2.867,1.672,2.559,15,67.88207913110938
A3_3f_rog_G60M25,D7_3f_rog_E7S7,KP_MA200_3d,109.17,38.08,2.867,1.915,3.003,19,54.3832428238945
A2_3f_rog_G65M30,D4_3f_rog_M60S5,B126_45_2d,95.53,33.33,2.866,1.719,2.689,28,48.719937936384795
A7_2f_roc_G55M25,D5_2f_rao_M55,KK_MA120_5d,110.38,38.54,2.864,1.941,3.12,15,50.116369278510476
A5_3f_rog_G70M25,D3_3f_roo_M60S7,KP_MA250_5d,98.41,34.37,2.863,1.766,2.784,13,47.478665632273085
A7_2f_roc_G55M25,D5_2f_rao_M55,B126_30_4d,104.69,36.56,2.863,1.797,2.717,17,73.23506594259116
