v,q,g,m,gr,mom,cagr,mdd,cal,sh,sort
20,5,20,55,0.8,6m-1m,64.7,34.15,1.895,1.464,2.102
10,20,25,45,0.4,6m-1m,60.57,31.99,1.893,1.41,1.986
10,15,30,45,0.7,6m-1m,66.87,35.35,1.892,1.486,2.151
25,0,20,55,0.7,6m-1m,63.17,33.43,1.889,1.441,2.064
20,10,30,40,0.5,6m,63.32,33.58,1.886,1.44,2.1
10,20,30,40,0.4,6m-1m,58.36,30.94,1.886,1.322,1.855
20,10,30,40,0.5,6m-1m,61.46,32.62,1.884,1.425,1.952
20,5,30,45,0.6,6m-1m,63.76,34.0,1.875,1.434,1.98
10,15,20,55,0.6,6m-1m,66.57,35.53,1.874,1.508,2.156
20,10,30,40,0.3,6m,63.76,34.04,1.873,1.448,2.099
20,10,20,50,0.3,6m,56.84,30.38,1.871,1.341,1.979
10,15,25,50,0.7,6m-1m,62.77,33.61,1.867,1.433,2.073
15,15,20,50,0.8,6m-1m,61.66,33.05,1.866,1.423,2.012
15,5,30,50,0.7,6m-1m,68.32,36.61,1.866,1.539,2.25
20,10,30,40,0.4,6m-1m,64.52,34.6,1.865,1.46,1.986
25,5,20,50,0.4,6m-1m,60.91,32.66,1.865,1.431,2.046
15,5,20,60,0.3,6m-1m,59.11,31.84,1.856,1.411,2.052
10,20,25,45,0.8,6m-1m,61.5,33.15,1.855,1.41,2.084
15,0,30,55,0.7,6m-1m,68.7,37.06,1.854,1.519,2.196
10,10,30,50,0.5,6m-1m,67.0,36.18,1.852,1.483,2.144
25,10,15,50,0.6,6m-1m,53.51,28.89,1.852,1.326,1.831
20,10,20,50,0.4,6m-1m,58.14,31.42,1.851,1.392,1.971
10,5,30,55,0.7,6m-1m,67.6,36.62,1.846,1.501,2.176
20,5,30,45,0.4,6m,61.62,33.47,1.841,1.4,2.042
15,15,20,50,0.3,6m,66.23,35.98,1.841,1.484,2.123
20,0,35,45,0.5,6m-1m,65.45,35.58,1.84,1.476,2.182
20,0,25,55,0.8,6m-1m,63.13,34.35,1.838,1.43,2.023
10,20,35,35,0.3,6m-1m,59.14,32.3,1.831,1.342,1.995
10,10,30,50,0.7,6m-1m,64.85,35.42,1.831,1.453,2.083
25,0,20,55,0.4,6m-1m,56.9,31.13,1.828,1.355,1.968
10,15,20,55,0.5,6m-1m,64.5,35.3,1.827,1.483,2.085
30,15,20,35,0.5,6m,50.13,27.46,1.825,1.223,1.735
25,5,20,50,0.3,6m,55.09,30.2,1.824,1.312,1.9
25,10,15,50,0.7,6m-1m,53.74,29.46,1.824,1.315,1.81
20,10,25,45,0.4,6m-1m,60.53,33.3,1.818,1.43,2.054
20,15,35,30,0.3,6m,55.29,30.44,1.817,1.282,1.885
15,10,20,55,0.4,6m-1m,60.11,33.1,1.816,1.419,2.014
15,15,25,45,0.7,6m-1m,58.62,32.34,1.812,1.377,1.973
25,0,25,50,0.6,6m-1m,60.79,33.59,1.81,1.421,2.083
15,5,30,50,0.4,6m-1m,62.71,34.67,1.809,1.445,2.114
10,15,30,45,0.4,6m-1m,60.66,33.59,1.806,1.392,2.005
25,10,20,45,0.6,6m-1m,62.09,34.43,1.803,1.419,2.015
10,10,25,55,0.7,6m-1m,69.04,38.34,1.801,1.526,2.172
20,20,25,35,0.6,6m-1m,60.19,33.44,1.8,1.41,1.995
25,5,40,30,0.4,6m-1m,61.6,34.22,1.8,1.433,2.098
25,10,15,50,0.4,6m,54.21,30.14,1.798,1.295,1.848
15,15,20,50,0.5,6m-1m,62.65,34.86,1.797,1.458,2.045
20,5,25,50,0.8,6m-1m,62.99,35.09,1.795,1.421,2.001
20,15,25,40,0.4,6m-1m,64.77,36.11,1.794,1.467,1.989
10,20,25,45,0.7,6m-1m,60.02,33.47,1.793,1.392,2.031
20,5,20,55,0.6,6m-1m,57.95,32.32,1.793,1.368,1.943
20,5,25,50,0.4,6m-1m,64.85,36.2,1.792,1.476,2.121
15,20,15,50,0.8,6m-1m,58.95,32.95,1.789,1.407,1.98
15,0,35,50,0.5,6m,61.91,34.61,1.789,1.411,2.08
10,10,30,50,0.4,6m-1m,63.68,35.7,1.784,1.437,2.05
20,5,30,45,0.5,6m,58.34,32.72,1.783,1.349,1.921
20,10,20,50,0.5,6m-1m,59.92,33.67,1.779,1.41,2.004
10,5,30,55,0.6,6m-1m,65.09,36.59,1.779,1.473,2.126
15,5,25,55,0.5,6m-1m,65.44,36.83,1.776,1.498,2.137
30,0,20,50,0.7,6m-1m,53.65,30.22,1.776,1.31,1.871
10,10,25,55,0.6,6m-1m,66.28,37.4,1.772,1.48,2.119
20,10,30,40,0.6,6m,55.54,31.39,1.77,1.314,1.92
10,20,25,45,0.3,6m-1m,60.19,34.03,1.769,1.405,1.974
15,20,20,45,0.5,6m-1m,56.95,32.26,1.765,1.381,1.946
15,0,30,55,0.5,6m-1m,60.88,34.54,1.763,1.408,2.038
20,5,40,35,0.3,6m,60.65,34.41,1.763,1.392,2.058
25,0,20,55,0.8,6m-1m,57.67,32.77,1.76,1.356,1.972
20,15,35,30,0.3,6m-1m,55.67,31.7,1.756,1.319,1.89
10,20,30,40,0.8,6m-1m,63.9,36.49,1.751,1.451,2.175
15,20,25,40,0.6,6m-1m,56.98,32.63,1.746,1.356,1.92
15,0,25,60,0.6,6m-1m,57.98,33.21,1.746,1.356,1.962
25,0,40,35,0.3,6m-1m,53.23,30.51,1.745,1.303,1.873
10,15,40,35,0.3,6m-1m,53.6,30.73,1.745,1.261,1.947
20,10,25,45,0.6,6m-1m,55.67,31.98,1.741,1.326,1.802
10,5,25,60,0.4,6m-1m,52.59,30.23,1.74,1.281,1.818
15,5,30,50,0.5,6m,58.57,33.66,1.74,1.342,1.916
15,20,15,50,0.5,6m-1m,59.33,34.12,1.739,1.431,1.965
20,15,25,40,0.7,6m-1m,54.91,31.61,1.737,1.325,1.883
25,5,25,45,0.5,6m-1m,62.92,36.24,1.736,1.448,2.139
25,15,15,45,0.5,6m-1m,60.45,34.84,1.735,1.46,2.017
20,15,15,50,0.3,6m-1m,56.3,32.48,1.733,1.38,1.927
15,10,35,40,0.3,6m,60.88,35.25,1.727,1.389,2.028
15,0,35,50,0.6,6m,58.4,33.81,1.727,1.361,1.967
10,5,30,55,0.5,6m-1m,63.58,36.84,1.726,1.444,2.075
20,10,25,45,0.4,6m,57.28,33.18,1.726,1.334,1.937
20,10,20,50,0.3,6m-1m,54.88,31.81,1.725,1.34,1.891
25,5,40,30,0.3,6m-1m,60.78,35.26,1.723,1.449,2.2
15,15,25,45,0.8,6m-1m,58.16,33.76,1.723,1.36,1.964
25,15,25,35,0.3,6m,58.12,33.8,1.72,1.354,1.994
15,20,25,40,0.5,6m-1m,60.04,34.97,1.717,1.394,1.947
15,0,25,60,0.8,6m-1m,62.31,36.38,1.713,1.417,2.018
15,5,30,50,0.6,6m,60.29,35.23,1.711,1.375,1.967
20,5,15,60,0.4,6m-1m,56.27,32.9,1.71,1.378,1.976
15,20,15,50,0.7,6m-1m,57.69,33.8,1.707,1.387,1.937
10,10,30,50,0.8,6m-1m,60.55,35.52,1.705,1.387,1.992
25,0,25,50,0.4,6m,62.08,36.55,1.699,1.424,2.057
10,15,20,55,0.4,6m,68.01,40.04,1.699,1.499,2.123
20,5,25,50,0.4,6m,59.14,34.85,1.697,1.359,1.958
10,20,30,40,0.5,6m-1m,59.07,34.82,1.696,1.342,1.879
10,15,30,45,0.5,6m,57.41,33.87,1.695,1.323,1.907
10,20,35,35,0.4,6m,57.61,34.0,1.694,1.316,1.92
15,5,20,60,0.5,6m-1m,57.65,34.1,1.691,1.371,1.972
25,0,20,55,0.6,6m-1m,59.32,35.12,1.689,1.385,1.966
15,5,25,55,0.8,6m-1m,63.81,37.8,1.688,1.453,2.073
10,5,35,50,0.4,6m,56.99,33.78,1.687,1.335,1.984
20,5,30,45,0.3,6m,57.9,34.31,1.687,1.359,1.994
10,10,30,50,0.7,6m,65.91,39.11,1.685,1.453,2.111
25,5,25,45,0.4,6m-1m,63.85,37.94,1.683,1.469,2.167
20,15,15,50,0.4,6m-1m,55.79,33.2,1.681,1.377,1.908
25,10,35,30,0.3,6m-1m,59.02,35.13,1.68,1.415,2.154
10,20,35,35,0.4,6m-1m,59.76,35.59,1.679,1.342,1.906
20,15,15,50,0.5,6m-1m,57.0,33.96,1.678,1.403,1.953
10,15,20,55,0.3,6m,71.98,42.89,1.678,1.555,2.213
15,0,35,50,0.6,6m-1m,66.5,39.64,1.678,1.482,2.115
25,0,35,40,0.3,6m-1m,50.04,29.86,1.676,1.256,1.778
25,5,15,55,0.4,6m-1m,52.43,31.29,1.676,1.321,1.863
10,20,40,30,0.4,6m,61.16,36.49,1.676,1.37,2.098
15,15,40,30,0.3,6m-1m,60.26,36.02,1.673,1.377,2.086
15,15,35,35,0.4,6m,57.68,34.48,1.673,1.332,1.921
25,15,15,45,0.4,6m-1m,59.34,35.46,1.673,1.443,2.001
20,5,25,50,0.7,6m-1m,60.88,36.41,1.672,1.405,2.021
15,5,30,50,0.7,6m,58.53,35.03,1.671,1.334,1.91
25,15,20,40,0.3,6m,46.83,28.07,1.669,1.176,1.685
10,20,25,45,0.4,6m,60.72,36.41,1.668,1.393,1.957
10,20,40,30,0.3,6m-1m,52.38,31.5,1.663,1.242,1.872
20,20,25,35,0.5,6m-1m,51.42,30.91,1.663,1.263,1.769
10,15,25,50,0.6,6m-1m,57.84,34.79,1.662,1.346,1.941
15,10,20,55,0.7,6m-1m,60.44,36.39,1.661,1.412,2.003
10,10,25,55,0.5,6m-1m,61.33,37.01,1.657,1.406,2.022
25,5,25,45,0.4,6m,56.47,34.16,1.653,1.323,1.956
10,10,20,60,0.4,6m-1m,58.11,35.17,1.652,1.385,1.946
25,15,15,45,0.6,6m-1m,51.37,31.11,1.651,1.288,1.781
15,0,25,60,0.7,6m-1m,58.64,35.55,1.65,1.354,1.909
20,0,25,55,0.4,6m-1m,62.4,37.82,1.65,1.434,2.043
20,10,25,45,0.5,6m-1m,60.85,36.91,1.649,1.419,1.948
25,5,20,50,0.6,6m-1m,58.92,35.73,1.649,1.386,1.974
25,5,15,55,0.5,6m-1m,54.34,32.94,1.649,1.337,1.905
15,20,25,40,0.3,6m,55.47,33.69,1.646,1.312,1.856
30,10,20,40,0.6,6m-1m,49.24,29.95,1.644,1.234,1.743
10,15,30,45,0.6,6m,56.24,34.2,1.644,1.316,1.915
15,20,15,50,0.6,6m-1m,54.15,32.93,1.644,1.337,1.849
15,10,30,45,0.3,6m-1m,54.72,33.28,1.644,1.325,1.928
20,15,30,35,0.3,6m-1m,63.66,38.74,1.643,1.443,2.026
25,0,25,50,0.5,6m-1m,59.49,36.21,1.643,1.404,2.044
15,10,25,50,0.3,6m-1m,62.18,37.83,1.643,1.442,2.064
20,5,25,50,0.3,6m-1m,59.66,36.37,1.641,1.412,2.024
25,0,25,50,0.3,6m-1m,53.92,32.86,1.641,1.317,1.912
10,15,30,45,0.4,6m,56.42,34.39,1.641,1.308,1.924
20,5,30,45,0.3,6m-1m,58.56,35.7,1.64,1.394,2.046
10,15,20,55,0.8,6m-1m,56.45,34.45,1.639,1.331,1.858
20,15,25,40,0.5,6m-1m,57.24,34.95,1.638,1.347,1.833
15,20,30,35,0.3,6m,57.61,35.17,1.638,1.32,1.887
15,10,30,45,0.8,6m-1m,60.66,37.09,1.636,1.402,2.038
10,10,30,50,0.5,6m,60.32,36.89,1.635,1.37,1.995
20,10,35,35,0.4,6m-1m,63.11,38.62,1.634,1.425,1.924
15,5,35,45,0.5,6m,53.6,32.81,1.633,1.275,1.839
