v,q,g,m,gr,mom,cagr,mdd,cal,sh,sort
10,5,30,55,0.8,6m-1m,57.72,39.19,1.473,1.342,1.88
30,10,25,35,0.5,6m,44.51,30.26,1.471,1.137,1.672
10,20,20,50,0.4,6m,57.02,38.76,1.471,1.345,1.935
15,0,25,60,0.5,6m-1m,54.93,37.36,1.47,1.317,1.868
30,10,30,30,0.4,6m-1m,53.15,36.16,1.47,1.318,1.979
30,5,20,45,0.5,6m-1m,52.17,35.55,1.468,1.289,1.855
20,0,25,55,0.4,6m,51.65,35.21,1.467,1.251,1.785
10,15,30,45,0.7,6m,51.93,35.47,1.464,1.245,1.845
10,20,25,45,0.6,6m-1m,50.66,34.61,1.464,1.242,1.772
15,0,35,50,0.7,6m-1m,62.58,42.78,1.463,1.43,2.074
25,10,15,50,0.5,6m,43.13,29.49,1.463,1.101,1.537
15,10,40,35,0.4,6m-1m,59.79,40.87,1.463,1.373,2.024
10,0,30,60,0.8,6m-1m,58.38,39.93,1.462,1.352,1.911
15,10,30,45,0.6,6m-1m,58.09,39.75,1.461,1.348,1.85
15,20,20,45,0.6,6m-1m,49.58,34.01,1.458,1.228,1.731
10,5,40,45,0.5,6m,51.16,35.11,1.457,1.227,1.784
10,15,25,50,0.6,6m,56.96,39.1,1.457,1.325,1.918
10,5,35,50,0.7,6m,52.08,35.77,1.456,1.248,1.799
20,15,15,50,0.6,6m,53.11,36.46,1.456,1.278,1.832
20,0,35,45,0.6,6m-1m,54.9,37.75,1.454,1.309,1.909
15,0,40,45,0.7,6m,55.37,38.07,1.454,1.289,1.869
10,20,20,50,0.7,6m,51.59,35.5,1.453,1.253,1.801
20,15,20,45,0.3,6m,45.24,31.17,1.451,1.138,1.616
20,0,30,50,0.5,6m,57.19,39.42,1.451,1.326,1.87
20,10,15,55,0.4,6m-1m,52.06,35.95,1.448,1.302,1.803
10,20,25,45,0.3,6m,61.18,42.28,1.447,1.384,1.976
25,10,20,45,0.3,6m,46.9,32.4,1.447,1.19,1.711
15,20,25,40,0.4,6m-1m,52.48,36.27,1.447,1.273,1.746
10,0,35,55,0.6,6m-1m,61.0,42.17,1.447,1.408,1.993
20,5,20,55,0.7,6m-1m,54.79,37.89,1.446,1.315,1.852
25,15,30,30,0.3,6m,44.31,30.66,1.445,1.131,1.615
10,15,40,35,0.4,6m,56.85,39.43,1.442,1.31,1.93
15,15,15,55,0.4,6m-1m,53.02,36.77,1.442,1.319,1.839
10,5,35,50,0.6,6m-1m,58.13,40.31,1.442,1.341,1.922
30,10,20,40,0.5,6m-1m,50.72,35.22,1.44,1.271,1.792
10,15,25,50,0.4,6m-1m,56.89,39.5,1.44,1.356,1.911
30,0,20,50,0.5,6m-1m,48.95,34.0,1.44,1.244,1.786
15,15,25,45,0.8,6m,53.79,37.37,1.439,1.272,1.849
25,10,15,50,0.3,6m,44.9,31.22,1.438,1.146,1.643
10,20,40,30,0.5,6m,54.6,37.96,1.438,1.265,1.869
30,15,20,35,0.4,6m,45.35,31.56,1.437,1.161,1.642
15,5,20,60,0.8,6m-1m,56.96,39.65,1.437,1.355,1.932
20,15,15,50,0.8,6m-1m,51.64,35.95,1.436,1.287,1.843
15,20,20,45,0.3,6m-1m,49.47,34.5,1.434,1.254,1.744
25,10,15,50,0.6,6m,42.97,29.96,1.434,1.101,1.526
15,15,15,55,0.5,6m-1m,55.06,38.4,1.434,1.356,1.893
10,10,35,45,0.7,6m-1m,54.19,37.79,1.434,1.275,1.835
10,20,35,35,0.6,6m,54.05,37.7,1.434,1.261,1.864
15,5,20,60,0.7,6m-1m,52.96,36.94,1.433,1.291,1.827
10,5,40,45,0.4,6m,50.12,35.02,1.431,1.217,1.783
15,20,30,35,0.4,6m,50.95,35.63,1.43,1.223,1.746
15,0,40,45,0.3,6m,55.58,38.87,1.43,1.321,1.92
20,15,35,30,0.4,6m-1m,50.64,35.43,1.429,1.226,1.686
20,10,35,35,0.4,6m,55.83,39.06,1.429,1.309,1.904
15,20,35,30,0.3,6m,54.48,38.13,1.429,1.269,1.843
20,10,15,55,0.5,6m,50.28,35.21,1.428,1.23,1.795
10,5,40,45,0.7,6m-1m,54.74,38.38,1.426,1.276,1.857
20,5,30,45,0.6,6m,50.27,35.31,1.424,1.222,1.711
10,5,35,50,0.6,6m,50.43,35.42,1.424,1.223,1.79
20,0,20,60,0.6,6m-1m,51.38,36.08,1.424,1.247,1.776
15,10,25,50,0.3,6m,59.12,41.61,1.421,1.365,1.924
25,0,35,40,0.5,6m-1m,55.31,38.94,1.42,1.338,2.028
20,10,20,50,0.5,6m,52.95,37.29,1.42,1.265,1.807
15,5,30,50,0.8,6m,50.74,35.75,1.419,1.215,1.698
25,0,30,45,0.5,6m-1m,55.48,39.11,1.418,1.335,1.999
25,10,20,45,0.7,6m-1m,55.04,38.83,1.417,1.303,1.81
15,10,30,45,0.5,6m-1m,56.2,39.66,1.417,1.321,1.81
20,10,25,45,0.7,6m-1m,54.85,38.7,1.417,1.305,1.779
25,0,25,50,0.3,6m,52.86,37.3,1.417,1.285,1.857
15,15,20,50,0.6,6m,55.4,39.12,1.416,1.304,1.873
25,10,20,45,0.8,6m-1m,47.5,33.58,1.415,1.178,1.631
25,0,25,50,0.8,6m-1m,48.1,34.0,1.415,1.193,1.685
20,10,30,40,0.4,6m,50.59,35.77,1.415,1.235,1.755
10,20,15,55,0.5,6m-1m,50.84,35.93,1.415,1.276,1.765
20,20,20,40,0.7,6m-1m,50.43,35.67,1.414,1.26,1.756
15,10,30,45,0.3,6m,52.99,37.56,1.411,1.257,1.828
20,15,15,50,0.7,6m,51.5,36.5,1.411,1.247,1.788
30,5,30,35,0.5,6m-1m,48.64,34.48,1.411,1.232,1.834
10,20,25,45,0.7,6m,56.27,39.9,1.41,1.326,1.921
20,5,40,35,0.4,6m,60.0,42.54,1.41,1.375,1.974
15,20,35,30,0.4,6m,51.26,36.42,1.408,1.228,1.775
25,10,10,55,0.5,6m-1m,43.42,30.84,1.408,1.156,1.648
30,0,20,50,0.4,6m-1m,46.21,32.82,1.408,1.198,1.737
10,5,40,45,0.4,6m-1m,59.32,42.16,1.407,1.365,2.023
10,10,25,55,0.3,6m-1m,53.74,38.19,1.407,1.3,1.815
15,5,30,50,0.3,6m,50.2,35.68,1.407,1.221,1.753
20,15,30,35,0.8,6m-1m,51.81,36.85,1.406,1.273,1.86
15,15,40,30,0.4,6m-1m,54.29,38.62,1.406,1.28,1.874
25,10,30,35,0.5,6m,49.08,34.95,1.404,1.225,1.771
10,10,35,45,0.3,6m,50.79,36.2,1.403,1.224,1.843
10,10,20,60,0.8,6m-1m,51.79,36.91,1.403,1.261,1.78
10,10,35,45,0.6,6m-1m,55.29,39.41,1.403,1.302,1.876
15,5,20,60,0.6,6m-1m,55.57,39.63,1.402,1.34,1.893
10,0,30,60,0.7,6m-1m,58.82,41.99,1.401,1.371,1.973
20,20,25,35,0.4,6m,42.67,30.48,1.4,1.104,1.578
20,10,30,40,0.7,6m-1m,53.45,38.18,1.4,1.296,1.847
25,0,25,50,0.7,6m-1m,52.41,37.46,1.399,1.259,1.8
20,20,20,40,0.5,6m-1m,52.34,37.45,1.398,1.306,1.809
15,10,30,45,0.4,6m-1m,58.43,41.83,1.397,1.366,1.903
25,15,10,50,0.8,6m,40.26,28.83,1.396,1.066,1.489
20,15,20,45,0.7,6m,49.99,35.82,1.396,1.215,1.692
20,5,35,40,0.3,6m-1m,45.8,32.83,1.395,1.182,1.695
20,5,30,45,0.7,6m,48.76,35.04,1.392,1.181,1.684
15,15,30,40,0.3,6m,51.93,37.34,1.391,1.239,1.765
15,10,30,45,0.8,6m,48.86,35.13,1.391,1.185,1.689
20,0,30,50,0.4,6m-1m,65.58,47.19,1.39,1.474,2.187
15,20,20,45,0.7,6m,48.75,35.11,1.389,1.196,1.705
15,20,10,55,0.4,6m-1m,50.7,36.5,1.389,1.281,1.809
20,10,25,45,0.7,6m,51.03,36.8,1.387,1.223,1.743
25,5,20,50,0.5,6m,53.58,38.63,1.387,1.283,1.857
15,0,40,45,0.6,6m,54.18,39.12,1.385,1.274,1.858
20,10,15,55,0.5,6m-1m,51.36,37.08,1.385,1.284,1.781
15,15,35,35,0.3,6m,52.4,37.86,1.384,1.236,1.791
10,15,20,55,0.6,6m,57.26,41.39,1.383,1.325,1.916
30,5,25,40,0.3,6m-1m,44.08,31.89,1.382,1.16,1.657
15,15,20,50,0.4,6m-1m,51.87,37.61,1.379,1.296,1.771
15,20,30,35,0.7,6m-1m,54.21,39.32,1.379,1.292,1.826
30,0,25,45,0.4,6m,44.84,32.51,1.379,1.159,1.731
25,0,15,60,0.3,6m-1m,49.56,36.11,1.373,1.246,1.803
10,15,35,40,0.4,6m-1m,57.3,41.75,1.373,1.337,1.944
25,10,35,30,0.4,6m,58.17,42.4,1.372,1.365,1.967
15,15,40,30,0.3,6m,55.54,40.48,1.372,1.278,1.87
10,10,30,50,0.8,6m,54.1,39.42,1.372,1.268,1.795
10,10,25,55,0.3,6m,56.56,41.26,1.371,1.332,1.92
20,5,15,60,0.3,6m-1m,48.54,35.43,1.37,1.251,1.761
30,20,20,30,0.3,6m,39.7,29.02,1.368,1.06,1.527
20,10,15,55,0.4,6m,49.34,36.1,1.367,1.217,1.785
10,20,30,40,0.7,6m,51.47,37.66,1.367,1.231,1.797
15,15,20,50,0.8,6m,54.8,40.15,1.365,1.288,1.824
25,5,20,50,0.7,6m-1m,51.35,37.65,1.364,1.253,1.757
10,15,15,60,0.6,6m,57.47,42.19,1.362,1.341,1.918
25,15,25,35,0.4,6m-1m,53.83,39.54,1.361,1.296,1.753
25,5,35,35,0.3,6m,51.2,37.63,1.361,1.249,1.781
15,20,25,40,0.6,6m,52.58,38.63,1.361,1.254,1.784
15,20,30,35,0.8,6m-1m,52.67,38.72,1.36,1.275,1.829
10,5,30,55,0.5,6m,52.74,38.83,1.359,1.27,1.833
15,20,30,35,0.4,6m-1m,48.32,35.58,1.358,1.187,1.678
15,0,25,60,0.5,6m,54.5,40.21,1.356,1.284,1.808
15,10,35,40,0.4,6m,49.57,36.55,1.356,1.198,1.742
25,5,15,55,0.8,6m-1m,48.67,35.9,1.356,1.209,1.704
15,15,30,40,0.7,6m-1m,51.89,38.3,1.355,1.251,1.792
20,0,40,40,0.4,6m-1m,55.3,40.83,1.354,1.319,1.934
25,15,20,40,0.7,6m-1m,50.95,37.62,1.354,1.262,1.8
10,5,40,45,0.6,6m-1m,56.24,41.55,1.354,1.307,1.908
25,10,10,55,0.4,6m,49.03,36.25,1.353,1.22,1.751
15,15,15,55,0.8,6m,55.17,40.81,1.352,1.297,1.835
10,10,35,45,0.6,6m,52.14,38.61,1.35,1.24,1.804
15,15,30,40,0.6,6m-1m,51.13,37.88,1.35,1.242,1.752
15,5,40,40,0.5,6m-1m,55.74,41.35,1.348,1.314,1.916
30,0,20,50,0.8,6m-1m,42.17,31.33,1.346,1.111,1.602
20,10,40,30,0.4,6m,59.11,43.92,1.346,1.348,1.958
10,5,30,55,0.6,6m,50.71,37.67,1.346,1.227,1.767
15,0,30,55,0.5,6m,53.1,39.48,1.345,1.269,1.843
15,15,30,40,0.4,6m,46.7,34.76,1.344,1.158,1.641
10,0,30,60,0.6,6m-1m,56.95,42.39,1.344,1.349,1.913
30,0,15,55,0.5,6m-1m,48.28,35.95,1.343,1.229,1.781
20,20,25,35,0.5,6m,44.39,33.04,1.343,1.13,1.603
30,10,20,40,0.3,6m-1m,48.67,36.26,1.342,1.239,1.731
25,5,40,30,0.3,6m,52.12,38.84,1.342,1.254,1.803
20,5,25,50,0.7,6m,51.14,38.15,1.341,1.21,1.733
20,15,25,40,0.7,6m,44.41,33.19,1.338,1.117,1.607
15,5,25,55,0.8,6m,54.52,40.75,1.338,1.272,1.768
15,0,40,45,0.7,6m-1m,56.25,42.07,1.337,1.322,1.915
20,10,25,45,0.8,6m-1m,54.45,40.8,1.335,1.287,1.743
25,20,20,35,0.8,6m-1m,49.13,36.79,1.335,1.221,1.734
10,10,35,45,0.8,6m-1m,50.19,37.65,1.333,1.208,1.758
15,15,25,45,0.7,6m,52.47,39.4,1.332,1.253,1.823
15,0,35,50,0.7,6m,51.13,38.4,1.331,1.232,1.79
25,10,10,55,0.4,6m-1m,46.6,35.01,1.331,1.221,1.737
15,20,30,35,0.5,6m,50.02,37.58,1.331,1.212,1.752
10,15,15,60,0.5,6m,58.94,44.33,1.33,1.362,1.936
30,10,15,45,0.6,6m-1m,47.0,35.38,1.329,1.201,1.67
20,5,25,50,0.8,6m,49.82,37.49,1.329,1.199,1.714
25,10,30,35,0.6,6m,43.39,32.65,1.329,1.124,1.613
15,20,35,30,0.4,6m-1m,47.71,35.96,1.327,1.161,1.65
25,5,35,35,0.4,6m,46.89,35.34,1.327,1.185,1.743
15,15,40,30,0.4,6m,50.73,38.24,1.326,1.208,1.728
25,5,25,45,0.6,6m-1m,50.56,38.17,1.325,1.247,1.813
10,10,40,40,0.5,6m,58.59,44.23,1.325,1.342,1.966
15,5,35,45,0.3,6m,50.2,37.9,1.324,1.224,1.787
10,10,20,60,0.6,6m-1m,55.66,42.03,1.324,1.318,1.833
30,10,15,45,0.5,6m-1m,48.51,36.67,1.323,1.238,1.738
20,0,35,45,0.7,6m-1m,52.54,39.75,1.322,1.266,1.851
15,10,25,50,0.5,6m,54.76,41.43,1.322,1.29,1.819
25,15,20,40,0.5,6m-1m,57.19,43.29,1.321,1.351,1.834
25,15,30,30,0.4,6m,47.68,36.1,1.321,1.194,1.709
15,0,35,50,0.3,6m,49.0,37.09,1.321,1.196,1.72
15,15,25,45,0.6,6m,55.01,41.66,1.32,1.297,1.868
10,10,20,60,0.3,6m-1m,50.2,38.04,1.32,1.25,1.763
10,5,40,45,0.5,6m-1m,54.35,41.25,1.318,1.279,1.873
25,5,10,60,0.3,6m-1m,44.88,34.06,1.318,1.18,1.713
20,10,40,30,0.3,6m-1m,50.58,38.39,1.318,1.236,1.853
20,5,20,55,0.8,6m,48.31,36.69,1.317,1.171,1.649
10,15,20,55,0.5,6m,57.4,43.63,1.316,1.329,1.895
30,5,20,45,0.4,6m,46.63,35.44,1.316,1.179,1.74
20,10,15,55,0.8,6m-1m,51.45,39.1,1.316,1.296,1.857
10,20,30,40,0.3,6m-1m,54.38,41.39,1.314,1.274,1.798
30,0,25,45,0.3,6m-1m,41.72,31.76,1.314,1.116,1.623
10,20,20,50,0.3,6m-1m,50.19,38.23,1.313,1.258,1.744
15,10,40,35,0.4,6m,56.27,42.87,1.313,1.298,1.864
20,20,20,40,0.6,6m-1m,49.54,37.75,1.313,1.244,1.735
30,5,20,45,0.3,6m-1m,45.91,35.0,1.312,1.18,1.68
20,10,35,35,0.5,6m-1m,52.52,40.07,1.311,1.257,1.682
20,15,30,35,0.4,6m,51.75,39.47,1.311,1.256,1.802
20,5,20,55,0.7,6m,45.51,34.78,1.309,1.129,1.614
10,20,20,50,0.8,6m,49.14,37.57,1.308,1.207,1.73
10,0,35,55,0.7,6m-1m,58.87,45.01,1.308,1.365,1.962
20,10,40,30,0.4,6m-1m,51.07,39.07,1.307,1.24,1.719
30,10,15,45,0.7,6m-1m,46.61,35.66,1.307,1.188,1.676
15,0,35,50,0.4,6m,45.84,35.08,1.307,1.155,1.67
10,10,20,60,0.5,6m-1m,53.4,40.87,1.307,1.288,1.816
15,15,15,55,0.5,6m,54.93,42.1,1.305,1.302,1.85
15,0,35,50,0.8,6m-1m,57.48,44.11,1.303,1.34,1.916
15,15,10,60,0.7,6m,56.38,43.29,1.303,1.33,1.881
15,10,25,50,0.6,6m,55.96,42.94,1.303,1.304,1.834
15,20,20,45,0.8,6m,51.63,39.64,1.302,1.237,1.765
10,15,15,60,0.6,6m-1m,55.53,42.65,1.302,1.336,1.878
25,5,35,35,0.4,6m-1m,53.21,40.87,1.302,1.284,1.765
15,20,30,35,0.5,6m-1m,44.91,34.52,1.301,1.131,1.595
10,15,15,60,0.7,6m,56.14,43.17,1.3,1.333,1.935
10,5,35,50,0.8,6m,46.03,35.4,1.3,1.132,1.611
15,20,10,55,0.6,6m-1m,45.96,35.39,1.299,1.192,1.671
30,10,15,45,0.4,6m-1m,43.05,33.15,1.299,1.155,1.612
30,0,15,55,0.4,6m-1m,46.82,36.11,1.297,1.213,1.747
15,5,30,50,0.8,6m-1m,55.2,42.61,1.296,1.319,1.867
30,10,30,30,0.5,6m,43.85,33.83,1.296,1.134,1.675
15,10,30,45,0.4,6m,51.2,39.52,1.296,1.234,1.737
25,10,25,40,0.4,6m-1m,57.8,44.6,1.296,1.335,1.801
10,10,30,50,0.3,6m,48.63,37.54,1.295,1.199,1.759
20,20,25,35,0.6,6m,47.73,36.89,1.294,1.197,1.713
25,5,30,40,0.4,6m-1m,50.86,39.37,1.292,1.256,1.736
30,5,35,30,0.3,6m-1m,51.87,40.15,1.292,1.3,1.961
10,5,25,60,0.3,6m,52.24,40.44,1.292,1.249,1.793
30,5,20,45,0.7,6m-1m,48.28,37.48,1.288,1.203,1.725
15,15,35,35,0.5,6m,50.1,38.96,1.286,1.207,1.713
20,0,20,60,0.3,6m-1m,51.06,39.73,1.285,1.271,1.82
15,10,35,40,0.4,6m-1m,54.55,42.47,1.284,1.294,1.793
10,20,15,55,0.7,6m-1m,48.81,38.06,1.283,1.229,1.726
15,5,35,45,0.4,6m,47.01,36.69,1.281,1.177,1.697
10,15,20,55,0.8,6m,53.38,41.72,1.28,1.264,1.792
10,5,35,50,0.4,6m-1m,50.96,39.86,1.278,1.241,1.789
30,0,25,45,0.4,6m-1m,40.33,31.58,1.277,1.088,1.568
10,10,25,55,0.4,6m-1m,53.13,41.62,1.277,1.293,1.834
25,5,25,45,0.6,6m,47.78,37.47,1.275,1.165,1.667
10,20,15,55,0.6,6m-1m,50.85,39.89,1.275,1.276,1.78
20,15,30,35,0.6,6m-1m,48.89,38.39,1.274,1.216,1.731
20,20,20,40,0.3,6m,43.82,34.42,1.273,1.125,1.585
10,20,30,40,0.6,6m,50.67,39.8,1.273,1.212,1.773
10,15,20,55,0.7,6m,56.72,44.57,1.273,1.317,1.905
20,20,20,40,0.8,6m-1m,46.14,36.28,1.272,1.178,1.66
15,10,25,50,0.4,6m,54.66,42.99,1.271,1.28,1.825
10,15,25,50,0.5,6m,51.11,40.2,1.271,1.227,1.765
15,10,40,35,0.5,6m-1m,54.31,42.72,1.271,1.295,1.888
10,5,35,50,0.3,6m-1m,48.34,38.07,1.27,1.199,1.726
15,15,25,45,0.4,6m,49.2,38.74,1.27,1.201,1.711
10,0,40,50,0.3,6m,54.45,42.94,1.268,1.297,1.924
20,20,25,35,0.4,6m-1m,53.85,42.46,1.268,1.291,1.755
10,10,35,45,0.4,6m,50.99,40.2,1.268,1.215,1.793
25,10,30,35,0.4,6m,45.67,36.04,1.267,1.172,1.696
20,15,30,35,0.7,6m-1m,49.47,39.03,1.267,1.228,1.791
15,0,30,55,0.7,6m,54.22,42.79,1.267,1.269,1.775
10,15,40,35,0.4,6m-1m,53.45,42.28,1.264,1.263,1.892
25,15,20,40,0.6,6m-1m,56.44,44.74,1.262,1.339,1.829
10,0,35,55,0.6,6m,50.13,39.8,1.26,1.219,1.749
20,15,10,55,0.4,6m,48.07,38.15,1.26,1.208,1.744
30,5,20,45,0.5,6m,41.43,32.88,1.26,1.084,1.589
10,0,35,55,0.3,6m-1m,46.76,37.16,1.258,1.166,1.699
25,0,15,60,0.7,6m-1m,46.56,37.0,1.258,1.176,1.719
10,20,30,40,0.5,6m,53.34,42.39,1.258,1.256,1.829
15,10,20,55,0.4,6m,56.18,44.7,1.257,1.311,1.853
10,15,35,40,0.7,6m-1m,50.34,40.1,1.255,1.222,1.817
15,20,30,35,0.6,6m-1m,45.77,36.46,1.255,1.151,1.608
10,20,35,35,0.5,6m,52.38,41.76,1.254,1.243,1.853
15,15,25,45,0.3,6m,52.76,42.06,1.254,1.257,1.766
20,0,35,45,0.6,6m,46.55,37.14,1.253,1.155,1.629
10,0,30,60,0.5,6m,49.24,39.3,1.253,1.201,1.714
25,10,15,50,0.8,6m,41.74,33.34,1.252,1.078,1.537
15,20,20,45,0.3,6m,49.44,39.49,1.252,1.219,1.718
10,10,35,45,0.3,6m-1m,48.06,38.39,1.252,1.194,1.742
15,10,15,60,0.6,6m-1m,50.34,40.3,1.249,1.268,1.775
20,20,25,35,0.3,6m,46.48,37.25,1.248,1.173,1.669
15,5,40,40,0.3,6m,48.56,38.93,1.247,1.199,1.757
10,5,40,45,0.3,6m-1m,48.74,39.09,1.247,1.192,1.755
10,10,35,45,0.8,6m,43.07,34.53,1.247,1.087,1.578
10,20,15,55,0.3,6m-1m,50.97,40.92,1.246,1.262,1.723
30,5,20,45,0.8,6m-1m,47.55,38.21,1.244,1.196,1.695
10,5,25,60,0.5,6m,57.13,45.91,1.244,1.328,1.9
10,10,35,45,0.5,6m-1m,52.8,42.43,1.244,1.257,1.818
20,10,15,55,0.3,6m-1m,49.29,39.65,1.243,1.255,1.755
25,15,20,40,0.4,6m-1m,56.76,45.66,1.243,1.353,1.758
15,15,15,55,0.8,6m-1m,52.22,42.03,1.243,1.283,1.805
30,0,35,35,0.3,6m-1m,48.91,39.36,1.243,1.248,1.913
30,5,15,50,0.7,6m-1m,44.28,35.65,1.242,1.172,1.695
25,5,20,50,0.6,6m,46.4,37.39,1.241,1.148,1.618
10,10,25,55,0.6,6m,53.01,42.72,1.241,1.261,1.807
15,5,40,40,0.6,6m-1m,55.98,45.16,1.24,1.312,1.918
15,5,35,45,0.5,6m-1m,47.79,38.58,1.239,1.171,1.604
10,15,25,50,0.4,6m,55.4,44.75,1.238,1.292,1.863
15,20,35,30,0.3,6m-1m,46.25,37.38,1.237,1.129,1.598
30,0,15,55,0.7,6m-1m,42.13,34.09,1.236,1.117,1.618
10,20,15,55,0.4,6m,52.04,42.12,1.236,1.263,1.757
15,20,15,50,0.3,6m-1m,48.05,38.94,1.234,1.236,1.71
15,20,35,30,0.5,6m,45.81,37.13,1.234,1.13,1.646
20,0,35,45,0.3,6m-1m,46.35,37.6,1.233,1.186,1.717
15,20,15,50,0.3,6m,50.79,41.22,1.232,1.243,1.759
15,10,15,60,0.7,6m-1m,49.99,40.61,1.231,1.247,1.701
15,10,35,40,0.3,6m-1m,54.4,44.19,1.231,1.289,1.788
20,15,20,45,0.4,6m,44.74,36.38,1.23,1.123,1.596
25,15,10,50,0.8,6m-1m,39.92,32.47,1.229,1.102,1.515
25,0,40,35,0.5,6m-1m,51.61,41.98,1.229,1.268,1.851
15,5,25,55,0.7,6m,52.66,42.87,1.228,1.239,1.684
10,20,35,35,0.5,6m-1m,48.72,39.71,1.227,1.181,1.701
15,15,20,50,0.7,6m,48.72,39.71,1.227,1.193,1.697
15,20,30,35,0.7,6m,47.93,39.06,1.227,1.182,1.708
20,5,20,55,0.5,6m,44.8,36.54,1.226,1.134,1.633
10,10,20,60,0.6,6m,60.92,49.71,1.225,1.377,2.013
15,20,20,45,0.5,6m,44.42,36.3,1.223,1.146,1.598
10,10,20,60,0.5,6m,56.57,46.24,1.223,1.305,1.888
15,0,30,55,0.4,6m-1m,51.79,42.42,1.221,1.258,1.834
15,15,25,45,0.5,6m,48.17,39.48,1.22,1.183,1.673
10,10,25,55,0.4,6m,58.67,48.11,1.22,1.355,1.962
10,20,30,40,0.8,6m,48.16,39.47,1.22,1.179,1.72
10,10,30,50,0.4,6m,47.4,38.89,1.219,1.171,1.698
10,0,30,60,0.5,6m-1m,53.55,43.94,1.219,1.283,1.838
20,15,35,30,0.4,6m,52.13,42.74,1.219,1.225,1.789
25,10,10,55,0.5,6m,45.76,37.56,1.218,1.159,1.657
15,10,30,45,0.6,6m,51.36,42.23,1.216,1.216,1.749
15,20,25,40,0.7,6m,44.72,36.81,1.215,1.121,1.594
10,5,30,55,0.3,6m-1m,49.03,40.4,1.214,1.217,1.755
10,0,40,50,0.3,6m-1m,50.13,41.35,1.212,1.214,1.767
30,5,25,40,0.5,6m,43.05,35.51,1.212,1.108,1.647
20,15,10,55,0.5,6m,47.3,39.04,1.212,1.199,1.732
15,20,20,45,0.4,6m,46.48,38.34,1.212,1.176,1.664
25,15,30,30,0.5,6m-1m,49.98,41.31,1.21,1.238,1.68
25,0,20,55,0.5,6m,49.2,40.68,1.209,1.192,1.681
20,20,30,30,0.3,6m-1m,47.6,39.37,1.209,1.191,1.657
10,20,10,60,0.3,6m,50.57,41.83,1.209,1.242,1.747
25,5,35,35,0.5,6m,49.53,41.01,1.208,1.23,1.814
15,10,20,55,0.3,6m,54.41,45.04,1.208,1.286,1.816
20,10,15,55,0.6,6m-1m,48.52,40.2,1.207,1.232,1.685
20,10,30,40,0.3,6m-1m,56.54,46.85,1.207,1.329,1.798
15,10,20,55,0.5,6m,52.57,43.6,1.206,1.25,1.813
15,20,15,50,0.6,6m,50.45,41.84,1.206,1.235,1.724
20,15,30,35,0.4,6m-1m,50.96,42.29,1.205,1.24,1.699
30,0,15,55,0.6,6m-1m,41.61,34.52,1.205,1.105,1.59
10,10,20,60,0.4,6m,57.33,47.61,1.204,1.312,1.908
15,0,40,45,0.6,6m-1m,49.9,41.44,1.204,1.215,1.732
20,20,20,40,0.8,6m,43.77,36.36,1.204,1.109,1.586
15,5,25,55,0.4,6m-1m,51.8,43.03,1.204,1.273,1.814
30,10,15,45,0.3,6m-1m,42.42,35.29,1.202,1.146,1.599
20,0,25,55,0.3,6m-1m,55.17,45.93,1.201,1.304,1.865
10,20,35,35,0.7,6m,51.13,42.75,1.196,1.219,1.836
15,15,15,55,0.6,6m-1m,51.0,42.69,1.195,1.278,1.761
15,20,15,50,0.4,6m,48.64,40.69,1.195,1.203,1.707
15,10,30,45,0.5,6m,48.35,40.45,1.195,1.174,1.678
10,10,25,55,0.5,6m,54.27,45.41,1.195,1.274,1.83
30,10,20,40,0.5,6m,40.51,33.91,1.195,1.062,1.548
30,0,15,55,0.8,6m-1m,42.81,35.82,1.195,1.128,1.645
15,0,25,60,0.3,6m,48.82,40.93,1.193,1.201,1.726
25,15,25,35,0.4,6m,49.88,41.84,1.192,1.223,1.795
20,0,40,40,0.5,6m,49.0,41.12,1.192,1.175,1.588
25,10,10,55,0.3,6m,45.05,37.81,1.191,1.16,1.658
30,0,30,40,0.3,6m-1m,42.59,35.79,1.19,1.144,1.685
25,5,15,55,0.3,6m,48.02,40.39,1.189,1.188,1.742
10,10,25,55,0.7,6m,54.88,46.16,1.189,1.286,1.844
20,20,15,45,0.6,6m-1m,44.77,37.68,1.188,1.177,1.599
15,5,25,55,0.3,6m,48.16,40.56,1.187,1.183,1.69
20,20,20,40,0.5,6m,45.47,38.31,1.187,1.149,1.616
25,5,15,55,0.7,6m-1m,45.45,38.32,1.186,1.165,1.627
20,15,10,55,0.3,6m,41.16,34.74,1.185,1.091,1.564
10,15,35,40,0.6,6m,47.62,40.17,1.185,1.161,1.681
25,15,25,35,0.8,6m-1m,41.02,34.66,1.184,1.077,1.525
15,5,25,55,0.3,6m-1m,48.66,41.14,1.183,1.217,1.76
20,20,30,30,0.3,6m,40.67,34.38,1.183,1.051,1.501
20,5,35,40,0.3,6m,42.79,36.2,1.182,1.112,1.628
25,10,10,55,0.7,6m-1m,39.64,33.53,1.182,1.081,1.504
25,15,10,50,0.7,6m-1m,36.25,30.67,1.182,1.026,1.385
10,0,40,50,0.5,6m-1m,52.11,44.1,1.182,1.246,1.827
15,0,40,45,0.5,6m,47.06,39.94,1.178,1.166,1.703
25,15,25,35,0.3,6m-1m,56.51,47.95,1.178,1.327,1.744
10,0,40,50,0.6,6m,48.16,40.87,1.178,1.181,1.7
15,10,15,60,0.5,6m-1m,47.56,40.48,1.175,1.214,1.712
10,10,40,40,0.4,6m-1m,54.63,46.5,1.175,1.295,1.904
