v,q,g,m,g_rev,mom,calmar,cagr,mdd,sharpe,sortino
5,25,15,55,0.6,6m,1.65,55.58,33.69,1.331,1.948
20,10,25,45,0.8,12m-1m,1.65,53.69,32.54,1.302,1.821
5,10,40,45,0.4,12m,1.649,71.26,43.21,1.493,2.286
5,25,15,55,0.7,6m,1.648,55.0,33.37,1.317,1.914
5,10,25,60,1.0,6m,1.648,52.08,31.61,1.253,1.778
10,25,10,55,0.8,6m,1.648,54.8,33.26,1.311,1.845
0,30,15,55,0.3,12m,1.647,58.73,35.66,1.38,2.088
20,15,15,50,0.9,6m,1.646,53.52,32.5,1.271,1.759
5,25,20,50,0.8,6m-1m,1.646,54.26,32.97,1.296,1.887
10,30,15,45,0.8,6m,1.641,53.85,32.82,1.306,1.924
15,5,30,50,0.7,12m,1.64,56.01,34.16,1.302,1.85
10,20,20,50,0.8,6m,1.638,54.73,33.4,1.274,1.84
10,25,10,55,0.6,6m,1.637,60.06,36.68,1.4,1.95
15,20,15,50,0.5,6m,1.637,54.31,33.18,1.293,1.81
5,15,25,55,0.4,6m-1m,1.637,60.31,36.84,1.383,2.045
10,30,15,45,0.6,6m,1.633,53.0,32.45,1.284,1.894
10,20,25,45,0.9,6m,1.633,59.37,36.37,1.341,1.975
10,25,20,45,1.0,12m,1.63,59.89,36.75,1.375,1.995
10,30,15,45,0.7,12m,1.626,57.91,35.6,1.357,1.99
0,25,15,60,0.9,6m,1.625,51.67,31.79,1.242,1.777
15,30,10,45,0.5,6m,1.624,56.15,34.57,1.329,1.938
10,20,15,55,0.3,6m,1.623,57.18,35.23,1.335,1.931
5,25,15,55,0.5,6m,1.619,57.15,35.31,1.357,1.975
10,25,20,45,0.9,12m,1.617,60.69,37.53,1.372,1.992
5,0,60,35,0.8,12m,1.616,73.38,45.4,1.48,2.225
5,15,30,50,0.3,6m-1m,1.615,60.26,37.3,1.374,2.048
20,15,15,50,0.7,6m-1m,1.61,57.19,35.52,1.352,1.864
0,30,10,60,0.9,6m,1.609,48.86,30.36,1.228,1.756
15,15,25,45,0.4,12m,1.609,57.69,35.86,1.332,1.945
10,15,30,45,0.4,6m,1.606,60.75,37.83,1.384,2.096
15,30,10,45,0.8,12m,1.605,53.54,33.36,1.29,1.848
15,10,25,50,0.6,6m,1.6,57.12,35.7,1.309,1.896
25,10,30,35,0.3,12m,1.6,58.14,36.35,1.329,1.979
5,10,45,40,0.3,6m,1.598,67.73,42.39,1.424,2.162
10,10,25,55,0.4,12m-1m,1.598,57.27,35.83,1.338,1.918
15,25,15,45,0.3,6m,1.597,57.2,35.83,1.35,1.965
15,10,20,55,0.5,6m-1m,1.596,59.66,37.38,1.367,1.956
25,10,30,35,0.3,12m-1m,1.596,56.76,35.57,1.324,1.946
10,5,45,40,0.4,6m-1m,1.596,68.43,42.88,1.47,2.215
25,10,15,50,0.4,6m-1m,1.595,46.86,29.38,1.181,1.596
25,5,45,25,0.4,12m,1.591,60.34,37.94,1.376,2.064
15,10,25,50,1.0,12m-1m,1.59,52.66,33.11,1.285,1.785
20,15,20,45,0.8,6m,1.589,53.72,33.81,1.263,1.762
5,15,30,50,0.4,6m-1m,1.589,57.62,36.25,1.321,2.002
20,0,45,35,0.9,12m,1.588,57.67,36.32,1.32,2.012
5,0,60,35,0.8,12m-1m,1.586,73.57,46.39,1.477,2.258
5,15,40,40,0.4,6m-1m,1.585,64.43,40.65,1.391,2.097
5,15,40,40,0.4,6m,1.585,70.39,44.4,1.491,2.27
10,5,35,50,0.5,6m-1m,1.585,56.25,35.49,1.301,1.875
20,15,20,45,0.5,12m,1.584,51.66,32.61,1.261,1.783
5,0,55,40,1.0,12m-1m,1.583,64.34,40.65,1.391,2.1
10,15,30,45,0.9,12m,1.583,60.31,38.11,1.365,1.988
15,25,10,50,0.4,12m,1.579,51.12,32.37,1.265,1.743
0,5,45,50,0.4,12m,1.578,72.03,45.66,1.502,2.319
15,0,35,50,0.9,12m,1.578,63.45,40.22,1.397,1.974
10,25,20,45,0.5,6m-1m,1.577,54.5,34.55,1.297,1.933
5,25,10,60,0.5,6m,1.575,48.83,31.0,1.22,1.739
0,25,25,50,0.6,6m,1.575,53.14,33.73,1.262,1.925
10,25,15,50,1.0,6m,1.574,51.48,32.71,1.255,1.774
10,10,25,55,0.4,6m-1m,1.573,54.88,34.89,1.296,1.857
15,5,30,50,0.7,6m-1m,1.573,59.87,38.07,1.358,1.883
20,20,20,40,0.4,12m,1.572,54.77,34.85,1.31,1.882
5,10,25,60,0.9,6m,1.571,48.65,30.96,1.188,1.677
10,20,15,55,0.5,6m,1.57,64.47,41.06,1.449,2.018
20,20,15,45,0.3,6m,1.569,55.46,35.35,1.323,1.882
15,5,30,50,0.6,6m-1m,1.569,55.19,35.17,1.288,1.769
0,5,45,50,0.6,12m,1.567,70.17,44.79,1.475,2.212
10,5,40,45,0.3,6m,1.566,61.63,39.34,1.375,2.066
15,25,15,45,0.9,6m,1.565,56.36,36.01,1.323,1.903
25,0,55,20,0.3,12m,1.565,62.04,39.65,1.383,2.064
10,10,40,40,0.3,6m,1.565,65.84,42.07,1.41,2.132
20,0,35,45,0.6,12m,1.564,59.27,37.89,1.339,1.894
20,10,20,50,0.4,6m-1m,1.564,52.74,33.71,1.27,1.755
15,10,35,40,0.7,12m,1.564,63.16,40.39,1.382,2.05
15,5,35,45,0.9,12m,1.563,63.74,40.77,1.395,1.958
25,15,25,35,0.3,12m,1.563,54.11,34.62,1.282,1.871
5,25,10,60,0.8,6m,1.563,45.19,28.9,1.153,1.631
10,15,20,55,1.0,6m,1.562,58.27,37.31,1.344,1.874
20,10,30,40,0.3,6m,1.562,54.81,35.09,1.283,1.905
0,15,40,45,0.4,12m,1.56,68.75,44.08,1.459,2.224
10,0,45,45,0.8,12m,1.56,66.28,42.5,1.422,2.109
5,30,10,55,0.4,6m,1.558,52.01,33.38,1.3,1.899
25,0,40,35,0.3,12m,1.557,51.6,33.13,1.234,1.775
20,5,50,25,0.4,12m,1.556,58.34,37.5,1.331,1.976
5,5,55,35,1.0,12m-1m,1.554,61.82,39.79,1.327,1.997
20,10,25,45,0.7,6m-1m,1.554,57.82,37.2,1.338,1.892
5,10,40,45,0.3,6m-1m,1.553,66.72,42.95,1.443,2.207
25,5,35,35,0.4,12m,1.553,57.23,36.84,1.306,1.92
0,0,65,35,0.5,12m,1.552,67.33,43.37,1.406,2.117
10,15,25,50,0.8,6m,1.552,53.55,34.51,1.25,1.733
5,20,15,60,0.4,6m,1.551,52.25,33.69,1.277,1.792
15,25,10,50,0.9,6m,1.55,53.62,34.6,1.299,1.825
20,15,25,40,0.6,6m-1m,1.55,54.79,35.34,1.29,1.831
15,30,10,45,0.7,6m,1.549,50.41,32.54,1.241,1.817
15,30,10,45,1.0,6m,1.549,51.07,32.97,1.25,1.81
10,30,10,50,0.4,12m,1.548,55.9,36.1,1.348,2.002
10,30,15,45,0.9,12m,1.546,50.38,32.58,1.236,1.769
10,10,35,45,0.3,6m-1m,1.545,56.48,36.56,1.311,1.949
5,5,45,45,0.3,12m,1.544,70.99,45.99,1.475,2.28
5,10,50,35,1.0,12m,1.543,66.31,42.96,1.401,2.085
10,5,40,45,0.5,12m,1.543,63.32,41.04,1.381,1.965
