v,q,g,m,g_rev,mom,calmar,cagr,mdd,sharpe,sortino
5,20,25,50,0.3,12m,1.135,50.92,44.87,1.213,1.821
10,30,15,45,1.0,6m,1.135,48.42,42.65,1.193,1.718
5,10,45,40,0.7,6m-1m,1.135,51.69,45.55,1.195,1.805
10,0,35,55,0.6,6m,1.135,44.96,39.6,1.108,1.548
0,10,45,45,1.0,12m-1m,1.135,47.28,41.67,1.136,1.687
0,15,50,35,0.3,12m-1m,1.135,62.01,54.65,1.327,2.034
5,10,45,40,0.7,6m,1.134,52.14,45.99,1.21,1.825
10,10,20,60,0.7,6m,1.134,44.65,39.37,1.112,1.529
10,10,50,30,0.7,6m-1m,1.134,53.83,47.46,1.237,1.87
15,15,35,35,0.6,12m-1m,1.134,50.47,44.48,1.202,1.81
10,25,15,50,0.6,6m-1m,1.134,45.3,39.95,1.147,1.622
10,30,15,45,0.5,12m,1.134,41.58,36.65,1.091,1.616
15,0,45,40,0.6,6m,1.134,49.7,43.84,1.178,1.721
5,20,35,40,1.0,6m-1m,1.134,44.86,39.55,1.106,1.611
10,15,35,40,0.8,6m-1m,1.134,47.91,42.23,1.156,1.682
5,5,60,30,0.9,12m,1.134,53.37,47.06,1.209,1.824
20,10,15,55,0.4,6m-1m,1.134,43.08,37.99,1.106,1.474
10,10,35,45,0.9,12m-1m,1.133,46.71,41.21,1.153,1.633
15,10,30,45,0.7,12m-1m,1.133,45.45,40.11,1.136,1.594
15,20,25,40,0.6,12m,1.133,45.25,39.94,1.128,1.646
5,35,10,50,1.0,12m,1.133,41.77,36.85,1.094,1.621
10,5,40,45,0.5,6m-1m,1.133,41.21,36.37,1.057,1.53
10,20,20,50,0.7,12m,1.133,42.89,37.85,1.094,1.529
5,10,25,60,0.9,6m-1m,1.133,39.15,34.54,1.017,1.402
0,30,15,55,0.9,12m-1m,1.132,44.75,39.52,1.135,1.668
15,15,25,45,0.7,12m,1.132,44.89,39.65,1.133,1.629
10,5,30,55,0.6,12m,1.132,49.79,43.99,1.185,1.68
15,20,25,40,0.8,6m,1.132,41.87,37.01,1.068,1.553
15,0,35,50,0.4,6m,1.132,48.76,43.09,1.166,1.693
10,10,25,55,0.6,12m,1.132,46.85,41.39,1.146,1.627
5,10,30,55,0.6,12m-1m,1.132,44.91,39.68,1.116,1.552
15,15,15,55,0.7,6m-1m,1.132,45.82,40.46,1.156,1.589
10,25,10,55,0.7,12m,1.132,43.07,38.05,1.116,1.536
10,5,50,35,0.8,6m,1.132,54.17,47.86,1.243,1.831
0,25,15,60,0.3,6m-1m,1.132,46.63,41.19,1.186,1.729
10,25,15,50,0.6,12m-1m,1.131,37.46,33.12,1.013,1.396
0,5,55,40,0.8,12m-1m,1.131,45.9,40.59,1.09,1.592
10,5,55,30,0.7,12m,1.131,54.98,48.6,1.24,1.904
5,15,50,30,0.7,6m-1m,1.131,51.21,45.27,1.193,1.808
0,35,10,55,0.7,6m,1.131,45.57,40.28,1.15,1.702
20,10,25,45,0.8,6m-1m,1.131,40.69,35.97,1.064,1.465
5,30,15,50,0.5,12m,1.131,44.1,38.99,1.137,1.647
0,35,15,50,1.0,6m,1.131,45.42,40.17,1.14,1.683
0,5,55,40,0.6,12m,1.131,52.83,46.72,1.205,1.844
10,0,55,35,0.6,12m,1.131,54.87,48.52,1.241,1.883
5,20,20,55,0.7,6m-1m,1.13,46.16,40.85,1.151,1.588
10,5,45,40,0.8,12m,1.13,47.69,42.2,1.144,1.716
0,10,40,50,0.9,12m,1.13,51.26,45.35,1.219,1.781
5,25,25,45,0.5,12m,1.13,45.53,40.29,1.118,1.635
0,10,45,45,0.5,6m-1m,1.13,48.88,43.25,1.176,1.738
10,5,40,45,0.8,12m,1.13,48.18,42.64,1.167,1.719
5,25,15,55,0.8,12m,1.129,43.65,38.67,1.112,1.572
5,15,30,50,0.8,6m,1.129,43.35,38.4,1.086,1.566
0,25,25,50,0.6,12m,1.129,46.05,40.79,1.134,1.703
0,5,50,45,0.4,6m,1.129,54.58,48.33,1.248,1.874
0,15,45,40,0.6,12m,1.129,51.66,45.75,1.182,1.858
5,20,25,50,0.6,12m,1.129,47.3,41.9,1.146,1.695
15,15,30,40,0.6,12m-1m,1.129,44.87,39.73,1.124,1.655
10,30,15,45,1.0,12m-1m,1.129,43.35,38.39,1.116,1.648
20,0,50,30,0.5,12m,1.129,48.91,43.32,1.182,1.825
0,15,25,60,0.5,6m-1m,1.128,38.74,34.35,1.027,1.43
10,30,20,40,0.5,12m,1.128,43.24,38.33,1.095,1.618
0,20,35,45,0.3,12m,1.128,51.99,46.1,1.209,1.839
5,25,35,35,0.8,12m-1m,1.128,51.04,45.24,1.202,1.806
0,5,70,25,0.6,6m,1.128,47.42,42.02,1.122,1.657
0,10,55,35,0.3,6m-1m,1.128,51.09,45.3,1.198,1.863
20,20,5,55,0.9,12m-1m,1.128,33.65,29.84,0.978,1.314
5,0,35,60,0.4,12m,1.127,52.19,46.3,1.216,1.71
10,5,40,45,0.7,6m-1m,1.127,44.82,39.76,1.107,1.639
5,20,15,60,0.7,12m,1.127,42.5,37.71,1.071,1.461
5,15,55,25,0.3,12m,1.127,53.28,47.28,1.209,1.843
0,15,50,35,0.4,6m-1m,1.127,58.97,52.34,1.288,1.969
10,10,55,25,0.6,12m,1.127,58.06,51.5,1.285,1.939
20,15,30,35,0.8,12m,1.127,48.2,42.79,1.177,1.713
0,20,35,45,0.6,6m,1.127,45.85,40.7,1.12,1.676
5,25,20,50,0.5,12m-1m,1.126,40.86,36.28,1.076,1.573
10,5,45,40,1.0,12m-1m,1.126,48.21,42.82,1.156,1.714
15,0,60,25,0.4,6m,1.126,51.69,45.9,1.196,1.811
20,20,25,35,0.3,12m,1.126,55.37,49.19,1.295,1.849
5,35,5,55,0.7,6m,1.125,43.01,38.23,1.121,1.595
0,10,45,45,0.6,6m-1m,1.125,51.55,45.84,1.206,1.829
25,5,25,45,0.3,6m-1m,1.125,37.85,33.64,1.019,1.37
15,10,20,55,0.3,6m,1.125,44.93,39.94,1.116,1.503
15,0,60,25,0.3,12m-1m,1.125,57.85,51.44,1.278,1.952
0,0,55,45,0.4,6m,1.125,56.63,50.35,1.276,1.887
20,15,30,35,0.3,6m-1m,1.125,49.46,43.98,1.2,1.737
15,5,30,50,0.3,6m-1m,1.125,43.98,39.09,1.122,1.616
10,10,30,50,0.7,12m-1m,1.125,47.3,42.04,1.15,1.626
0,5,45,50,0.6,6m-1m,1.125,55.33,49.2,1.266,1.913
25,10,25,40,0.6,12m,1.125,39.99,35.53,1.041,1.456
0,10,55,35,0.8,6m-1m,1.125,50.11,44.54,1.176,1.759
5,20,15,60,1.0,12m,1.125,39.9,35.46,1.038,1.463
15,0,35,50,1.0,12m,1.125,48.46,43.06,1.161,1.654
0,5,40,55,0.3,6m,1.124,52.97,47.13,1.223,1.874
5,20,35,40,0.6,12m,1.124,55.46,49.35,1.247,1.898
20,15,30,35,0.9,12m-1m,1.124,45.57,40.54,1.125,1.601
5,35,15,45,1.0,12m,1.124,42.41,37.73,1.087,1.62
0,20,35,45,0.3,6m,1.124,56.72,50.48,1.281,1.908
10,0,50,40,0.7,12m-1m,1.124,48.34,43.03,1.154,1.739
10,5,40,45,0.6,6m-1m,1.124,47.74,42.46,1.147,1.678
0,15,50,35,0.9,6m,1.123,51.88,46.19,1.2,1.81
10,30,10,50,0.5,12m,1.123,46.49,41.4,1.181,1.699
0,10,40,50,0.6,6m-1m,1.123,48.95,43.59,1.182,1.729
5,20,45,30,0.5,6m,1.123,61.62,54.89,1.34,1.92
5,10,40,45,0.5,12m-1m,1.123,49.77,44.31,1.179,1.721
10,20,20,50,0.4,12m-1m,1.123,42.74,38.06,1.101,1.615
0,15,35,50,0.6,6m-1m,1.123,48.81,43.46,1.181,1.769
15,10,25,50,0.9,12m,1.123,41.17,36.65,1.073,1.524
10,15,40,35,0.3,12m,1.122,61.74,55.05,1.34,2.011
5,0,45,50,0.9,12m-1m,1.122,50.55,45.04,1.19,1.685
10,25,15,50,0.9,12m,1.122,42.57,37.95,1.099,1.586
0,10,35,55,0.4,12m,1.122,53.4,47.59,1.246,1.871
20,10,15,55,0.8,6m-1m,1.122,38.27,34.11,1.04,1.419
0,25,15,60,0.3,12m,1.122,45.14,40.23,1.151,1.668
5,0,50,45,0.9,12m-1m,1.122,49.44,44.08,1.179,1.752
10,15,55,20,0.5,12m,1.122,50.84,45.31,1.196,1.828
25,0,45,30,0.6,12m,1.122,50.74,45.22,1.196,1.807
5,0,50,45,0.9,12m,1.122,48.12,42.9,1.151,1.682
10,10,30,50,0.7,6m,1.121,45.67,40.75,1.122,1.622
5,0,65,30,0.8,12m,1.121,54.24,48.41,1.212,1.799
20,10,25,45,0.8,12m,1.121,45.92,40.96,1.15,1.617
0,20,45,35,0.8,6m,1.121,53.13,47.38,1.23,1.845
5,25,45,25,0.6,12m-1m,1.121,51.54,46.0,1.196,1.831
10,0,40,50,0.4,6m,1.121,52.13,46.5,1.215,1.771
5,20,20,55,0.8,12m,1.121,42.64,38.03,1.087,1.504
0,35,5,60,0.8,6m-1m,1.121,41.78,37.27,1.104,1.588
0,10,40,50,1.0,12m-1m,1.121,48.73,43.46,1.184,1.721
5,20,30,45,0.8,12m,1.12,53.62,47.87,1.239,1.826
0,5,70,25,0.6,12m,1.12,57.39,51.23,1.259,1.912
0,25,35,40,0.7,12m,1.12,46.57,41.59,1.105,1.701
5,5,45,45,1.0,12m,1.12,48.41,43.22,1.148,1.611
20,20,15,45,0.5,6m,1.12,44.73,39.94,1.137,1.6
0,5,50,45,0.4,12m-1m,1.12,55.58,49.63,1.249,1.971
20,15,25,40,0.6,12m,1.12,45.64,40.76,1.14,1.662
0,15,50,35,1.0,6m-1m,1.12,47.99,42.85,1.137,1.676
0,20,30,50,0.6,12m,1.12,45.01,40.2,1.109,1.667
10,20,25,45,0.7,12m-1m,1.12,50.12,44.74,1.206,1.781
0,0,65,35,0.6,12m,1.119,56.51,50.52,1.254,1.933
10,30,10,50,0.8,6m-1m,1.119,46.61,41.65,1.188,1.727
25,20,5,50,0.9,12m-1m,1.119,33.21,29.69,0.974,1.261
0,5,45,50,0.4,12m-1m,1.119,55.98,50.04,1.272,1.95
10,25,15,50,0.5,12m,1.119,41.25,36.86,1.084,1.5
10,10,40,40,0.5,6m,1.119,49.28,44.03,1.175,1.738
0,5,70,25,0.7,12m,1.119,53.99,48.26,1.217,1.847
0,20,45,35,0.3,6m,1.119,57.61,51.47,1.282,1.945
0,0,45,55,0.3,12m,1.119,58.29,52.09,1.304,2.025
0,20,45,35,0.4,12m,1.119,60.55,54.13,1.304,2.011
0,0,50,50,0.7,12m,1.118,59.04,52.81,1.297,1.862
0,5,35,60,0.6,12m,1.118,49.37,44.16,1.167,1.661
10,0,40,50,0.6,6m-1m,1.118,50.35,45.02,1.205,1.723
5,5,30,60,0.7,12m-1m,1.118,46.03,41.18,1.134,1.593
0,0,55,45,0.3,12m,1.118,59.29,53.05,1.293,2.05
20,15,40,25,0.7,12m-1m,1.118,40.4,36.13,1.047,1.522
0,15,40,45,0.8,12m,1.118,48.69,43.55,1.15,1.733
5,25,15,55,0.5,12m-1m,1.117,37.55,33.61,1.017,1.418
10,20,30,40,0.9,6m,1.117,46.02,41.2,1.117,1.639
15,0,45,40,0.4,12m-1m,1.117,47.67,42.68,1.155,1.722
10,0,45,45,0.4,6m,1.117,53.17,47.62,1.236,1.841
5,35,10,50,0.9,12m,1.117,41.16,36.85,1.079,1.602
10,0,65,25,1.0,12m,1.117,51.86,46.41,1.185,1.711
5,10,40,45,0.8,12m-1m,1.117,48.2,43.16,1.155,1.714
5,20,40,35,0.4,6m,1.117,59.73,53.47,1.31,1.992
5,5,40,50,0.7,12m,1.117,50.01,44.76,1.187,1.697
5,0,60,35,0.5,6m-1m,1.117,57.36,51.37,1.289,1.931
0,5,40,55,0.4,12m-1m,1.117,51.39,46.0,1.23,1.831
5,30,15,50,0.3,6m,1.117,40.15,35.94,1.062,1.569
0,30,20,50,0.7,12m,1.116,42.71,38.28,1.086,1.634
20,15,40,25,0.3,12m,1.116,45.52,40.79,1.114,1.711
20,10,35,35,0.6,12m-1m,1.116,48.88,43.8,1.174,1.713
0,0,65,35,0.6,6m-1m,1.116,53.85,48.24,1.223,1.85
10,5,65,20,0.4,12m,1.116,58.52,52.44,1.273,1.915
15,10,30,45,0.5,12m,1.116,45.02,40.33,1.121,1.584
20,25,10,45,0.5,12m-1m,1.116,33.01,29.58,0.958,1.306
5,0,75,20,0.6,6m,1.115,49.36,44.29,1.152,1.689
5,0,35,60,0.7,6m-1m,1.115,43.32,38.87,1.09,1.565
5,15,25,55,0.3,12m,1.115,47.98,43.04,1.163,1.649
15,20,20,45,0.8,12m,1.115,46.72,41.89,1.155,1.651
10,0,45,45,0.3,12m-1m,1.115,52.35,46.95,1.23,1.813
15,10,40,35,0.6,6m-1m,1.115,46.84,42.0,1.144,1.678
0,15,35,50,1.0,12m-1m,1.115,45.84,41.12,1.142,1.662
0,25,40,35,0.5,6m-1m,1.115,48.74,43.72,1.158,1.689
5,20,15,60,0.6,12m,1.115,41.4,37.13,1.063,1.441
0,15,35,50,0.7,6m,1.115,53.62,48.09,1.247,1.875
25,10,45,20,0.7,12m,1.115,47.45,42.54,1.163,1.721
10,10,40,40,0.6,6m-1m,1.115,51.12,45.85,1.208,1.84
5,20,40,35,0.6,6m-1m,1.115,56.59,50.74,1.268,1.86
0,20,25,55,0.6,6m-1m,1.115,37.69,33.8,1.002,1.447
20,20,20,40,0.5,12m,1.114,43.02,38.62,1.111,1.56
5,10,30,55,1.0,12m-1m,1.114,48.51,43.53,1.172,1.59
10,15,15,60,1.0,6m,1.114,42.3,37.97,1.083,1.5
15,15,30,40,0.3,12m,1.114,52.49,47.13,1.235,1.843
10,20,30,40,0.8,12m,1.114,50.69,45.52,1.184,1.769
10,15,35,40,0.4,12m,1.114,53.57,48.11,1.232,1.868
5,25,25,45,1.0,6m-1m,1.114,38.87,34.89,1.021,1.491
5,20,15,60,0.3,6m,1.114,43.57,39.09,1.115,1.557
0,20,25,55,0.9,6m,1.113,38.58,34.67,1.006,1.437
10,20,30,40,1.0,6m,1.113,41.97,37.72,1.063,1.538
0,5,60,35,0.3,6m-1m,1.113,55.53,49.89,1.255,1.968
5,15,45,35,0.9,6m,1.113,57.26,51.46,1.276,1.94
5,25,30,40,0.9,6m-1m,1.113,45.32,40.71,1.113,1.659
10,10,35,45,0.3,12m,1.113,54.35,48.84,1.268,1.863
0,20,45,35,0.7,6m-1m,1.113,50.29,45.18,1.172,1.738
5,30,5,60,0.9,6m,1.113,39.94,35.88,1.071,1.537
5,10,50,35,0.9,12m-1m,1.113,44.69,40.15,1.093,1.612
0,35,10,55,0.8,6m-1m,1.113,44.2,39.7,1.135,1.656
15,30,15,40,0.4,12m,1.113,42.7,38.36,1.106,1.595
20,5,30,45,0.4,6m,1.113,41.84,37.59,1.06,1.477
15,5,30,50,0.4,12m,1.113,45.54,40.92,1.128,1.569
15,0,50,35,0.4,6m,1.113,50.19,45.1,1.191,1.747
10,0,50,40,0.3,6m,1.113,58.14,52.25,1.299,1.965
25,10,40,25,0.6,12m-1m,1.113,37.06,33.28,0.994,1.426
15,5,35,45,0.5,6m-1m,1.113,40.9,36.76,1.056,1.505
0,25,40,35,0.8,6m,1.112,57.94,52.11,1.277,1.825
10,15,50,25,0.5,6m-1m,1.112,46.21,41.57,1.124,1.71
10,30,15,45,0.3,12m,1.112,42.78,38.47,1.094,1.598
15,20,20,45,0.6,6m,1.112,46.06,41.41,1.149,1.633
5,15,55,25,1.0,12m,1.112,53.89,48.48,1.231,1.836
20,10,25,45,1.0,12m,1.112,44.68,40.17,1.124,1.571
10,5,50,35,0.6,6m,1.112,52.0,46.77,1.207,1.818
10,20,15,55,0.9,12m,1.112,41.79,37.59,1.073,1.481
10,35,15,40,0.9,6m-1m,1.112,42.02,37.78,1.094,1.619
0,15,35,50,0.7,12m-1m,1.111,48.45,43.62,1.162,1.724
20,10,20,50,0.9,12m-1m,1.111,43.59,39.23,1.141,1.598
0,0,40,60,1.0,6m,1.111,43.3,38.98,1.092,1.521
10,10,50,30,1.0,12m,1.111,49.81,44.83,1.171,1.71
10,35,15,40,0.5,6m,1.111,44.18,39.77,1.117,1.635
20,20,25,35,0.9,12m,1.111,46.63,41.97,1.165,1.711
5,20,35,40,0.7,12m-1m,1.111,48.55,43.68,1.15,1.756
0,5,50,45,0.6,6m-1m,1.111,51.96,46.76,1.2,1.841
20,5,35,40,0.4,6m-1m,1.111,43.61,39.27,1.104,1.586
15,15,40,30,0.4,6m-1m,1.11,47.67,42.94,1.156,1.665
15,20,15,50,0.3,12m,1.11,41.61,37.47,1.086,1.477
0,20,20,60,0.3,6m,1.11,39.69,35.77,1.037,1.523
15,10,30,45,0.7,6m,1.11,41.23,37.16,1.05,1.522
0,20,20,60,0.8,12m,1.11,44.29,39.89,1.115,1.572
0,20,35,45,0.5,12m-1m,1.11,50.04,45.06,1.194,1.852
10,0,40,50,1.0,12m-1m,1.11,48.71,43.89,1.19,1.693
10,10,50,30,0.8,6m-1m,1.109,48.31,43.58,1.167,1.747
0,30,15,55,1.0,12m-1m,1.109,44.19,39.86,1.123,1.631
0,15,50,35,0.9,6m-1m,1.109,48.53,43.75,1.145,1.741
0,15,25,60,0.4,12m-1m,1.109,47.56,42.88,1.17,1.762
5,25,25,45,0.7,12m-1m,1.109,50.12,45.19,1.209,1.846
20,5,20,55,0.6,12m-1m,1.109,45.55,41.09,1.17,1.634
20,25,15,40,0.6,12m-1m,1.109,39.55,35.66,1.06,1.537
5,10,45,40,0.8,12m-1m,1.109,47.81,43.12,1.145,1.706
10,10,25,55,0.8,6m,1.109,41.86,37.76,1.067,1.482
0,30,15,55,0.4,6m,1.109,42.78,38.57,1.102,1.656
10,0,55,35,0.8,12m,1.109,54.8,49.43,1.243,1.829
20,0,50,30,0.4,6m,1.109,44.36,39.99,1.107,1.634
5,20,45,30,1.0,6m-1m,1.109,47.67,42.97,1.149,1.68
10,15,35,40,0.3,12m-1m,1.109,50.71,45.71,1.191,1.818
0,10,55,35,1.0,12m,1.108,54.41,49.08,1.218,1.797
5,25,25,45,0.9,12m-1m,1.108,44.45,40.12,1.111,1.637
0,30,15,55,0.6,12m-1m,1.108,41.97,37.89,1.091,1.617
5,5,65,25,0.6,12m,1.108,54.79,49.44,1.228,1.854
0,10,35,55,0.6,12m-1m,1.108,44.91,40.54,1.116,1.648
5,25,30,40,0.4,6m,1.108,51.72,46.68,1.207,1.772
5,20,25,50,0.6,6m,1.108,43.17,38.96,1.089,1.635
15,10,40,35,0.9,12m,1.108,48.38,43.66,1.143,1.709
5,5,40,50,0.6,6m-1m,1.107,47.14,42.58,1.143,1.687
0,25,25,50,0.4,6m-1m,1.107,45.19,40.83,1.123,1.646
15,15,30,40,0.6,6m,1.107,45.1,40.75,1.125,1.654
15,15,30,40,1.0,6m-1m,1.107,42.05,37.99,1.068,1.53
5,20,40,35,0.9,6m,1.107,50.67,45.76,1.19,1.758
10,5,40,45,0.9,12m,1.107,47.3,42.74,1.14,1.593
10,10,45,35,0.8,12m,1.107,50.35,45.47,1.176,1.776
5,5,75,15,0.3,6m-1m,1.107,57.93,52.32,1.263,1.833
10,15,40,35,0.5,6m-1m,1.107,46.27,41.79,1.125,1.695
15,10,40,35,0.5,6m,1.107,43.8,39.57,1.091,1.593
10,15,25,50,0.5,6m,1.107,45.21,40.82,1.123,1.578
20,15,25,40,0.8,6m-1m,1.107,43.94,39.69,1.11,1.581
0,5,75,20,0.5,12m-1m,1.107,56.17,50.76,1.231,1.84
25,10,35,30,0.5,12m,1.106,38.7,35.0,1.025,1.492
5,10,30,55,0.8,12m,1.106,45.11,40.79,1.12,1.56
5,15,25,55,0.3,6m,1.106,44.29,40.04,1.112,1.604
0,15,35,50,0.3,12m,1.106,50.76,45.9,1.206,1.826
15,30,10,45,0.4,6m,1.106,44.31,40.07,1.143,1.639
0,5,45,50,0.7,6m-1m,1.106,52.36,47.36,1.206,1.801
20,15,25,40,0.8,12m,1.106,41.81,37.8,1.083,1.557
0,35,15,50,0.8,12m,1.106,42.87,38.77,1.094,1.624
10,25,25,40,0.7,6m-1m,1.106,43.35,39.18,1.087,1.608
0,15,40,45,0.9,12m-1m,1.106,45.56,41.2,1.108,1.657
15,0,40,45,0.7,12m-1m,1.106,47.08,42.57,1.152,1.575
20,15,20,45,0.6,6m-1m,1.105,48.66,44.03,1.202,1.654
5,5,35,55,1.0,12m,1.105,48.78,44.16,1.163,1.611
0,20,25,55,1.0,12m,1.105,40.61,36.76,1.045,1.453
10,20,30,40,0.6,6m-1m,1.105,44.79,40.54,1.111,1.619
20,30,15,35,0.7,12m,1.105,40.55,36.68,1.077,1.544
15,15,25,45,0.8,6m,1.105,47.21,42.73,1.151,1.652
5,5,70,20,0.6,12m-1m,1.105,55.74,50.43,1.239,1.856
5,15,40,40,1.0,12m,1.105,50.72,45.89,1.179,1.769
20,15,30,35,0.4,12m,1.105,49.7,44.97,1.186,1.795
5,5,50,40,0.3,12m,1.105,58.16,52.62,1.292,2.025
5,10,45,40,0.9,12m,1.105,50.3,45.52,1.165,1.757
10,20,15,55,0.3,12m,1.105,41.9,37.93,1.079,1.438
5,5,40,50,1.0,12m-1m,1.105,45.0,40.72,1.109,1.574
10,0,55,35,0.5,6m,1.105,51.34,46.48,1.204,1.755
5,30,15,50,0.8,12m-1m,1.104,41.63,37.7,1.094,1.582
0,30,15,55,0.6,6m,1.104,39.31,35.61,1.047,1.558
20,15,30,35,0.3,12m-1m,1.104,49.0,44.39,1.194,1.783
10,5,45,40,0.9,12m-1m,1.104,47.39,42.93,1.142,1.689
10,15,50,25,0.7,12m,1.104,52.86,47.87,1.224,1.887
5,0,60,35,0.7,12m-1m,1.104,52.89,47.91,1.207,1.824
5,10,25,60,0.9,12m-1m,1.104,42.04,38.07,1.065,1.437
15,0,35,50,0.8,12m-1m,1.104,46.81,42.42,1.162,1.607
5,15,35,45,0.6,12m-1m,1.104,45.03,40.79,1.1,1.692
10,30,5,55,0.3,12m,1.104,42.03,38.09,1.099,1.514
0,35,10,55,0.6,6m,1.104,45.68,41.39,1.15,1.712
15,5,35,45,0.3,12m-1m,1.104,48.77,44.18,1.187,1.745
15,10,20,55,0.3,12m-1m,1.104,47.51,43.05,1.19,1.668
10,0,40,50,0.3,6m,1.104,52.04,47.16,1.219,1.794
0,20,20,60,0.8,6m-1m,1.104,44.47,40.29,1.129,1.607
0,20,30,50,0.8,12m-1m,1.104,48.22,43.68,1.163,1.727
0,10,55,35,0.3,12m,1.103,60.34,54.69,1.308,2.061
5,0,65,30,0.7,12m,1.103,54.08,49.03,1.214,1.836
5,25,10,60,0.6,12m-1m,1.103,37.94,34.4,1.021,1.359
10,25,10,55,0.6,12m,1.103,43.62,39.55,1.126,1.558
5,20,35,40,0.4,6m,1.103,56.34,51.07,1.263,1.878
15,10,20,55,0.7,6m,1.103,49.61,44.99,1.196,1.626
0,5,70,25,0.8,12m,1.103,49.57,44.94,1.138,1.689
25,25,10,40,0.7,12m,1.103,39.19,35.53,1.068,1.474
0,0,50,50,0.3,12m-1m,1.103,50.15,45.45,1.179,1.831
5,20,30,45,0.7,12m,1.103,48.85,44.29,1.156,1.694
5,0,35,60,0.8,6m,1.103,48.9,44.33,1.171,1.653
20,20,20,40,0.4,6m,1.102,45.16,40.96,1.136,1.577
20,0,35,45,0.9,12m,1.102,46.71,42.37,1.134,1.655
10,15,15,60,0.4,6m,1.102,46.12,41.83,1.129,1.509
10,5,35,50,0.3,6m,1.102,47.82,43.4,1.158,1.716
10,15,40,35,0.6,6m-1m,1.102,45.17,40.99,1.11,1.662
10,30,10,50,0.6,12m,1.101,41.5,37.71,1.098,1.604
15,20,25,40,0.4,6m,1.101,44.91,40.78,1.119,1.625
0,0,50,50,0.8,6m-1m,1.101,50.71,46.06,1.186,1.783
10,10,35,45,0.9,6m,1.101,46.0,41.78,1.123,1.67
20,10,25,45,0.3,6m,1.101,44.72,40.61,1.118,1.579
25,10,35,30,0.4,12m-1m,1.101,41.76,37.94,1.065,1.522
5,20,45,30,0.3,12m,1.101,55.6,50.52,1.239,1.887
10,10,45,35,0.7,6m-1m,1.101,50.83,46.17,1.189,1.782
0,30,15,55,0.7,12m,1.101,49.97,45.4,1.233,1.829
0,20,30,50,0.7,6m,1.101,47.46,43.12,1.151,1.722
0,20,45,35,0.3,12m-1m,1.1,60.58,55.09,1.297,1.999
0,5,45,50,0.9,12m-1m,1.1,47.09,42.8,1.144,1.685
15,30,15,40,1.0,6m,1.1,51.37,46.71,1.239,1.721
0,10,35,55,1.0,12m,1.1,48.89,44.46,1.173,1.639
15,5,45,35,0.7,6m,1.1,45.84,41.67,1.111,1.64
10,0,40,50,0.9,12m-1m,1.1,46.43,42.22,1.142,1.588
0,5,35,60,0.6,6m,1.1,49.33,44.84,1.173,1.715
15,35,15,35,1.0,12m,1.1,48.89,44.46,1.206,1.775
0,0,65,35,0.5,6m,1.1,50.27,45.71,1.184,1.784
15,10,20,55,0.4,6m,1.099,39.0,35.47,1.017,1.381
0,15,35,50,0.8,6m,1.099,46.48,42.28,1.129,1.683
0,30,15,55,0.3,12m-1m,1.099,39.65,36.06,1.053,1.576
0,35,10,55,0.8,6m,1.099,43.41,39.49,1.112,1.626
10,15,40,35,0.6,6m,1.099,56.07,51.02,1.254,1.847
5,35,10,50,0.8,6m-1m,1.099,41.14,37.45,1.084,1.564
25,10,30,35,0.4,12m-1m,1.099,43.9,39.94,1.115,1.61
10,10,30,50,0.4,6m-1m,1.099,42.39,38.56,1.087,1.573
10,5,40,45,0.4,6m-1m,1.099,45.8,41.68,1.134,1.682
0,25,15,60,1.0,6m-1m,1.099,42.48,38.67,1.108,1.596
5,10,45,40,0.5,6m,1.098,48.12,43.84,1.151,1.681
10,10,20,60,1.0,12m,1.098,44.27,40.31,1.115,1.504
10,20,20,50,0.9,12m,1.098,46.88,42.71,1.16,1.675
0,25,25,50,0.9,12m,1.098,42.47,38.68,1.07,1.535
5,5,40,50,0.8,6m,1.098,47.15,42.93,1.128,1.613
0,15,45,40,0.8,12m-1m,1.098,43.61,39.72,1.069,1.58
0,0,45,55,0.9,6m,1.098,47.55,43.29,1.151,1.678
15,0,35,50,0.6,6m,1.098,42.23,38.47,1.066,1.523
5,30,10,55,0.4,6m-1m,1.098,42.01,38.27,1.108,1.63
25,10,20,45,0.6,6m-1m,1.098,35.52,32.36,0.973,1.318
20,10,35,35,0.6,12m,1.097,49.25,44.9,1.164,1.732
25,20,15,40,0.4,12m-1m,1.097,32.77,29.87,0.945,1.329
5,15,40,40,0.9,6m-1m,1.097,47.95,43.72,1.155,1.69
15,30,15,40,0.5,12m,1.097,38.42,35.01,1.039,1.499
5,20,15,60,1.0,6m-1m,1.097,46.59,42.47,1.17,1.617
0,25,35,40,0.7,12m-1m,1.097,51.91,47.31,1.188,1.81
5,0,55,40,0.6,6m-1m,1.097,55.69,50.75,1.263,1.918
20,20,5,55,1.0,12m-1m,1.097,32.66,29.76,0.953,1.288
0,0,40,60,1.0,12m,1.097,51.3,46.76,1.21,1.67
0,5,40,55,0.6,6m-1m,1.097,46.95,42.79,1.144,1.7
10,25,15,50,0.9,6m-1m,1.096,40.63,37.08,1.064,1.528
10,5,40,45,0.6,6m,1.096,47.44,43.29,1.142,1.656
10,10,45,35,0.3,12m,1.096,58.06,53.0,1.291,1.966
10,20,30,40,0.5,6m-1m,1.096,42.07,38.39,1.082,1.577
15,20,20,45,0.3,6m-1m,1.096,40.89,37.32,1.07,1.555
0,15,55,30,0.4,12m-1m,1.096,56.06,51.17,1.255,1.976
