v,q,g,m,mom,g_sub,entry,exit,slots,cal,cagr,mdd,sharpe,sortino
10,10,45,35,6m,rev+oca+gp,3,8,7,0.699,38.57,55.18,0.607,1.828
10,10,45,35,6m,rev+oca+gp,3,6,5,0.696,37.97,54.57,0.604,1.805
10,0,55,35,12m,rev+oca+gp,3,5,3,0.688,37.89,55.05,0.904,1.35
10,10,45,35,6m,rev+oca+gp,3,8,5,0.686,37.84,55.18,0.601,1.812
15,10,45,30,12m,rev+oca+opm,3,7,3,0.682,38.38,56.26,0.545,1.987
15,0,50,35,12m,rev+oca+gp,3,4,5,0.659,39.19,59.42,0.785,1.514
15,0,50,35,12m,rev+oca+gp,3,4,7,0.659,39.19,59.42,0.785,1.514
15,0,50,35,12m,rev+oca+gp,3,4,3,0.658,38.47,58.43,0.715,1.583
10,10,45,35,6m,rev+oca+gp,3,4,5,0.648,36.77,56.71,0.599,1.776
10,10,45,35,6m,rev+oca+gp,3,4,7,0.648,36.77,56.71,0.599,1.776
10,0,55,35,12m,rev+oca+gp,3,4,5,0.631,33.55,53.2,0.836,1.251
10,0,55,35,12m,rev+oca+gp,3,4,7,0.631,33.55,53.2,0.836,1.251
10,10,45,35,6m,rev+oca+gp,3,5,5,0.63,36.47,57.87,0.595,1.769
10,10,45,35,6m,rev+oca+gp,3,5,7,0.63,36.47,57.87,0.595,1.769
10,10,45,35,6m,rev+oca+gp,3,5,3,0.623,36.91,59.27,0.539,1.983
10,5,45,40,12m,rev+gp+opm,3,6,3,0.608,31.43,51.66,0.813,1.243
20,10,35,35,12m,rev+oca+gp,3,4,5,0.606,35.8,59.06,0.75,1.432
20,10,35,35,12m,rev+oca+gp,3,4,7,0.606,35.8,59.06,0.75,1.432
10,5,45,40,12m,rev+gp+opm,3,5,3,0.585,33.03,56.45,0.835,1.286
20,10,35,35,12m,rev+oca+gp,3,4,3,0.568,35.96,63.34,0.69,1.522
10,0,55,35,12m,rev+oca+gp,3,4,3,0.523,30.32,57.96,0.782,1.176
15,10,35,40,12m,rev+oca+gp,3,4,5,0.495,27.8,56.14,0.757,1.103
15,10,35,40,12m,rev+oca+gp,3,4,7,0.495,27.8,56.14,0.757,1.103
15,10,35,40,12m,rev+oca+gp,3,5,3,0.489,31.84,65.09,0.651,1.421
15,10,35,40,12m,rev+oca+gp,3,4,3,0.386,22.44,58.19,0.664,0.983
