defense,offense,rule,calmar,cagr,mdd,sharpe,sortino,boost
V25Q10G20M45 6m-1m,V25Q5G50M20 12m,HY5_3d,2.366,82.36,34.81,1.493,2.263,96.1149961149961
V25Q15G20M40 6m,V10Q0G70M20 12m-1m,HY5_3d,2.365,98.16,41.5,1.62,2.572,96.1149961149961
V20Q5G35M40 12m,V15Q5G65M15 12m-1m,HY5_3d,2.36,92.36,39.14,1.575,2.505,96.1149961149961
V15Q10G25M50 6m-1m,V15Q5G65M15 12m-1m,HY5_3d,2.358,92.27,39.14,1.574,2.508,96.1149961149961
V20Q5G35M40 12m,V25Q5G50M20 12m,VIX30_3d,2.344,84.08,35.88,1.515,2.319,95.4933954933955
V15Q10G25M50 6m-1m,V15Q5G65M15 12m-1m,VIX30_3d,2.342,91.65,39.14,1.57,2.502,95.4933954933955
V20Q5G25M50 6m-1m,V15Q5G65M15 12m-1m,VIX30_3d,2.34,91.57,39.14,1.573,2.496,95.4933954933955
V15Q10G35M40 12m,V20Q0G70M10 12m,KK120_3d,2.339,87.71,37.49,1.627,2.648,50.815850815850816
V15Q10G35M40 12m,V20Q0G70M10 12m,KQ60+VIX30_3d,2.332,93.82,40.23,1.688,2.702,57.80885780885781
V15Q10G35M40 12m,V10Q0G70M20 12m-1m,KQ60_3d,2.323,95.75,41.22,1.683,2.791,58.5081585081585
V15Q10G35M40 12m,V20Q5G60M15 12m-1m,KQ60_3d,2.284,90.78,39.75,1.648,2.732,58.5081585081585
V15Q10G35M40 12m,V15Q5G65M15 12m-1m,KP120_3d,2.272,87.92,38.7,1.604,2.634,57.88655788655789
V15Q10G35M40 12m,V20Q0G70M10 12m,KQ60_3d,2.265,91.1,40.23,1.656,2.654,58.5081585081585
V20Q5G35M40 12m,V25Q5G50M20 12m,KK120_3d,2.243,76.92,34.29,1.538,2.403,50.815850815850816
V20Q5G35M40 12m,V25Q5G50M20 12m,KP120_3d,2.243,72.61,32.37,1.479,2.342,57.88655788655789
V20Q5G25M50 6m-1m,V25Q5G50M20 12m,VIX30_3d,2.237,82.97,37.1,1.506,2.299,95.4933954933955
V20Q10G20M50 6m-1m,V15Q5G65M15 12m-1m,VIX30_3d,2.235,87.47,39.14,1.529,2.427,95.4933954933955
V15Q10G35M40 12m,V20Q5G60M15 12m,KQ60+VIX30_3d,2.235,88.83,39.75,1.616,2.654,57.80885780885781
V25Q15G20M40 6m,V20Q5G60M15 12m-1m,HY5_3d,2.225,80.87,36.35,1.461,2.271,96.1149961149961
V15Q10G35M40 12m,V20Q5G60M15 12m-1m,B126_40_3d,2.209,83.64,37.86,1.561,2.562,59.28515928515928
V15Q10G35M40 12m,V20Q5G60M15 12m-1m,B126_40+HY5_3d,2.198,83.21,37.86,1.557,2.547,58.89665889665889
V25Q15G20M40 6m,V20Q5G60M15 12m-1m,VIX30_3d,2.192,82.6,37.69,1.489,2.295,95.4933954933955
V20Q10G20M50 6m-1m,V20Q5G60M15 12m-1m,VIX30_3d,2.184,98.71,45.19,1.633,2.588,95.4933954933955
V25Q10G20M45 6m-1m,V25Q5G50M20 12m,VIX30_3d,2.181,81.66,37.44,1.489,2.254,95.4933954933955
V15Q10G35M40 12m,V20Q0G65M15 12m,VIX30_3d,2.181,82.59,37.87,1.49,2.425,95.4933954933955
V25Q15G20M40 6m,V25Q5G50M20 12m,HY5_3d,2.178,74.99,34.43,1.419,2.127,96.1149961149961
V15Q10G35M40 12m,V20Q5G60M15 12m-1m,HY5_3d,2.171,81.31,37.46,1.464,2.357,96.1149961149961
V15Q10G35M40 12m,V20Q0G65M15 12m,KP120_3d,2.17,87.5,40.32,1.612,2.666,57.88655788655789
V15Q10G35M40 12m,V25Q5G50M20 12m,KQ60+VIX30_3d,2.159,85.83,39.75,1.598,2.532,57.80885780885781
V15Q10G35M40 12m,V25Q5G50M20 12m,B126_40+VIX30_3d,2.136,80.08,37.49,1.559,2.411,58.27505827505828
V15Q10G35M40 12m,V20Q0G65M15 12m,KQ60+VIX30_3d,2.136,84.92,39.75,1.586,2.589,57.80885780885781
V15Q10G35M40 12m,V20Q0G70M10 12m,HY5_3d,2.109,87.88,41.66,1.536,2.423,96.1149961149961
V15Q10G35M40 12m,V20Q5G60M15 12m-1m,KP120_3d,2.104,84.84,40.32,1.567,2.64,57.88655788655789
V15Q10G35M40 12m,V15Q5G65M15 12m-1m,KQ60+VIX30_3d,2.1,83.47,39.75,1.566,2.515,57.80885780885781
V20Q10G20M50 6m-1m,V20Q5G60M15 12m,VIX30_3d,2.1,87.63,41.73,1.511,2.413,95.4933954933955
V15Q5G30M50 6m-1m,V25Q5G50M20 12m,VIX30_3d,2.096,81.72,38.99,1.49,2.278,95.4933954933955
V15Q10G35M40 12m,V20Q5G60M15 12m,KQ60_3d,2.084,82.86,39.75,1.546,2.54,58.5081585081585
