v,q,g,m,mom,calmar,cagr,mdd,sharpe,sortino
15,20,20,45,12m,1.433,45.3,31.61,1.164,1.627
0,10,70,20,12m,1.429,68.09,47.64,1.417,2.276
5,10,25,60,6m-1m,1.428,47.33,33.16,1.192,1.687
25,15,30,30,12m,1.428,48.87,34.22,1.202,1.741
10,10,65,15,12m,1.427,60.97,42.72,1.328,2.106
30,10,25,35,12m-1m,1.426,44.28,31.07,1.169,1.728
5,15,55,25,12m,1.426,59.05,41.42,1.305,2.029
5,0,70,25,6m-1m,1.426,58.82,41.26,1.323,2.071
0,15,40,45,12m-1m,1.425,52.83,37.07,1.245,1.88
20,0,30,50,12m-1m,1.425,43.68,30.66,1.144,1.625
15,5,30,50,12m-1m,1.425,46.07,32.32,1.17,1.656
25,0,35,40,6m-1m,1.421,46.25,32.55,1.177,1.737
15,15,35,35,12m,1.42,50.59,35.62,1.198,1.722
25,5,40,30,6m-1m,1.42,49.26,34.7,1.209,1.793
15,10,25,50,6m-1m,1.419,49.43,34.83,1.237,1.773
5,0,70,25,6m,1.418,66.13,46.65,1.419,2.239
10,15,25,50,6m-1m,1.418,49.92,35.21,1.239,1.744
5,25,30,40,12m,1.417,54.11,38.2,1.268,1.912
5,5,50,40,12m-1m,1.417,57.72,40.73,1.317,2.027
15,5,50,30,6m,1.413,59.05,41.81,1.332,1.989
5,10,45,40,12m-1m,1.413,53.7,37.99,1.249,1.913
20,5,30,45,12m,1.412,43.73,30.98,1.12,1.61
10,5,50,35,6m,1.411,66.39,47.06,1.435,2.217
15,5,25,55,12m-1m,1.411,44.13,31.26,1.138,1.593
25,0,15,60,6m-1m,1.41,51.3,36.37,1.284,1.827
0,15,35,50,12m-1m,1.409,52.0,36.91,1.235,1.848
20,5,60,15,6m,1.409,54.93,38.98,1.283,1.988
25,0,65,10,6m-1m,1.406,44.77,31.85,1.122,1.711
30,5,15,50,12m-1m,1.406,47.52,33.8,1.246,1.75
0,15,25,60,12m-1m,1.405,47.76,33.98,1.19,1.743
20,5,65,10,6m-1m,1.405,50.12,35.67,1.198,1.851
0,20,35,45,6m-1m,1.405,49.15,34.98,1.181,1.809
10,20,45,25,12m-1m,1.404,50.51,35.97,1.195,1.851
5,30,35,30,12m,1.404,49.1,34.97,1.171,1.76
0,15,30,55,12m-1m,1.403,52.57,37.47,1.26,1.834
15,10,40,35,6m-1m,1.403,51.15,36.45,1.219,1.77
5,0,65,30,6m,1.401,63.49,45.3,1.376,2.152
20,5,45,30,6m,1.4,51.44,36.74,1.232,1.82
15,0,50,35,6m,1.397,60.24,43.13,1.358,2.063
10,0,50,40,12m,1.396,57.16,40.96,1.318,2.019
5,25,20,50,6m,1.396,51.87,37.17,1.257,1.824
10,20,15,55,6m,1.395,49.82,35.71,1.241,1.772
5,15,35,45,12m,1.395,53.8,38.57,1.263,1.907
0,20,25,55,6m-1m,1.394,46.58,33.42,1.186,1.705
0,15,35,50,6m-1m,1.393,51.56,37.01,1.232,1.861
25,5,45,25,12m-1m,1.393,58.73,42.16,1.356,2.078
15,10,65,10,6m-1m,1.393,50.31,36.13,1.188,1.808
0,30,15,55,6m-1m,1.392,49.79,35.77,1.242,1.786
25,0,45,30,6m-1m,1.392,51.2,36.77,1.246,1.9
0,0,50,50,6m,1.391,58.6,42.13,1.339,2.106
0,35,10,55,12m-1m,1.39,43.8,31.52,1.142,1.675
5,20,40,35,12m-1m,1.389,54.2,39.01,1.242,1.866
15,5,40,40,6m,1.389,49.76,35.83,1.195,1.768
0,10,65,25,12m,1.388,63.58,45.8,1.372,2.171
25,0,15,60,12m-1m,1.387,47.42,34.19,1.221,1.707
5,20,25,50,6m-1m,1.385,50.29,36.31,1.243,1.795
5,20,30,45,6m,1.385,58.43,42.19,1.339,1.963
0,35,20,45,12m-1m,1.385,43.17,31.16,1.122,1.676
25,5,20,50,6m-1m,1.383,45.97,33.25,1.194,1.697
5,25,25,45,6m-1m,1.383,48.21,34.85,1.195,1.754
10,0,60,30,6m,1.382,62.94,45.54,1.378,2.158
5,0,60,35,12m-1m,1.382,59.93,43.36,1.338,2.08
0,15,30,55,12m,1.381,57.24,41.43,1.333,1.962
0,25,45,30,12m-1m,1.381,52.64,38.11,1.212,1.86
25,0,40,35,12m-1m,1.379,47.05,34.13,1.186,1.756
15,15,25,45,12m,1.379,45.9,33.29,1.157,1.657
20,0,40,40,12m-1m,1.379,48.45,35.14,1.22,1.809
20,10,25,45,6m,1.379,50.78,36.82,1.236,1.773
25,0,30,45,6m-1m,1.378,44.8,32.52,1.166,1.705
20,10,60,10,6m-1m,1.377,46.95,34.1,1.146,1.781
5,5,55,35,12m-1m,1.377,58.98,42.81,1.329,2.052
0,5,60,35,6m-1m,1.377,54.53,39.6,1.261,1.97
5,30,25,40,12m-1m,1.376,52.33,38.04,1.256,1.878
0,15,60,25,12m,1.375,55.94,40.7,1.266,1.998
10,30,20,40,12m-1m,1.375,55.3,40.23,1.341,1.987
25,10,40,25,12m,1.375,52.92,38.48,1.249,1.82
5,30,25,40,12m,1.375,48.58,35.33,1.189,1.776
10,35,10,45,12m,1.374,52.04,37.88,1.289,1.897
25,0,35,40,12m,1.372,43.91,32.01,1.131,1.671
5,0,45,50,12m,1.372,52.72,38.41,1.252,1.876
5,20,20,55,6m,1.371,51.19,37.34,1.253,1.777
30,15,25,30,12m,1.371,40.59,29.61,1.085,1.542
5,35,15,45,12m,1.37,48.43,35.34,1.223,1.839
10,25,30,35,12m,1.37,51.7,37.73,1.229,1.821
5,10,30,55,6m-1m,1.369,50.37,36.8,1.237,1.801
30,5,50,15,6m-1m,1.369,55.85,40.78,1.323,1.977
10,5,70,15,6m-1m,1.369,59.3,43.31,1.314,2.043
20,10,60,10,12m,1.369,52.59,38.41,1.249,1.906
25,5,25,45,12m-1m,1.368,45.42,33.19,1.183,1.689
0,15,60,25,12m-1m,1.368,52.73,38.55,1.221,1.903
5,15,60,20,12m,1.368,56.38,41.2,1.259,1.994
5,5,65,25,12m,1.367,68.09,49.82,1.425,2.266
5,5,30,60,12m-1m,1.367,50.24,36.76,1.214,1.735
5,25,40,30,6m,1.366,56.1,41.08,1.281,1.943
30,5,45,20,12m-1m,1.366,48.42,35.45,1.201,1.82
15,0,45,40,6m,1.365,53.62,39.29,1.243,1.877
10,20,20,50,6m-1m,1.364,47.29,34.66,1.208,1.687
20,10,60,10,12m-1m,1.364,50.22,36.81,1.204,1.875
5,15,50,30,6m,1.364,58.86,43.16,1.319,2.011
5,10,35,50,6m-1m,1.364,51.62,37.85,1.244,1.877
15,0,30,55,6m,1.362,59.38,43.58,1.336,2.038
0,25,45,30,6m,1.36,56.87,41.83,1.297,1.958
10,25,35,30,12m-1m,1.359,46.02,33.86,1.118,1.669
15,20,40,25,12m,1.358,45.86,33.77,1.133,1.641
0,35,20,45,12m,1.357,47.45,34.97,1.186,1.791
15,15,25,45,6m-1m,1.357,48.28,35.58,1.217,1.723
10,15,50,25,6m-1m,1.356,50.21,37.04,1.195,1.826
25,15,35,25,6m-1m,1.356,45.22,33.35,1.138,1.651
5,15,35,45,6m,1.355,55.66,41.07,1.29,1.919
5,25,45,25,12m-1m,1.355,48.02,35.44,1.151,1.783
10,30,10,50,12m,1.355,48.96,36.14,1.23,1.783
15,15,30,40,6m-1m,1.354,55.02,40.64,1.292,1.826
30,0,50,20,12m,1.354,50.94,37.62,1.239,1.905
5,5,60,30,12m-1m,1.353,57.46,42.48,1.298,2.038
25,10,25,40,12m,1.353,46.81,34.58,1.193,1.727
0,10,30,60,6m-1m,1.351,49.6,36.72,1.214,1.794
10,10,40,40,12m-1m,1.351,49.78,36.84,1.208,1.796
5,25,45,25,12m,1.35,53.33,39.52,1.232,1.893
5,0,35,60,6m-1m,1.35,53.59,39.68,1.274,1.894
25,0,35,40,12m-1m,1.349,43.34,32.13,1.136,1.632
30,15,25,30,12m-1m,1.347,39.36,29.23,1.083,1.555
5,0,35,60,6m,1.347,57.88,42.98,1.332,2.015
15,10,40,35,12m,1.346,55.16,40.98,1.279,1.909
25,20,30,25,12m,1.346,45.0,33.44,1.133,1.622
5,25,15,55,12m,1.346,50.44,37.48,1.25,1.789
0,20,55,25,6m-1m,1.346,50.69,37.65,1.196,1.85
20,20,20,40,12m,1.346,41.83,31.07,1.118,1.609
5,10,60,25,12m-1m,1.345,57.22,42.53,1.291,2.033
10,0,60,30,6m-1m,1.344,60.18,44.78,1.352,2.102
25,10,35,30,6m,1.343,43.14,32.13,1.088,1.623
10,5,65,20,6m,1.342,61.38,45.75,1.347,2.129
0,15,55,30,6m,1.342,61.54,45.88,1.359,2.123
10,15,35,40,6m,1.342,60.89,45.39,1.373,2.023
20,20,10,50,12m-1m,1.34,42.83,31.95,1.166,1.658
20,5,55,20,6m,1.34,50.41,37.62,1.217,1.799
20,10,35,35,12m,1.339,54.27,40.53,1.265,1.827
30,0,40,30,6m-1m,1.339,52.54,39.25,1.292,1.992
20,10,20,50,6m,1.339,43.68,32.63,1.123,1.661
0,10,60,30,12m-1m,1.338,52.99,39.61,1.229,1.891
0,35,30,35,12m,1.336,48.59,36.37,1.175,1.782
0,35,15,50,6m-1m,1.335,44.51,33.35,1.145,1.659
0,10,35,55,6m-1m,1.335,47.57,35.62,1.167,1.753
0,25,20,55,12m-1m,1.335,49.13,36.8,1.21,1.785
5,20,50,25,6m-1m,1.335,49.03,36.72,1.167,1.789
5,20,25,50,12m-1m,1.334,49.96,37.46,1.221,1.815
15,5,40,40,12m,1.334,52.68,39.51,1.255,1.849
10,0,65,25,6m-1m,1.334,60.91,45.66,1.359,2.133
20,0,40,40,6m,1.334,47.61,35.7,1.163,1.763
15,15,20,50,6m-1m,1.332,47.67,35.8,1.225,1.709
25,0,25,50,6m-1m,1.332,48.91,36.71,1.226,1.785
0,25,50,25,12m-1m,1.332,48.04,36.07,1.151,1.778
5,0,55,40,6m,1.331,66.53,50.0,1.443,2.227
10,10,55,25,12m-1m,1.329,53.51,40.26,1.237,1.932
0,35,40,25,12m,1.329,51.35,38.63,1.203,1.843
0,35,20,45,6m-1m,1.325,45.42,34.28,1.148,1.744
5,15,30,50,12m-1m,1.325,50.55,38.16,1.239,1.831
0,25,40,35,6m-1m,1.324,49.71,37.55,1.185,1.815
10,20,20,50,12m,1.323,45.27,34.23,1.153,1.655
5,0,40,55,6m,1.322,54.18,40.99,1.273,1.962
0,25,35,40,12m-1m,1.321,53.96,40.84,1.243,1.878
10,5,45,40,12m-1m,1.32,56.43,42.74,1.304,1.947
20,10,15,55,12m-1m,1.32,46.5,35.24,1.216,1.718
15,0,45,40,12m-1m,1.319,54.58,41.39,1.278,1.92
10,25,25,40,12m-1m,1.318,53.27,40.42,1.281,1.912
15,5,45,35,6m,1.318,56.62,42.95,1.305,1.946
35,0,50,15,12m,1.317,49.17,37.33,1.231,1.834
15,5,55,25,12m-1m,1.316,52.11,39.58,1.233,1.93
15,10,30,45,12m-1m,1.315,46.99,35.73,1.184,1.698
0,25,30,45,6m,1.314,55.35,42.14,1.293,1.945
15,10,25,50,12m-1m,1.312,45.85,34.95,1.167,1.644
0,30,30,40,6m,1.311,51.61,39.35,1.22,1.819
15,15,45,25,6m,1.311,52.83,40.3,1.239,1.853
15,15,40,30,12m,1.311,56.04,42.74,1.281,1.89
0,40,15,45,12m-1m,1.311,43.14,32.91,1.125,1.716
0,5,35,60,6m-1m,1.31,48.61,37.12,1.197,1.773
0,25,55,20,6m,1.31,52.9,40.39,1.237,1.898
5,20,55,20,12m,1.309,51.14,39.07,1.198,1.852
30,0,55,15,12m-1m,1.308,49.63,37.94,1.222,1.87
15,0,55,30,12m,1.308,59.2,45.27,1.341,2.062
20,10,40,30,12m,1.308,52.58,40.2,1.238,1.785
30,10,30,30,6m,1.306,44.06,33.74,1.139,1.728
0,5,40,55,6m,1.306,54.08,41.41,1.269,1.961
10,25,15,50,12m,1.305,47.1,36.1,1.2,1.704
0,30,25,45,6m,1.305,48.38,37.07,1.177,1.732
10,0,65,25,6m,1.304,59.75,45.84,1.327,2.07
20,0,35,45,12m-1m,1.303,44.11,33.87,1.145,1.646
5,20,20,55,12m-1m,1.302,45.33,34.83,1.15,1.668
30,0,35,35,12m,1.301,40.0,30.75,1.067,1.595
5,0,45,50,6m,1.3,56.99,43.85,1.311,2.077
25,15,35,25,12m-1m,1.3,47.53,36.56,1.184,1.723
10,5,55,30,6m-1m,1.3,57.01,43.85,1.301,2.012
0,25,35,40,6m-1m,1.298,46.9,36.15,1.15,1.769
20,15,30,35,12m,1.298,51.71,39.82,1.247,1.791
15,15,20,50,12m,1.298,43.93,33.85,1.135,1.618
5,25,45,25,6m,1.296,49.75,38.39,1.185,1.801
20,15,35,30,6m-1m,1.296,47.68,36.8,1.159,1.687
20,15,35,30,12m,1.296,52.59,40.57,1.242,1.771
20,10,55,15,6m,1.296,45.66,35.24,1.13,1.719
10,20,35,35,6m,1.295,49.54,38.27,1.194,1.757
25,15,25,35,6m-1m,1.295,43.91,33.9,1.131,1.57
5,25,10,60,12m-1m,1.294,43.74,33.81,1.137,1.653
35,0,30,35,12m,1.293,44.47,34.38,1.192,1.854
5,25,30,40,6m-1m,1.293,44.09,34.08,1.11,1.672
5,30,15,50,6m-1m,1.293,51.14,39.54,1.263,1.814
25,5,15,55,12m-1m,1.291,44.77,34.68,1.177,1.625
0,30,20,50,6m-1m,1.291,45.0,34.85,1.135,1.652
10,0,55,35,6m,1.29,61.3,47.52,1.37,2.148
0,15,40,45,6m,1.29,56.39,43.69,1.292,1.95
20,10,25,45,12m-1m,1.289,38.65,29.99,1.052,1.47
10,25,30,35,12m-1m,1.289,46.14,35.8,1.135,1.688
10,10,30,50,12m-1m,1.289,47.14,36.59,1.188,1.727
0,25,35,40,6m,1.288,56.78,44.09,1.311,1.961
0,0,45,55,6m,1.287,57.0,44.27,1.311,2.028
10,10,40,40,12m,1.287,53.27,41.4,1.249,1.853
15,5,70,10,6m,1.286,54.08,42.05,1.242,1.928
25,10,55,10,12m-1m,1.285,42.94,33.41,1.097,1.693
0,0,45,55,12m,1.285,53.56,41.67,1.257,1.873
25,15,40,20,12m-1m,1.282,44.08,34.39,1.121,1.625
5,30,40,25,12m-1m,1.282,44.02,34.34,1.09,1.667
0,40,10,50,12m,1.281,48.3,37.69,1.212,1.797
15,5,30,50,12m,1.281,45.61,35.59,1.149,1.661
10,20,30,40,6m-1m,1.28,52.25,40.82,1.234,1.808
10,20,30,40,6m,1.28,54.12,42.27,1.264,1.861
10,25,15,50,6m-1m,1.28,46.18,36.07,1.191,1.704
5,35,10,50,12m,1.279,50.46,39.47,1.26,1.845
25,10,20,45,12m,1.279,40.68,31.8,1.088,1.545
5,10,55,30,6m-1m,1.279,53.6,41.89,1.249,1.948
25,0,25,50,12m-1m,1.279,47.04,36.78,1.207,1.743
5,0,70,25,12m,1.278,62.67,49.02,1.36,2.182
15,20,40,25,12m-1m,1.277,45.57,35.68,1.123,1.656
25,20,25,30,12m-1m,1.277,42.05,32.93,1.112,1.546
20,10,50,20,6m,1.277,47.06,36.87,1.164,1.726
0,30,15,55,12m,1.276,49.37,38.68,1.225,1.816
15,10,35,40,6m,1.276,54.02,42.34,1.262,1.788
10,5,65,20,6m-1m,1.275,59.84,46.92,1.337,2.119
30,0,50,20,12m-1m,1.274,46.79,36.72,1.171,1.765
20,20,40,20,6m,1.274,43.04,33.79,1.088,1.61
0,10,55,35,6m-1m,1.273,50.53,39.69,1.204,1.877
20,10,45,25,6m,1.273,48.32,37.97,1.169,1.697
0,25,50,25,12m,1.273,51.45,40.41,1.199,1.811
5,5,35,55,12m-1m,1.272,53.0,41.66,1.261,1.806
25,5,40,30,6m,1.272,51.26,40.3,1.221,1.814
5,15,30,50,12m,1.272,53.76,42.27,1.277,1.91
15,25,25,35,12m-1m,1.271,42.98,33.82,1.107,1.626
10,20,50,20,12m,1.271,48.33,38.01,1.163,1.794
10,5,60,25,6m-1m,1.27,54.88,43.22,1.269,1.98
20,10,40,30,6m-1m,1.27,47.74,37.59,1.165,1.691
10,0,40,50,12m-1m,1.27,46.13,36.33,1.166,1.678
25,0,60,15,6m-1m,1.269,48.43,38.18,1.19,1.84
5,25,30,40,6m,1.269,49.64,39.11,1.197,1.779
25,20,30,25,12m-1m,1.267,42.43,33.48,1.105,1.562
0,20,45,35,6m-1m,1.267,47.29,37.33,1.15,1.753
10,15,40,35,6m-1m,1.267,50.69,40.0,1.205,1.805
0,0,65,35,12m,1.266,63.36,50.07,1.394,2.144
0,0,70,30,12m-1m,1.266,62.79,49.59,1.372,2.124
30,10,15,45,12m-1m,1.265,42.82,33.84,1.168,1.642
5,10,70,15,12m,1.265,56.83,44.94,1.27,2.028
5,15,40,40,6m-1m,1.265,47.95,37.91,1.158,1.72
20,5,50,25,6m-1m,1.265,53.67,42.42,1.258,1.906
10,0,45,45,12m,1.264,51.49,40.74,1.227,1.849
10,25,40,25,12m,1.264,46.1,36.47,1.124,1.726
0,15,45,40,6m-1m,1.261,50.53,40.08,1.198,1.831
20,10,55,15,12m,1.26,46.92,37.22,1.148,1.709
15,0,40,45,6m-1m,1.26,45.91,36.42,1.149,1.695
30,15,20,35,12m,1.259,35.04,27.84,0.982,1.414
5,30,30,35,12m-1m,1.259,47.19,37.47,1.149,1.722
20,10,50,20,12m-1m,1.257,41.05,32.66,1.053,1.562
0,35,10,55,6m-1m,1.256,44.78,35.66,1.162,1.677
25,15,40,20,12m,1.255,45.05,35.9,1.137,1.647
10,15,55,20,12m,1.254,49.26,39.29,1.161,1.794
15,15,25,45,12m-1m,1.254,45.28,36.09,1.153,1.681
15,30,15,40,12m,1.254,43.2,34.46,1.14,1.672
5,20,40,35,6m-1m,1.254,50.67,40.41,1.196,1.804
20,10,20,50,12m,1.254,44.35,35.38,1.151,1.64
0,30,15,55,6m,1.253,52.38,41.79,1.275,1.808
5,0,40,55,12m-1m,1.253,47.83,38.17,1.189,1.691
25,10,45,20,12m-1m,1.253,49.13,39.22,1.207,1.766
30,5,20,45,12m-1m,1.252,42.66,34.07,1.156,1.656
0,10,60,30,6m,1.252,57.17,45.66,1.291,2.006
0,10,30,60,12m-1m,1.252,45.63,36.45,1.147,1.652
35,10,35,20,12m,1.252,37.05,29.6,1.03,1.592
25,5,20,50,12m-1m,1.251,45.4,36.29,1.188,1.661
10,10,45,35,6m,1.25,60.36,48.29,1.356,2.043
20,20,35,25,12m,1.249,45.91,36.76,1.14,1.628
35,5,40,20,12m-1m,1.246,43.26,34.71,1.137,1.759
15,0,60,25,6m,1.245,55.49,44.56,1.281,1.993
20,5,25,50,6m-1m,1.244,42.66,34.28,1.126,1.603
20,0,55,25,6m,1.244,58.56,47.09,1.337,2.031
5,10,65,20,12m-1m,1.244,57.52,46.23,1.289,2.041
10,10,30,50,6m,1.244,50.83,40.84,1.214,1.805
15,5,50,30,6m-1m,1.244,50.13,40.31,1.195,1.765
10,15,50,25,6m,1.244,57.48,46.19,1.303,2.003
0,35,25,40,12m-1m,1.244,43.73,35.14,1.101,1.704
5,20,15,60,12m,1.243,47.71,38.37,1.193,1.736
5,25,40,30,12m-1m,1.243,49.32,39.68,1.168,1.783
10,0,55,35,12m-1m,1.242,51.07,41.13,1.223,1.922
0,20,25,55,12m-1m,1.241,47.09,37.95,1.162,1.682
5,10,35,50,12m-1m,1.241,50.28,40.5,1.213,1.785
5,0,50,45,6m,1.24,61.48,49.57,1.372,2.131
5,25,50,20,12m,1.239,47.35,38.22,1.139,1.755
10,5,25,60,12m-1m,1.239,46.13,37.23,1.155,1.646
10,20,20,50,6m,1.238,46.93,37.9,1.175,1.689
20,25,15,40,12m,1.237,40.72,32.92,1.103,1.577
35,0,40,25,12m,1.236,40.06,32.4,1.079,1.621
5,5,40,50,6m-1m,1.236,43.25,35.0,1.096,1.661
0,35,10,55,12m,1.235,47.93,38.79,1.214,1.782
5,5,60,30,6m-1m,1.235,53.63,43.44,1.245,1.889
5,15,20,60,6m-1m,1.235,44.79,36.27,1.149,1.611
0,5,45,50,6m,1.233,51.83,42.02,1.212,1.89
15,15,55,15,12m,1.233,44.38,35.98,1.098,1.657
10,10,35,45,12m-1m,1.233,47.32,38.37,1.173,1.683
0,25,50,25,6m,1.233,50.99,41.37,1.204,1.885
15,10,45,30,6m,1.232,50.31,40.83,1.194,1.759
10,15,25,50,6m,1.232,55.19,44.79,1.297,1.902
5,35,20,40,12m,1.231,47.55,38.62,1.187,1.788
10,10,70,10,12m,1.231,54.79,44.51,1.241,1.927
15,25,20,40,12m,1.231,44.41,36.07,1.144,1.644
30,5,10,55,12m-1m,1.23,40.94,33.27,1.122,1.535
15,0,65,20,6m-1m,1.229,60.83,49.49,1.347,2.133
10,15,35,40,12m-1m,1.229,46.95,38.19,1.149,1.688
30,5,45,20,12m,1.228,44.45,36.21,1.128,1.698
30,10,20,40,12m-1m,1.228,39.23,31.94,1.082,1.562
10,20,20,50,12m-1m,1.227,40.27,32.83,1.081,1.587
5,35,20,40,12m-1m,1.227,44.91,36.61,1.149,1.715
20,5,40,35,6m-1m,1.227,44.29,36.09,1.116,1.647
25,10,30,35,6m,1.226,42.87,34.98,1.104,1.617
0,15,40,45,6m-1m,1.226,50.98,41.6,1.211,1.849
30,10,25,35,12m,1.224,42.73,34.92,1.127,1.635
0,20,55,25,6m,1.223,53.85,44.02,1.24,1.926
0,15,65,20,12m,1.223,53.97,44.14,1.223,1.937
5,10,55,30,6m,1.222,59.69,48.86,1.341,2.06
40,0,45,15,12m,1.222,40.01,32.75,1.083,1.694
30,5,25,40,6m-1m,1.221,42.52,34.83,1.14,1.638
5,10,65,20,12m,1.221,58.64,48.01,1.297,2.064
20,0,20,60,12m-1m,1.22,45.01,36.89,1.173,1.68
10,5,55,30,12m,1.218,56.89,46.71,1.282,1.97
30,10,45,15,6m-1m,1.218,42.58,34.98,1.109,1.662
10,5,55,30,6m,1.218,58.22,47.8,1.313,2.036
5,10,40,45,12m,1.218,48.3,39.67,1.178,1.759
20,10,60,10,6m,1.218,42.32,34.75,1.066,1.647
10,30,15,45,12m-1m,1.216,43.6,35.85,1.15,1.694
15,10,55,20,6m-1m,1.216,46.21,38.01,1.14,1.756
5,15,25,55,12m-1m,1.216,42.9,35.28,1.102,1.574
20,5,25,50,12m-1m,1.216,49.71,40.9,1.258,1.789
15,20,40,25,6m,1.215,48.07,39.57,1.158,1.722
15,10,25,50,12m,1.215,41.72,34.33,1.085,1.561
0,15,25,60,6m,1.213,55.59,45.83,1.308,1.94
5,20,20,55,12m,1.212,48.35,39.88,1.205,1.772
5,20,55,20,6m,1.212,48.38,39.91,1.16,1.801
30,10,20,40,12m,1.212,42.07,34.72,1.113,1.581
0,0,55,45,6m,1.212,57.85,47.73,1.311,2.057
5,30,25,40,6m-1m,1.209,46.89,38.79,1.174,1.748
10,25,20,45,12m-1m,1.209,44.87,37.13,1.16,1.731
10,0,35,55,6m-1m,1.209,46.23,38.24,1.151,1.725
25,0,50,25,6m-1m,1.209,50.04,41.38,1.224,1.843
0,10,65,25,12m-1m,1.208,60.12,49.76,1.331,2.085
15,10,15,60,12m-1m,1.208,44.81,37.08,1.169,1.706
15,20,20,45,6m,1.207,46.7,38.68,1.175,1.669
10,15,30,45,6m,1.207,55.05,45.63,1.301,1.914
0,40,10,50,12m-1m,1.207,41.19,34.14,1.097,1.641
5,40,15,40,12m,1.207,42.65,35.32,1.121,1.691
15,5,55,25,12m,1.204,50.62,42.04,1.202,1.833
5,15,30,50,6m,1.204,54.72,45.45,1.292,1.947
0,15,30,55,6m-1m,1.204,44.28,36.77,1.122,1.645
0,25,30,45,6m-1m,1.204,45.48,37.76,1.133,1.743
20,15,30,35,6m,1.204,46.33,38.5,1.131,1.65
0,5,65,30,12m-1m,1.204,62.22,51.69,1.364,2.125
20,0,30,50,6m-1m,1.203,41.26,34.31,1.088,1.61
25,5,20,50,12m,1.203,41.62,34.59,1.105,1.543
15,15,15,55,6m,1.202,49.2,40.93,1.222,1.765
20,0,25,55,12m-1m,1.202,45.31,37.7,1.167,1.646
20,10,20,50,6m-1m,1.202,44.3,36.85,1.155,1.631
15,15,50,20,12m-1m,1.2,46.22,38.52,1.131,1.716
0,10,60,30,12m,1.2,57.31,47.74,1.278,1.971
0,30,30,40,6m-1m,1.199,44.91,37.47,1.123,1.703
0,0,50,50,12m,1.199,51.87,43.26,1.234,1.861
20,15,40,25,6m,1.198,47.84,39.93,1.164,1.698
10,0,40,50,6m,1.198,54.37,45.38,1.271,1.962
20,5,45,30,6m-1m,1.197,50.6,42.26,1.205,1.782
15,10,35,40,6m-1m,1.196,49.79,41.63,1.206,1.739
5,15,20,60,12m-1m,1.196,41.44,34.63,1.075,1.567
5,0,45,50,12m-1m,1.195,50.82,42.51,1.221,1.839
15,15,50,20,6m,1.194,46.4,38.86,1.132,1.696
0,5,65,30,6m-1m,1.194,60.3,50.49,1.343,2.106
15,20,35,30,12m,1.193,45.29,37.96,1.118,1.633
10,5,70,15,6m,1.193,56.89,47.67,1.272,1.968
15,0,35,50,12m-1m,1.193,43.41,36.4,1.123,1.612
0,35,35,30,12m,1.192,43.18,36.23,1.076,1.639
0,10,45,45,6m,1.192,53.26,44.68,1.237,1.9
10,0,35,55,6m,1.191,47.73,40.09,1.176,1.784
30,10,35,25,12m,1.191,40.4,33.93,1.069,1.563
25,10,40,25,6m-1m,1.191,48.55,40.75,1.186,1.715
20,20,25,35,12m-1m,1.19,42.03,35.32,1.112,1.576
30,10,40,20,12m-1m,1.19,40.05,33.66,1.051,1.576
10,0,55,35,12m,1.189,62.13,52.27,1.38,2.161
15,0,65,20,6m,1.189,58.22,48.96,1.313,2.053
5,35,25,35,12m,1.189,42.34,35.6,1.081,1.622
30,0,35,35,12m-1m,1.187,45.28,38.16,1.182,1.79
20,0,60,20,6m,1.187,54.6,45.99,1.281,1.942
35,5,30,30,12m,1.186,45.04,37.97,1.191,1.815
25,10,40,25,6m,1.186,43.58,36.75,1.108,1.642
15,5,35,45,6m-1m,1.186,43.76,36.89,1.125,1.662
0,25,15,60,6m,1.186,48.02,40.47,1.187,1.681
15,10,45,30,6m-1m,1.185,48.42,40.87,1.168,1.694
5,5,70,20,6m,1.185,55.03,46.43,1.245,1.956
0,5,35,60,6m,1.185,53.51,45.17,1.258,1.911
30,10,15,45,6m-1m,1.185,40.59,34.25,1.116,1.572
15,20,35,30,6m-1m,1.185,45.35,38.28,1.114,1.622
10,30,10,50,12m-1m,1.185,42.06,35.5,1.126,1.606
15,5,55,25,6m,1.184,52.69,44.49,1.234,1.867
0,20,30,50,6m-1m,1.184,43.25,36.53,1.104,1.636
10,5,40,45,12m,1.184,47.55,40.16,1.169,1.712
5,20,25,50,6m,1.183,48.3,40.84,1.191,1.774
25,20,20,35,12m-1m,1.183,36.79,31.1,1.039,1.447
10,0,50,40,12m-1m,1.183,50.19,42.43,1.203,1.813
5,10,30,55,6m,1.182,54.09,45.76,1.266,1.891
0,0,65,35,6m-1m,1.182,55.98,47.35,1.279,1.983
10,15,25,50,12m,1.181,43.87,37.16,1.129,1.617
25,0,20,55,12m-1m,1.181,42.17,35.7,1.134,1.571
0,20,20,60,12m-1m,1.181,41.32,34.98,1.072,1.579
15,5,55,25,6m-1m,1.18,50.75,43.01,1.219,1.89
30,0,30,40,12m-1m,1.18,46.25,39.18,1.212,1.802
15,0,25,60,12m-1m,1.18,42.57,36.08,1.11,1.571
10,5,60,25,6m,1.179,55.75,47.3,1.268,1.98
0,15,25,60,12m,1.178,48.56,41.21,1.188,1.734
10,5,35,50,12m-1m,1.178,46.11,39.13,1.159,1.686
15,20,10,55,12m-1m,1.177,37.92,32.23,1.039,1.452
5,0,50,45,12m-1m,1.177,51.98,44.15,1.236,1.896
0,10,45,45,12m-1m,1.176,48.54,41.29,1.172,1.802
