gs1,gs2,gr,v,q,g,m,mom,cagr,mdd,cal,sh,sort
rev_z,rev_accel_z,0.9,35,15,25,25,6m-1m,-22.79,56.59,-0.403,-0.225,-0.21
rev_z,rev_accel_z,0.9,35,15,25,25,12m,-30.32,67.18,-0.451,-0.433,-0.413
rev_z,rev_accel_z,0.9,35,15,25,25,12m-1m,-14.84,55.09,-0.269,-0.03,-0.028
rev_z,rev_accel_z,0.9,30,10,30,30,6m,-33.21,69.82,-0.476,-0.516,-0.498
rev_z,rev_accel_z,0.9,30,10,30,30,6m-1m,-23.37,60.8,-0.384,-0.238,-0.227
rev_z,rev_accel_z,0.9,30,10,30,30,12m,-25.56,67.64,-0.378,-0.293,-0.289
rev_z,rev_accel_z,0.9,30,10,30,30,12m-1m,-20.56,66.12,-0.311,-0.171,-0.164
rev_z,rev_accel_z,0.9,10,40,30,20,6m,-32.7,69.16,-0.473,-0.676,-0.785
rev_z,rev_accel_z,0.9,10,40,30,20,6m-1m,-24.09,63.66,-0.378,-0.424,-0.498
rev_z,rev_accel_z,0.9,10,40,30,20,12m,-17.29,49.28,-0.351,-0.236,-0.29
rev_z,rev_accel_z,0.9,10,40,30,20,12m-1m,-13.51,52.81,-0.256,-0.129,-0.16
rev_z,rev_accel_z,0.9,15,35,25,25,6m,-32.47,65.07,-0.499,-0.537,-0.542
rev_z,rev_accel_z,0.9,15,35,25,25,6m-1m,-14.13,43.58,-0.324,-0.158,-0.193
rev_z,rev_accel_z,0.9,15,35,25,25,12m,-28.5,69.25,-0.412,-0.399,-0.393
rev_z,rev_accel_z,0.9,15,35,25,25,12m-1m,-23.2,60.26,-0.385,-0.231,-0.232
rev_z,rev_accel_z,0.9,20,30,20,30,6m,-17.95,59.51,-0.302,-0.159,-0.158
rev_z,rev_accel_z,0.9,20,30,20,30,6m-1m,-14.95,51.35,-0.291,-0.069,-0.072
rev_z,rev_accel_z,0.9,20,30,20,30,12m,-22.17,63.99,-0.346,-0.165,-0.156
rev_z,rev_accel_z,0.9,20,30,20,30,12m-1m,-28.13,68.08,-0.413,-0.323,-0.303
rev_z,rev_accel_z,0.9,10,10,60,20,6m,-6.68,56.88,-0.117,0.124,0.247
rev_z,rev_accel_z,0.9,10,10,60,20,6m-1m,0.29,49.91,0.006,0.252,0.487
rev_z,rev_accel_z,0.9,10,10,60,20,12m,-8.31,62.94,-0.132,0.096,0.173
rev_z,rev_accel_z,0.9,10,10,60,20,12m-1m,-1.43,52.45,-0.027,0.227,0.406
