label,gr,mom,v,q,g,m,cagr,mdd,calmar,sharpe,sortino
atk_3f_rev_oca_opm,0.6/0.3/0.1,6m,10,5,55,30,104.73,45.9,2.281,1.526,1.917
atk_3f_rev_oca_opm,0.6/0.3/0.1,6m,15,10,50,25,81.49,50.45,1.615,1.312,1.648
atk_3f_rev_oca_opm,0.6/0.3/0.1,6m,10,0,65,25,125.74,45.9,2.739,1.682,2.096
atk_3f_rev_oca_opm,0.6/0.3/0.1,6m,20,0,50,30,97.79,45.9,2.13,1.463,1.907
atk_3f_rev_oca_opm,0.6/0.3/0.1,6m,5,5,70,20,72.31,47.02,1.538,1.262,1.482
atk_3f_rev_oca_opm,0.6/0.3/0.1,6m,15,5,50,30,99.0,45.9,2.157,1.435,1.896
atk_3f_rev_oca_opm,0.6/0.3/0.1,6m,10,10,50,30,88.1,47.49,1.855,1.371,1.789
atk_3f_rev_oca_opm,0.6/0.3/0.1,6m,25,5,45,25,58.26,56.12,1.038,1.07,1.411
atk_3f_rev_oca_opm,0.6/0.3/0.1,6m,20,10,40,30,70.38,56.89,1.237,1.194,1.537
atk_3f_rev_oca_opm,0.6/0.3/0.1,6m,15,5,55,25,108.47,46.13,2.351,1.534,1.936
atk_3f_rev_oca_opm,0.6/0.3/0.1,6m-1m,15,5,60,20,90.17,45.63,1.976,1.395,1.78
atk_3f_rev_oca_opm,0.6/0.3/0.1,6m-1m,10,0,70,20,144.3,45.9,3.144,1.806,2.248
atk_3f_rev_oca_opm,0.6/0.3/0.1,6m-1m,10,5,65,20,98.67,44.73,2.206,1.533,1.779
atk_3f_rev_oca_opm,0.6/0.3/0.1,6m-1m,20,5,55,20,70.28,57.63,1.22,1.203,1.545
atk_3f_rev_oca_opm,0.6/0.3/0.1,6m-1m,15,0,60,25,82.33,50.28,1.637,1.317,1.649
atk_3f_rev_oca_opm,0.6/0.3/0.1,6m-1m,10,5,55,30,71.38,51.02,1.399,1.224,1.516
atk_3f_rev_oca_opm,0.6/0.3/0.1,6m-1m,15,10,50,25,80.53,58.4,1.379,1.306,1.645
atk_3f_rev_oca_opm,0.6/0.3/0.1,6m-1m,10,0,65,25,120.38,42.44,2.836,1.632,2.057
atk_3f_rev_oca_opm,0.6/0.3/0.1,6m-1m,20,0,50,30,84.03,50.14,1.676,1.333,1.646
atk_3f_rev_oca_opm,0.6/0.3/0.1,6m-1m,5,5,70,20,94.68,51.66,1.833,1.481,1.754
