defense,offense,rule,approx_cal,calmar,cagr,mdd,sharpe,sortino,boost
V20Q10G20M50 g0.6 6m-1m,V0Q15G40M45 g0.4 12m,B126_45_5d,5.566743741306665,4.376,112.97,25.81,1.913,2.872,50.97125097125097
V20Q5G30M45 g0.5 6m-1m,V0Q15G40M45 g0.4 12m,B126_40_5d,5.282352034739406,4.345,118.98,27.38,1.95,2.912,59.44055944055944
V15Q5G30M50 g0.6 6m-1m,V25Q0G50M25 g0.3 12m-1m,B126_35_3d,5.550126336896518,4.299,146.63,34.11,2.188,3.479,67.9098679098679
V15Q20G15M50 g0.9 6m,V25Q0G55M20 g0.3 12m,B126_40_3d,5.554724123059788,4.29,129.71,30.23,2.069,3.445,59.28515928515928
V15Q5G30M50 g0.6 6m-1m,V25Q0G50M25 g0.3 12m-1m,B126_40_7d,5.6062528148022714,4.262,145.88,34.23,2.242,3.625,59.20745920745921
V20Q10G20M50 g0.6 6m-1m,V0Q15G40M45 g0.4 12m,KQ120_5d,5.536206673906421,4.231,109.22,25.81,1.886,2.906,54.623154623154626
V20Q20G15M45 g0.8 6m,V25Q0G55M20 g0.3 12m,B126_35_1d,5.286533256838919,4.226,124.38,29.43,2.001,3.4,67.75446775446775
V20Q10G25M45 g0.7 6m-1m,V25Q0G55M20 g0.3 12m,B126_40_3d,5.388629169421608,4.226,128.83,30.49,2.03,3.393,59.28515928515928
V15Q5G30M50 g0.6 6m-1m,V25Q0G50M25 g0.3 12m-1m,B126_40_3d,5.618777313505966,4.224,143.34,33.93,2.218,3.52,59.28515928515928
V25Q10G15M50 g0.4 6m-1m,V0Q15G40M45 g0.4 12m,KP120_5d,5.367704417396832,4.207,115.63,27.48,1.935,2.952,57.73115773115774
V15Q5G30M50 g0.6 6m-1m,V25Q0G50M25 g0.3 12m-1m,B126_35_1d,5.706689959567945,4.203,139.39,33.17,2.152,3.507,67.75446775446775
V20Q10G20M50 g0.6 6m-1m,V0Q15G40M45 g0.4 12m,KP120_1d,5.579188202647899,4.193,122.23,29.15,1.997,3.05,58.04195804195804
V20Q10G20M50 g0.6 6m-1m,V0Q5G45M50 g0.4 12m,KP120_1d,5.601637767903921,4.18,121.87,29.15,1.976,2.997,58.04195804195804
